Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [age]	Unit[TimeUnit]	Characteristics [initial time point]	Characteristics [ecotype]	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [developmental stage]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [genotype]
pkl_c	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	day	germination	Columbia	root tip	EFO	EFO_0000989	pkl	seedling	EFO	EFO_0001992	P-MTAB-3962	P-MTAB-3963	pkl_c	total_RNA	P-AFFY-2	pkl_c	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	pkl_c	A-AFFY-2	P-AFFY-6	737.CEL	737.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2140/E-MEXP-2140.raw.1.zip	P-MTAB-3961	FinalGeneExpressionDataFile.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2140/E-MEXP-2140.processed.1.zip	pkl
pkr2_a	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	day	germination	Columbia	root tip	EFO	EFO_0000989	pkr2	seedling	EFO	EFO_0001992	P-MTAB-3962	P-MTAB-3963	pkr2_a	total_RNA	P-AFFY-2	pkr2_a	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	pkr2_a	A-AFFY-2	P-AFFY-6	538.CEL	538.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2140/E-MEXP-2140.raw.1.zip	P-MTAB-3961	FinalGeneExpressionDataFile.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2140/E-MEXP-2140.processed.1.zip	pkr2
pkr2_c	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	day	germination	Columbia	root tip	EFO	EFO_0000989	pkr2	seedling	EFO	EFO_0001992	P-MTAB-3962	P-MTAB-3963	pkr2_c	total_RNA	P-AFFY-2	pkr2_c	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	pkr2_c	A-AFFY-2	P-AFFY-6	738.CEL	738.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2140/E-MEXP-2140.raw.1.zip	P-MTAB-3961	FinalGeneExpressionDataFile.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2140/E-MEXP-2140.processed.1.zip	pkr2
pkl_a	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	day	germination	Columbia	root tip	EFO	EFO_0000989	pkl	seedling	EFO	EFO_0001992	P-MTAB-3962	P-MTAB-3963	pkl_a	total_RNA	P-AFFY-2	pkl_a	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	pkl_a	A-AFFY-2	P-AFFY-6	537.CEL	537.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2140/E-MEXP-2140.raw.1.zip	P-MTAB-3961	FinalGeneExpressionDataFile.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2140/E-MEXP-2140.processed.1.zip	pkl
pkr2_pkl_c	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	day	germination	Columbia	root tip	EFO	EFO_0000989	pkr2 pkl	seedling	EFO	EFO_0001992	P-MTAB-3962	P-MTAB-3963	pkr2_pkl_c	total_RNA	P-AFFY-2	pkr2_pkl_c	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	pkr2_pkl_c	A-AFFY-2	P-AFFY-6	739.CEL	739.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2140/E-MEXP-2140.raw.1.zip	P-MTAB-3961	FinalGeneExpressionDataFile.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2140/E-MEXP-2140.processed.1.zip	pkr2 pkl
Col_b	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	day	germination	Columbia	root tip	EFO	EFO_0000989	wild type	seedling	EFO	EFO_0001992	P-MTAB-3962	P-MTAB-3963	Col_b	total_RNA	P-AFFY-2	Col_b	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	Col_b	A-AFFY-2	P-AFFY-6	636.CEL	636.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2140/E-MEXP-2140.raw.1.zip	P-MTAB-3961	FinalGeneExpressionDataFile.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2140/E-MEXP-2140.processed.1.zip	wild type
pkr2_pkl_a	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	day	germination	Columbia	root tip	EFO	EFO_0000989	pkr2 pkl	seedling	EFO	EFO_0001992	P-MTAB-3962	P-MTAB-3963	pkr2_pkl_a	total_RNA	P-AFFY-2	pkr2_pkl_a	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	pkr2_pkl_a	A-AFFY-2	P-AFFY-6	539.CEL	539.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2140/E-MEXP-2140.raw.1.zip	P-MTAB-3961	FinalGeneExpressionDataFile.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2140/E-MEXP-2140.processed.1.zip	pkr2 pkl
pkr2_b	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	day	germination	Columbia	root tip	EFO	EFO_0000989	pkr2	seedling	EFO	EFO_0001992	P-MTAB-3962	P-MTAB-3963	pkr2_b	total_RNA	P-AFFY-2	pkr2_b	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	pkr2_b	A-AFFY-2	P-AFFY-6	638.CEL	638.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2140/E-MEXP-2140.raw.1.zip	P-MTAB-3961	FinalGeneExpressionDataFile.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2140/E-MEXP-2140.processed.1.zip	pkr2
pkl_b	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	day	germination	Columbia	root tip	EFO	EFO_0000989	pkl	seedling	EFO	EFO_0001992	P-MTAB-3962	P-MTAB-3963	pkl_b	total_RNA	P-AFFY-2	pkl_b	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	pkl_b	A-AFFY-2	P-AFFY-6	637.CEL	637.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2140/E-MEXP-2140.raw.1.zip	P-MTAB-3961	FinalGeneExpressionDataFile.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2140/E-MEXP-2140.processed.1.zip	pkl
Col_a	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	day	germination	Columbia	root tip	EFO	EFO_0000989	wild type	seedling	EFO	EFO_0001992	P-MTAB-3962	P-MTAB-3963	Col_a	total_RNA	P-AFFY-2	Col_a	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	Col_a	A-AFFY-2	P-AFFY-6	536.CEL	536.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2140/E-MEXP-2140.raw.1.zip	P-MTAB-3961	FinalGeneExpressionDataFile.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2140/E-MEXP-2140.processed.1.zip	wild type
