Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[accession]	Characteristics[ecotype]	Characteristics[organism part]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	FactorValue [ACCESSION]	FactorValue [ECOTYPE]
GSM680442 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_Ull2_5_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22586	Ull2_5	rosette leaf	EFO	EFO_0001984	P-GSE27551-1	P-GSE27551-2	GSM680442 extract 1	genomic DNA	P-GSE27551-3	GSM680442 LE 1	biotin	P-GSE27551-4	GSM680442	A-AFFY-2	  	P-GSE27551-5	P-GSE27551-6	GSM680442.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27551/E-GEOD-27551.raw.1.zip	CS22586	Ull2_5
GSM680441 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_Ull2_5_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22586	Ull2_5	rosette leaf	EFO	EFO_0001984	P-GSE27551-1	P-GSE27551-2	GSM680441 extract 1	genomic DNA	P-GSE27551-3	GSM680441 LE 1	biotin	P-GSE27551-4	GSM680441	A-AFFY-2	  	P-GSE27551-5	P-GSE27551-6	GSM680441.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27551/E-GEOD-27551.raw.1.zip	CS22586	Ull2_5
GSM680440 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_Ull2_5_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22586	Ull2_5	rosette leaf	EFO	EFO_0001984	P-GSE27551-1	P-GSE27551-2	GSM680440 extract 1	genomic DNA	P-GSE27551-3	GSM680440 LE 1	biotin	P-GSE27551-4	GSM680440	A-AFFY-2	  	P-GSE27551-5	P-GSE27551-6	GSM680440.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27551/E-GEOD-27551.raw.1.zip	CS22586	Ull2_5
GSM680439 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_Tamm2_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22604	Tamm2	rosette leaf	EFO	EFO_0001984	P-GSE27551-1	P-GSE27551-2	GSM680439 extract 1	genomic DNA	P-GSE27551-3	GSM680439 LE 1	biotin	P-GSE27551-4	GSM680439	A-AFFY-2	  	P-GSE27551-5	P-GSE27551-6	GSM680439.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27551/E-GEOD-27551.raw.1.zip	CS22604	Tamm2
GSM680438 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_Tamm2_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22604	Tamm2	rosette leaf	EFO	EFO_0001984	P-GSE27551-1	P-GSE27551-2	GSM680438 extract 1	genomic DNA	P-GSE27551-3	GSM680438 LE 1	biotin	P-GSE27551-4	GSM680438	A-AFFY-2	  	P-GSE27551-5	P-GSE27551-6	GSM680438.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27551/E-GEOD-27551.raw.1.zip	CS22604	Tamm2
GSM680437 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_Tamm2_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22604	Tamm2	rosette leaf	EFO	EFO_0001984	P-GSE27551-1	P-GSE27551-2	GSM680437 extract 1	genomic DNA	P-GSE27551-3	GSM680437 LE 1	biotin	P-GSE27551-4	GSM680437	A-AFFY-2	  	P-GSE27551-5	P-GSE27551-6	GSM680437.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27551/E-GEOD-27551.raw.1.zip	CS22604	Tamm2
GSM680436 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_Omo2_3_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22585	Omo2	rosette leaf	EFO	EFO_0001984	P-GSE27551-1	P-GSE27551-2	GSM680436 extract 1	genomic DNA	P-GSE27551-3	GSM680436 LE 1	biotin	P-GSE27551-4	GSM680436	A-AFFY-2	  	P-GSE27551-5	P-GSE27551-6	GSM680436.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27551/E-GEOD-27551.raw.1.zip	CS22585	Omo2
GSM680435 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_Omo2_3_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22585	Omo2	rosette leaf	EFO	EFO_0001984	P-GSE27551-1	P-GSE27551-2	GSM680435 extract 1	genomic DNA	P-GSE27551-3	GSM680435 LE 1	biotin	P-GSE27551-4	GSM680435	A-AFFY-2	  	P-GSE27551-5	P-GSE27551-6	GSM680435.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27551/E-GEOD-27551.raw.1.zip	CS22585	Omo2
GSM680434 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_Omo2_3_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22585	Omo2	rosette leaf	EFO	EFO_0001984	P-GSE27551-1	P-GSE27551-2	GSM680434 extract 1	genomic DNA	P-GSE27551-3	GSM680434 LE 1	biotin	P-GSE27551-4	GSM680434	A-AFFY-2	  	P-GSE27551-5	P-GSE27551-6	GSM680434.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27551/E-GEOD-27551.raw.1.zip	CS22585	Omo2
GSM680433 1	gDNA hybridizations to explore sequence polymorphisms	rosette leaf	leaf_gDNA_Got22_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22609	Got22	rosette leaf	EFO	EFO_0001984	P-GSE27551-1	P-GSE27551-2	GSM680433 extract 1	genomic DNA	P-GSE27551-3	GSM680433 LE 1	biotin	P-GSE27551-4	GSM680433	A-AFFY-2	  	P-GSE27551-5	P-GSE27551-6	GSM680433.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27551/E-GEOD-27551.raw.1.zip	CS22609	Got22
