Source Name	Characteristics[organism]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[environmental history]	Characteristics[stimulus]	Characteristics[growth condition]	Characteristics[temperature]	Unit[temperature unit]	Characteristics[sampling time point]	Unit[time unit]	Term Source REF	Term Accession Number	Material Type	Description	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Assay Name	Technology Type	Array Design REF	Term Source REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Performer	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[genotype]	Factor Value[environmental history]	Factor Value[sampling time point]	Unit[time unit]	Term Source REF	Term Accession Number
07_sly1-2AR0h1	Arabidopsis thaliana	Landsberg erecta	sly1-2 mutant	seed	seed imbibition stage	19 months dry after-ripening	4 days at 4°C in the dark	light regimen	22	degree celsius	0	hour	EFO	UO_0000032	whole organism	sly1-2(AR) 0h, rep 1	P-MTAB-50207	Sven Nelson	P-MTAB-50208	Sven Nelson	07_sly1-2AR0h1	P-MTAB-50210	07_sly1-2AR0h1:biotin	biotin	P-MTAB-50211	07_sly1_2AR0h1	array assay	A-AFFY-2	ArrayExpress	P-MTAB-50212	07_sly1_2AR0h1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.raw.1.zip	P-MTAB-50209	Sven Nelson	07_sly1_2AR0h1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.processed.1.zip	sly1-2 mutant	19 months dry after-ripening	0	hour	EFO	UO_0000032
08_sly1-2AR0h2	Arabidopsis thaliana	Landsberg erecta	sly1-2 mutant	seed	seed imbibition stage	19 months dry after-ripening	4 days at 4°C in the dark	light regimen	22	degree celsius	0	hour	EFO	UO_0000032	whole organism	sly1-2(AR) 0h, rep 2	P-MTAB-50207	Sven Nelson	P-MTAB-50208	Sven Nelson	08_sly1-2AR0h2	P-MTAB-50210	08_sly1-2AR0h2:biotin	biotin	P-MTAB-50211	08_sly1_2AR0h2	array assay	A-AFFY-2	ArrayExpress	P-MTAB-50212	08_sly1_2AR0h2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.raw.1.zip	P-MTAB-50209	Sven Nelson	08_sly1_2AR0h2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.processed.1.zip	sly1-2 mutant	19 months dry after-ripening	0	hour	EFO	UO_0000032
09_sly1-2AR0h3	Arabidopsis thaliana	Landsberg erecta	sly1-2 mutant	seed	seed imbibition stage	19 months dry after-ripening	4 days at 4°C in the dark	light regimen	22	degree celsius	0	hour	EFO	UO_0000032	whole organism	sly1-2(AR) 0h, rep 3	P-MTAB-50207	Sven Nelson	P-MTAB-50208	Sven Nelson	09_sly1-2AR0h3	P-MTAB-50210	09_sly1-2AR0h3:biotin	biotin	P-MTAB-50211	09_sly1_2AR0h3	array assay	A-AFFY-2	ArrayExpress	P-MTAB-50212	09_sly1_2AR0h3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.raw.1.zip	P-MTAB-50209	Sven Nelson	09_sly1_2AR0h3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.processed.1.zip	sly1-2 mutant	19 months dry after-ripening	0	hour	EFO	UO_0000032
19_sly1-2AR12h1	Arabidopsis thaliana	Landsberg erecta	sly1-2 mutant	seed	seed imbibition stage	19 months dry after-ripening	4 days at 4°C in the dark	light regimen	22	degree celsius	12	hour	EFO	UO_0000032	whole organism	sly1-2(AR) 12h, rep 1	P-MTAB-50207	Sven Nelson	P-MTAB-50208	Sven Nelson	19_sly1-2AR12h1	P-MTAB-50210	19_sly1-2AR12h1:biotin	biotin	P-MTAB-50211	19_sly1_2AR12h1	array assay	A-AFFY-2	ArrayExpress	P-MTAB-50212	19_sly1_2AR12h1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.raw.1.zip	P-MTAB-50209	Sven Nelson	19_sly1_2AR12h1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.processed.1.zip	sly1-2 mutant	19 months dry after-ripening	12	hour	EFO	UO_0000032
20_sly1-2AR12h2	Arabidopsis thaliana	Landsberg erecta	sly1-2 mutant	seed	seed imbibition stage	19 months dry after-ripening	4 days at 4°C in the dark	light regimen	22	degree celsius	12	hour	EFO	UO_0000032	whole organism	sly1-2(AR) 12h, rep 2	P-MTAB-50207	Sven Nelson	P-MTAB-50208	Sven Nelson	20_sly1-2AR12h2	P-MTAB-50210	20_sly1-2AR12h2:biotin	biotin	P-MTAB-50211	20_sly1_2AR12h2	array assay	A-AFFY-2	ArrayExpress	P-MTAB-50212	20_sly1_2AR12h2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.raw.1.zip	P-MTAB-50209	Sven Nelson	20_sly1_2AR12h2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.processed.1.zip	sly1-2 mutant	19 months dry after-ripening	12	hour	EFO	UO_0000032
21_sly1-2AR12h3	Arabidopsis thaliana	Landsberg erecta	sly1-2 mutant	seed	seed imbibition stage	19 months dry after-ripening	4 days at 4°C in the dark	light regimen	22	degree celsius	12	hour	EFO	UO_0000032	whole organism	sly1-2(AR) 12h, rep 3	P-MTAB-50207	Sven Nelson	P-MTAB-50208	Sven Nelson	21_sly1-2AR12h3	P-MTAB-50210	21_sly1-2AR12h3:biotin	biotin	P-MTAB-50211	21_sly1_2AR12h3	array assay	A-AFFY-2	ArrayExpress	P-MTAB-50212	21_sly1_2AR12h3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.raw.1.zip	P-MTAB-50209	Sven Nelson	21_sly1_2AR12h3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.processed.1.zip	sly1-2 mutant	19 months dry after-ripening	12	hour	EFO	UO_0000032
01_Ler0h1	Arabidopsis thaliana	Landsberg erecta	wild type genotype	seed	seed imbibition stage	2 weeks dry after-ripening	4 days at 4°C in the dark	light regimen	22	degree celsius	0	hour	EFO	UO_0000032	whole organism	Ler wt 0h, rep 1	P-MTAB-50207	Sven Nelson	P-MTAB-50208	Sven Nelson	01_Ler0h1	P-MTAB-50210	01_Ler0h1:biotin	biotin	P-MTAB-50211	01_Ler0h1	array assay	A-AFFY-2	ArrayExpress	P-MTAB-50212	01_Ler0h1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.raw.1.zip	P-MTAB-50209	Sven Nelson	01_Ler0h1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.processed.1.zip	wild type genotype	2 weeks dry after-ripening	0	hour	EFO	UO_0000032
02_Ler0h2	Arabidopsis thaliana	Landsberg erecta	wild type genotype	seed	seed imbibition stage	2 weeks dry after-ripening	4 days at 4°C in the dark	light regimen	22	degree celsius	0	hour	EFO	UO_0000032	whole organism	Ler wt 0h, rep 2	P-MTAB-50207	Sven Nelson	P-MTAB-50208	Sven Nelson	02_Ler0h2	P-MTAB-50210	02_Ler0h2:biotin	biotin	P-MTAB-50211	02_Ler0h2	array assay	A-AFFY-2	ArrayExpress	P-MTAB-50212	02_Ler0h2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.raw.1.zip	P-MTAB-50209	Sven Nelson	02_Ler0h2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.processed.1.zip	wild type genotype	2 weeks dry after-ripening	0	hour	EFO	UO_0000032
03_Ler0h3	Arabidopsis thaliana	Landsberg erecta	wild type genotype	seed	seed imbibition stage	2 weeks dry after-ripening	4 days at 4°C in the dark	light regimen	22	degree celsius	0	hour	EFO	UO_0000032	whole organism	Ler wt 0h, rep 3	P-MTAB-50207	Sven Nelson	P-MTAB-50208	Sven Nelson	03_Ler0h3	P-MTAB-50210	03_Ler0h3:biotin	biotin	P-MTAB-50211	03_Ler0h3	array assay	A-AFFY-2	ArrayExpress	P-MTAB-50212	03_Ler0h3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.raw.1.zip	P-MTAB-50209	Sven Nelson	03_Ler0h3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.processed.1.zip	wild type genotype	2 weeks dry after-ripening	0	hour	EFO	UO_0000032
04_sly1-2D0h1	Arabidopsis thaliana	Landsberg erecta	sly1-2 mutant	seed	seed imbibition stage	2 weeks dry after-ripening	4 days at 4°C in the dark	light regimen	22	degree celsius	0	hour	EFO	UO_0000032	whole organism	sly1-2(D) 0h, rep 1	P-MTAB-50207	Sven Nelson	P-MTAB-50208	Sven Nelson	04_sly1-2D0h1	P-MTAB-50210	04_sly1-2D0h1:biotin	biotin	P-MTAB-50211	04_sly1_2D0h1	array assay	A-AFFY-2	ArrayExpress	P-MTAB-50212	04_sly1_2D0h1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.raw.1.zip	P-MTAB-50209	Sven Nelson	04_sly1_2D0h1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4782/E-MTAB-4782.processed.1.zip	sly1-2 mutant	2 weeks dry after-ripening	0	hour	EFO	UO_0000032
