Source Name	Characteristics [Ecotype]	Characteristics [DevelopmentalStage]	Characteristics [CellLine]	Term Source REF	Characteristics [Organism]	Term Source REF	Protocol REF	Parameter Value [Humidity]	Parameter Value [Temperature]	Parameter Value [Atmosphere]	Parameter Value [location]	Sample Name	Characteristics [OrganismPart]	Characteristics [OrganismPa]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Comment [ArrayExpress Data Retrieval URI]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Comment [Derived ArrayExpress Data Retrieval URI]
Hammond_3-12_Caesium-treated-root_Rep2_ATH1	Wassilewskija-2	3.90 Boyes key	NASC_N1601	nasc	Arabidopsis thaliana	ncbitax	NASCGrowProt:742	80%	imbibed for 3-5 days at 4C	Normal	Growth Room	Hammond_3-12_Caesium-treated-root_Rep2_ATH1	all root material	all root material	NASCExtractProtocol:1	398586547	total_RNA	NASCLabelProtocol:1	Hammond_3-12_Caesium-treated-root_Rep2_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	JH003_ATH1_A12-Hommond-CR2_repeat	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	JH003_ATH1_A12-Hommond-CR2_repeat	E-NASC-61-raw-data-398586929.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-61/E-NASC-61.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=398595709	Affymetrix:Protocol:ExpressionStat	E-NASC-61-processed-data-1372600538.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-61/E-NASC-61.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=398595709
Hammond_3-18_Caesium-treated-root_Rep3_ATH1	Wassilewskija-2	3.90 Boyes key	NASC_N1601	nasc	Arabidopsis thaliana	ncbitax	NASCGrowProt:742	80%	imbibed for 3-5 days at 4C	Normal	Growth Room	Hammond_3-18_Caesium-treated-root_Rep3_ATH1	all root material	all root material	NASCExtractProtocol:1	398586523	total_RNA	NASCLabelProtocol:1	Hammond_3-18_Caesium-treated-root_Rep3_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	JH003_ATH1_A18-Hammond-CR3	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	JH003_ATH1_A18-Hammond-CR3	E-NASC-61-raw-data-398587037.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-61/E-NASC-61.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=398595709	Affymetrix:Protocol:ExpressionStat	E-NASC-61-processed-data-1372600538.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-61/E-NASC-61.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=398595709
Hammond_3-1_Control-shoot_Rep1_ATH1	Wassilewskija-2	3.90 Boyes key	NASC_N1601	nasc	Arabidopsis thaliana	ncbitax	NASCGrowProt:741	80%	imbibed for 3-5 days at 4C	Normal	Growth Room	Hammond_3-1_Control-shoot_Rep1_ATH1	shoots	shoots	NASCExtractProtocol:1	398586411	total_RNA	NASCLabelProtocol:1	Hammond_3-1_Control-shoot_Rep1_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	JH003_ATH1_A1-Hammond-FS1	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	JH003_ATH1_A1-Hammond-FS1	E-NASC-61-raw-data-398586731.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-61/E-NASC-61.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=398595709	Affymetrix:Protocol:ExpressionStat	E-NASC-61-processed-data-1372600538.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-61/E-NASC-61.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=398595709
Hammond_3-9_Caesium-treated-shoot_Rep2_ATH1	Wassilewskija-2	3.90 Boyes key	NASC_N1601	nasc	Arabidopsis thaliana	ncbitax	NASCSampleTreatmentProt:743	  	  	  	  	Hammond_3-9_Caesium-treated-shoot_Rep2_ATH1	shoots	shoots	NASCExtractProtocol:1	398586475	total_RNA	NASCLabelProtocol:1	Hammond_3-9_Caesium-treated-shoot_Rep2_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	JH003_ATH1_A9-Hammond-CS2	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	JH003_ATH1_A9-Hammond-CS2	E-NASC-61-raw-data-398586875.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-61/E-NASC-61.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=398595709	Affymetrix:Protocol:ExpressionStat	E-NASC-61-processed-data-1372600538.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-61/E-NASC-61.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=398595709
Hammond_3-4_Control-root_Rep1_ATH1	Wassilewskija-2	3.90 Boyes key	NASC_N1601	nasc	Arabidopsis thaliana	ncbitax	NASCGrowProt:744	80%	imbibed for 3-5 days at 4C	Normal	Growth Room	Hammond_3-4_Control-root_Rep1_ATH1	all root material	all root material	NASCExtractProtocol:1	398586435	total_RNA	NASCLabelProtocol:1	Hammond_3-4_Control-root_Rep1_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	JH003_ATH1_A4-Hammond-FR1	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	JH003_ATH1_A4-Hammond-FR1	E-NASC-61-raw-data-398586785.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-61/E-NASC-61.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=398595709	Affymetrix:Protocol:ExpressionStat	E-NASC-61-processed-data-1372600538.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-61/E-NASC-61.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=398595709
Hammond_3-15_Caesium-treated-shoot_Rep3_ATH1	Wassilewskija-2	3.90 Boyes key	NASC_N1601	nasc	Arabidopsis thaliana	ncbitax	NASCGrowProt:742	80%	imbibed for 3-5 days at 4C	Normal	Growth Room	Hammond_3-15_Caesium-treated-shoot_Rep3_ATH1	shoots	shoots	NASCExtractProtocol:1	398586499	total_RNA	NASCLabelProtocol:1	Hammond_3-15_Caesium-treated-shoot_Rep3_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	JH003_ATH1_A15-Hammond-CS3	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	JH003_ATH1_A15-Hammond-CS3	E-NASC-61-raw-data-398586983.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-61/E-NASC-61.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=398595709	Affymetrix:Protocol:ExpressionStat	E-NASC-61-processed-data-1372600538.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-61/E-NASC-61.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=398595709
Hammond_3-13_Control-shoot_Rep3_ATH1	Wassilewskija-2	3.90 Boyes key	NASC_N1601	nasc	Arabidopsis thaliana	ncbitax	NASCGrowProt:744	80%	imbibed for 3-5 days at 4C	Normal	Growth Room	Hammond_3-13_Control-shoot_Rep3_ATH1	shoots	shoots	NASCExtractProtocol:1	398586483	total_RNA	NASCLabelProtocol:1	Hammond_3-13_Control-shoot_Rep3_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	JH003_ATH1_A13-Hammond-FS3	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	JH003_ATH1_A13-Hammond-FS3	E-NASC-61-raw-data-398586947.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-61/E-NASC-61.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=398595709	Affymetrix:Protocol:ExpressionStat	E-NASC-61-processed-data-1372600538.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-61/E-NASC-61.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=398595709
Hammond_3-3_Caesium-treated-shoot_Rep1_ATH1	Wassilewskija-2	3.90 Boyes key	NASC_N1601	nasc	Arabidopsis thaliana	ncbitax	NASCSampleTreatmentProt:743	  	  	  	  	Hammond_3-3_Caesium-treated-shoot_Rep1_ATH1	shoots	shoots	NASCExtractProtocol:1	398586427	total_RNA	NASCLabelProtocol:1	Hammond_3-3_Caesium-treated-shoot_Rep1_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	JH003_ATH1_A3-Hammond-CS1	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	JH003_ATH1_A3-Hammond-CS1	E-NASC-61-raw-data-398586767.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-61/E-NASC-61.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=398595709	Affymetrix:Protocol:ExpressionStat	E-NASC-61-processed-data-1372600538.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-61/E-NASC-61.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=398595709
Hammond_3-14_Potassium-starved-shoot_Rep3_ATH1	Wassilewskija-2	3.90 Boyes key	NASC_N1601	nasc	Arabidopsis thaliana	ncbitax	NASCGrowProt:742	80%	imbibed for 3-5 days at 4C	Normal	Growth Room	Hammond_3-14_Potassium-starved-shoot_Rep3_ATH1	shoots	shoots	NASCExtractProtocol:1	398586491	total_RNA	NASCLabelProtocol:1	Hammond_3-14_Potassium-starved-shoot_Rep3_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	JH003_ATH1_A14-Hammond-KS3	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	JH003_ATH1_A14-Hammond-KS3	E-NASC-61-raw-data-398586965.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-61/E-NASC-61.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=398595709	Affymetrix:Protocol:ExpressionStat	E-NASC-61-processed-data-1372600538.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-61/E-NASC-61.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=398595709
Hammond_3-10_Control-root_Rep2_ATH1	Wassilewskija-2	3.90 Boyes key	NASC_N1601	nasc	Arabidopsis thaliana	ncbitax	NASCGrowProt:744	80%	imbibed for 3-5 days at 4C	Normal	Growth Room	Hammond_3-10_Control-root_Rep2_ATH1	all root material	all root material	NASCExtractProtocol:1	398586531	total_RNA	NASCLabelProtocol:1	Hammond_3-10_Control-root_Rep2_ATH1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	JH003_ATH1_A10-Hammond-FR2	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	JH003_ATH1_A10-Hammond-FR2	E-NASC-61-raw-data-398586893.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-61/E-NASC-61.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=398595709	Affymetrix:Protocol:ExpressionStat	E-NASC-61-processed-data-1372600538.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-61/E-NASC-61.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=398595709
