Source Name	Characteristics [genotype]	Characteristics[organism part] 	characteristics [ecotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Comment [Sample_source_name]	Comment [Sample_description]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [genotype]	Factor Value [growth condition]
GSM476787 1	wild type	leaf	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Leaves, Wild Type, Long Day	Gene expression data from leaves (wild type)	P-GSE19241-3	P-GSE19241-2	GSM476787 extract 1	total_RNA	P-GSE19241-4	GSM476787 LE 1	biotin	unknown	P-GSE19241-5	P-GSE19241-6	GSM476787	A-AFFY-2	P-GSE19241-7	GSM476787.CEL	GSM476787.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19241/E-GEOD-19241.raw.1.zip	P-GSE19241-1	E-GEOD-19241-processed-data-2453793677.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19241/E-GEOD-19241.processed.1.zip	wild type	long day photoperiod
GSM476797 1	cs26 mutant	leaf	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Leaves, cs26 mutant, Short Day	Gene expression data from leaves (cs26)	P-GSE19241-3	P-GSE19241-2	GSM476797 extract 1	total_RNA	P-GSE19241-4	GSM476797 LE 1	biotin	unknown	P-GSE19241-5	P-GSE19241-6	GSM476797	A-AFFY-2	P-GSE19241-7	GSM476797.CEL	GSM476797.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19241/E-GEOD-19241.raw.1.zip	P-GSE19241-1	E-GEOD-19241-processed-data-2453793677.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19241/E-GEOD-19241.processed.1.zip	cs26 mutant	short day photoperiod
GSM476793 1	cs26 mutant	leaf	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Leaves, cs26 mutant, Long Day	Gene expression data from leaves (cs26)	P-GSE19241-3	P-GSE19241-2	GSM476793 extract 1	total_RNA	P-GSE19241-4	GSM476793 LE 1	biotin	unknown	P-GSE19241-5	P-GSE19241-6	GSM476793	A-AFFY-2	P-GSE19241-7	GSM476793.CEL	GSM476793.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19241/E-GEOD-19241.raw.1.zip	P-GSE19241-1	E-GEOD-19241-processed-data-2453793677.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19241/E-GEOD-19241.processed.1.zip	cs26 mutant	long day photoperiod
GSM476790 1	wild type	leaf	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Leaves, Wild Type, Short Day	Gene expression data from leaves (wild type)	P-GSE19241-3	P-GSE19241-2	GSM476790 extract 1	total_RNA	P-GSE19241-4	GSM476790 LE 1	biotin	unknown	P-GSE19241-5	P-GSE19241-6	GSM476790	A-AFFY-2	P-GSE19241-7	GSM476790.CEL	GSM476790.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19241/E-GEOD-19241.raw.1.zip	P-GSE19241-1	E-GEOD-19241-processed-data-2453793677.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19241/E-GEOD-19241.processed.1.zip	wild type	short day photoperiod
GSM476789 1	wild type	leaf	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Leaves, Wild Type, Long Day	Gene expression data from leaves (wild type)	P-GSE19241-3	P-GSE19241-2	GSM476789 extract 1	total_RNA	P-GSE19241-4	GSM476789 LE 1	biotin	unknown	P-GSE19241-5	P-GSE19241-6	GSM476789	A-AFFY-2	P-GSE19241-7	GSM476789.CEL	GSM476789.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19241/E-GEOD-19241.raw.1.zip	P-GSE19241-1	E-GEOD-19241-processed-data-2453793677.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19241/E-GEOD-19241.processed.1.zip	wild type	long day photoperiod
GSM476792 1	wild type	leaf	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Leaves, Wild Type, Short Day	Gene expression data from leaves (wild type)	P-GSE19241-3	P-GSE19241-2	GSM476792 extract 1	total_RNA	P-GSE19241-4	GSM476792 LE 1	biotin	unknown	P-GSE19241-5	P-GSE19241-6	GSM476792	A-AFFY-2	P-GSE19241-7	GSM476792.CEL	GSM476792.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19241/E-GEOD-19241.raw.1.zip	P-GSE19241-1	E-GEOD-19241-processed-data-2453793677.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19241/E-GEOD-19241.processed.1.zip	wild type	short day photoperiod
GSM476798 1	cs26 mutant	leaf	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Leaves, cs26 mutant, Short Day	Gene expression data from leaves (cs26)	P-GSE19241-3	P-GSE19241-2	GSM476798 extract 1	total_RNA	P-GSE19241-4	GSM476798 LE 1	biotin	unknown	P-GSE19241-5	P-GSE19241-6	GSM476798	A-AFFY-2	P-GSE19241-7	GSM476798.CEL	GSM476798.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19241/E-GEOD-19241.raw.1.zip	P-GSE19241-1	E-GEOD-19241-processed-data-2453793677.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19241/E-GEOD-19241.processed.1.zip	cs26 mutant	short day photoperiod
GSM476788 1	wild type	leaf	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Leaves, Wild Type, Long Day	Gene expression data from leaves (wild type)	P-GSE19241-3	P-GSE19241-2	GSM476788 extract 1	total_RNA	P-GSE19241-4	GSM476788 LE 1	biotin	unknown	P-GSE19241-5	P-GSE19241-6	GSM476788	A-AFFY-2	P-GSE19241-7	GSM476788.CEL	GSM476788.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19241/E-GEOD-19241.raw.1.zip	P-GSE19241-1	E-GEOD-19241-processed-data-2453793677.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19241/E-GEOD-19241.processed.1.zip	wild type	long day photoperiod
GSM476796 1	cs26 mutant	leaf	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Leaves, cs26 mutant, Short Day	Gene expression data from leaves (cs26)	P-GSE19241-3	P-GSE19241-2	GSM476796 extract 1	total_RNA	P-GSE19241-4	GSM476796 LE 1	biotin	unknown	P-GSE19241-5	P-GSE19241-6	GSM476796	A-AFFY-2	P-GSE19241-7	GSM476796.CEL	GSM476796.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19241/E-GEOD-19241.raw.1.zip	P-GSE19241-1	E-GEOD-19241-processed-data-2453793677.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19241/E-GEOD-19241.processed.1.zip	cs26 mutant	short day photoperiod
GSM476794 1	cs26 mutant	leaf	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Leaves, cs26 mutant, Long Day	Gene expression data from leaves (cs26)	P-GSE19241-3	P-GSE19241-2	GSM476794 extract 1	total_RNA	P-GSE19241-4	GSM476794 LE 1	biotin	unknown	P-GSE19241-5	P-GSE19241-6	GSM476794	A-AFFY-2	P-GSE19241-7	GSM476794.CEL	GSM476794.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19241/E-GEOD-19241.raw.1.zip	P-GSE19241-1	E-GEOD-19241-processed-data-2453793677.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19241/E-GEOD-19241.processed.1.zip	cs26 mutant	long day photoperiod
