Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_source_name]	Comment [Sample_characteristics]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[cell type]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[compound]	FactorValue[genotype]
GSE13783GSM346846	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"IAA19mII over-expressor, IAA treated:  Roots grown horizontally on square plates, protoplasted, transformed and sorted by FACS. Replicate 3 of 3.. Genotype: Col-0; Pwer:GFP positive protoplasts"	"IAA19mII over-expressor, IAA treated"	Genotype: Col-0; Pwer:GFP positive protoplasts	Col-0	pBeaconRFP_IAA19mll overexpressor	protoplast	P-G13783-2	P-G13783-1	GSE13783GSM346846 sample	P-G13783-4	GSE13783GSM346846 extract	total_RNA	P-G13783-3	GSE13783GSM346846 LE biotin	biotin	synthetic_RNA	IAA19mII over-expressor_IAA treated_replicate 3	A-AFFY-2	P-AFFY-6	GSM346846.CEL	GSM346846.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13783/E-GEOD-13783.raw.1.zip	E-GEOD-13783-processed-data-1739987071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13783/E-GEOD-13783.processed.1.zip	indole-3-acetic acid	pBeaconRFP_IAA19mll overexpressor
GSE13783GSM346845	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"IAA19mII over-expressor, IAA treated:  Roots grown horizontally on square plates, protoplasted, transformed and sorted by FACS. Replicate 2 of 3.. Genotype: Col-0; Pwer:GFP positive protoplasts"	"IAA19mII over-expressor, IAA treated"	Genotype: Col-0; Pwer:GFP positive protoplasts	Col-0	pBeaconRFP_IAA19mll overexpressor	protoplast	P-G13783-2	P-G13783-1	GSE13783GSM346845 sample	P-G13783-4	GSE13783GSM346845 extract	total_RNA	P-G13783-3	GSE13783GSM346845 LE biotin	biotin	synthetic_RNA	IAA19mII over-expressor_IAA treated_replicate 2	A-AFFY-2	P-AFFY-6	GSM346845.CEL	GSM346845.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13783/E-GEOD-13783.raw.1.zip	E-GEOD-13783-processed-data-1739987071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13783/E-GEOD-13783.processed.1.zip	indole-3-acetic acid	pBeaconRFP_IAA19mll overexpressor
GSE13783GSM346844	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"IAA19mII over-expressor, IAA treated:  Roots grown horizontally on square plates, protoplasted, transformed and sorted by FACS. Replicate 1 of 3.. Genotype: Col-0; Pwer:GFP positive protoplasts"	"IAA19mII over-expressor, IAA treated"	Genotype: Col-0; Pwer:GFP positive protoplasts	Col-0	pBeaconRFP_IAA19mll overexpressor	protoplast	P-G13783-2	P-G13783-1	GSE13783GSM346844 sample	P-G13783-4	GSE13783GSM346844 extract	total_RNA	P-G13783-3	GSE13783GSM346844 LE biotin	biotin	synthetic_RNA	IAA19mII over-expressor_IAA treated_replicate 1	A-AFFY-2	P-AFFY-6	GSM346844.CEL	GSM346844.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13783/E-GEOD-13783.raw.1.zip	E-GEOD-13783-processed-data-1739987071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13783/E-GEOD-13783.processed.1.zip	indole-3-acetic acid	pBeaconRFP_IAA19mll overexpressor
GSE13783GSM346842	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"IAA19mII over-expressor, mock treated:  Roots grown horizontally on square plates, protoplasted, transformed and sorted by FACS. Replicate 2 of 3.. Genotype: Col-0; Pwer:GFP positive protoplasts"	"IAA19mII over-expressor, mock treated"	Genotype: Col-0; Pwer:GFP positive protoplasts	Col-0	pBeaconRFP_IAA19mll overexpressor	protoplast	P-G13783-2	P-G13783-1	GSE13783GSM346842 sample	P-G13783-4	GSE13783GSM346842 extract	total_RNA	P-G13783-3	GSE13783GSM346842 LE biotin	biotin	synthetic_RNA	IAA19mII over-expressor_mock treated_replicate 2	A-AFFY-2	P-AFFY-6	GSM346842.CEL	GSM346842.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13783/E-GEOD-13783.raw.1.zip	E-GEOD-13783-processed-data-1739987071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13783/E-GEOD-13783.processed.1.zip	none	pBeaconRFP_IAA19mll overexpressor
GSE13783GSM346841	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"IAA19mII over-expressor, mock treated:  Roots grown horizontally on square plates, protoplasted, transformed and sorted by FACS. Replicate 1 of 3.. Genotype: Col-0; Pwer:GFP positive protoplasts"	"IAA19mII over-expressor, mock treated"	Genotype: Col-0; Pwer:GFP positive protoplasts	Col-0	pBeaconRFP_IAA19mll overexpressor	protoplast	P-G13783-2	P-G13783-1	GSE13783GSM346841 sample	P-G13783-4	GSE13783GSM346841 extract	total_RNA	P-G13783-3	GSE13783GSM346841 LE biotin	biotin	synthetic_RNA	IAA19mII over-expressor_mock treated_replicate 1	A-AFFY-2	P-AFFY-6	GSM346841.CEL	GSM346841.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13783/E-GEOD-13783.raw.1.zip	E-GEOD-13783-processed-data-1739987071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13783/E-GEOD-13783.processed.1.zip	none	pBeaconRFP_IAA19mll overexpressor
GSE13783GSM346843	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"IAA19mII over-expressor, mock treated:  Roots grown horizontally on square plates, protoplasted, transformed and sorted by FACS. Replicate 3 of 3.. Genotype: Col-0; Pwer:GFP positive protoplasts"	"IAA19mII over-expressor, mock treated"	Genotype: Col-0; Pwer:GFP positive protoplasts	Col-0	pBeaconRFP_IAA19mll overexpressor	protoplast	P-G13783-2	P-G13783-1	GSE13783GSM346843 sample	P-G13783-4	GSE13783GSM346843 extract	total_RNA	P-G13783-3	GSE13783GSM346843 LE biotin	biotin	synthetic_RNA	IAA19mII over-expressor_mock treated_replicate 3	A-AFFY-2	P-AFFY-6	GSM346843.CEL	GSM346843.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13783/E-GEOD-13783.raw.1.zip	E-GEOD-13783-processed-data-1739987071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13783/E-GEOD-13783.processed.1.zip	none	pBeaconRFP_IAA19mll overexpressor
GSE13783GSM346840	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"IAA7mII over-expressor, IAA treated:  Roots grown horizontally on square plates, protoplasted, transformed and sorted by FACS. Replicate 3 of 3.. Genotype: Col-0; Pwer:GFP positive protoplasts"	"IAA7mII over-expressor, IAA treated"	Genotype: Col-0; Pwer:GFP positive protoplasts	Col-0	pBeaconRFP_IAA7mll overexpressor	protoplast	P-G13783-2	P-G13783-1	GSE13783GSM346840 sample	P-G13783-4	GSE13783GSM346840 extract	total_RNA	P-G13783-3	GSE13783GSM346840 LE biotin	biotin	synthetic_RNA	IAA7mII over-expressor_IAA treated_replicate 3	A-AFFY-2	P-AFFY-6	GSM346840.CEL	GSM346840.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13783/E-GEOD-13783.raw.1.zip	E-GEOD-13783-processed-data-1739987071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13783/E-GEOD-13783.processed.1.zip	indole-3-acetic acid	pBeaconRFP_IAA7mll overexpressor
GSE13783GSM346838	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"IAA7mII over-expressor, IAA treated:  Roots grown horizontally on square plates, protoplasted, transformed and sorted by FACS. Replicate 1 of 3.. Genotype: Col-0; Pwer:GFP positive protoplasts"	"IAA7mII over-expressor, IAA treated"	Genotype: Col-0; Pwer:GFP positive protoplasts	Col-0	pBeaconRFP_IAA7mll overexpressor	protoplast	P-G13783-2	P-G13783-1	GSE13783GSM346838 sample	P-G13783-4	GSE13783GSM346838 extract	total_RNA	P-G13783-3	GSE13783GSM346838 LE biotin	biotin	synthetic_RNA	IAA7mII over-expressor_IAA treated_replicate 1	A-AFFY-2	P-AFFY-6	GSM346838.CEL	GSM346838.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13783/E-GEOD-13783.raw.1.zip	E-GEOD-13783-processed-data-1739987071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13783/E-GEOD-13783.processed.1.zip	indole-3-acetic acid	pBeaconRFP_IAA7mll overexpressor
GSE13783GSM346839	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"IAA7mII over-expressor, IAA treated:  Roots grown horizontally on square plates, protoplasted, transformed and sorted by FACS. Replicate 2 of 3.. Genotype: Col-0; Pwer:GFP positive protoplasts"	"IAA7mII over-expressor, IAA treated"	Genotype: Col-0; Pwer:GFP positive protoplasts	Col-0	pBeaconRFP_IAA7mll overexpressor	protoplast	P-G13783-2	P-G13783-1	GSE13783GSM346839 sample	P-G13783-4	GSE13783GSM346839 extract	total_RNA	P-G13783-3	GSE13783GSM346839 LE biotin	biotin	synthetic_RNA	IAA7mII over-expressor_IAA treated_replicate 2	A-AFFY-2	P-AFFY-6	GSM346839.CEL	GSM346839.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13783/E-GEOD-13783.raw.1.zip	E-GEOD-13783-processed-data-1739987071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13783/E-GEOD-13783.processed.1.zip	indole-3-acetic acid	pBeaconRFP_IAA7mll overexpressor
GSE13783GSM346835	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"IAA7mII over-expressor, mock treated:  Roots grown horizontally on square plates, protoplasted, transformed and sorted by FACS. Replicate 1 of 3.. Genotype: Col-0; Pwer:GFP positive protoplasts"	"IAA7mII over-expressor, mock treated"	Genotype: Col-0; Pwer:GFP positive protoplasts	Col-0	pBeaconRFP_IAA7mll overexpressor	protoplast	P-G13783-2	P-G13783-1	GSE13783GSM346835 sample	P-G13783-4	GSE13783GSM346835 extract	total_RNA	P-G13783-3	GSE13783GSM346835 LE biotin	biotin	synthetic_RNA	IAA7mII over-expressor_mock treated_replicate 1	A-AFFY-2	P-AFFY-6	GSM346835.CEL	GSM346835.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13783/E-GEOD-13783.raw.1.zip	E-GEOD-13783-processed-data-1739987071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13783/E-GEOD-13783.processed.1.zip	none	pBeaconRFP_IAA7mll overexpressor
