Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Genotype]	Characteristics[OrganismPart]	Characteristics[Ecotype]	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GENOTYPE]	FactorValue[ECOTYPE]
GSE5749GSM133989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	GL2:GFP	root	Columbia	GL2:GFP:  Media: MS + 4.5% sucrose Light: 16h light 8h dark. Tissue: Marks atrichoblasts from the QC up.; Genetic background: Columbia	GSE5749GSM133989 sample	GSE5749GSM133989 extract	total_RNA	GSE5749GSM133989 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Birnbaum_1-22_gl2-1_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Birnbaum_1-22_gl2-1_Rep1_ATH1	GSM133989.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.raw.1.zip	E-GEOD-5749-processed-data-1628594032.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.processed.1.zip	GL2:GFP	Columbia
GSE5749GSM133977	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	root	Columbia	Stage I:  Media: MS + 4.5% sucrose Light: 16h light 8h dark. Tissue: Where the root tip reaches its full diameter (about 0.15 mm from the root tip); Genetic background: Columbia	GSE5749GSM133977 sample	GSE5749GSM133977 extract	total_RNA	GSE5749GSM133977 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Birnbaum_1-7_StageI-4_Rep4_ATH1	A-AFFY-2	P-AFFY-6	Birnbaum_1-7_StageI-4_Rep4_ATH1	GSM133977.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.raw.1.zip	E-GEOD-5749-processed-data-1628594032.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.processed.1.zip	wild_type	Columbia
GSE5749GSM133975	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	root	Columbia	Stage I:  Media: MS + 4.5% sucrose Light: 16h light 8h dark. Tissue: Where the root tip reaches its full diameter (about 0.15 mm from the root tip); Genetic background: Columbia	GSE5749GSM133975 sample	GSE5749GSM133975 extract	total_RNA	GSE5749GSM133975 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Birnbaum_1-5_StageI-2_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Birnbaum_1-5_StageI-2_Rep2_ATH1	GSM133975.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.raw.1.zip	E-GEOD-5749-processed-data-1628594032.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.processed.1.zip	wild_type	Columbia
GSE5749GSM133973	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	SCR:GFP	root	Landsberg	SCR:GFP:  Media: MS + 4.5% sucrose Light: 16h light 8h dark. Tissue: Marks the QC and the endodermis at least past the mature hair zone; Genetic background: Landsberg	GSE5749GSM133973 sample	GSE5749GSM133973 extract	total_RNA	GSE5749GSM133973 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Birnbaum_1-3_src5-3_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Birnbaum_1-3_src5-3_Rep3_ATH1	GSM133973.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.raw.1.zip	E-GEOD-5749-processed-data-1628594032.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.processed.1.zip	SCR:GFP	Landsberg
GSE5749GSM133980	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	root	Columbia	Stage II:  Media: MS + 4.5% sucrose Light: 16h light 8h dark. Tissue: Where cells transition from being optically dense to a more transparent appearance as they begin longitudinal expansion (about 0.30 mm from the root tip); Genetic background: Columbia	GSE5749GSM133980 sample	GSE5749GSM133980 extract	total_RNA	GSE5749GSM133980 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Birnbaum_1-10_StageII-3_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Birnbaum_1-10_StageII-3_Rep3_ATH1	GSM133980.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.raw.1.zip	E-GEOD-5749-processed-data-1628594032.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.processed.1.zip	wild_type	Columbia
GSE5749GSM133987	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	WOL:GFP	root	Columbia	WOL:GFP:  Media: MS + 4.5% sucrose Light: 16h light 8h dark. Tissue: Marks cells in stele and starts to fade from the elongation zone; Genetic background: Columbia	GSE5749GSM133987 sample	GSE5749GSM133987 extract	total_RNA	GSE5749GSM133987 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Birnbaum_1-17_wol-2_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Birnbaum_1-17_wol-2_Rep2_ATH1	GSM133987.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.raw.1.zip	E-GEOD-5749-processed-data-1628594032.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.processed.1.zip	WOL:GFP	Columbia
GSE5749GSM133983	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	root	Columbia	Stage III:  Media: MS + 4.5% sucrose Light: 16h light 8h dark. Tissue: Where root hairs are fully elongated (about 0.45 to 2 mm from the root tip); Genetic background: Columbia	GSE5749GSM133983 sample	GSE5749GSM133983 extract	total_RNA	GSE5749GSM133983 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Birnbaum_1-13_StageIII-2_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Birnbaum_1-13_StageIII-2_Rep2_ATH1	GSM133983.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.raw.1.zip	E-GEOD-5749-processed-data-1628594032.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.processed.1.zip	wild_type	Columbia
GSE5749GSM133978	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	root	Columbia	Stage II:  Media: MS + 4.5% sucrose Light: 16h light 8h dark. Tissue: Where cells transition from being optically dense to a more transparent appearance as they begin longitudinal expansion (about 0.30 mm from the root tip); Genetic background: Columbia	GSE5749GSM133978 sample	GSE5749GSM133978 extract	total_RNA	GSE5749GSM133978 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Birnbaum_1-8_StageII-1_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Birnbaum_1-8_StageII-1_Rep1_ATH1	GSM133978.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.raw.1.zip	E-GEOD-5749-processed-data-1628594032.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.processed.1.zip	wild_type	Columbia
GSE5749GSM133984	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	root	Columbia	Stage III:  Media: MS + 4.5% sucrose Light: 16h light 8h dark. Tissue: Where root hairs are fully elongated (about 0.45 to 2 mm from the root tip); Genetic background: Columbia	GSE5749GSM133984 sample	GSE5749GSM133984 extract	total_RNA	GSE5749GSM133984 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Birnbaum_1-14_StageIII-3_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Birnbaum_1-14_StageIII-3_Rep3_ATH1	GSM133984.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.raw.1.zip	E-GEOD-5749-processed-data-1628594032.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.processed.1.zip	wild_type	Columbia
GSE5749GSM133981	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	root	Columbia	Stage II:  Media: MS + 4.5% sucrose Light: 16h light 8h dark. Tissue: Where cells transition from being optically dense to a more transparent appearance as they begin longitudinal expansion (about 0.30 mm from the root tip); Genetic background: Columbia	GSE5749GSM133981 sample	GSE5749GSM133981 extract	total_RNA	GSE5749GSM133981 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Birnbaum_1-11_StageII-4_Rep4_ATH1	A-AFFY-2	P-AFFY-6	Birnbaum_1-11_StageII-4_Rep4_ATH1	GSM133981.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.raw.1.zip	E-GEOD-5749-processed-data-1628594032.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5749/E-GEOD-5749.processed.1.zip	wild_type	Columbia
