Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[biological replicate]	Characteristics[genotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [BIOLOGICAL REPLICATE]	FactorValue [GENOTYPE]	FactorValue [TREATMENT]
GSM840977 1	tbf1-elf	tbf1-elf-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	3	tbf1 mutant	mature leaf	P-GSE34047-3	P-GSE34047-2	P-GSE34047-4	GSM840977 extract 1	total RNA	P-GSE34047-5	GSM840977 LE 1	biotin	P-GSE34047-6	GSM840977	A-AFFY-2	  	P-GSE34047-7	P-GSE34047-8	GSM840977.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.raw.1.zip	P-GSE34047-1	GSM840977_sample_table.txt norm	GSM840977_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.processed.1.zip	3	tbf1 mutant	10 µM elf18 for 2 hrs (infiltration into leaves)
GSM840976 1	tbf1-elf	tbf1-elf-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2	tbf1 mutant	mature leaf	P-GSE34047-3	P-GSE34047-2	P-GSE34047-4	GSM840976 extract 1	total RNA	P-GSE34047-5	GSM840976 LE 1	biotin	P-GSE34047-6	GSM840976	A-AFFY-2	  	P-GSE34047-7	P-GSE34047-8	GSM840976.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.raw.1.zip	P-GSE34047-1	GSM840976_sample_table.txt norm	GSM840976_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.processed.1.zip	2	tbf1 mutant	10 µM elf18 for 2 hrs (infiltration into leaves)
GSM840975 1	tbf1-elf	tbf1-elf-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1	tbf1 mutant	mature leaf	P-GSE34047-3	P-GSE34047-2	P-GSE34047-4	GSM840975 extract 1	total RNA	P-GSE34047-5	GSM840975 LE 1	biotin	P-GSE34047-6	GSM840975	A-AFFY-2	  	P-GSE34047-7	P-GSE34047-8	GSM840975.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.raw.1.zip	P-GSE34047-1	GSM840975_sample_table.txt norm	GSM840975_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.processed.1.zip	1	tbf1 mutant	10 µM elf18 for 2 hrs (infiltration into leaves)
GSM840974 1	tbf1-melf	tbf1-melf-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	3	tbf1 mutant	mature leaf	P-GSE34047-3	P-GSE34047-2	P-GSE34047-4	GSM840974 extract 1	total RNA	P-GSE34047-5	GSM840974 LE 1	biotin	P-GSE34047-6	GSM840974	A-AFFY-2	  	P-GSE34047-7	P-GSE34047-8	GSM840974.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.raw.1.zip	P-GSE34047-1	GSM840974_sample_table.txt norm	GSM840974_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.processed.1.zip	3	tbf1 mutant	water for 2 hrs (infiltration into leaves)
GSM840973 1	tbf1-melf	tbf1-melf-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2	tbf1 mutant	mature leaf	P-GSE34047-3	P-GSE34047-2	P-GSE34047-4	GSM840973 extract 1	total RNA	P-GSE34047-5	GSM840973 LE 1	biotin	P-GSE34047-6	GSM840973	A-AFFY-2	  	P-GSE34047-7	P-GSE34047-8	GSM840973.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.raw.1.zip	P-GSE34047-1	GSM840973_sample_table.txt norm	GSM840973_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.processed.1.zip	2	tbf1 mutant	water for 2 hrs (infiltration into leaves)
GSM840972 1	tbf1-melf	tbf1-melf-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1	tbf1 mutant	mature leaf	P-GSE34047-3	P-GSE34047-2	P-GSE34047-4	GSM840972 extract 1	total RNA	P-GSE34047-5	GSM840972 LE 1	biotin	P-GSE34047-6	GSM840972	A-AFFY-2	  	P-GSE34047-7	P-GSE34047-8	GSM840972.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.raw.1.zip	P-GSE34047-1	GSM840972_sample_table.txt norm	GSM840972_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.processed.1.zip	1	tbf1 mutant	water for 2 hrs (infiltration into leaves)
GSM840971 1	tbf1-SA	tbf1-SA-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	3	tbf1 mutant	mature leaf	P-GSE34047-3	P-GSE34047-2	P-GSE34047-4	GSM840971 extract 1	total RNA	P-GSE34047-5	GSM840971 LE 1	biotin	P-GSE34047-6	GSM840971	A-AFFY-2	  	P-GSE34047-7	P-GSE34047-8	GSM840971.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.raw.1.zip	P-GSE34047-1	GSM840971_sample_table.txt norm	GSM840971_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.processed.1.zip	3	tbf1 mutant	1 mM SA for 6 hrs (spray)
GSM840970 1	tbf1-SA	tbf1-SA-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2	tbf1 mutant	mature leaf	P-GSE34047-3	P-GSE34047-2	P-GSE34047-4	GSM840970 extract 1	total RNA	P-GSE34047-5	GSM840970 LE 1	biotin	P-GSE34047-6	GSM840970	A-AFFY-2	  	P-GSE34047-7	P-GSE34047-8	GSM840970.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.raw.1.zip	P-GSE34047-1	GSM840970_sample_table.txt norm	GSM840970_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.processed.1.zip	2	tbf1 mutant	1 mM SA for 6 hrs (spray)
GSM840969 1	tbf1-SA	tbf1-SA-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1	tbf1 mutant	mature leaf	P-GSE34047-3	P-GSE34047-2	P-GSE34047-4	GSM840969 extract 1	total RNA	P-GSE34047-5	GSM840969 LE 1	biotin	P-GSE34047-6	GSM840969	A-AFFY-2	  	P-GSE34047-7	P-GSE34047-8	GSM840969.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.raw.1.zip	P-GSE34047-1	GSM840969_sample_table.txt norm	GSM840969_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.processed.1.zip	1	tbf1 mutant	1 mM SA for 6 hrs (spray)
GSM840968 1	tbf1-mSA	tbf1-mSA-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	3	tbf1 mutant	mature leaf	P-GSE34047-3	P-GSE34047-2	P-GSE34047-4	GSM840968 extract 1	total RNA	P-GSE34047-5	GSM840968 LE 1	biotin	P-GSE34047-6	GSM840968	A-AFFY-2	  	P-GSE34047-7	P-GSE34047-8	GSM840968.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.raw.1.zip	P-GSE34047-1	GSM840968_sample_table.txt norm	GSM840968_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.processed.1.zip	3	tbf1 mutant	water for 6 hrs (spray)
GSM840967 1	tbf1-mSA	tbf1-mSA-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2	tbf1 mutant	mature leaf	P-GSE34047-3	P-GSE34047-2	P-GSE34047-4	GSM840967 extract 1	total RNA	P-GSE34047-5	GSM840967 LE 1	biotin	P-GSE34047-6	GSM840967	A-AFFY-2	  	P-GSE34047-7	P-GSE34047-8	GSM840967.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.raw.1.zip	P-GSE34047-1	GSM840967_sample_table.txt norm	GSM840967_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.processed.1.zip	2	tbf1 mutant	water for 6 hrs (spray)
GSM840966 1	tbf1-mSA	tbf1-mSA-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1	tbf1 mutant	mature leaf	P-GSE34047-3	P-GSE34047-2	P-GSE34047-4	GSM840966 extract 1	total RNA	P-GSE34047-5	GSM840966 LE 1	biotin	P-GSE34047-6	GSM840966	A-AFFY-2	  	P-GSE34047-7	P-GSE34047-8	GSM840966.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.raw.1.zip	P-GSE34047-1	GSM840966_sample_table.txt norm	GSM840966_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.processed.1.zip	1	tbf1 mutant	water for 6 hrs (spray)
GSM840965 1	WT-elf	WT-elf-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	3	wild type	mature leaf	P-GSE34047-3	P-GSE34047-2	P-GSE34047-4	GSM840965 extract 1	total RNA	P-GSE34047-5	GSM840965 LE 1	biotin	P-GSE34047-6	GSM840965	A-AFFY-2	  	P-GSE34047-7	P-GSE34047-8	GSM840965.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.raw.1.zip	P-GSE34047-1	GSM840965_sample_table.txt norm	GSM840965_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.processed.1.zip	3	wild type	10 µM elf18 for 2 hrs (infiltration into leaves)
GSM840964 1	WT-elf	WT-elf-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2	wild type	mature leaf	P-GSE34047-3	P-GSE34047-2	P-GSE34047-4	GSM840964 extract 1	total RNA	P-GSE34047-5	GSM840964 LE 1	biotin	P-GSE34047-6	GSM840964	A-AFFY-2	  	P-GSE34047-7	P-GSE34047-8	GSM840964.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.raw.1.zip	P-GSE34047-1	GSM840964_sample_table.txt norm	GSM840964_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34047/E-GEOD-34047.processed.1.zip	2	wild type	10 µM elf18 for 2 hrs (infiltration into leaves)
