Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Ecotype]	Characteristics[OrganismPart]	Characteristics[DevelopmentalStage]	Characteristics[SamplingTimePoint]	Unit[TimeUnit]	Description	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[SAMPLING TIME POINT]	Unit[TimeUnit]
GSE6174GSM142815	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	3.90	13	hours	smith-13h_SRC_REP2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 74.31 Background Stdev (float) = 1.78 Background Max (float) = 79.7 Background Min (float) = 70.1 Noise Avg (float) = 4.60 Noise Stdev (float) = 0.23 Noise Max (float) = 5.3 Noise Min (float) = 4.0 RawQ (float) = 2.87 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 676 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: SS002_ATH1_A7-smith-13h.DAT. OrganismPart: leaves; Age time point: 13h timepoint; Ecotype: Col-0; NASC:Growth Stage: 3.90; NASC:StockCode: N3176	P-G6174-4	GSE6174GSM142815 sample	P-G6174-3	GSE6174GSM142815 extract	total_RNA	P-G6174-2	GSE6174GSM142815 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	SS002_ATH1_A7-smith-13h	A-AFFY-2	P-AFFY-6	SS002_ATH1_A7-smith-13h	GSM142815.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.raw.1.zip	E-GEOD-6174-processed-data-1628849134.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.processed.1.zip	13	hours
GSE6174GSM142819	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	3.90	24	hours	smith-24h_SRC_REP2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 66.25 Background Stdev (float) = 1.77 Background Max (float) = 70.5 Background Min (float) = 60.3 Noise Avg (float) = 4.30 Noise Stdev (float) = 0.16 Noise Max (float) = 4.8 Noise Min (float) = 3.8 RawQ (float) = 2.63 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 338 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: SS002_ATH1_A11-smith-24h_repeat.DAT. OrganismPart: leaves; Age time point: 24h timepoint; Ecotype: Col-0; NASC:Growth Stage: 3.90; NASC:StockCode: N3176	P-G6174-4	GSE6174GSM142819 sample	P-G6174-3	GSE6174GSM142819 extract	total_RNA	P-G6174-2	GSE6174GSM142819 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	SS002_ATH1_A11-smith-24h_repeat	A-AFFY-2	P-AFFY-6	SS002_ATH1_A11-smith-24h_repeat	GSM142819.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.raw.1.zip	E-GEOD-6174-processed-data-1628849134.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.processed.1.zip	24	hours
GSE6174GSM142816	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	3.90	14	hours	smith-14h_SRC_REP2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 63.15 Background Stdev (float) = 1.52 Background Max (float) = 67.8 Background Min (float) = 60.3 Noise Avg (float) = 3.62 Noise Stdev (float) = 0.18 Noise Max (float) = 4.1 Noise Min (float) = 3.2 RawQ (float) = 2.51 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 620 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: SS002_ATH1_A8-smith-14h.DAT. OrganismPart: leaves; Age time point: 14h timepoint; Ecotype: Col-0; NASC:Growth Stage: 3.90; NASC:StockCode: N3176	P-G6174-4	GSE6174GSM142816 sample	P-G6174-3	GSE6174GSM142816 extract	total_RNA	P-G6174-2	GSE6174GSM142816 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	SS002_ATH1_A8-smith-14h	A-AFFY-2	P-AFFY-6	SS002_ATH1_A8-smith-14h	GSM142816.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.raw.1.zip	E-GEOD-6174-processed-data-1628849134.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.processed.1.zip	14	hours
GSE6174GSM142798	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	3.90	0	hours	smith-00h_SRC:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 66.63 Background Stdev (float) = 1.94 Background Max (float) = 73.7 Background Min (float) = 63.8 Noise Avg (float) = 3.97 Noise Stdev (float) = 0.29 Noise Max (float) = 4.8 Noise Min (float) = 3.4 RawQ (float) = 2.80 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 460 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: SS001_ATH1_A1-Smith-21A.DAT. OrganismPart: leaves; Age time point: 0h timepoint; Ecotype: Col-0; NASC:Growth Stage: 3.90; NASC:StockCode: N3176	P-G6174-1	GSE6174GSM142798 sample	P-G6174-3	GSE6174GSM142798 extract	total_RNA	P-G6174-2	GSE6174GSM142798 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	SS001_ATH1_A1-Smith-21A	A-AFFY-2	P-AFFY-6	SS001_ATH1_A1-Smith-21A	GSM142798.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.raw.1.zip	E-GEOD-6174-processed-data-1628849134.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.processed.1.zip	0	hours
GSE6174GSM142804	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	3.90	13	hours	smith-13h_SRC:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 73.37 Background Stdev (float) = 1.64 Background Max (float) = 79.0 Background Min (float) = 70.1 Noise Avg (float) = 4.15 Noise Stdev (float) = 0.27 Noise Max (float) = 4.9 Noise Min (float) = 3.6 RawQ (float) = 2.84 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 260 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: SS001_ATH1_A7-Smith-10.DAT. OrganismPart: leaves; Age time point: 13h timepoint; Ecotype: Col-0; NASC:Growth Stage: 3.90; NASC:StockCode: N3176	P-G6174-1	GSE6174GSM142804 sample	P-G6174-3	GSE6174GSM142804 extract	total_RNA	P-G6174-2	GSE6174GSM142804 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	SS001_ATH1_A7-Smith-10	A-AFFY-2	P-AFFY-6	SS001_ATH1_A7-Smith-10	GSM142804.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.raw.1.zip	E-GEOD-6174-processed-data-1628849134.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.processed.1.zip	13	hours
GSE6174GSM142810	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	3.90	1	hours	smith-01h_SRC_REP2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 82.50 Background Stdev (float) = 3.54 Background Max (float) = 91.7 Background Min (float) = 75.9 Noise Avg (float) = 4.16 Noise Stdev (float) = 0.22 Noise Max (float) = 5.1 Noise Min (float) = 3.7 RawQ (float) = 3.01 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 298 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: SS002_ATH1_A2-smith-01h.DAT. OrganismPart: leaves; Age time point: 1h timepoint; Ecotype: Col-0; NASC:Growth Stage: 3.90; NASC:StockCode: N3176	P-G6174-4	GSE6174GSM142810 sample	P-G6174-3	GSE6174GSM142810 extract	total_RNA	P-G6174-2	GSE6174GSM142810 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	SS002_ATH1_A2-smith-01h	A-AFFY-2	P-AFFY-6	SS002_ATH1_A2-smith-01h	GSM142810.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.raw.1.zip	E-GEOD-6174-processed-data-1628849134.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.processed.1.zip	1	hours
GSE6174GSM142806	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	3.90	16	hours	smith-16h_SRC:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 68.94 Background Stdev (float) = 2.15 Background Max (float) = 74.9 Background Min (float) = 62.2 Noise Avg (float) = 3.62 Noise Stdev (float) = 0.21 Noise Max (float) = 4.2 Noise Min (float) = 3.1 RawQ (float) = 2.69 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 564 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: SS001_ATH1_A9-Smith-13.DAT. OrganismPart: leaves; Age time point: 14h timepoint; Ecotype: Col-0; NASC:Growth Stage: 3.90; NASC:StockCode: N3176	P-G6174-4	GSE6174GSM142806 sample	P-G6174-3	GSE6174GSM142806 extract	total_RNA	P-G6174-2	GSE6174GSM142806 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	SS001_ATH1_A9-Smith-13	A-AFFY-2	P-AFFY-6	SS001_ATH1_A9-Smith-13	GSM142806.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.raw.1.zip	E-GEOD-6174-processed-data-1628849134.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.processed.1.zip	16	hours
GSE6174GSM142800	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	3.90	2	hours	smith-02h_SRC:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 66.89 Background Stdev (float) = 1.33 Background Max (float) = 71.2 Background Min (float) = 64.6 Noise Avg (float) = 4.18 Noise Stdev (float) = 0.23 Noise Max (float) = 4.9 Noise Min (float) = 3.7 RawQ (float) = 2.71 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 887 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: SS001_ATH1_A3-Smith-23.DAT. OrganismPart: leaves; Age time point: 2h timepoint; Ecotype: Col-0; NASC:Growth Stage: 3.90; NASC:StockCode: N3176	P-G6174-1	GSE6174GSM142800 sample	P-G6174-3	GSE6174GSM142800 extract	total_RNA	P-G6174-2	GSE6174GSM142800 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	SS001_ATH1_A3-Smith-23	A-AFFY-2	P-AFFY-6	SS001_ATH1_A3-Smith-23	GSM142800.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.raw.1.zip	E-GEOD-6174-processed-data-1628849134.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.processed.1.zip	2	hours
GSE6174GSM142808	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	3.90	24	hours	smith-24h_SRC:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 70.78 Background Stdev (float) = 1.33 Background Max (float) = 75.3 Background Min (float) = 68.0 Noise Avg (float) = 4.33 Noise Stdev (float) = 0.23 Noise Max (float) = 5.0 Noise Min (float) = 3.7 RawQ (float) = 2.83 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 198 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: SS001_ATH1_A11-Smith-21B.DAT. OrganismPart: leaves; Age time point: 24h timepoint; Ecotype: Col-0; NASC:Growth Stage: 3.90; NASC:StockCode: N3176	P-G6174-4	GSE6174GSM142808 sample	P-G6174-3	GSE6174GSM142808 extract	total_RNA	P-G6174-2	GSE6174GSM142808 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	SS001_ATH1_A11-Smith-21B	A-AFFY-2	P-AFFY-6	SS001_ATH1_A11-Smith-21B	GSM142808.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.raw.1.zip	E-GEOD-6174-processed-data-1628849134.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.processed.1.zip	24	hours
GSE6174GSM142814	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	3.90	12	hours	smith-12h_SRC_REP2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 84.48 Background Stdev (float) = 2.02 Background Max (float) = 92.3 Background Min (float) = 80.0 Noise Avg (float) = 4.36 Noise Stdev (float) = 0.24 Noise Max (float) = 5.0 Noise Min (float) = 4.0 RawQ (float) = 3.27 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 257 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: SS002_ATH1_A6-smith-12h.DAT. OrganismPart: leaves; Age time point: 12h timepoint; Ecotype: Col-0; NASC:Growth Stage: 3.90; NASC:StockCode: N3176	P-G6174-4	GSE6174GSM142814 sample	P-G6174-3	GSE6174GSM142814 extract	total_RNA	P-G6174-2	GSE6174GSM142814 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	SS002_ATH1_A6-smith-12h	A-AFFY-2	P-AFFY-6	SS002_ATH1_A6-smith-12h	GSM142814.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.raw.1.zip	E-GEOD-6174-processed-data-1628849134.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6174/E-GEOD-6174.processed.1.zip	12	hours
