Source Name	Characteristics [age]	Unit [time unit]	Characteristics [genotype]	Characteristics [genetic modification]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [developmental stage]	Characteristics [ecotype]	Characteristics [biosource type]	Provider	Protocol REF	Protocol REF	Sample Name	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [genotype]
SAMPLE188025SUB2491	7	day	lrx1	gene knockout	EFO	EFO_0000506	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette growth stage	Columbia	frozen sample	Univ. of Zürich, Switzerland	P-MEXP-24462	P-MEXP-24641	SAMPLE188025SUB2491	P-MEXP-24642	P-MEXP-24640	E_SAMPLE188025SUB2491	total_RNA	P-AFFY-2	L_SAMPLE188025SUB2491	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE188025SUB2491	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_SAMPLE188025SUB2491	lrx1_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-722/E-MEXP-722.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-722-processed-data-1343525445.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-722/E-MEXP-722.processed.1.zip	lrx1
SAMPLE188026SUB2491	7	day	lrx1	gene knockout	EFO	EFO_0000506	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette growth stage	Columbia	frozen sample	Univ. of Zürich, Switzerland	P-MEXP-24462	P-MEXP-24641	SAMPLE188026SUB2491	P-MEXP-24642	P-MEXP-24640	E_SAMPLE188026SUB2491	total_RNA	P-AFFY-2	L_SAMPLE188026SUB2491	biotin	total_RNA	Affymetrix:Protocol:Hybridization-FS400Test	H_SAMPLE188026SUB2491	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_SAMPLE188026SUB2491	lrx1_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-722/E-MEXP-722.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-722-processed-data-1343525445.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-722/E-MEXP-722.processed.1.zip	lrx1
SAMPLE188027SUB2491	7	day	lrx1	gene knockout	EFO	EFO_0000506	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette growth stage	Columbia	frozen sample	Univ. of Zürich, Switzerland	P-MEXP-24462	P-MEXP-24641	SAMPLE188027SUB2491	P-MEXP-24642	P-MEXP-24640	E_SAMPLE188027SUB2491	total_RNA	P-AFFY-2	L_SAMPLE188027SUB2491	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE188027SUB2491	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_SAMPLE188027SUB2491	lrx1_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-722/E-MEXP-722.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-722-processed-data-1343525445.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-722/E-MEXP-722.processed.1.zip	lrx1
SAMPLE188030SUB2491	7	day	lrx1 rol1-1	gene knockout	EFO	EFO_0000506	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette growth stage	Columbia	frozen sample	Univ. of Zürich, Switzerland	P-MEXP-24462	P-MEXP-24641	SAMPLE188030SUB2491	P-MEXP-24642	P-MEXP-24640	E_SAMPLE188030SUB2491	total_RNA	P-AFFY-2	L_SAMPLE188030SUB2491	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE188030SUB2491	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_SAMPLE188030SUB2491	rol1-1_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-722/E-MEXP-722.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-722-processed-data-1343525445.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-722/E-MEXP-722.processed.1.zip	lrx1 rol1-1
SAMPLE188028SUB2491	7	day	lrx1 rol1-1	gene knockout	EFO	EFO_0000506	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette growth stage	Columbia	frozen sample	Univ. of Zürich, Switzerland	P-MEXP-24462	P-MEXP-24641	SAMPLE188028SUB2491	P-MEXP-24642	P-MEXP-24640	E_SAMPLE188028SUB2491	total_RNA	P-AFFY-2	L_SAMPLE188028SUB2491	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE188028SUB2491	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_SAMPLE188028SUB2491	rol1-1_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-722/E-MEXP-722.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-722-processed-data-1343525445.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-722/E-MEXP-722.processed.1.zip	lrx1 rol1-1
SAMPLE188029SUB2491	7	day	lrx1 rol1-1	gene knockout	EFO	EFO_0000506	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette growth stage	Columbia	frozen sample	Univ. of Zürich, Switzerland	P-MEXP-24462	P-MEXP-24641	SAMPLE188029SUB2491	P-MEXP-24642	P-MEXP-24640	E_SAMPLE188029SUB2491	total_RNA	P-AFFY-2	L_SAMPLE188029SUB2491	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE188029SUB2491	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_SAMPLE188029SUB2491	rol1-1_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-722/E-MEXP-722.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-722-processed-data-1343525445.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-722/E-MEXP-722.processed.1.zip	lrx1 rol1-1
SAMPLE188033SUB2491	7	day	lrx1 rol1-2	gene knockout	EFO	EFO_0000506	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette growth stage	Columbia	frozen sample	Univ. of Zürich, Switzerland	P-MEXP-24462	P-MEXP-24641	SAMPLE188033SUB2491	P-MEXP-24642	P-MEXP-24640	E_SAMPLE188033SUB2491	total_RNA	P-AFFY-2	L_SAMPLE188033SUB2491	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE188033SUB2491	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_SAMPLE188033SUB2491	rol1-2_C.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-722/E-MEXP-722.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-722-processed-data-1343525445.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-722/E-MEXP-722.processed.1.zip	lrx1 rol1-2
SAMPLE188031SUB2491	7	day	lrx1 rol1-2	gene knockout	EFO	EFO_0000506	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette growth stage	Columbia	frozen sample	Univ. of Zürich, Switzerland	P-MEXP-24462	P-MEXP-24641	SAMPLE188031SUB2491	P-MEXP-24642	P-MEXP-24640	E_SAMPLE188031SUB2491	total_RNA	P-AFFY-2	L_SAMPLE188031SUB2491	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE188031SUB2491	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_SAMPLE188031SUB2491	rol1-2_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-722/E-MEXP-722.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-722-processed-data-1343525445.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-722/E-MEXP-722.processed.1.zip	lrx1 rol1-2
SAMPLE188032SUB2491	7	day	lrx1 rol1-2	gene knockout	EFO	EFO_0000506	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette growth stage	Columbia	frozen sample	Univ. of Zürich, Switzerland	P-MEXP-24462	P-MEXP-24641	SAMPLE188032SUB2491	P-MEXP-24642	P-MEXP-24640	E_SAMPLE188032SUB2491	total_RNA	P-AFFY-2	L_SAMPLE188032SUB2491	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE188032SUB2491	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_SAMPLE188032SUB2491	rol1-2_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-722/E-MEXP-722.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-722-processed-data-1343525445.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-722/E-MEXP-722.processed.1.zip	lrx1 rol1-2
SAMPLE188022SUB2491	7	day	wild type	gene knockout	  	  	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette growth stage	Columbia	frozen sample	Univ. of Zürich, Switzerland	P-MEXP-24462	P-MEXP-24641	SAMPLE188022SUB2491	P-MEXP-24642	P-MEXP-24640	E_SAMPLE188022SUB2491	total_RNA	P-AFFY-2	L_SAMPLE188022SUB2491	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE188022SUB2491	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_SAMPLE188022SUB2491	col_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-722/E-MEXP-722.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-722-processed-data-1343525445.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-722/E-MEXP-722.processed.1.zip	wild type
