Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[developmental stage]	Characteristics[age]	Unit[time unit]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue[growth condition]
GSM615840 1	Gene expression data from 10day old Ws seedlings grown in contiuous light in 0.5X MS + sucrose.	"untreated, wild-type seedlings"	Arabidopsis thaliana	Wassilewskija	wild type	seedling	10	day	P-GSE25067-2	P-GSE25067-3	P-GSE25067-4	GSM615840 extract 1	total RNA	P-GSE25067-5	GSM615840 LE 1	biotin	P-GSE25067-6	GSM615840	A-AFFY-2	P-GSE25067-7	P-GSE25067-8	GSM615840.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25067/E-GEOD-25067.raw.1.zip	P-GSE25067-1	GSM615840_sample_table.txt norm	GSM615840_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25067/E-GEOD-25067.processed.1.zip	wild type	none
GSM615839 1	Gene expression data from 10day old Ws seedlings grown in contiuous light in 0.5X MS + sucrose.	"untreated, wild-type seedlings"	Arabidopsis thaliana	Wassilewskija	wild type	seedling	10	day	P-GSE25067-2	P-GSE25067-3	P-GSE25067-4	GSM615839 extract 1	total RNA	P-GSE25067-5	GSM615839 LE 1	biotin	P-GSE25067-6	GSM615839	A-AFFY-2	P-GSE25067-7	P-GSE25067-8	GSM615839.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25067/E-GEOD-25067.raw.1.zip	P-GSE25067-1	GSM615839_sample_table.txt norm	GSM615839_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25067/E-GEOD-25067.processed.1.zip	wild type	none
GSM615838 1	Gene expression data from 10day old Ws seedlings grown in contiuous light in 0.5X MS + sucrose.	"untreated, wild-type seedlings"	Arabidopsis thaliana	Wassilewskija	wild type	seedling	10	day	P-GSE25067-2	P-GSE25067-3	P-GSE25067-4	GSM615838 extract 1	total RNA	P-GSE25067-5	GSM615838 LE 1	biotin	P-GSE25067-6	GSM615838	A-AFFY-2	P-GSE25067-7	P-GSE25067-8	GSM615838.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25067/E-GEOD-25067.raw.1.zip	P-GSE25067-1	GSM615838_sample_table.txt norm	GSM615838_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25067/E-GEOD-25067.processed.1.zip	wild type	none
GSM615837 1	Gene expression data from 10day old seedlings treated with TSA	seedlings + 2.5 mg/L trichostatin A	Arabidopsis thaliana	Wassilewskija	wild type	seedling	10	day	P-GSE25067-2	P-GSE25067-3	P-GSE25067-4	GSM615837 extract 1	total RNA	P-GSE25067-5	GSM615837 LE 1	biotin	P-GSE25067-6	GSM615837	A-AFFY-2	P-GSE25067-7	P-GSE25067-8	GSM615837.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25067/E-GEOD-25067.raw.1.zip	P-GSE25067-1	GSM615837_sample_table.txt norm	GSM615837_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25067/E-GEOD-25067.processed.1.zip	wild type	trichostatin A 2.5 milligram per liter
GSM615836 1	Gene expression data from 10day old seedlings treated with TSA	seedlings + 2.5 mg/L trichostatin A	Arabidopsis thaliana	Wassilewskija	wild type	seedling	10	day	P-GSE25067-2	P-GSE25067-3	P-GSE25067-4	GSM615836 extract 1	total RNA	P-GSE25067-5	GSM615836 LE 1	biotin	P-GSE25067-6	GSM615836	A-AFFY-2	P-GSE25067-7	P-GSE25067-8	GSM615836.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25067/E-GEOD-25067.raw.1.zip	P-GSE25067-1	GSM615836_sample_table.txt norm	GSM615836_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25067/E-GEOD-25067.processed.1.zip	wild type	trichostatin A 2.5 milligram per liter
GSM615835 1	Gene expression data from 10day old seedlings treated with TSA	seedlings + 2.5 mg/L trichostatin A	Arabidopsis thaliana	Wassilewskija	wild type	seedling	10	day	P-GSE25067-2	P-GSE25067-3	P-GSE25067-4	GSM615835 extract 1	total RNA	P-GSE25067-5	GSM615835 LE 1	biotin	P-GSE25067-6	GSM615835	A-AFFY-2	P-GSE25067-7	P-GSE25067-8	GSM615835.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25067/E-GEOD-25067.raw.1.zip	P-GSE25067-1	GSM615835_sample_table.txt norm	GSM615835_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25067/E-GEOD-25067.processed.1.zip	wild type	trichostatin A 2.5 milligram per liter
GSM615834 1	Gene expression data from 10day old ddm1 mutant seedlings	ddm1 mutant seedlings	Arabidopsis thaliana	Wassilewskija	ddm1 mutant	seedling	10	day	P-GSE25067-2	P-GSE25067-3	P-GSE25067-4	GSM615834 extract 1	total RNA	P-GSE25067-5	GSM615834 LE 1	biotin	P-GSE25067-6	GSM615834	A-AFFY-2	P-GSE25067-7	P-GSE25067-8	GSM615834.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25067/E-GEOD-25067.raw.1.zip	P-GSE25067-1	GSM615834_sample_table.txt norm	GSM615834_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25067/E-GEOD-25067.processed.1.zip	ddm1 mutant	none
GSM615833 1	Gene expression data from 10day old ddm1 mutant seedlings	ddm1 mutant seedlings	Arabidopsis thaliana	Wassilewskija	ddm1 mutant	seedling	10	day	P-GSE25067-2	P-GSE25067-3	P-GSE25067-4	GSM615833 extract 1	total RNA	P-GSE25067-5	GSM615833 LE 1	biotin	P-GSE25067-6	GSM615833	A-AFFY-2	P-GSE25067-7	P-GSE25067-8	GSM615833.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25067/E-GEOD-25067.raw.1.zip	P-GSE25067-1	GSM615833_sample_table.txt norm	GSM615833_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25067/E-GEOD-25067.processed.1.zip	ddm1 mutant	none
GSM615832 1	Gene expression data from 10day old ddm1 mutant seedlings	ddm1 mutant seedlings	Arabidopsis thaliana	Wassilewskija	ddm1 mutant	seedling	10	day	P-GSE25067-2	P-GSE25067-3	P-GSE25067-4	GSM615832 extract 1	total RNA	P-GSE25067-5	GSM615832 LE 1	biotin	P-GSE25067-6	GSM615832	A-AFFY-2	P-GSE25067-7	P-GSE25067-8	GSM615832.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25067/E-GEOD-25067.raw.1.zip	P-GSE25067-1	GSM615832_sample_table.txt norm	GSM615832_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25067/E-GEOD-25067.processed.1.zip	ddm1 mutant	none
GSM615831 1	Gene expression data from 10day old seedlings treated with 5-AC	seedlings + 20mg/L 5-aza-2-deoxycytidine	Arabidopsis thaliana	Wassilewskija	wild type	seedling	10	day	P-GSE25067-2	P-GSE25067-3	P-GSE25067-4	GSM615831 extract 1	total RNA	P-GSE25067-5	GSM615831 LE 1	biotin	P-GSE25067-6	GSM615831	A-AFFY-2	P-GSE25067-7	P-GSE25067-8	GSM615831.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25067/E-GEOD-25067.raw.1.zip	P-GSE25067-1	GSM615831_sample_table.txt norm	GSM615831_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-25067/E-GEOD-25067.processed.1.zip	wild type	5-aza-2-deoxycytidine 20 milligram per liter
