Source Name	Characteristics [age]	Unit [time unit]	Characteristics [initial time point]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Factor Value [growth condition]	Factor Value [time]	Unit [time unit]	Factor Value [genotype]
JHS-TkoL3	3.5	week	planting	hsfa1dhsfa2hsfa3 knockout mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17197	JHS-TkoL3	polyA_RNA	P-AFFY-2	JHS-TkoL3	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	JHS-TkoL3	A-AFFY-2	P-AFFY-6	JHS-TkoL3.CEL	JHS-TkoL3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-392/E-MTAB-392.raw.1.zip	low light	0	hour	hsfa1dhsfa2hsfa3 mutant
JHS-TkoL1	3.5	week	planting	hsfa1dhsfa2hsfa3 knockout mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17197	JHS-TkoL1	polyA_RNA	P-AFFY-2	JHS-TkoL1	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	JHS-TkoL1	A-AFFY-2	P-AFFY-6	JHS-TkoL1.CEL	JHS-TkoL1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-392/E-MTAB-392.raw.1.zip	low light	0	hour	hsfa1dhsfa2hsfa3 mutant
JHS-TkoL2	3.5	week	planting	hsfa1dhsfa2hsfa3 knockout mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17197	JHS-TkoL2	polyA_RNA	P-AFFY-2	JHS-TkoL2	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	JHS-TkoL2	A-AFFY-2	P-AFFY-6	JHS-TkoL2.CEL	JHS-TkoL2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-392/E-MTAB-392.raw.1.zip	low light	0	hour	hsfa1dhsfa2hsfa3 mutant
JHS-Tko30m2	3.5	week	planting	hsfa1dhsfa2hsfa3 knockout mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17197	JHS-Tko30m2	polyA_RNA	P-AFFY-2	JHS-Tko30m2	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	JHS-Tko30m2	A-AFFY-2	P-AFFY-6	JHS-Tko30m2.CEL	JHS-Tko30m2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-392/E-MTAB-392.raw.1.zip	excess light	0.5	hour	hsfa1dhsfa2hsfa3 mutant
JHS-Tko30m3	3.5	week	planting	hsfa1dhsfa2hsfa3 knockout mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17197	JHS-Tko30m3	polyA_RNA	P-AFFY-2	JHS-Tko30m3	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	JHS-Tko30m3	A-AFFY-2	P-AFFY-6	JHS-Tko30m3.CEL	JHS-Tko30m3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-392/E-MTAB-392.raw.1.zip	excess light	0.5	hour	hsfa1dhsfa2hsfa3 mutant
JHS-Tko30m1	3.5	week	planting	hsfa1dhsfa2hsfa3 knockout mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17197	JHS-Tko30m1	polyA_RNA	P-AFFY-2	JHS-Tko30m1	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	JHS-Tko30m1	A-AFFY-2	P-AFFY-6	JHS-Tko30m1.CEL	JHS-Tko30m1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-392/E-MTAB-392.raw.1.zip	excess light	0.5	hour	hsfa1dhsfa2hsfa3 mutant
JHS-Tko2h1	3.5	week	planting	hsfa1dhsfa2hsfa3 knockout mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17197	JHS-Tko2h1	polyA_RNA	P-AFFY-2	JHS-Tko2h1	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	JHS-Tko2h1	A-AFFY-2	P-AFFY-6	JHS-Tko2h1.CEL	JHS-Tko2h1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-392/E-MTAB-392.raw.1.zip	excess light	2	hour	hsfa1dhsfa2hsfa3 mutant
JHS-Tko2h2	3.5	week	planting	hsfa1dhsfa2hsfa3 knockout mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17197	JHS-Tko2h2	polyA_RNA	P-AFFY-2	JHS-Tko2h2	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	JHS-Tko2h2	A-AFFY-2	P-AFFY-6	JHS-Tko2h2.CEL	JHS-Tko2h2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-392/E-MTAB-392.raw.1.zip	excess light	2	hour	hsfa1dhsfa2hsfa3 mutant
JHS-Tko2h3	3.5	week	planting	hsfa1dhsfa2hsfa3 knockout mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17197	JHS-Tko2h3	polyA_RNA	P-AFFY-2	JHS-Tko2h3	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	JHS-Tko2h3	A-AFFY-2	P-AFFY-6	JHS-Tko2h3.CEL	JHS-Tko2h3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-392/E-MTAB-392.raw.1.zip	excess light	2	hour	hsfa1dhsfa2hsfa3 mutant
JHS-HacL3	3.5	week	planting	tnr4 mutant	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-17197	JHS-HacL3	polyA_RNA	P-AFFY-2	JHS-HacL3	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	JHS-HacL3	A-AFFY-2	P-AFFY-6	JHS-HacL3.CEL	JHS-HacL3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-392/E-MTAB-392.raw.1.zip	low light	0	hour	tnr4 mutant
