Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Characteristics [Ecotype]	Characteristics [BioSourceType]	Protocol REF	Protocol REF	Parameter Value [media]	Parameter Value [max temperature]	Parameter Value [min temperature]	Parameter Value [stop time]	Parameter Value [start time]	Sample Name	Protocol REF	Protocol REF	Parameter Value [Extracted product]	Parameter Value [Amplification]	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [time]	Unit [TimeUnit]	Factor Value [strain]	Factor Value [temperature]	Unit [TemperatureUnit]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
CHIP_291_B	44	days	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Landsberg erecta	frozen_sample	P-MEXP-24904	P-MEXP-24903	Soil	25	16	44	35	CHIP_291_B	P-MEXP-24905	P-MEXP-24906	total RNA	none	E_CHIP_291_B	total_RNA	P-AFFY-2	L_CHIP_291_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_291_B	A-AFFY-2	P-AFFY-6	9	d	Landsberg erecta	16	degree_C	H_CHIP_291_B	CHIP_291_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-728-processed-data-1343525470.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.processed.1.zip
CHIP_266_B	44	days	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Columbia-0	frozen_sample	P-MEXP-24904	P-MEXP-24903	Soil	25	16	44	35	CHIP_266_B	P-MEXP-24905	P-MEXP-24906	total RNA	none	E_CHIP_266_B	total_RNA	P-AFFY-2	L_CHIP_266_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_266_B	A-AFFY-2	P-AFFY-6	9	d	Columbia-0	16	degree_C	H_CHIP_266_B	CHIP_266_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-728-processed-data-1343525470.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.processed.1.zip
CHIP_289_B	37	days	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Landsberg erecta	frozen_sample	P-MEXP-24904	P-MEXP-24903	Soil	25	16	44	35	CHIP_289_B	P-MEXP-24905	P-MEXP-24906	total RNA	none	E_CHIP_289_B	total_RNA	P-AFFY-2	L_CHIP_289_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_289_B	A-AFFY-2	P-AFFY-6	2	d	Landsberg erecta	16	degree_C	H_CHIP_289_B	CHIP_289_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-728-processed-data-1343525470.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.processed.1.zip
CHIP_263_B	35	days	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Columbia-0	frozen_sample	P-MEXP-24904	P-MEXP-24903	Soil	25	16	44	35	CHIP_263_B	P-MEXP-24905	P-MEXP-24906	total RNA	none	E_CHIP_263_B	total_RNA	P-AFFY-2	L_CHIP_263_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_263_B	A-AFFY-2	P-AFFY-6	0	d	Columbia-0	16	degree_C	H_CHIP_263_B	CHIP_263_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-728-processed-data-1343525470.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.processed.1.zip
CHIP_290_B	40	days	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Landsberg erecta	frozen_sample	P-MEXP-24904	P-MEXP-24903	Soil	25	16	44	35	CHIP_290_B	P-MEXP-24905	P-MEXP-24906	total RNA	none	E_CHIP_290_B	total_RNA	P-AFFY-2	L_CHIP_290_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_290_B	A-AFFY-2	P-AFFY-6	5	d	Landsberg erecta	16	degree_C	H_CHIP_290_B	CHIP_290_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-728-processed-data-1343525470.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.processed.1.zip
CHIP_293_A	40	days	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Landsberg erecta	frozen_sample	P-MEXP-24904	P-MEXP-24903	Soil	25	16	44	35	CHIP_293_A	P-MEXP-24905	P-MEXP-24906	total RNA	none	E_CHIP_293_A	total_RNA	P-AFFY-2	L_CHIP_293_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_293_A	A-AFFY-2	P-AFFY-6	5	d	Landsberg erecta	25	degree_C	H_CHIP_293_A	CHIP_293_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-728-processed-data-1343525470.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.processed.1.zip
CHIP_269_B	44	days	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Columbia-0	frozen_sample	P-MEXP-24904	P-MEXP-24903	Soil	25	16	44	35	CHIP_269_B	P-MEXP-24905	P-MEXP-24906	total RNA	none	E_CHIP_269_B	total_RNA	P-AFFY-2	L_CHIP_269_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_269_B	A-AFFY-2	P-AFFY-6	9	d	Columbia-0	25	degree_C	H_CHIP_269_B	CHIP_269_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-728-processed-data-1343525470.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.processed.1.zip
CHIP_290_A	40	days	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Landsberg erecta	frozen_sample	P-MEXP-24904	P-MEXP-24903	Soil	25	16	44	35	CHIP_290_A	P-MEXP-24905	P-MEXP-24906	total RNA	none	E_CHIP_290_A	total_RNA	P-AFFY-2	L_CHIP_290_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_290_A	A-AFFY-2	P-AFFY-6	5	d	Landsberg erecta	16	degree_C	H_CHIP_290_A	CHIP_290_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-728-processed-data-1343525470.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.processed.1.zip
CHIP_266_A	44	days	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Columbia-0	frozen_sample	P-MEXP-24904	P-MEXP-24903	Soil	25	16	44	35	CHIP_266_A	P-MEXP-24905	P-MEXP-24906	total RNA	none	E_CHIP_266_A	total_RNA	P-AFFY-2	L_CHIP_266_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_266_A	A-AFFY-2	P-AFFY-6	9	d	Columbia-0	16	degree_C	H_CHIP_266_A	CHIP_266_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-728-processed-data-1343525470.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.processed.1.zip
CHIP_289_A	37	days	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot apex	EFO	EFO_0001947	Landsberg erecta	frozen_sample	P-MEXP-24904	P-MEXP-24903	Soil	25	16	44	35	CHIP_289_A	P-MEXP-24905	P-MEXP-24906	total RNA	none	E_CHIP_289_A	total_RNA	P-AFFY-2	L_CHIP_289_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_289_A	A-AFFY-2	P-AFFY-6	2	d	Landsberg erecta	16	degree_C	H_CHIP_289_A	CHIP_289_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-728-processed-data-1343525470.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-728/E-MEXP-728.processed.1.zip
