Source Name	Characteristics [Age]	Unit[TimeUnit]	Characteristics [Ecotype]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Characteristics [StrainOrLine]	Term Source REF	Term Accession Number	Comment[Treatment]	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Term Source REF	Term Accession Number	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	FactorValue[ECOTYPE]	Factor Value [TIME]	Unit [TimeUnit]
CS57923 2	6	weeks	Bay-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57923	EFO	EFO_0000165	100 uM jasmonic acid	P-TABM-2853	CS57923 2	P-TABM-103	CS57923 2	total_RNA	P-TABM-2852	CS57923 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	698b	A-AFFY-2	P-AFFY-6	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:18292	698b	698b.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-519/E-TABM-519.raw.1.zip	Bay-0	4	hours
CS57923 1	6	weeks	Bay-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57923	EFO	EFO_0000165	100 uM jasmonic acid	P-TABM-2853	CS57923 1	P-TABM-103	CS57923 1	total_RNA	P-TABM-2852	CS57923 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	718	A-AFFY-2	P-AFFY-6	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:18292	718	718.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-519/E-TABM-519.raw.1.zip	Bay-0	28	hours
CS57923 1	6	weeks	Bay-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57923	EFO	EFO_0000165	100 uM jasmonic acid	P-TABM-2853	CS57923 1	P-TABM-103	CS57923 1	total_RNA	P-TABM-2852	CS57923 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	693	A-AFFY-2	P-AFFY-6	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:18292	693	693.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-519/E-TABM-519.raw.1.zip	Bay-0	4	hours
CS57924 1	6	weeks	Sha	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57924	EFO	EFO_0000166	100 uM jasmonic acid	P-TABM-2853	CS57924 1	P-TABM-103	CS57924 1	total_RNA	P-TABM-2852	CS57924 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	717	A-AFFY-2	P-AFFY-6	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:18292	717	717.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-519/E-TABM-519.raw.1.zip	Sha	28	hours
CS57924 2	6	weeks	Sha	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57924	EFO	EFO_0000166	100 uM jasmonic acid	P-TABM-2853	CS57924 2	P-TABM-103	CS57924 2	total_RNA	P-TABM-2852	CS57924 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	697	A-AFFY-2	P-AFFY-6	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:18292	697	697.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-519/E-TABM-519.raw.1.zip	Sha	4	hours
CS57924 2	6	weeks	Sha	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57924	EFO	EFO_0000166	100 uM jasmonic acid	P-TABM-2853	CS57924 2	P-TABM-103	CS57924 2	total_RNA	P-TABM-2852	CS57924 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	747	A-AFFY-2	P-AFFY-6	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:18292	747	747.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-519/E-TABM-519.raw.1.zip	Sha	52	hours
CS57924 1	6	weeks	Sha	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57924	EFO	EFO_0000166	100 uM jasmonic acid	P-TABM-2853	CS57924 1	P-TABM-103	CS57924 1	total_RNA	P-TABM-2852	CS57924 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	692	A-AFFY-2	P-AFFY-6	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:18292	692	692.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-519/E-TABM-519.raw.1.zip	Sha	4	hours
CS57924 2	6	weeks	Sha	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57924	EFO	EFO_0000166	100 uM jasmonic acid	P-TABM-2853	CS57924 2	P-TABM-103	CS57924 2	total_RNA	P-TABM-2852	CS57924 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	722	A-AFFY-2	P-AFFY-6	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:18292	722	722.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-519/E-TABM-519.raw.1.zip	Sha	28	hours
CS57923 2	6	weeks	Bay-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57923	EFO	EFO_0000165	100 uM jasmonic acid	P-TABM-2853	CS57923 2	P-TABM-103	CS57923 2	total_RNA	P-TABM-2852	CS57923 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	723	A-AFFY-2	P-AFFY-6	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:18292	723	723.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-519/E-TABM-519.raw.1.zip	Bay-0	28	hours
CS57924 1	6	weeks	Sha	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57924	EFO	EFO_0000166	100 uM jasmonic acid	P-TABM-2853	CS57924 1	P-TABM-103	CS57924 1	total_RNA	P-TABM-2852	CS57924 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	742	A-AFFY-2	P-AFFY-6	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:18292	742	742.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-519/E-TABM-519.raw.1.zip	Sha	52	hours
