Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Ecotype]	Characteristics[OrganismPart]	Description	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[INOCULATION]	FactorValue[DOSE]	Unit[ConcentrationUnit]
GSE5520GSM128649	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-5	leaf	Col-5:  stratification: Stratified 3 days at 4degC growth protocol: Arabidopsis thaliana accession Col-0 plants were grown in soil in growth chambers with a day/night cycle of 12 h/12 h, a light intensity of 100 ÂµE, and a constant temperature of 20Â°C. Four- to 5-week-old plants were used for experiments. Location: Growth chamber Growth  substrate: Commercial soil Watering: flats were watered every 2-3 days. Stock Code: N1644; Tissue: Leaves	P-G5520-1	GSE5520GSM128649 sample	GSE5520GSM128649 extract	total_RNA	GSE5520GSM128649 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Underwood_1-2_Cor-10e6-24h_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Underwood_1-2_Cor-10e6-24h_Rep2_ATH1	GSM128649.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.raw.1.zip	E-GEOD-5520-processed-data-1628427237.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.processed.1.zip	Pseudomonas syringae pv. tomato DC3118 Coronatine negative	1x10^-6	cfu/ml
GSE5520GSM128650	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-5	leaf	Col-5:  stratification: Stratified 3 days at 4degC growth protocol: Arabidopsis thaliana accession Col-0 plants were grown in soil in growth chambers with a day/night cycle of 12 h/12 h, a light intensity of 100 ÂµE, and a constant temperature of 20Â°C. Four- to 5-week-old plants were used for experiments. Location: Growth chamber Growth  substrate: Commercial soil Watering: flats were watered every 2-3 days. Stock Code: N1644; Tissue: Leaves	P-G5520-1	GSE5520GSM128650 sample	GSE5520GSM128650 extract	total_RNA	GSE5520GSM128650 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Underwood_1-3_Cor-10e6-24h_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Underwood_1-3_Cor-10e6-24h_Rep3_ATH1	GSM128650.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.raw.1.zip	E-GEOD-5520-processed-data-1628427237.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.processed.1.zip	Pseudomonas syringae pv. tomato DC3118 Coronatine negative	1x10^-6	cfu/ml
GSE5520GSM128648	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-5	leaf	Col-5:  stratification: Stratified 3 days at 4degC growth protocol: Arabidopsis thaliana accession Col-0 plants were grown in soil in growth chambers with a day/night cycle of 12 h/12 h, a light intensity of 100 ÂµE, and a constant temperature of 20Â°C. Four- to 5-week-old plants were used for experiments. Location: Growth chamber Growth  substrate: Commercial soil Watering: flats were watered every 2-3 days. Stock Code: N1644; Tissue: Leaves	P-G5520-1	GSE5520GSM128648 sample	GSE5520GSM128648 extract	total_RNA	GSE5520GSM128648 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Underwood_1-1_Cor-10e6-24h_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Underwood_1-1_Cor-10e6-24h_Rep1_ATH1	GSM128648.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.raw.1.zip	E-GEOD-5520-processed-data-1628427237.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.processed.1.zip	Pseudomonas syringae pv. tomato DC3118 Coronatine negative	1x10^-6	cfu/ml
GSE5520GSM128653	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-5	leaf	Col-5:  stratification: Stratified 3 days at 4degC growth protocol: Arabidopsis thaliana accession Col-0 plants were grown in soil in growth chambers with a day/night cycle of 12 h/12 h, a light intensity of 100 ÂµE, and a constant temperature of 20Â°C. Four- to 5-week-old plants were used for experiments. Location: Growth chamber Growth  substrate: Commercial soil Watering: flats were watered every 2-3 days. Stock Code: N1644; Tissue: Leaves	P-G5520-2	GSE5520GSM128653 sample	GSE5520GSM128653 extract	total_RNA	GSE5520GSM128653 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Underwood_1-6_Cor-hrpS-10e6-24h_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Underwood_1-6_Cor-hrpS-10e6-24h_Rep3_ATH1	GSM128653.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.raw.1.zip	E-GEOD-5520-processed-data-1628427237.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.processed.1.zip	Pseudomonas syringae pv. tomato DC3118 COR-hrpS double mutant	1x10^-6	cfu/ml
GSE5520GSM128651	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-5	leaf	Col-5:  stratification: Stratified 3 days at 4degC growth protocol: Arabidopsis thaliana accession Col-0 plants were grown in soil in growth chambers with a day/night cycle of 12 h/12 h, a light intensity of 100 ÂµE, and a constant temperature of 20Â°C. Four- to 5-week-old plants were used for experiments. Location: Growth chamber Growth  substrate: Commercial soil Watering: flats were watered every 2-3 days. Stock Code: N1644; Tissue: Leaves	P-G5520-2	GSE5520GSM128651 sample	GSE5520GSM128651 extract	total_RNA	GSE5520GSM128651 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Underwood_1-4_Cor-hrpS-10e6-24h_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Underwood_1-4_Cor-hrpS-10e6-24h_Rep1_ATH1	GSM128651.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.raw.1.zip	E-GEOD-5520-processed-data-1628427237.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.processed.1.zip	Pseudomonas syringae pv. tomato DC3118 COR-hrpS double mutant	1x10^-6	cfu/ml
GSE5520GSM128652	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-5	leaf	Col-5:  stratification: Stratified 3 days at 4degC growth protocol: Arabidopsis thaliana accession Col-0 plants were grown in soil in growth chambers with a day/night cycle of 12 h/12 h, a light intensity of 100 ÂµE, and a constant temperature of 20Â°C. Four- to 5-week-old plants were used for experiments. Location: Growth chamber Growth  substrate: Commercial soil Watering: flats were watered every 2-3 days. Stock Code: N1644; Tissue: Leaves	P-G5520-2	GSE5520GSM128652 sample	GSE5520GSM128652 extract	total_RNA	GSE5520GSM128652 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Underwood_1-5_Cor-hrpS-10e6-24h_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Underwood_1-5_Cor-hrpS-10e6-24h_Rep2_ATH1	GSM128652.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.raw.1.zip	E-GEOD-5520-processed-data-1628427237.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.processed.1.zip	Pseudomonas syringae pv. tomato DC3118 COR-hrpS double mutant	1x10^-6	cfu/ml
GSE5520GSM128654	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-5	leaf	Col-5:  stratification: Stratified 3 days at 4degC growth protocol: Arabidopsis thaliana accession Col-0 plants were grown in soil in growth chambers with a day/night cycle of 12 h/12 h, a light intensity of 100 ÂµE, and a constant temperature of 20Â°C. Four- to 5-week-old plants were used for experiments. Location: Growth chamber Growth  substrate: Commercial soil Watering: flats were watered every 2-3 days. Stock Code: N1644; Tissue: Leaves	P-G5520-3	GSE5520GSM128654 sample	GSE5520GSM128654 extract	total_RNA	GSE5520GSM128654 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Underwood_1-7_DC3000-10e6-24h_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Underwood_1-7_DC3000-10e6-24h_Rep1_ATH1	GSM128654.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.raw.1.zip	E-GEOD-5520-processed-data-1628427237.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.processed.1.zip	Pseudomonas syringae pv. tomato DC3000	1x10^-6	cfu/ml
GSE5520GSM128656	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-5	leaf	Col-5:  stratification: Stratified 3 days at 4degC growth protocol: Arabidopsis thaliana accession Col-0 plants were grown in soil in growth chambers with a day/night cycle of 12 h/12 h, a light intensity of 100 ÂµE, and a constant temperature of 20Â°C. Four- to 5-week-old plants were used for experiments. Location: Growth chamber Growth  substrate: Commercial soil Watering: flats were watered every 2-3 days. Stock Code: N1644; Tissue: Leaves	P-G5520-3	GSE5520GSM128656 sample	GSE5520GSM128656 extract	total_RNA	GSE5520GSM128656 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Underwood_1-9_DC3000-10e6-24h_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Underwood_1-9_DC3000-10e6-24h_Rep3_ATH1	GSM128656.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.raw.1.zip	E-GEOD-5520-processed-data-1628427237.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.processed.1.zip	Pseudomonas syringae pv. tomato DC3000	1x10^-6	cfu/ml
GSE5520GSM128655	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-5	leaf	Col-5:  stratification: Stratified 3 days at 4degC growth protocol: Arabidopsis thaliana accession Col-0 plants were grown in soil in growth chambers with a day/night cycle of 12 h/12 h, a light intensity of 100 ÂµE, and a constant temperature of 20Â°C. Four- to 5-week-old plants were used for experiments. Location: Growth chamber Growth  substrate: Commercial soil Watering: flats were watered every 2-3 days. Stock Code: N1644; Tissue: Leaves	P-G5520-3	GSE5520GSM128655 sample	GSE5520GSM128655 extract	total_RNA	GSE5520GSM128655 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Underwood_1-8_DC3000-10e6-24h_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Underwood_1-8_DC3000-10e6-24h_Rep2_ATH1	GSM128655.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.raw.1.zip	E-GEOD-5520-processed-data-1628427237.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.processed.1.zip	Pseudomonas syringae pv. tomato DC3000	1x10^-6	cfu/ml
GSE5520GSM128659	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-5	leaf	Col-5:  stratification: Stratified 3 days at 4degC growth protocol: Arabidopsis thaliana accession Col-0 plants were grown in soil in growth chambers with a day/night cycle of 12 h/12 h, a light intensity of 100 ÂµE, and a constant temperature of 20Â°C. Four- to 5-week-old plants were used for experiments. Location: Growth chamber Growth  substrate: Commercial soil Watering: flats were watered every 2-3 days. Stock Code: N1644; Tissue: Leaves	P-G5520-4	GSE5520GSM128659 sample	GSE5520GSM128659 extract	total_RNA	GSE5520GSM128659 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Underwood_1-12_Mock-Inoculum-24h_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Underwood_1-12_Mock-Inoculum-24h_Rep3_ATH1	GSM128659.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.raw.1.zip	E-GEOD-5520-processed-data-1628427237.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5520/E-GEOD-5520.processed.1.zip	water	n/a	cfu/ml
