Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Characteristics [InitialTimePoint]	Characteristics [Genotype]	Characteristics [BioSourceType]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Characteristics [StrainOrLine]	Term Source REF	Term Accession Number	Characteristics [Ecotype]	Provider	Protocol REF	Protocol REF	Parameter Value [media]	Parameter Value [stop time]	Sample Name	Protocol REF	Parameter Value [Amplification]	Parameter Value [Extracted product]	Extract Name	Material Type	Protocol REF	Parameter Value [Amplification]	Parameter Value [Label used]	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [compound]	Factor Value [genotype]	Factor Value [time]	Unit [TimeUnit]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
elf18 fls2 30 min	14	days	planting	fls2-17	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	  	  	  	  	Nottingham Arabidopsis Stock Centre (NASC)	P-MEXP-16934	P-MEXP-16928	MS-Media	60	elf18 fls2 30 min	P-MEXP-16931	none	total RNA	E_elf18 fls2 30 min	total_RNA	P-MEXP-16935	none	biotin	L_elf18 fls2 30 min	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_elf18 fls2 30 min	A-AFFY-2	P-AFFY-6	EF-Tu (elf18)	fls2-17	30	m	H_elf18 fls2 30 min	tb13012004ath1_15_03_219-30A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-547/E-MEXP-547.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-547-processed-data-1343524508.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-547/E-MEXP-547.processed.1.zip
elf26 wt 0 min	14	days	planting	wild_type	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	CS8581	EFO	EFO_0000167	Landsberg erecta	Nottingham Arabidopsis Stock Centre (NASC)	P-MEXP-16934	P-MEXP-16928	MS-Media	60	elf26 wt 0 min	P-MEXP-16931	none	total RNA	E_elf26 wt 0 min	total_RNA	P-MEXP-16935	none	biotin	L_elf26 wt 0 min	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_elf26 wt 0 min	A-AFFY-2	P-AFFY-6	EF-Tu (elf26)	wild_type	0	m	H_elf26 wt 0 min	tb25032003ath1_01-1-0min.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-547/E-MEXP-547.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-547-processed-data-1343524508.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-547/E-MEXP-547.processed.1.zip
elf26 wt 60 min	14	days	planting	wild_type	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	CS8581	EFO	EFO_0000167	Landsberg erecta	Nottingham Arabidopsis Stock Centre (NASC)	P-MEXP-16934	P-MEXP-16928	MS-Media	60	elf26 wt 60 min	P-MEXP-16931	none	total RNA	E_elf26 wt 60 min	total_RNA	P-MEXP-16935	none	biotin	L_elf26 wt 60 min	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_elf26 wt 60 min	A-AFFY-2	P-AFFY-6	EF-Tu (elf26)	wild_type	60	m	H_elf26 wt 60 min	tb25032003ath1_03-1-60min.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-547/E-MEXP-547.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-547-processed-data-1343524508.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-547/E-MEXP-547.processed.1.zip
elf18 fls2 30 min 2	14	days	planting	fls2-17	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	  	  	  	  	Nottingham Arabidopsis Stock Centre (NASC)	P-MEXP-16934	P-MEXP-16928	MS-Media	60	elf18 fls2 30 min 2	P-MEXP-16931	none	total RNA	E_elf18 fls2 30 min 2	total_RNA	P-MEXP-16935	none	biotin	L_elf18 fls2 30 min 2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_elf18 fls2 30 min 2	A-AFFY-2	P-AFFY-6	EF-Tu (elf18)	fls2-17	30	m	H_elf18 fls2 30 min 2	tb13012004ath1_16_04_219-30B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-547/E-MEXP-547.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-547-processed-data-1343524508.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-547/E-MEXP-547.processed.1.zip
elf18 fls2 0 min	14	days	planting	fls2-17	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	  	  	  	  	Nottingham Arabidopsis Stock Centre (NASC)	P-MEXP-16934	P-MEXP-16928	MS-Media	60	elf18 fls2 0 min	P-MEXP-16931	none	total RNA	E_elf18 fls2 0 min	total_RNA	P-MEXP-16935	none	biotin	L_elf18 fls2 0 min	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_elf18 fls2 0 min	A-AFFY-2	P-AFFY-6	EF-Tu (elf18)	fls2-17	0	m	H_elf18 fls2 0 min	tb13012004ath1_13_01_219-0A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-547/E-MEXP-547.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-547-processed-data-1343524508.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-547/E-MEXP-547.processed.1.zip
elf12 fls2 30 min	14	days	planting	fls2-17	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	  	  	  	  	Nottingham Arabidopsis Stock Centre (NASC)	P-MEXP-16934	P-MEXP-16928	MS-Media	60	elf12 fls2 30 min	P-MEXP-16931	none	total RNA	E_elf12 fls2 30 min	total_RNA	P-MEXP-16935	none	biotin	L_elf12 fls2 30 min	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_elf12 fls2 30 min	A-AFFY-2	P-AFFY-6	EF-Tu (elf12)	fls2-17	30	m	H_elf12 fls2 30 min	tb13012004ath1_19_07_213-30A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-547/E-MEXP-547.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-547-processed-data-1343524508.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-547/E-MEXP-547.processed.1.zip
elf26 wt 30 min 2	14	days	planting	wild_type	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	CS8581	EFO	EFO_0000167	Landsberg erecta	Nottingham Arabidopsis Stock Centre (NASC)	P-MEXP-16934	P-MEXP-16928	MS-Media	60	elf26 wt 30 min 2	P-MEXP-16931	none	total RNA	E_elf26 wt 30 min 2	total_RNA	P-MEXP-16935	none	biotin	L_elf26 wt 30 min 2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_elf26 wt 30 min 2	A-AFFY-2	P-AFFY-6	EF-Tu (elf26)	wild_type	30	m	H_elf26 wt 30 min 2	tb25032003ath1_05-2-30min.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-547/E-MEXP-547.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-547-processed-data-1343524508.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-547/E-MEXP-547.processed.1.zip
elf18 fls2 60 min	14	days	planting	fls2-17	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	  	  	  	  	Nottingham Arabidopsis Stock Centre (NASC)	P-MEXP-16934	P-MEXP-16928	MS-Media	60	elf18 fls2 60 min	P-MEXP-16931	none	total RNA	E_elf18 fls2 60 min	total_RNA	P-MEXP-16935	none	biotin	L_elf18 fls2 60 min	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_elf18 fls2 60 min	A-AFFY-2	P-AFFY-6	EF-Tu (elf18)	fls2-17	60	m	H_elf18 fls2 60 min	tb13012004ath1_17_05_219-60A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-547/E-MEXP-547.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-547-processed-data-1343524508.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-547/E-MEXP-547.processed.1.zip
elf26 wt 0 min 2	14	days	planting	wild_type	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	CS8581	EFO	EFO_0000167	Landsberg erecta	Nottingham Arabidopsis Stock Centre (NASC)	P-MEXP-16934	P-MEXP-16928	MS-Media	60	elf26 wt 0 min 2	P-MEXP-16931	none	total RNA	E_elf26 wt 0 min 2	total_RNA	P-MEXP-16935	none	biotin	L_elf26 wt 0 min 2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_elf26 wt 0 min 2	A-AFFY-2	P-AFFY-6	EF-Tu (elf26)	wild_type	0	m	H_elf26 wt 0 min 2	tb25032003ath1_04-2-0min.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-547/E-MEXP-547.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-547-processed-data-1343524508.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-547/E-MEXP-547.processed.1.zip
elf26 wt 30 min	14	days	planting	wild_type	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	CS8581	EFO	EFO_0000167	Landsberg erecta	Nottingham Arabidopsis Stock Centre (NASC)	P-MEXP-16934	P-MEXP-16928	MS-Media	60	elf26 wt 30 min	P-MEXP-16931	none	total RNA	E_elf26 wt 30 min	total_RNA	P-MEXP-16935	none	biotin	L_elf26 wt 30 min	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_elf26 wt 30 min	A-AFFY-2	P-AFFY-6	EF-Tu (elf26)	wild_type	30	m	H_elf26 wt 30 min	tb25032003ath1_02-1-30min.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-547/E-MEXP-547.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-547-processed-data-1343524508.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-547/E-MEXP-547.processed.1.zip
