Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE10016GSM253161	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette 8h into an extended night:  Gene expression data from Arabidopsis rosettes 8h into an extended night. Genotype: Columbia-0; Age: 5-6 weeks; Tissue: rosettes	P-10016-2	P-10016-3	GSE10016GSM253161 sample	P-10016-5	GSE10016GSM253161 extract	total_RNA	P-10016-4	GSE10016GSM253161 LE	biotin	synthetic_RNA	P-10016-1	8h into an extended nightA	A-AFFY-2	P-AFFY-6	8h into an extended nightA	GSM253161.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10016/E-GEOD-10016.raw.1.zip	E-GEOD-10016-processed-data-1605341957.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10016/E-GEOD-10016.processed.1.zip
GSE10016GSM253153	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette 2h before the end of the night:  Gene expression data from Arabidopsis rosettes 2h before the end of the night. Genotype: Columbia-0; Age: 5-6 weeks; Tissue: rosettes	P-10016-2	P-10016-3	GSE10016GSM253153 sample	P-10016-5	GSE10016GSM253153 extract	total_RNA	P-10016-4	GSE10016GSM253153 LE	biotin	synthetic_RNA	P-10016-1	2h before the end of the night	A-AFFY-2	P-AFFY-6	2h before the end of the night	GSM253153.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10016/E-GEOD-10016.raw.1.zip	E-GEOD-10016-processed-data-1605341957.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10016/E-GEOD-10016.processed.1.zip
GSE10016GSM253164	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette 24h into an extended night:  Gene expression data from Arabidopsis rosettes 24h into an extended night. Genotype: Columbia-0; Age: 5-6 weeks; Tissue: rosettes	P-10016-2	P-10016-3	GSE10016GSM253164 sample	P-10016-5	GSE10016GSM253164 extract	total_RNA	P-10016-4	GSE10016GSM253164 LE	biotin	synthetic_RNA	P-10016-1	24h into an extended nightC	A-AFFY-2	P-AFFY-6	24h into an extended nightC	GSM253164.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10016/E-GEOD-10016.raw.1.zip	E-GEOD-10016-processed-data-1605341957.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10016/E-GEOD-10016.processed.1.zip
GSE10016GSM253156	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette at the end of the night:  Gene expression data from Arabidopsis rosettes at the end of the night. Genotype: Columbia-0; Age: 5-6 weeks; Tissue: rosettes	P-10016-2	P-10016-3	GSE10016GSM253156 sample	P-10016-5	GSE10016GSM253156 extract	total_RNA	P-10016-4	GSE10016GSM253156 LE	biotin	synthetic_RNA	P-10016-1	end of the night C	A-AFFY-2	P-AFFY-6	end of the night C	GSM253156.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10016/E-GEOD-10016.raw.1.zip	E-GEOD-10016-processed-data-1605341957.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10016/E-GEOD-10016.processed.1.zip
GSE10016GSM253165	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette 48h into an extended night:  Gene expression data from Arabidopsis rosettes 48h into an extended night. Genotype: Columbia-0; Age: 5-6 weeks; Tissue: rosettes	P-10016-2	P-10016-3	GSE10016GSM253165 sample	P-10016-5	GSE10016GSM253165 extract	total_RNA	P-10016-4	GSE10016GSM253165 LE	biotin	synthetic_RNA	P-10016-1	48h into an extended nightB	A-AFFY-2	P-AFFY-6	48h into an extended nightB	GSM253165.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10016/E-GEOD-10016.raw.1.zip	E-GEOD-10016-processed-data-1605341957.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10016/E-GEOD-10016.processed.1.zip
GSE10016GSM253160	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette 6h into an extended night:  Gene expression data from Arabidopsis rosettes 6h into an extended night. Genotype: Columbia-0; Age: 5-6 weeks; Tissue: rosettes	P-10016-2	P-10016-3	GSE10016GSM253160 sample	P-10016-5	GSE10016GSM253160 extract	total_RNA	P-10016-4	GSE10016GSM253160 LE	biotin	synthetic_RNA	P-10016-1	6h into an extended night	A-AFFY-2	P-AFFY-6	6h into an extended night	GSM253160.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10016/E-GEOD-10016.raw.1.zip	E-GEOD-10016-processed-data-1605341957.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10016/E-GEOD-10016.processed.1.zip
GSE10016GSM253158	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette 4h into an extended night:  Gene expression data from Arabidopsis rosettes 4h into an extended night. Genotype: Columbia-0; Age: 5-6 weeks; Tissue: rosettes	P-10016-2	P-10016-3	GSE10016GSM253158 sample	P-10016-5	GSE10016GSM253158 extract	total_RNA	P-10016-4	GSE10016GSM253158 LE	biotin	synthetic_RNA	P-10016-1	4h into an extended nightA	A-AFFY-2	P-AFFY-6	4h into an extended nightA	GSM253158.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10016/E-GEOD-10016.raw.1.zip	E-GEOD-10016-processed-data-1605341957.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10016/E-GEOD-10016.processed.1.zip
GSE10016GSM253162	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette 8h into an extended night:  Gene expression data from Arabidopsis rosettes 8h into an extended night. Genotype: Columbia-0; Age: 5-6 weeks; Tissue: rosettes	P-10016-2	P-10016-3	GSE10016GSM253162 sample	P-10016-5	GSE10016GSM253162 extract	total_RNA	P-10016-4	GSE10016GSM253162 LE	biotin	synthetic_RNA	P-10016-1	8h into an extended nightB	A-AFFY-2	P-AFFY-6	8h into an extended nightB	GSM253162.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10016/E-GEOD-10016.raw.1.zip	E-GEOD-10016-processed-data-1605341957.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10016/E-GEOD-10016.processed.1.zip
GSE10016GSM253159	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette 4h into an extended night:  Gene expression data from Arabidopsis rosettes 4h into an extended night. Genotype: Columbia-0; Age: 5-6 weeks; Tissue: rosettes	P-10016-2	P-10016-3	GSE10016GSM253159 sample	P-10016-5	GSE10016GSM253159 extract	total_RNA	P-10016-4	GSE10016GSM253159 LE	biotin	synthetic_RNA	P-10016-1	4h into an extended nightB	A-AFFY-2	P-AFFY-6	4h into an extended nightB	GSM253159.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10016/E-GEOD-10016.raw.1.zip	E-GEOD-10016-processed-data-1605341957.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10016/E-GEOD-10016.processed.1.zip
GSE10016GSM253166	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette 48h into an extended night:  Gene expression data from Arabidopsis rosettes 48h into an extended night. Genotype: Columbia-0; Age: 5-6 weeks; Tissue: rosettes	P-10016-2	P-10016-3	GSE10016GSM253166 sample	P-10016-5	GSE10016GSM253166 extract	total_RNA	P-10016-4	GSE10016GSM253166 LE	biotin	synthetic_RNA	P-10016-1	48h into an extended nightC	A-AFFY-2	P-AFFY-6	48h into an extended nightC	GSM253166.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10016/E-GEOD-10016.raw.1.zip	E-GEOD-10016-processed-data-1605341957.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10016/E-GEOD-10016.processed.1.zip
