Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [GENOTYPE]
GSM1409293 1	BAM8_Ox_B Gene expression data from 3-week-old shoots; untreated plants.	shoots, BAM8_Ox, untreated	BAM8_Ox, untreated, biological rep2	3 weeks	Col-0	EFO	EFO_0005148	BAM8_Ox	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	P-GSE58370-2	ArrayExpress	P-GSE58370-3	ArrayExpress	P-GSE58370-4	ArrayExpress	GSM1409293 extract 1	total RNA	P-GSE58370-5	ArrayExpress	GSM1409293 LE 1	biotin	P-GSE58370-6	ArrayExpress	GSM1409293	A-AFFY-2	ArrayExpress	array assay	P-GSE58370-7	ArrayExpress	GSM1409293_b8-fl_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.raw.1.zip	P-GSE58370-1	ArrayExpress	GSM1409293_sample_table.txt norm	GSM1409293_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.processed.1.zip	BAM8_Ox
GSM1409292 1	BAM8_Ox_A Gene expression data from 3-week-old shoots; untreated plants.	shoots, BAM8_Ox, untreated	BAM8_Ox, untreated, biological rep1	3 weeks	Col-0	EFO	EFO_0005148	BAM8_Ox	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	P-GSE58370-2	ArrayExpress	P-GSE58370-3	ArrayExpress	P-GSE58370-4	ArrayExpress	GSM1409292 extract 1	total RNA	P-GSE58370-5	ArrayExpress	GSM1409292 LE 1	biotin	P-GSE58370-6	ArrayExpress	GSM1409292	A-AFFY-2	ArrayExpress	array assay	P-GSE58370-7	ArrayExpress	GSM1409292_b8-fl_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.raw.1.zip	P-GSE58370-1	ArrayExpress	GSM1409292_sample_table.txt norm	GSM1409292_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.processed.1.zip	BAM8_Ox
GSM1409291 1	BAM7_Ox_B Gene expression data from 3-week-old shoots; untreated plants.	shoots, BAM7_Ox, untreated	BAM7_Ox, untreated, biological rep2	3 weeks	Col-0	EFO	EFO_0005148	BAM7_Ox	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	P-GSE58370-2	ArrayExpress	P-GSE58370-3	ArrayExpress	P-GSE58370-4	ArrayExpress	GSM1409291 extract 1	total RNA	P-GSE58370-5	ArrayExpress	GSM1409291 LE 1	biotin	P-GSE58370-6	ArrayExpress	GSM1409291	A-AFFY-2	ArrayExpress	array assay	P-GSE58370-7	ArrayExpress	GSM1409291_b7-fl_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.raw.1.zip	P-GSE58370-1	ArrayExpress	GSM1409291_sample_table.txt norm	GSM1409291_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.processed.1.zip	BAM7_Ox
GSM1409290 1	BAM7_Ox_A Gene expression data from 3-week-old shoots; untreated plants.	shoots, BAM7_Ox, untreated	BAM7_Ox, untreated, biological rep1	3 weeks	Col-0	EFO	EFO_0005148	BAM7_Ox	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	P-GSE58370-2	ArrayExpress	P-GSE58370-3	ArrayExpress	P-GSE58370-4	ArrayExpress	GSM1409290 extract 1	total RNA	P-GSE58370-5	ArrayExpress	GSM1409290 LE 1	biotin	P-GSE58370-6	ArrayExpress	GSM1409290	A-AFFY-2	ArrayExpress	array assay	P-GSE58370-7	ArrayExpress	GSM1409290_b7-fl_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.raw.1.zip	P-GSE58370-1	ArrayExpress	GSM1409290_sample_table.txt norm	GSM1409290_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.processed.1.zip	BAM7_Ox
GSM1409289 1	BAM8-N_Ox_B Gene expression data from 3-week-old shoots; untreated plants.	shoots, BAM8-N_Ox, untreated	BAM8-N_Ox, untreated, biological rep2	3 weeks	Col-0	EFO	EFO_0005148	BAM8-N_Ox	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	P-GSE58370-2	ArrayExpress	P-GSE58370-3	ArrayExpress	P-GSE58370-4	ArrayExpress	GSM1409289 extract 1	total RNA	P-GSE58370-5	ArrayExpress	GSM1409289 LE 1	biotin	P-GSE58370-6	ArrayExpress	GSM1409289	A-AFFY-2	ArrayExpress	array assay	P-GSE58370-7	ArrayExpress	GSM1409289_b8-n_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.raw.1.zip	P-GSE58370-1	ArrayExpress	GSM1409289_sample_table.txt norm	GSM1409289_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.processed.1.zip	BAM8-N_Ox
GSM1409288 1	BAM8-N_Ox_A Gene expression data from 3-week-old shoots; untreated plants.	shoots, BAM8-N_Ox, untreated	BAM8-N_Ox, untreated, biological rep1	3 weeks	Col-0	EFO	EFO_0005148	BAM8-N_Ox	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	P-GSE58370-2	ArrayExpress	P-GSE58370-3	ArrayExpress	P-GSE58370-4	ArrayExpress	GSM1409288 extract 1	total RNA	P-GSE58370-5	ArrayExpress	GSM1409288 LE 1	biotin	P-GSE58370-6	ArrayExpress	GSM1409288	A-AFFY-2	ArrayExpress	array assay	P-GSE58370-7	ArrayExpress	GSM1409288_b8-n_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.raw.1.zip	P-GSE58370-1	ArrayExpress	GSM1409288_sample_table.txt norm	GSM1409288_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.processed.1.zip	BAM8-N_Ox
GSM1409287 1	BAM7-N_Ox_B Gene expression data from 3-week-old shoots; untreated plants.	shoots, BAM7-N_Ox, untreated	BAM7-N_Ox, untreated, biological rep2	3 weeks	Col-0	EFO	EFO_0005148	BAM7-N_Ox	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	P-GSE58370-2	ArrayExpress	P-GSE58370-3	ArrayExpress	P-GSE58370-4	ArrayExpress	GSM1409287 extract 1	total RNA	P-GSE58370-5	ArrayExpress	GSM1409287 LE 1	biotin	P-GSE58370-6	ArrayExpress	GSM1409287	A-AFFY-2	ArrayExpress	array assay	P-GSE58370-7	ArrayExpress	GSM1409287_b7-n_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.raw.1.zip	P-GSE58370-1	ArrayExpress	GSM1409287_sample_table.txt norm	GSM1409287_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.processed.1.zip	BAM7-N_Ox
GSM1409286 1	BAM7-N_Ox_A Gene expression data from 3-week-old shoots; untreated plants.	shoots, BAM7-N_Ox, untreated	BAM7-N_Ox, untreated, biological rep1	3 weeks	Col-0	EFO	EFO_0005148	BAM7-N_Ox	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	P-GSE58370-2	ArrayExpress	P-GSE58370-3	ArrayExpress	P-GSE58370-4	ArrayExpress	GSM1409286 extract 1	total RNA	P-GSE58370-5	ArrayExpress	GSM1409286 LE 1	biotin	P-GSE58370-6	ArrayExpress	GSM1409286	A-AFFY-2	ArrayExpress	array assay	P-GSE58370-7	ArrayExpress	GSM1409286_b7-n_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.raw.1.zip	P-GSE58370-1	ArrayExpress	GSM1409286_sample_table.txt norm	GSM1409286_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.processed.1.zip	BAM7-N_Ox
GSM1409285 1	BAM8-Lig_Ox_B Gene expression data from 3-week-old shoots; untreated plants.	shoots, BAM8-Lig_Ox, untreated	BAM8-Lig_Ox, untreated, biological rep2	3 weeks	Col-0	EFO	EFO_0005148	BAM8-Lig_Ox	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	P-GSE58370-2	ArrayExpress	P-GSE58370-3	ArrayExpress	P-GSE58370-4	ArrayExpress	GSM1409285 extract 1	total RNA	P-GSE58370-5	ArrayExpress	GSM1409285 LE 1	biotin	P-GSE58370-6	ArrayExpress	GSM1409285	A-AFFY-2	ArrayExpress	array assay	P-GSE58370-7	ArrayExpress	GSM1409285_b8-623_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.raw.1.zip	P-GSE58370-1	ArrayExpress	GSM1409285_sample_table.txt norm	GSM1409285_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.processed.1.zip	BAM8-Lig_Ox
GSM1409284 1	BAM8-Lig_Ox_A Gene expression data from 3-week-old shoots; untreated plants.	shoots, BAM8-Lig_Ox, untreated	BAM8-Lig_Ox, untreated, biological rep1	3 weeks	Col-0	EFO	EFO_0005148	BAM8-Lig_Ox	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	P-GSE58370-2	ArrayExpress	P-GSE58370-3	ArrayExpress	P-GSE58370-4	ArrayExpress	GSM1409284 extract 1	total RNA	P-GSE58370-5	ArrayExpress	GSM1409284 LE 1	biotin	P-GSE58370-6	ArrayExpress	GSM1409284	A-AFFY-2	ArrayExpress	array assay	P-GSE58370-7	ArrayExpress	GSM1409284_b8-623_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.raw.1.zip	P-GSE58370-1	ArrayExpress	GSM1409284_sample_table.txt norm	GSM1409284_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58370/E-GEOD-58370.processed.1.zip	BAM8-Lig_Ox
