Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE8934GSM226525	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Protoplasted and FACS sorted root cells:  Arabidopsis, root cells, xylem pole pericycle, standard conditions, replicate 1 Gene expression data from isolated xylem pole pericycle cells. Columbia ecotype; Age: Seedling roots, 5-6 days after germination; Growth media: standard media; GFP reporter: JO121	P-G8934-2	P-G8934-1	GSE8934GSM226525 sample	P-G8934-4	GSE8934GSM226525 extract	total_RNA	P-G8934-3	GSE8934GSM226525 LE	biotin	synthetic_RNA	  	JO121	A-AFFY-2	  	JO121	  	  	E-GEOD-8934-processed-data-1631705588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.processed.1.zip
GSE8934GSM226533	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root tissue:  Arabidopsis, root cells, cross-section, 1/6 of meristematic zone, third meristematic section from root tip,  root 1 Gene expression data from a cross-section of 1/6 of the root meristematic zone, the third section from the root tip. Columbia ecotype; Age: Seedling roots, 7 days after germination; Growth media: standard media	P-G8934-2	P-G8934-1	GSE8934GSM226533 sample	P-G8934-4	GSE8934GSM226533 extract	total_RNA	P-G8934-3	GSE8934GSM226533 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	L3SB	A-AFFY-2	P-AFFY-6	L3SB	GSM226533.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.raw.1.zip	E-GEOD-8934-processed-data-1631705588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.processed.1.zip
GSE8934GSM226543	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root tissue:  Arabidopsis, root cells, cross-section, 1/6 of meristematic zone, first meristematic section from root tip, contains QC, root 2 Gene expression data from a cross section of 1/6 of the meristematic zone, the first section from the root tip. Columbia ecotype; Age: Seedling roots, 7 days after germination; Growth media: standard media	P-G8934-2	P-G8934-1	GSE8934GSM226543 sample	P-G8934-4	GSE8934GSM226543 extract	total_RNA	P-G8934-3	GSE8934GSM226543 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Slice1JW	A-AFFY-2	P-AFFY-6	Slice1JW	GSM226543.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.raw.1.zip	E-GEOD-8934-processed-data-1631705588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.processed.1.zip
GSE8934GSM226536	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root tissue:  Arabidopsis, root cells, cross-section, 1/6 of meristematic zone, sixth meristematic section from root tip, root 1 Gene expression data from a cross-section of 1/6 of the root meristematic zone, the sixth section from the root tip. Columbia ecotype; Age: Seedling roots, 7 days after germination; Growth media: standard media	P-G8934-2	P-G8934-1	GSE8934GSM226536 sample	P-G8934-4	GSE8934GSM226536 extract	total_RNA	P-G8934-3	GSE8934GSM226536 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	L6SB	A-AFFY-2	P-AFFY-6	L6SB	GSM226536.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.raw.1.zip	E-GEOD-8934-processed-data-1631705588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.processed.1.zip
GSE8934GSM226529	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Protoplasted and FACS sorted root cells:  Arabidopsis, root cells, lateral root primordia initials, standard conditions, replicate 1 Gene expression data from isolated lateral root primordia cells. Columbia ecotype; Age: Seedling roots, 5-6 days after germination; Growth media: standard media; GFP reporter: RM1000	P-G8934-2	P-G8934-1	GSE8934GSM226529 sample	P-G8934-4	GSE8934GSM226529 extract	total_RNA	P-G8934-3	GSE8934GSM226529 LE	biotin	synthetic_RNA	  	RM1000	A-AFFY-2	  	RM1000	  	  	E-GEOD-8934-processed-data-1631705588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.processed.1.zip
GSE8934GSM226546	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root tissue:  Arabidopsis, root cells, cross-section, 1/6 of meristematic zone, fourth meristematic section from root tip, root 2 Gene expression data from a cross-section of 1/6 of the root meristematic zone, the fourth section from the root tip. Columbia ecotype; Age: Seedling roots, 7 days after germination; Growth media: standard media	P-G8934-2	P-G8934-1	GSE8934GSM226546 sample	P-G8934-4	GSE8934GSM226546 extract	total_RNA	P-G8934-3	GSE8934GSM226546 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Slice4JW	A-AFFY-2	P-AFFY-6	Slice4JW	GSM226546.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.raw.1.zip	E-GEOD-8934-processed-data-1631705588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.processed.1.zip
GSE8934GSM226535	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root tissue:  Arabidopsis, root cells, cross-section, 1/6 of meristematic zone, fifth meristematic section from root tip, root 1 Gene expression data from a cross-section of 1/6 of the root meristematic zone, the fifth section from the root tip. Columbia ecotype; Age: Seedling roots, 7 days after germination; Growth media: standard media	P-G8934-2	P-G8934-1	GSE8934GSM226535 sample	P-G8934-4	GSE8934GSM226535 extract	total_RNA	P-G8934-3	GSE8934GSM226535 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	L5SB	A-AFFY-2	P-AFFY-6	L5SB	GSM226535.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.raw.1.zip	E-GEOD-8934-processed-data-1631705588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.processed.1.zip
GSE8934GSM226522	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Protoplasted and FACS sorted root cells:  Arabidopsis, root cells, phloem pole pericycle, standard conditions, replicate 1 Gene expression data from isolated phloem pole pericycle cells. Columbia ecotype; Age: Seedling roots, 5-6 days after germination; Growth media: standard media; GFP reporter:S17	P-G8934-2	P-G8934-1	GSE8934GSM226522 sample	P-G8934-4	GSE8934GSM226522 extract	total_RNA	P-G8934-3	GSE8934GSM226522 LE	biotin	synthetic_RNA	  	S17	A-AFFY-2	  	S17	  	  	E-GEOD-8934-processed-data-1631705588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.processed.1.zip
GSE8934GSM226526	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Protoplasted and FACS sorted root cells:  Arabidopsis, root cells, protoxylem and metaxylem, meristematic zone, standard conditions, replicate 1 Gene expression data from isolated protoxylem and metaxylem cells in the meristematic zone. Columbia ecotype; Age: Seedling roots, 5-6 days after germination; Growth media: standard media; GFP reporter: S4	P-G8934-2	P-G8934-1	GSE8934GSM226526 sample	P-G8934-4	GSE8934GSM226526 extract	total_RNA	P-G8934-3	GSE8934GSM226526 LE	biotin	synthetic_RNA	  	S4	A-AFFY-2	  	S4	  	  	E-GEOD-8934-processed-data-1631705588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.processed.1.zip
GSE8934GSM226527	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Protoplasted and FACS sorted root cells:  Arabidopsis, root cells, phloem companion cells, standard conditions, replicate 1 Gene expression data from isolated phloem companion cells. Columbia ecotype; Age: Seedling roots, 5-6 days after germination; Growth media: standard media; GFP reporter: SUC2	P-G8934-2	P-G8934-1	GSE8934GSM226527 sample	P-G8934-4	GSE8934GSM226527 extract	total_RNA	P-G8934-3	GSE8934GSM226527 LE	biotin	synthetic_RNA	  	SUC2	A-AFFY-2	  	SUC2	  	  	E-GEOD-8934-processed-data-1631705588.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8934/E-GEOD-8934.processed.1.zip
