Source Name	Material Type	Characteristics[organism]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[organism part]	Comment [Sample_description]	Comment [Sample_source_name]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Assay Name	Technology Type	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [organism part]	FactorValue[compound]	Factor Value [dose]	Unit[concentration unit]
GSM486939 1	organism part	Arabidopsis thaliana	Col-0	agb1-2 gpa1-4 double mutant	leaf	Gene expression data from agb1 gpa1 mutant leaves treated with ABA (50 μM) for 3 hrs	agb1 gpa1 mutant leaves, abscisic acid treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486939 extract 1	total RNA	P-GSE19520-5	GSM486939 LE 1	biotin	P-GSE19520-6	GSM486939	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486939.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486939_sample_table.txt norm	GSM486939_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	agb1-2 gpa1-4 double mutant	leaf	abscisic acid	50	micromolar
GSM486938 1	organism part	Arabidopsis thaliana	Col-0	agb1-2 gpa1-4 double mutant	leaf	Gene expression data from agb1 gpa1 mutant leaves treated with ABA (50 μM) for 3 hrs	agb1 gpa1 mutant leaves, abscisic acid treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486938 extract 1	total RNA	P-GSE19520-5	GSM486938 LE 1	biotin	P-GSE19520-6	GSM486938	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486938.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486938_sample_table.txt norm	GSM486938_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	agb1-2 gpa1-4 double mutant	leaf	abscisic acid	50	micromolar
GSM486937 1	organism part	Arabidopsis thaliana	Col-0	agb1-2 gpa1-4 double mutant	leaf	Gene expression data from agb1 gpa1 mutant leaves treated with ABA (50 μM) for 3 hrs	agb1 gpa1 mutant leaves, abscisic acid treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486937 extract 1	total RNA	P-GSE19520-5	GSM486937 LE 1	biotin	P-GSE19520-6	GSM486937	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486937.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486937_sample_table.txt norm	GSM486937_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	agb1-2 gpa1-4 double mutant	leaf	abscisic acid	50	micromolar
GSM486936 1	organism part	Arabidopsis thaliana	Col-0	gpa1-4 mutant	leaf	Gene expression data from gpa1 mutant leaves treated with ABA (50 μM) for 3 hrs	gpa1 mutant leaves, abscisic acid treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486936 extract 1	total RNA	P-GSE19520-5	GSM486936 LE 1	biotin	P-GSE19520-6	GSM486936	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486936.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486936_sample_table.txt norm	GSM486936_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	gpa1-4 mutant	leaf	abscisic acid	50	micromolar
GSM486935 1	organism part	Arabidopsis thaliana	Col-0	gpa1-4 mutant	leaf	Gene expression data from gpa1 mutant leaves treated with ABA (50 μM) for 3 hrs	gpa1 mutant leaves, abscisic acid treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486935 extract 1	total RNA	P-GSE19520-5	GSM486935 LE 1	biotin	P-GSE19520-6	GSM486935	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486935.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486935_sample_table.txt norm	GSM486935_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	gpa1-4 mutant	leaf	abscisic acid	50	micromolar
GSM486934 1	organism part	Arabidopsis thaliana	Col-0	gpa1-4 mutant	leaf	Gene expression data from gpa1 mutant leaves treated with ABA (50 μM) for 3 hrs	gpa1 mutant leaves, abscisic acid treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486934 extract 1	total RNA	P-GSE19520-5	GSM486934 LE 1	biotin	P-GSE19520-6	GSM486934	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486934.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486934_sample_table.txt norm	GSM486934_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	gpa1-4 mutant	leaf	abscisic acid	50	micromolar
GSM486933 1	organism part	Arabidopsis thaliana	Col-0	agb1-2 mutant	leaf	Gene expression data from agb1 mutant leaves treated with ABA (50 μM) for 3 hrs	agb1 mutant leaves, abscisic acid treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486933 extract 1	total RNA	P-GSE19520-5	GSM486933 LE 1	biotin	P-GSE19520-6	GSM486933	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486933.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486933_sample_table.txt norm	GSM486933_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	agb1-2 mutant	leaf	abscisic acid	50	micromolar
GSM486932 1	organism part	Arabidopsis thaliana	Col-0	agb1-2 mutant	leaf	Gene expression data from agb1 mutant leaves treated with ABA (50 μM) for 3 hrs	agb1 mutant leaves, abscisic acid treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486932 extract 1	total RNA	P-GSE19520-5	GSM486932 LE 1	biotin	P-GSE19520-6	GSM486932	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486932.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486932_sample_table.txt norm	GSM486932_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	agb1-2 mutant	leaf	abscisic acid	50	micromolar
GSM486931 1	organism part	Arabidopsis thaliana	Col-0	agb1-2 mutant	leaf	Gene expression data from agb1 mutant leaves treated with ABA (50 μM) for 3 hrs	agb1 mutant leaves, abscisic acid treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486931 extract 1	total RNA	P-GSE19520-5	GSM486931 LE 1	biotin	P-GSE19520-6	GSM486931	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486931.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486931_sample_table.txt norm	GSM486931_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	agb1-2 mutant	leaf	abscisic acid	50	micromolar
GSM486930 1	organism part	Arabidopsis thaliana	Col-0	wild type genotype	leaf	Gene expression data from wild type (Col) leaves treated with ABA (50 μM) for 3 hrs	Columbia wild-type leaves, abscisic acid treatment	P-GSE19520-2	P-GSE19520-3	P-GSE19520-4	GSM486930 extract 1	total RNA	P-GSE19520-5	GSM486930 LE 1	biotin	P-GSE19520-6	GSM486930	array assay	A-AFFY-2	P-GSE19520-7	P-GSE19520-8	GSM486930.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.raw.1.zip	P-GSE19520-1	GSM486930_sample_table.txt norm	GSM486930_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19520/E-GEOD-19520.processed.1.zip	wild type genotype	leaf	abscisic acid	50	micromolar
