Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[OrganismPart]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[DevelopmentalStage]	Characteristics[Ecotype]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GROWTH CONDITION]	FactorValue[TREATMENT TIME]	Unit[TimeUnit]
GSE10502GSM265467	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	5	days	seedling	Columbia	whole roots:  Gene expression data from whole roots grown under standard conditions for 5 days and transferred to -Fe media for 12 hours. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days then transferred to -Fe media; Iron deficiency Treatment length: 12 hours	P-G10502-1	P-G10502-2	GSE10502GSM265467 sample	P-G10502-4	GSE10502GSM265467 extract	total_RNA	P-G10502-3	GSE10502GSM265467 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, whole roots, -Fe, 12 hour, rep 1	A-AFFY-2	P-AFFY-6	Arabidopsis, whole roots, -Fe, 12 hour, rep 1	GSM265467.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10502/E-GEOD-10502.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10502-processed-data-1626138544.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10502/E-GEOD-10502.processed.1.zip	iron deprivation	12	hours
GSE10502GSM265468	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	5	days	seedling	Columbia	whole roots:  Gene expression data from whole roots grown under standard conditions for 5 days and transferred to -Fe media for 12 hours. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days then transferred to -Fe media; Iron deficiency Treatment length: 12 hours	P-G10502-1	P-G10502-2	GSE10502GSM265468 sample	P-G10502-4	GSE10502GSM265468 extract	total_RNA	P-G10502-3	GSE10502GSM265468 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, whole roots, -Fe, 12 hour, rep 2	A-AFFY-2	P-AFFY-6	Arabidopsis, whole roots, -Fe, 12 hour, rep 2	GSM265468.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10502/E-GEOD-10502.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10502-processed-data-1626138544.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10502/E-GEOD-10502.processed.1.zip	iron deprivation	12	hours
GSE10502GSM265469	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	5	days	seedling	Columbia	whole roots:  Gene expression data from whole roots grown under standard conditions for 5 days and transferred to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days then transferred to -Fe media; Iron deficiency Treatment length: 24 hours	P-G10502-1	P-G10502-2	GSE10502GSM265469 sample	P-G10502-4	GSE10502GSM265469 extract	total_RNA	P-G10502-3	GSE10502GSM265469 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, whole roots, -Fe, 24 hour, rep 1	A-AFFY-2	P-AFFY-6	Arabidopsis, whole roots, -Fe, 24 hour, rep 1	GSM265469.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10502/E-GEOD-10502.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10502-processed-data-1626138544.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10502/E-GEOD-10502.processed.1.zip	iron deprivation	24	hours
GSE10502GSM265470	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	5	days	seedling	Columbia	whole roots:  Gene expression data from whole roots grown under standard conditions for 5 days and transferred to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days then transferred to -Fe media; Iron deficiency Treatment length: 24 hours	P-G10502-1	P-G10502-2	GSE10502GSM265470 sample	P-G10502-4	GSE10502GSM265470 extract	total_RNA	P-G10502-3	GSE10502GSM265470 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, whole roots, -Fe, 24 hour, rep 2	A-AFFY-2	P-AFFY-6	Arabidopsis, whole roots, -Fe, 24 hour, rep 2	GSM265470.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10502/E-GEOD-10502.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10502-processed-data-1626138544.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10502/E-GEOD-10502.processed.1.zip	iron deprivation	24	hours
GSE10502GSM265463	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	5	days	seedling	Columbia	whole roots:  Gene expression data from whole roots grown under standard conditions for 5 days and transferred to -Fe media for 3 hours. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days then transferred to -Fe media; Iron deficiency Treatment length: 3 hours	P-G10502-1	P-G10502-2	GSE10502GSM265463 sample	P-G10502-4	GSE10502GSM265463 extract	total_RNA	P-G10502-3	GSE10502GSM265463 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, whole roots, -Fe, 3 hour, rep 1	A-AFFY-2	P-AFFY-6	Arabidopsis, whole roots, -Fe, 3 hour, rep 1	GSM265463.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10502/E-GEOD-10502.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10502-processed-data-1626138544.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10502/E-GEOD-10502.processed.1.zip	iron deprivation	3	hours
GSE10502GSM265464	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	5	days	seedling	Columbia	whole roots:  Gene expression data from whole roots grown under standard conditions for 5 days and transferred to -Fe media for 3 hours. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days then transferred to -Fe media; Iron deficiency Treatment length: 3 hours	P-G10502-1	P-G10502-2	GSE10502GSM265464 sample	P-G10502-4	GSE10502GSM265464 extract	total_RNA	P-G10502-3	GSE10502GSM265464 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, whole roots, -Fe, 3 hour, rep 2	A-AFFY-2	P-AFFY-6	Arabidopsis, whole roots, -Fe, 3 hour, rep 2	GSM265464.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10502/E-GEOD-10502.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10502-processed-data-1626138544.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10502/E-GEOD-10502.processed.1.zip	iron deprivation	3	hours
GSE10502GSM265471	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	5	days	seedling	Columbia	whole roots:  Gene expression data from whole roots grown under standard conditions for 5 days and transferred to -Fe media for 48 hours. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days then transferred to -Fe media; Iron deficiency Treatment length: 48 hours	P-G10502-1	P-G10502-2	GSE10502GSM265471 sample	P-G10502-4	GSE10502GSM265471 extract	total_RNA	P-G10502-3	GSE10502GSM265471 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, whole roots, -Fe, 48 hour, rep 1	A-AFFY-2	P-AFFY-6	Arabidopsis, whole roots, -Fe, 48 hour, rep 1	GSM265471.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10502/E-GEOD-10502.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10502-processed-data-1626138544.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10502/E-GEOD-10502.processed.1.zip	iron deprivation	48	hours
GSE10502GSM265472	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	5	days	seedling	Columbia	whole roots:  Gene expression data from whole roots grown under standard conditions for 5 days and transferred to -Fe media for 48 hours. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days then transferred to -Fe media; Iron deficiency Treatment length: 48 hours	P-G10502-1	P-G10502-2	GSE10502GSM265472 sample	P-G10502-4	GSE10502GSM265472 extract	total_RNA	P-G10502-3	GSE10502GSM265472 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, whole roots, -Fe, 48 hour, rep 2	A-AFFY-2	P-AFFY-6	Arabidopsis, whole roots, -Fe, 48 hour, rep 2	GSM265472.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10502/E-GEOD-10502.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10502-processed-data-1626138544.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10502/E-GEOD-10502.processed.1.zip	iron deprivation	48	hours
GSE10502GSM265465	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	5	days	seedling	Columbia	whole roots:  Gene expression data from whole roots grown under standard conditions for 5 days and transferred to -Fe media for 6 hours. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days then transferred to -Fe media; Iron deficiency Treatment length: 6 hour	P-G10502-1	P-G10502-2	GSE10502GSM265465 sample	P-G10502-4	GSE10502GSM265465 extract	total_RNA	P-G10502-3	GSE10502GSM265465 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, whole roots, -Fe, 6 hour, rep 1	A-AFFY-2	P-AFFY-6	Arabidopsis, whole roots, -Fe, 6 hour, rep 1	GSM265465.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10502/E-GEOD-10502.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10502-processed-data-1626138544.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10502/E-GEOD-10502.processed.1.zip	iron deprivation	6	hours
GSE10502GSM265466	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	5	days	seedling	Columbia	whole roots:  Gene expression data from whole roots grown under standard conditions for 5 days and transferred to -Fe media for 6 hours. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days then transferred to -Fe media; Iron deficiency Treatment length: 6 hour	P-G10502-1	P-G10502-2	GSE10502GSM265466 sample	P-G10502-4	GSE10502GSM265466 extract	total_RNA	P-G10502-3	GSE10502GSM265466 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, whole roots, -Fe, 6 hour, rep 2	A-AFFY-2	P-AFFY-6	Arabidopsis, whole roots, -Fe, 6 hour, rep 2	GSM265466.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10502/E-GEOD-10502.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10502-processed-data-1626138544.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10502/E-GEOD-10502.processed.1.zip	iron deprivation	6	hours
