Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [ecotype background]	Characteristics [genotype]	Characteristics [harvested at]	Characteristics [molecule subtype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [harvested at]	FactorValue [molecule subtype]
GSM1516753 1	12am_L_3	CCA1-ox_12am_large polysomal	CCA1-ox, 12am, large polysomal, replicate 3	10 days	Columbia	CCA1-ox	12am	Large polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516753 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516753 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516753	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516753_AVA241_LP_12AM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516753_sample_table.txt norm	GSM1516753_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	12am	Large polysomal RNA
GSM1516752 1	12am_S_3	CCA1-ox_12am_small polysomal	CCA1-ox, 12am, small polysomal, replicate 3	10 days	Columbia	CCA1-ox	12am	Small polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516752 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516752 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516752	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516752_AVA240_SP_12AM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516752_sample_table.txt norm	GSM1516752_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	12am	Small polysomal RNA
GSM1516751 1	12am_N_3	CCA1-ox_12am_non-polysomal	CCA1-ox, 12am, non-polysomal, replicate 3	10 days	Columbia	CCA1-ox	12am	Non-polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516751 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516751 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516751	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516751_AVA239_NP_12AM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516751_sample_table.txt norm	GSM1516751_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	12am	Non-polysomal RNA
GSM1516750 1	6pm_L_3	CCA1-ox_6pm_large polysomal	CCA1-ox, 6pm, large polysomal, replicate 3	10 days	Columbia	CCA1-ox	6pm	Large polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516750 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516750 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516750	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516750_AVA237_LP_6PM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516750_sample_table.txt norm	GSM1516750_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	6pm	Large polysomal RNA
GSM1516749 1	6pm_S_3	CCA1-ox_6pm_small polysomal	CCA1-ox, 6pm, small polysomal, replicate 3	10 days	Columbia	CCA1-ox	6pm	Small polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516749 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516749 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516749	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516749_AVA236_SP_6PM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516749_sample_table.txt norm	GSM1516749_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	6pm	Small polysomal RNA
GSM1516748 1	6pm_N_3	CCA1-ox_6pm_non-polysomal	CCA1-ox, 6pm, non-polysomal, replicate 3	10 days	Columbia	CCA1-ox	6pm	Non-polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516748 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516748 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516748	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516748_AVA235_NP_6PM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516748_sample_table.txt norm	GSM1516748_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	6pm	Non-polysomal RNA
GSM1516747 1	12pm_L_3	CCA1-ox_12pm_large polysomal	CCA1-ox, 12pm, large polysomal, replicate 3	10 days	Columbia	CCA1-ox	12pm	Large polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516747 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516747 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516747	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516747_AVA233_LP_12PM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516747_sample_table.txt norm	GSM1516747_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	12pm	Large polysomal RNA
GSM1516746 1	12pm_S_3	CCA1-ox_12pm_small polysomal	CCA1-ox, 12pm, small polysomal, replicate 3	10 days	Columbia	CCA1-ox	12pm	Small polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516746 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516746 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516746	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516746_AVA232_SP_12PM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516746_sample_table.txt norm	GSM1516746_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	12pm	Small polysomal RNA
GSM1516745 1	12pm_N_3	CCA1-ox_12pm_non-polysomal	CCA1-ox, 12pm, non-polysomal, replicate 3	10 days	Columbia	CCA1-ox	12pm	Non-polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516745 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516745 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516745	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516745_AVA231_NP_12PM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516745_sample_table.txt norm	GSM1516745_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	12pm	Non-polysomal RNA
GSM1516744 1	6am_L_3	CCA1-ox_6am_large polysomal	CCA1-ox, 6am, large polysomal, replicate 3	10 days	Columbia	CCA1-ox	6am	Large polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61898-2	ArrayExpress	P-GSE61898-3	ArrayExpress	GSM1516744 extract 1	total RNA	P-GSE61898-4	ArrayExpress	GSM1516744 LE 1	biotin	P-GSE61898-5	ArrayExpress	GSM1516744	A-AFFY-2	ArrayExpress	array assay	P-GSE61898-6	ArrayExpress	GSM1516744_AVA229_LP_6AM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.raw.1.zip	P-GSE61898-1	ArrayExpress	GSM1516744_sample_table.txt norm	GSM1516744_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61898/E-GEOD-61898.processed.1.zip	6am	Large polysomal RNA
