Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[ecotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [ecotype]	FactorValue [compound]	FactorValue[dose]	Unit [concentration unit]
GSM791918 1	Gene expression data from 4-day-old Arabidopsis plants (Ws-2) treated with 100 uM As, biological rep 3	4-day-old seedlings in quarter-strength MS	4-day-old Arabidopsis plants (Ws-2) treated with 100 uM As, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	day	seedling	Ws-2	root	P-GSE31977-2	P-GSE31977-3	P-GSE31977-4	GSM791918 extract 1	total RNA	P-GSE31977-5	GSM791918 LE 1	Biotin	P-GSE31977-6	GSM791918	A-AFFY-2	P-GSE31977-7	P-GSE31977-8	GSM791918.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31977/E-GEOD-31977.raw.1.zip	P-GSE31977-1	GSM791918_sample_table.txt norm	GSM791918_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31977/E-GEOD-31977.processed.1.zip	Ws-2	arsenic	100	micromolar
GSM791917 1	Gene expression data from 4-day-old Arabidopsis plants (Ws-2) treated with 100 uM As, biological rep 2	4-day-old seedlings in quarter-strength MS	4-day-old Arabidopsis plants (Ws-2) treated with 100 uM As, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	day	seedling	Ws-2	root	P-GSE31977-2	P-GSE31977-3	P-GSE31977-4	GSM791917 extract 1	total RNA	P-GSE31977-5	GSM791917 LE 1	Biotin	P-GSE31977-6	GSM791917	A-AFFY-2	P-GSE31977-7	P-GSE31977-8	GSM791917.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31977/E-GEOD-31977.raw.1.zip	P-GSE31977-1	GSM791917_sample_table.txt norm	GSM791917_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31977/E-GEOD-31977.processed.1.zip	Ws-2	arsenic	100	micromolar
GSM791916 1	Gene expression data from 4-day-old Arabidopsis plants (Ws-2) treated with 100 uM As, biological rep 1	4-day-old seedlings in quarter-strength MS	4-day-old Arabidopsis plants (Ws-2) treated with 100 uM As, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	day	seedling	Ws-2	root	P-GSE31977-2	P-GSE31977-3	P-GSE31977-4	GSM791916 extract 1	total RNA	P-GSE31977-5	GSM791916 LE 1	Biotin	P-GSE31977-6	GSM791916	A-AFFY-2	P-GSE31977-7	P-GSE31977-8	GSM791916.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31977/E-GEOD-31977.raw.1.zip	P-GSE31977-1	GSM791916_sample_table.txt norm	GSM791916_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31977/E-GEOD-31977.processed.1.zip	Ws-2	arsenic	100	micromolar
GSM791915 1	Gene expression data from 4-day-old Arabidopsis plants (Ws-2) treated with 0 uM As, biological rep 3	4-day-old seedlings in quarter-strength MS	4-day-old Arabidopsis plants (Ws-2) treated with 0 uM As, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	day	seedling	Ws-2	root	P-GSE31977-2	P-GSE31977-3	P-GSE31977-4	GSM791915 extract 1	total RNA	P-GSE31977-5	GSM791915 LE 1	Biotin	P-GSE31977-6	GSM791915	A-AFFY-2	P-GSE31977-7	P-GSE31977-8	GSM791915.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31977/E-GEOD-31977.raw.1.zip	P-GSE31977-1	GSM791915_sample_table.txt norm	GSM791915_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31977/E-GEOD-31977.processed.1.zip	Ws-2	none	  	        
GSM791914 1	Gene expression data from 4-day-old Arabidopsis plants (Ws-2) treated with 0 uM As, biological rep 2	4-day-old seedlings in quarter-strength MS	4-day-old Arabidopsis plants (Ws-2) treated with 0 uM As, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	day	seedling	Ws-2	root	P-GSE31977-2	P-GSE31977-3	P-GSE31977-4	GSM791914 extract 1	total RNA	P-GSE31977-5	GSM791914 LE 1	Biotin	P-GSE31977-6	GSM791914	A-AFFY-2	P-GSE31977-7	P-GSE31977-8	GSM791914.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31977/E-GEOD-31977.raw.1.zip	P-GSE31977-1	GSM791914_sample_table.txt norm	GSM791914_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31977/E-GEOD-31977.processed.1.zip	Ws-2	none	  	        
GSM791913 1	Gene expression data from 4-day-old Arabidopsis plants (Ws-2) treated with 0 uM As, biological rep 1	4-day-old seedlings in quarter-strength MS	4-day-old Arabidopsis plants (Ws-2) treated with 0 uM As, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	day	seedling	Ws-2	root	P-GSE31977-2	P-GSE31977-3	P-GSE31977-4	GSM791913 extract 1	total RNA	P-GSE31977-5	GSM791913 LE 1	Biotin	P-GSE31977-6	GSM791913	A-AFFY-2	P-GSE31977-7	P-GSE31977-8	GSM791913.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31977/E-GEOD-31977.raw.1.zip	P-GSE31977-1	GSM791913_sample_table.txt norm	GSM791913_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31977/E-GEOD-31977.processed.1.zip	Ws-2	none	  	        
GSM791912 1	Gene expression data from 4-day-old Arabidopsis plants (Col-0) treated with 200 uM As, biological rep 3	4-day-old seedlings in quarter-strength MS	4-day-old Arabidopsis plants (Col-0) treated with 200 uM As, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	day	seedling	Col-0	root	P-GSE31977-2	P-GSE31977-3	P-GSE31977-4	GSM791912 extract 1	total RNA	P-GSE31977-5	GSM791912 LE 1	Biotin	P-GSE31977-6	GSM791912	A-AFFY-2	P-GSE31977-7	P-GSE31977-8	GSM791912.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31977/E-GEOD-31977.raw.1.zip	P-GSE31977-1	GSM791912_sample_table.txt norm	GSM791912_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31977/E-GEOD-31977.processed.1.zip	Col-0	arsenic	200	micromolar
GSM791911 1	Gene expression data from 4-day-old Arabidopsis plants (Col-0) treated with 200 uM As, biological rep 2	4-day-old seedlings in quarter-strength MS	4-day-old Arabidopsis plants (Col-0) treated with 200 uM As, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	day	seedling	Col-0	root	P-GSE31977-2	P-GSE31977-3	P-GSE31977-4	GSM791911 extract 1	total RNA	P-GSE31977-5	GSM791911 LE 1	Biotin	P-GSE31977-6	GSM791911	A-AFFY-2	P-GSE31977-7	P-GSE31977-8	GSM791911.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31977/E-GEOD-31977.raw.1.zip	P-GSE31977-1	GSM791911_sample_table.txt norm	GSM791911_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31977/E-GEOD-31977.processed.1.zip	Col-0	arsenic	200	micromolar
GSM791910 1	Gene expression data from 4-day-old Arabidopsis plants (Col-0) treated with 200 uM As, biological rep 1	4-day-old seedlings in quarter-strength MS	4-day-old Arabidopsis plants (Col-0) treated with 200 uM As, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	day	seedling	Col-0	root	P-GSE31977-2	P-GSE31977-3	P-GSE31977-4	GSM791910 extract 1	total RNA	P-GSE31977-5	GSM791910 LE 1	Biotin	P-GSE31977-6	GSM791910	A-AFFY-2	P-GSE31977-7	P-GSE31977-8	GSM791910.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31977/E-GEOD-31977.raw.1.zip	P-GSE31977-1	GSM791910_sample_table.txt norm	GSM791910_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31977/E-GEOD-31977.processed.1.zip	Col-0	arsenic	200	micromolar
GSM791909 1	Gene expression data from 4-day-old Arabidopsis plants (Col-0) treated with 100 uM As, biological rep 3	4-day-old seedlings in quarter-strength MS	4-day-old Arabidopsis plants (Col-0) treated with 100 uM As, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	day	seedling	Col-0	root	P-GSE31977-2	P-GSE31977-3	P-GSE31977-4	GSM791909 extract 1	total RNA	P-GSE31977-5	GSM791909 LE 1	Biotin	P-GSE31977-6	GSM791909	A-AFFY-2	P-GSE31977-7	P-GSE31977-8	GSM791909.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31977/E-GEOD-31977.raw.1.zip	P-GSE31977-1	GSM791909_sample_table.txt norm	GSM791909_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31977/E-GEOD-31977.processed.1.zip	Col-0	arsenic	100	micromolar
