Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [age]	Unit [time unit]	Characteristics [ecotype]	Characteristics [developmental stage]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics [genotype]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [compound]	FactorValue [genotype]
GSM1054985 1	TGA1 and TGA4 double mutant seedlings (tga1/tga4), treated with 5 mM KNO3 for 2 hours. Roots were cut and total RNA was extracted using TriZol. tga1_tga4 KNO3 2H R3	tga1_tga4 roots, treated with 5 mM KNO3 for 2 hours	tga1_tga4_root_2h_KNO3_rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	15	day	Col-0	seedling	EFO	EFO_0001992	root	EFO	EFO_0000989	TGA1 and TGA4 double mutant	P-GSE43011-2	ArrayExpress	P-GSE43011-3	ArrayExpress	P-GSE43011-4	ArrayExpress	GSM1054985 extract 1	total RNA	P-GSE43011-5	ArrayExpress	GSM1054985 LE 1	biotin	P-GSE43011-6	ArrayExpress	GSM1054985	A-AFFY-2	ArrayExpress	array assay	P-GSE43011-7	ArrayExpress	P-GSE43011-8	ArrayExpress	GSM1054985_tga1_tga4_KNO3_2H_R3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43011/E-GEOD-43011.raw.1.zip	P-GSE43011-1	ArrayExpress	GSM1054985_sample_table.txt norm	GSM1054985_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43011/E-GEOD-43011.processed.1.zip	potassium nitrate	TGA1 and TGA4 double mutant
GSM1054984 1	TGA1 and TGA4 double mutant seedlings (tga1/tga4), treated with 5 mM KNO3 for 2 hours. Roots were cut and total RNA was extracted using TriZol. tga1_tga4 KNO3 2H R2	tga1_tga4 roots, treated with 5 mM KNO3 for 2 hours	tga1_tga4_root_2h_KNO3_rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	15	day	Col-0	seedling	EFO	EFO_0001992	root	EFO	EFO_0000989	TGA1 and TGA4 double mutant	P-GSE43011-2	ArrayExpress	P-GSE43011-3	ArrayExpress	P-GSE43011-4	ArrayExpress	GSM1054984 extract 1	total RNA	P-GSE43011-5	ArrayExpress	GSM1054984 LE 1	biotin	P-GSE43011-6	ArrayExpress	GSM1054984	A-AFFY-2	ArrayExpress	array assay	P-GSE43011-7	ArrayExpress	P-GSE43011-8	ArrayExpress	GSM1054984_tga1_tga4_KNO3_2H_R2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43011/E-GEOD-43011.raw.1.zip	P-GSE43011-1	ArrayExpress	GSM1054984_sample_table.txt norm	GSM1054984_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43011/E-GEOD-43011.processed.1.zip	potassium nitrate	TGA1 and TGA4 double mutant
GSM1054983 1	TGA1 and TGA4 double mutant seedlings (tga1/tga4), treated with 5 mM KNO3 for 2 hours. Roots were cut and total RNA was extracted using TriZol. tga1_tga4 KNO3 2H R1	tga1_tga4 roots, treated with 5 mM KNO3 for 2 hours	tga1_tga4_root_2h_KNO3_rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	15	day	Col-0	seedling	EFO	EFO_0001992	root	EFO	EFO_0000989	TGA1 and TGA4 double mutant	P-GSE43011-2	ArrayExpress	P-GSE43011-3	ArrayExpress	P-GSE43011-4	ArrayExpress	GSM1054983 extract 1	total RNA	P-GSE43011-5	ArrayExpress	GSM1054983 LE 1	biotin	P-GSE43011-6	ArrayExpress	GSM1054983	A-AFFY-2	ArrayExpress	array assay	P-GSE43011-7	ArrayExpress	P-GSE43011-8	ArrayExpress	GSM1054983_tga1_tga4_KNO3_2H_R1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43011/E-GEOD-43011.raw.1.zip	P-GSE43011-1	ArrayExpress	GSM1054983_sample_table.txt norm	GSM1054983_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43011/E-GEOD-43011.processed.1.zip	potassium nitrate	TGA1 and TGA4 double mutant
GSM1054982 1	TGA1 and TGA4 double mutant seedlings (tga1/tga4), treated with 5 mM KCl for 2 hours. Roots were cut and total RNA was extracted using TriZol. tga1_tga4 KCl 2H R3	tga1_tga4 roots, treated with 5 mM KCl for 2 hours	tga1_tga4_root_2h_KCl_rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	15	day	Col-0	seedling	EFO	EFO_0001992	root	EFO	EFO_0000989	TGA1 and TGA4 double mutant	P-GSE43011-2	ArrayExpress	P-GSE43011-3	ArrayExpress	P-GSE43011-4	ArrayExpress	GSM1054982 extract 1	total RNA	P-GSE43011-5	ArrayExpress	GSM1054982 LE 1	biotin	P-GSE43011-6	ArrayExpress	GSM1054982	A-AFFY-2	ArrayExpress	array assay	P-GSE43011-7	ArrayExpress	P-GSE43011-8	ArrayExpress	GSM1054982_tga1_tga4_KCl_2H_R3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43011/E-GEOD-43011.raw.1.zip	P-GSE43011-1	ArrayExpress	GSM1054982_sample_table.txt norm	GSM1054982_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43011/E-GEOD-43011.processed.1.zip	potassium chloride	TGA1 and TGA4 double mutant
GSM1054981 1	TGA1 and TGA4 double mutant seedlings (tga1/tga4), treated with 5 mM KCl for 2 hours. Roots were cut and total RNA was extracted using TriZol. tga1_tga4 KCl 2H R2	tga1_tga4 roots, treated with 5 mM KCl for 2 hours	tga1_tga4_root_2h_KCl_rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	15	day	Col-0	seedling	EFO	EFO_0001992	root	EFO	EFO_0000989	TGA1 and TGA4 double mutant	P-GSE43011-2	ArrayExpress	P-GSE43011-3	ArrayExpress	P-GSE43011-4	ArrayExpress	GSM1054981 extract 1	total RNA	P-GSE43011-5	ArrayExpress	GSM1054981 LE 1	biotin	P-GSE43011-6	ArrayExpress	GSM1054981	A-AFFY-2	ArrayExpress	array assay	P-GSE43011-7	ArrayExpress	P-GSE43011-8	ArrayExpress	GSM1054981_tga1_tga4_KCl_2H_R2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43011/E-GEOD-43011.raw.1.zip	P-GSE43011-1	ArrayExpress	GSM1054981_sample_table.txt norm	GSM1054981_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43011/E-GEOD-43011.processed.1.zip	potassium chloride	TGA1 and TGA4 double mutant
GSM1054980 1	TGA1 and TGA4 double mutant seedlings (tga1/tga4), treated with 5 mM KCl for 2 hours. Roots were cut and total RNA was extracted using TriZol. tga1_tga4 KCl 2H R1	tga1_tga4 roots, treated with 5 mM KCl for 2 hours	tga1_tga4_root_2h_KCl_rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	15	day	Col-0	seedling	EFO	EFO_0001992	root	EFO	EFO_0000989	TGA1 and TGA4 double mutant	P-GSE43011-2	ArrayExpress	P-GSE43011-3	ArrayExpress	P-GSE43011-4	ArrayExpress	GSM1054980 extract 1	total RNA	P-GSE43011-5	ArrayExpress	GSM1054980 LE 1	biotin	P-GSE43011-6	ArrayExpress	GSM1054980	A-AFFY-2	ArrayExpress	array assay	P-GSE43011-7	ArrayExpress	P-GSE43011-8	ArrayExpress	GSM1054980_tga1_tga4_KCl_2H_R1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43011/E-GEOD-43011.raw.1.zip	P-GSE43011-1	ArrayExpress	GSM1054980_sample_table.txt norm	GSM1054980_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43011/E-GEOD-43011.processed.1.zip	potassium chloride	TGA1 and TGA4 double mutant
GSM1054979 1	Col 0 wild-type seedlings, treated with 5 mM KNO3 for 2 hours. Roots were cut and total RNA was extracted using TriZol. Col 0 KNO3 2H R3	Col 0 roots, treated with 5 mM KNO3 for 2 hours	Col 0_root_2h_KNO3_rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	15	day	Col-0	seedling	EFO	EFO_0001992	root	EFO	EFO_0000989	wild type	P-GSE43011-2	ArrayExpress	P-GSE43011-3	ArrayExpress	P-GSE43011-4	ArrayExpress	GSM1054979 extract 1	total RNA	P-GSE43011-5	ArrayExpress	GSM1054979 LE 1	biotin	P-GSE43011-6	ArrayExpress	GSM1054979	A-AFFY-2	ArrayExpress	array assay	P-GSE43011-7	ArrayExpress	P-GSE43011-8	ArrayExpress	GSM1054979_Col_0_KNO3_2H_R3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43011/E-GEOD-43011.raw.1.zip	P-GSE43011-1	ArrayExpress	GSM1054979_sample_table.txt norm	GSM1054979_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43011/E-GEOD-43011.processed.1.zip	potassium nitrate	wild type
GSM1054978 1	Col 0 wild-type seedlings, treated with 5 mM KNO3 for 2 hours. Roots were cut and total RNA was extracted using TriZol. Col 0 KNO3 2H R2	Col 0 roots, treated with 5 mM KNO3 for 2 hours	Col 0_root_2h_KNO3_rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	15	day	Col-0	seedling	EFO	EFO_0001992	root	EFO	EFO_0000989	wild type	P-GSE43011-2	ArrayExpress	P-GSE43011-3	ArrayExpress	P-GSE43011-4	ArrayExpress	GSM1054978 extract 1	total RNA	P-GSE43011-5	ArrayExpress	GSM1054978 LE 1	biotin	P-GSE43011-6	ArrayExpress	GSM1054978	A-AFFY-2	ArrayExpress	array assay	P-GSE43011-7	ArrayExpress	P-GSE43011-8	ArrayExpress	GSM1054978_Col_0_KNO3_2H_R2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43011/E-GEOD-43011.raw.1.zip	P-GSE43011-1	ArrayExpress	GSM1054978_sample_table.txt norm	GSM1054978_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43011/E-GEOD-43011.processed.1.zip	potassium nitrate	wild type
GSM1054977 1	Col 0 wild-type seedlings, treated with 5 mM KNO3 for 2 hours. Roots were cut and total RNA was extracted using TriZol. Col 0 KNO3 2H R1	Col 0 roots, treated with 5 mM KNO3 for 2 hours	Col 0_root_2h_KNO3_rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	15	day	Col-0	seedling	EFO	EFO_0001992	root	EFO	EFO_0000989	wild type	P-GSE43011-2	ArrayExpress	P-GSE43011-3	ArrayExpress	P-GSE43011-4	ArrayExpress	GSM1054977 extract 1	total RNA	P-GSE43011-5	ArrayExpress	GSM1054977 LE 1	biotin	P-GSE43011-6	ArrayExpress	GSM1054977	A-AFFY-2	ArrayExpress	array assay	P-GSE43011-7	ArrayExpress	P-GSE43011-8	ArrayExpress	GSM1054977_Col_0_KNO3_2H_R1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43011/E-GEOD-43011.raw.1.zip	P-GSE43011-1	ArrayExpress	GSM1054977_sample_table.txt norm	GSM1054977_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43011/E-GEOD-43011.processed.1.zip	potassium nitrate	wild type
GSM1054976 1	Col 0 wild-type seedlings, treated with 5 mM KCl for 2 hours. Roots were cut and total RNA was extracted using TriZol. Col 0 KCl 2H R3	Col 0 roots, treated with 5 mM KCl for 2 hours	Col 0_root_2h_KCl_rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	15	day	Col-0	seedling	EFO	EFO_0001992	root	EFO	EFO_0000989	wild type	P-GSE43011-2	ArrayExpress	P-GSE43011-3	ArrayExpress	P-GSE43011-4	ArrayExpress	GSM1054976 extract 1	total RNA	P-GSE43011-5	ArrayExpress	GSM1054976 LE 1	biotin	P-GSE43011-6	ArrayExpress	GSM1054976	A-AFFY-2	ArrayExpress	array assay	P-GSE43011-7	ArrayExpress	P-GSE43011-8	ArrayExpress	GSM1054976_Col_0_KCl_2H_R3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43011/E-GEOD-43011.raw.1.zip	P-GSE43011-1	ArrayExpress	GSM1054976_sample_table.txt norm	GSM1054976_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43011/E-GEOD-43011.processed.1.zip	potassium chloride	wild type
