Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[developmental stage]	Characteristics[organism part]	Description	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[organism part]	FactorValue[time]	Unit[time unit]
GSE5637GSM131794	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5637-20	GSE5637GSM131794 sample	GSE5637GSM131794 extract	total_RNA	GSE5637GSM131794 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A85_2-4hr-Rep4_ATH1	A-AFFY-2	P-AFFY-6	Quick_A85_2-4hr-Rep4_ATH1	GSM131794.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.raw.1.zip	E-GEOD-5637-processed-data-1628509306.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.processed.1.zip	developing leaf insertions	4	hour
GSE5637GSM131790	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5637-16	GSE5637GSM131790 sample	GSE5637GSM131790 extract	total_RNA	GSE5637GSM131790 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A67_2-24hr_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Quick_A67_2-24hr_Rep3_ATH1	GSM131790.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.raw.1.zip	E-GEOD-5637-processed-data-1628509306.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.processed.1.zip	developing leaf insertions	24	hour
GSE5637GSM131776	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5637-2	GSE5637GSM131776 sample	GSE5637GSM131776 extract	total_RNA	GSE5637GSM131776 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A7_2-4hr-Rep1_ATH1	A-AFFY-2	P-AFFY-6	Quick_A7_2-4hr-Rep1_ATH1	GSM131776.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.raw.1.zip	E-GEOD-5637-processed-data-1628509306.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.processed.1.zip	developing leaf insertions	4	hour
GSE5637GSM131778	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5637-4	GSE5637GSM131778 sample	GSE5637GSM131778 extract	total_RNA	GSE5637GSM131778 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A15_2-24hr_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Quick_A15_2-24hr_Rep1_ATH1	GSM131778.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.raw.1.zip	E-GEOD-5637-processed-data-1628509306.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.processed.1.zip	developing leaf insertions	24	hour
GSE5637GSM131798	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5637-24	GSE5637GSM131798 sample	GSE5637GSM131798 extract	total_RNA	GSE5637GSM131798 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A101_2-96hr_Rep4_ATH1	A-AFFY-2	P-AFFY-6	Quick_A101_2-96hr_Rep4_ATH1	GSM131798.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.raw.1.zip	E-GEOD-5637-processed-data-1628509306.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.processed.1.zip	developing leaf insertions	96	hour
GSE5637GSM131782	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5637-8	GSE5637GSM131782 sample	GSE5637GSM131782 extract	total_RNA	GSE5637GSM131782 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A33_2-4hr-Rep2_ATH1	A-AFFY-2	P-AFFY-6	Quick_A33_2-4hr-Rep2_ATH1	GSM131782.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.raw.1.zip	E-GEOD-5637-processed-data-1628509306.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.processed.1.zip	developing leaf insertions	4	hour
GSE5637GSM131787	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5637-13	GSE5637GSM131787 sample	GSE5637GSM131787 extract	total_RNA	GSE5637GSM131787 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A55_2-2hr_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Quick_A55_2-2hr_Rep3_ATH1	GSM131787.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.raw.1.zip	E-GEOD-5637-processed-data-1628509306.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.processed.1.zip	developing leaf insertions	2	hour
GSE5637GSM131780	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5637-6	GSE5637GSM131780 sample	GSE5637GSM131780 extract	total_RNA	GSE5637GSM131780 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A23_2-96hr_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Quick_A23_2-96hr_Rep1_ATH1	GSM131780.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.raw.1.zip	E-GEOD-5637-processed-data-1628509306.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.processed.1.zip	developing leaf insertions	96	hour
GSE5637GSM131795	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5637-21	GSE5637GSM131795 sample	GSE5637GSM131795 extract	total_RNA	GSE5637GSM131795 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A89_2-12hr_Rep4_ATH1	A-AFFY-2	P-AFFY-6	Quick_A89_2-12hr_Rep4_ATH1	GSM131795.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.raw.1.zip	E-GEOD-5637-processed-data-1628509306.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.processed.1.zip	developing leaf insertions	12	hour
GSE5637GSM131789	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5637-15	GSE5637GSM131789 sample	GSE5637GSM131789 extract	total_RNA	GSE5637GSM131789 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A63_2-12hr_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Quick_A63_2-12hr_Rep3_ATH1	GSM131789.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.raw.1.zip	E-GEOD-5637-processed-data-1628509306.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5637/E-GEOD-5637.processed.1.zip	developing leaf insertions	12	hour
