Source Name	Material Type	Characteristics[organism]	Characteristics[biosource type]	Characteristics[developmental stage]	Characteristics[initial time point]	Characteristics[genetic modification]	Characteristics[genotype]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Term Source REF	LabeledExtract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[genotype]	Factor Value[temperature]	Unit[temperature unit]
ahk2ahk3 cold 1set	whole organism	Arabidopsis thaliana	frozen_sample	seedling	germination	knock out	ahk2ahk3	P-MTAB-28029	P-MTAB-28026	P-MTAB-28032	E_ahk2ahk3 cold 1set	total_RNA	P-AFFY-2	ArrayExpress	L_ahk2ahk3 cold 1set	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_ahk2ahk3 cold 1set	A-AFFY-2	P-MTAB-28031	ahk2-23-3cold1set.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3714/E-MEXP-3714.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	ahk2-23-3cold1set.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3714/E-MEXP-3714.processed.1.zip	ahk2ahk3	1	degree celsius
ahk2ahk3 cold 2set	whole organism	Arabidopsis thaliana	frozen_sample	seedling	germination	knock out	ahk2ahk3	P-MTAB-28029	P-MTAB-28026	P-MTAB-28032	E_ahk2ahk3 cold 2set	total_RNA	P-AFFY-2	ArrayExpress	L_ahk2ahk3 cold 2set	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_ahk2ahk3 cold 2set	A-AFFY-2	P-MTAB-28031	ahk2-23-3cold2set.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3714/E-MEXP-3714.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	ahk2-2_3-3_cold_2set.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3714/E-MEXP-3714.processed.1.zip	ahk2ahk3	1	degree celsius
ahk2ahk3 cold 3set	whole organism	Arabidopsis thaliana	frozen_sample	seedling	germination	knock out	ahk2ahk3	P-MTAB-28029	P-MTAB-28026	P-MTAB-28032	E_ahk2ahk3 cold 3set	total_RNA	P-AFFY-2	ArrayExpress	L_ahk2ahk3 cold 3set	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_ahk2ahk3 cold 3set	A-AFFY-2	P-MTAB-28031	ahk2-23-3cold3set.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3714/E-MEXP-3714.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	ahk2-23-3cold3set.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3714/E-MEXP-3714.processed.1.zip	ahk2ahk3	1	degree celsius
ahk2ahk3 -cold 1set	whole organism	Arabidopsis thaliana	frozen_sample	seedling	germination	knock out	ahk2ahk3	P-MTAB-28028	P-MTAB-28026	P-MTAB-28032	E_ahk2ahk3 -cold 1set	total_RNA	P-AFFY-2	ArrayExpress	L_ahk2ahk3 -cold 1set	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_ahk2ahk3 -cold 1set	A-AFFY-2	P-MTAB-28031	ahk2-23-3-cold1set.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3714/E-MEXP-3714.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	ahk2-23-3-cold1set.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3714/E-MEXP-3714.processed.1.zip	ahk2ahk3	23	degree celsius
ahk2ahk3 -cold 2set	whole organism	Arabidopsis thaliana	frozen_sample	seedling	germination	knock out	ahk2ahk3	P-MTAB-28028	P-MTAB-28026	P-MTAB-28032	E_ahk2ahk3 -cold 2set	total_RNA	P-AFFY-2	ArrayExpress	L_ahk2ahk3 -cold 2set	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_ahk2ahk3 -cold 2set	A-AFFY-2	P-MTAB-28031	ahk2-23-3-cold2set.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3714/E-MEXP-3714.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	ahk2-23-3-cold2set.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3714/E-MEXP-3714.processed.1.zip	ahk2ahk3	23	degree celsius
ahk2ahk3 -cold 3set	whole organism	Arabidopsis thaliana	frozen_sample	seedling	germination	knock out	ahk2ahk3	P-MTAB-28028	P-MTAB-28026	P-MTAB-28032	E_ahk2ahk3 -cold 3set	total_RNA	P-AFFY-2	ArrayExpress	L_ahk2ahk3 -cold 3set	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_ahk2ahk3 -cold 3set	A-AFFY-2	P-MTAB-28031	ahk2-23-3-cold3set.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3714/E-MEXP-3714.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	ahk2-23-3-cold3set.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3714/E-MEXP-3714.processed.1.zip	ahk2ahk3	23	degree celsius
Col-0 cold 1set	whole organism	Arabidopsis thaliana	frozen_sample	seedling	germination	none	wild type	P-MTAB-28029	P-MTAB-28030	P-MTAB-28027	E_Col-0 cold 1set	total_RNA	P-AFFY-2	ArrayExpress	L_Col-0 cold 1set	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_Col-0 cold 1set	A-AFFY-2	P-MTAB-28031	Col-0cold1set.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3714/E-MEXP-3714.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	Col-0cold1set.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3714/E-MEXP-3714.processed.1.zip	wild type	1	degree celsius
Col-0 cold 2set	whole organism	Arabidopsis thaliana	frozen_sample	seedling	germination	none	wild type	P-MTAB-28029	P-MTAB-28030	P-MTAB-28027	E_Col-0 cold 2set	total_RNA	P-AFFY-2	ArrayExpress	L_Col-0 cold 2set	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_Col-0 cold 2set	A-AFFY-2	P-MTAB-28031	Col-0cold2set.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3714/E-MEXP-3714.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	Col-0cold2set.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3714/E-MEXP-3714.processed.1.zip	wild type	1	degree celsius
Col-0 cold 3set	whole organism	Arabidopsis thaliana	frozen_sample	seedling	germination	none	wild type	P-MTAB-28029	P-MTAB-28030	P-MTAB-28027	E_Col-0 cold 3set	total_RNA	P-AFFY-2	ArrayExpress	L_Col-0 cold 3set	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_Col-0 cold 3set	A-AFFY-2	P-MTAB-28031	Col-0cold3set.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3714/E-MEXP-3714.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	Col-0cold3set.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3714/E-MEXP-3714.processed.1.zip	wild type	1	degree celsius
Col-0 -cold 1set	whole organism	Arabidopsis thaliana	frozen_sample	seedling	germination	none	wild type	P-MTAB-28028	P-MTAB-28030	P-MTAB-28027	E_Col-0 -cold 1set	total_RNA	P-AFFY-2	ArrayExpress	L_Col-0 -cold 1set	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_Col-0 -cold 1set	A-AFFY-2	P-MTAB-28031	Col-0-cold1set.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3714/E-MEXP-3714.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	Col-0-cold1set.mas5.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3714/E-MEXP-3714.processed.1.zip	wild type	23	degree celsius
