Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Scan Name	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE1766GSM28439	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Seedlings treated with control solution:  Transgenic Arabdopsis thaliana 35S::CKX1 seedlings overexpressing cytokinin oxidase grown in liquid MS were treated for 2 hours with the solvent used for dissolving Benzyl adenin in the induction experiments. Total RNA was extracted with the TRIzol method using the high salt precipitation described in the troubleshooting section of the TRIzol manual. The RNA was further purified using Qiagen mini columns. 5 Âµg of the purified total RNA was used for cDNA synthesis using Invitrogen SuperScriptII reverse transcriptase and a mixture of Ligase, DNA polymerase, and RNase and purified using Qiagen PCR purification columns. The whole amount of cDNA was used as a template to synthesize Biotin-labeled cRNA using the Enzo High Yield RNA transcript labeling kit. After fragmentation as recommended by Affymetrix, the sample was submitted to the RZPD (Berlin), where the subsequent steps were performed to generate a table containing the normalized expression values and expression calls..	GSE1766GSM28439 sample	GSE1766GSM28439 extract	total_RNA	GSE1766GSM28439 LE	biotin	synthetic_RNA	CKX1 BA 0 #1	A-AFFY-2	CKX1 BA 0 #1	E-GEOD-1766-processed-data-1626233757.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1766/E-GEOD-1766.processed.1.zip
GSE1766GSM28438	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Seedlings treated with 6-Benzyl adenine dissolved in diluted KOH for 120 min:  Arabdopsis thaliana Col-0 seedlings grown for 6 days in liquid MS were treated for 120 minutes with 6-Benzyl adenine dissolved in diluted KOH. Total RNA was extracted with the TRIzol method using the high salt precipitation described in the troubleshooting section of the TRIzol manual. The RNA was further purified using Qiagen mini columns. 5 Âµg of the purified total RNA was used for cDNA synthesis using Invitrogen SuperScriptII reverse transcriptase and a mixture of Ligase, DNA polymerase, and RNase and purified using Qiagen PCR purification columns. The whole amount of cDNA was used as a template to synthesize Biotin-labeled cRNA using the Enzo High Yield RNA transcript labeling kit. After fragmentation as recommended by Affymetrix, the sample was submitted to the RZPD (Berlin), where the subsequent steps were performed resulting in a table containing the normalized expression values and expression calls..	GSE1766GSM28438 sample	GSE1766GSM28438 extract	total_RNA	GSE1766GSM28438 LE	biotin	synthetic_RNA	Col-0 BA 120 #2	A-AFFY-2	Col-0 BA 120 #2	E-GEOD-1766-processed-data-1626233757.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1766/E-GEOD-1766.processed.1.zip
GSE1766GSM27376	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Seedlings treated with 6-Benzyl adenine dissolved in diluted KOH for 15 min:  Arabdopsis thaliana Col-0 seedlings grown for 6 days in liquid MS were treated for 15 minutes with 6-Benzyl adenine dissolved in diluted KOH. Total RNA was extracted with the TRIzol method using the high salt precipitation described in the troubleshooting section of the TRIzol manual. The RNA was further purified using Qiagen mini columns. 5 Âµg of the purified total RNA was used for cDNA synthesis using Invitrogen SuperScriptII reverse transcriptase and a mixture of Ligase, DNA polymerase, and RNase and purified using Qiagen PCR purification columns. The whole amount of cDNA was used as a template to synthesize Biotin-labeled cRNA using the Enzo High Yield RNA transcript labeling kit. After fragmentation as recommended by Affymetrix, the sample was submitted to the RZPD (Berlin), where the subsequent steps were performed to generate a table containing the normalized expression values and expression calls..	GSE1766GSM27376 sample	GSE1766GSM27376 extract	total_RNA	GSE1766GSM27376 LE	biotin	synthetic_RNA	Col-0 BA 15 #1	A-AFFY-2	Col-0 BA 15 #1	E-GEOD-1766-processed-data-1626233757.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1766/E-GEOD-1766.processed.1.zip
GSE1766GSM28436	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Seedlings treated with control solution:  Arabdopsis thaliana Col-0 seedlings grown in liquid MS were treated for 2 hours with the solvent used for dissolving Benzyl adenin in the induction experiments..	GSE1766GSM28436 sample	GSE1766GSM28436 extract	total_RNA	GSE1766GSM28436 LE	biotin	synthetic_RNA	Col-0 BA 0 #2	A-AFFY-2	Col-0 BA 0 #2	E-GEOD-1766-processed-data-1626233757.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1766/E-GEOD-1766.processed.1.zip
GSE1766GSM28443	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Seedlings treated with control solution:  Transgenic Arabdopsis thaliana 35S::CKX1 seedlings overexpressing cytokinin oxidase grown in liquid MS were treated for 2 hours with the solvent used for dissolving Benzyl adenin in the induction experiments. Total RNA was extracted with the TRIzol method using the high salt precipitation described in the troubleshooting section of the TRIzol manual. The RNA was further purified using Qiagen mini columns. 5 Âµg of the purified total RNA was used for cDNA synthesis using Invitrogen SuperScriptII reverse transcriptase and a mixture of Ligase, DNA polymerase, and RNase and purified using Qiagen PCR purification columns. The whole amount of cDNA was used as a template to synthesize Biotin-labeled cRNA using the Enzo High Yield RNA transcript labeling kit. After fragmentation as recommended by Affymetrix, the sample was submitted to the RZPD (Berlin), where the subsequent steps were performed to generate a table containing the normalized expression values and expression calls..	GSE1766GSM28443 sample	GSE1766GSM28443 extract	total_RNA	GSE1766GSM28443 LE	biotin	synthetic_RNA	CKX1 BA 0 #3	A-AFFY-2	CKX1 BA 0 #3	E-GEOD-1766-processed-data-1626233757.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1766/E-GEOD-1766.processed.1.zip
GSE1766GSM28441	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Seedlings treated with control solution:  Transgenic Arabdopsis thaliana 35S::CKX1 seedlings overexpressing cytokinin oxidase grown in liquid MS were treated for 2 hours with the solvent used for dissolving Benzyl adenin in the induction experiments. Total RNA was extracted with the TRIzol method using the high salt precipitation described in the troubleshooting section of the TRIzol manual. The RNA was further purified using Qiagen mini columns. 5 Âµg of the purified total RNA was used for cDNA synthesis using Invitrogen SuperScriptII reverse transcriptase and a mixture of Ligase, DNA polymerase, and RNase and purified using Qiagen PCR purification columns. The whole amount of cDNA was used as a template to synthesize Biotin-labeled cRNA using the Enzo High Yield RNA transcript labeling kit. After fragmentation as recommended by Affymetrix, the sample was submitted to the RZPD (Berlin), where the subsequent steps were performed to generate a table containing the normalized expression values and expression calls..	GSE1766GSM28441 sample	GSE1766GSM28441 extract	total_RNA	GSE1766GSM28441 LE	biotin	synthetic_RNA	CKX1 BA 0 #2	A-AFFY-2	CKX1 BA 0 #2	E-GEOD-1766-processed-data-1626233757.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1766/E-GEOD-1766.processed.1.zip
GSE1766GSM28442	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Seedlings treated with 6-Benzyl adenine dissolved in diluted KOH for 15 min:  Transgenic Arabdopsis thaliana 35S::CKX1 seedlings overexpressing cytokinin oxidase grown in liquid MS were treated for 15 minutes with 6-Benzyl adenine dissolved in diluted KOH. Total RNA was extracted with the TRIzol method using the high salt precipitation described in the troubleshooting section of the TRIzol manual. The RNA was further purified using Qiagen mini columns. 5 Âµg of the purified total RNA was used for cDNA synthesis using Invitrogen SuperScriptII reverse transcriptase and a mixture of Ligase, DNA polymerase, and RNase and purified using Qiagen PCR purification columns. The whole amount of cDNA was used as a template to synthesize Biotin-labeled cRNA using the Enzo High Yield RNA transcript labeling kit. After fragmentation as recommended by Affymetrix, the sample was submitted to the RZPD (Berlin), where the subsequent steps were performed to generate a table containing the normalized expression values and expression calls..	GSE1766GSM28442 sample	GSE1766GSM28442 extract	total_RNA	GSE1766GSM28442 LE	biotin	synthetic_RNA	CKX1 BA 15 #2	A-AFFY-2	CKX1 BA 15 #2	E-GEOD-1766-processed-data-1626233757.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1766/E-GEOD-1766.processed.1.zip
GSE1766GSM27377	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Seedlings treated with control solution:  Arabdopsis thaliana Col-0 seedlings grown for 6 days in liquid MS were treated for 120 minutes with 6-Benzyl adenine dissolved in diluted KOH. Total RNA was extracted with the TRIzol method using the high salt precipitation described in the troubleshooting section of the TRIzol manual. The RNA was further purified using Qiagen mini columns. 5 Âµg of the purified total RNA was used for cDNA synthesis using Invitrogen SuperScriptII reverse transcriptase and a mixture of Ligase, DNA polymerase, and RNase and purified using Qiagen PCR purification columns. The whole amount of cDNA was used as a template to synthesize Biotin-labeled cRNA using the Enzo High Yield RNA transcript labeling kit. After fragmentation as recommended by Affymetrix, the sample was submitted to the RZPD (Berlin), where the subsequent steps were performed resulting in a table containing the normalized expression values and expression calls..	GSE1766GSM27377 sample	GSE1766GSM27377 extract	total_RNA	GSE1766GSM27377 LE	biotin	synthetic_RNA	Col-0 BA 120 #1	A-AFFY-2	Col-0 BA 120 #1	E-GEOD-1766-processed-data-1626233757.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1766/E-GEOD-1766.processed.1.zip
GSE1766GSM28445	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Seedlings treated with 6-Benzyl adenine dissolved in diluted KOH for 15 min:  Transgenic Arabdopsis thaliana 35S::CKX1 seedlings overexpressing cytokinin oxidase grown in liquid MS were treated for 15 minutes with 6-Benzyl adenine dissolved in diluted KOH. Total RNA was extracted with the TRIzol method using the high salt precipitation described in the troubleshooting section of the TRIzol manual. The RNA was further purified using Qiagen mini columns. 5 Âµg of the purified total RNA was used for cDNA synthesis using Invitrogen SuperScriptII reverse transcriptase and a mixture of Ligase, DNA polymerase, and RNase and purified using Qiagen PCR purification columns. The whole amount of cDNA was used as a template to synthesize Biotin-labeled cRNA using the Enzo High Yield RNA transcript labeling kit. After fragmentation as recommended by Affymetrix, the sample was submitted to the RZPD (Berlin), where the subsequent steps were performed to generate a table containing the normalized expression values and expression calls..	GSE1766GSM28445 sample	GSE1766GSM28445 extract	total_RNA	GSE1766GSM28445 LE	biotin	synthetic_RNA	CKX1 BA 15 #4	A-AFFY-2	CKX1 BA 15 #4	E-GEOD-1766-processed-data-1626233757.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1766/E-GEOD-1766.processed.1.zip
GSE1766GSM28440	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Seedlings treated with 6-Benzyl adenine dissolved in diluted KOH for 15 min:  Transgenic Arabdopsis thaliana 35S::CKX1 seedlings overexpressing cytokinin oxidase grown in liquid MS were treated for 15 minutes with 6-Benzyl adenine dissolved in diluted KOH. Total RNA was extracted with the TRIzol method using the high salt precipitation described in the troubleshooting section of the TRIzol manual. The RNA was further purified using Qiagen mini columns. 5 Âµg of the purified total RNA was used for cDNA synthesis using Invitrogen SuperScriptII reverse transcriptase and a mixture of Ligase, DNA polymerase, and RNase and purified using Qiagen PCR purification columns. The whole amount of cDNA was used as a template to synthesize Biotin-labeled cRNA using the Enzo High Yield RNA transcript labeling kit. After fragmentation as recommended by Affymetrix, the sample was submitted to the RZPD (Berlin), where the subsequent steps were performed to generate a table containing the normalized expression values and expression calls..	GSE1766GSM28440 sample	GSE1766GSM28440 extract	total_RNA	GSE1766GSM28440 LE	biotin	synthetic_RNA	CKX1 BA 15 #1	A-AFFY-2	CKX1 BA 15 #1	E-GEOD-1766-processed-data-1626233757.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1766/E-GEOD-1766.processed.1.zip
