Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[OrganismPart]	Characteristics[DevelopmentalStage]	Characteristics[Genotype]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GENOTYPE]	FactorValue[GROWTH CONDITION]
GSE6169GSM142781	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	seedling	wild_type	McCormac_2-6_wildtype-Dpretreated_Rep2_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 108.57 Background Stdev (float) = 5.03 Background Max (float) = 118.2 Background Min (float) = 98.2 Noise Avg (float) = 7.21 Noise Stdev (float) = 0.26 Noise Max (float) = 7.8 Noise Min (float) = 6.6 RawQ (float) = 4.07 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 632 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: AM002_ATH1_A6-MCCOR-WDB.DAT. OrganismPart: young seedlings in entirety with cotyledons, hypocotyl and primary roots - (no emerged true leaves).; Ecotype: Col-0; NASC:StockCode: N1092	P-G6169-12	P-G6169-11	GSE6169GSM142781 sample	P-G6169-4	GSE6169GSM142781 extract	total_RNA	P-G6169-3	GSE6169GSM142781 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AM002_ATH1_A6-MCCOR-WDB	A-AFFY-2	P-AFFY-6	AM002_ATH1_A6-MCCOR-WDB	GSM142781.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6169/E-GEOD-6169.raw.1.zip	E-GEOD-6169-processed-data-1628835527.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6169/E-GEOD-6169.processed.1.zip	wild_type	darkness
GSE6169GSM142774	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	seedling	phyA mutant	McCormac_2-9_phyAmutant-FRprecon_Rep1_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 80.57 Background Stdev (float) = 4.25 Background Max (float) = 92.8 Background Min (float) = 73.6 Noise Avg (float) = 5.31 Noise Stdev (float) = 0.63 Noise Max (float) = 7.3 Noise Min (float) = 4.2 RawQ (float) = 3.18 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 505 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: AM002_ATH1_A9-MCCOR-AFA.DAT. OrganismPart: young seedlings in entirety with cotyledons, hypocotyl and primary roots - (no emerged true leaves).; Ecotype: phyA-null mutant; NASC:StockCode: N6219	P-G6169-1	P-G6169-6	GSE6169GSM142774 sample	P-G6169-4	GSE6169GSM142774 extract	total_RNA	P-G6169-3	GSE6169GSM142774 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AM002_ATH1_A9-MCCOR-AFA	A-AFFY-2	P-AFFY-6	AM002_ATH1_A9-MCCOR-AFA	GSM142774.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6169/E-GEOD-6169.raw.1.zip	E-GEOD-6169-processed-data-1628835527.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6169/E-GEOD-6169.processed.1.zip	phyA mutant	far-red light
GSE6169GSM142775	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	seedling	phyA mutant	McCormac_2-10_phyAmutant-Dpretreated_Rep1_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 87.54 Background Stdev (float) = 3.09 Background Max (float) = 94.6 Background Min (float) = 80.5 Noise Avg (float) = 5.40 Noise Stdev (float) = 0.26 Noise Max (float) = 6.2 Noise Min (float) = 4.8 RawQ (float) = 3.61 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 291 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: AM002_ATH1_A10-MCCOR-ADA.DAT. OrganismPart: young seedlings in entirety with cotyledons, hypocotyl and primary roots - (no emerged true leaves).; Ecotype: phyA-null mutant; NASC:StockCode: N6219	P-G6169-7	P-G6169-8	GSE6169GSM142775 sample	P-G6169-4	GSE6169GSM142775 extract	total_RNA	P-G6169-3	GSE6169GSM142775 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AM002_ATH1_A10-MCCOR-ADA	A-AFFY-2	P-AFFY-6	AM002_ATH1_A10-MCCOR-ADA	GSM142775.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6169/E-GEOD-6169.raw.1.zip	E-GEOD-6169-processed-data-1628835527.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6169/E-GEOD-6169.processed.1.zip	phyA mutant	darkness
GSE6169GSM142773	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	seedling	gun1, gun5 double mutant	McCormac_2-8_gun-mutant-Dpretreated_Rep2_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 88.06 Background Stdev (float) = 3.54 Background Max (float) = 96.8 Background Min (float) = 81.5 Noise Avg (float) = 5.14 Noise Stdev (float) = 0.29 Noise Max (float) = 6.1 Noise Min (float) = 4.6 RawQ (float) = 3.31 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 283 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: AM002_ATH1_A8-MCCOR-GDB.DAT. OrganismPart: young seedlings in entirety with cotyledons, hypocotyl and primary roots - (no emerged true leaves).; Ecotype: gun1,gun5 double mutant; NASC:StockCode:	P-G6169-1	P-G6169-5	GSE6169GSM142773 sample	P-G6169-4	GSE6169GSM142773 extract	total_RNA	P-G6169-3	GSE6169GSM142773 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AM002_ATH1_A8-MCCOR-GDB	A-AFFY-2	P-AFFY-6	AM002_ATH1_A8-MCCOR-GDB	GSM142773.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6169/E-GEOD-6169.raw.1.zip	E-GEOD-6169-processed-data-1628835527.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6169/E-GEOD-6169.processed.1.zip	gun1, gun5 double mutant	darkness
GSE6169GSM142777	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	seedling	wild_type	McCormac_2-2_wildtype-Dpretreated_Rep1_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 94.39 Background Stdev (float) = 3.16 Background Max (float) = 104.4 Background Min (float) = 87.6 Noise Avg (float) = 6.12 Noise Stdev (float) = 0.33 Noise Max (float) = 7.3 Noise Min (float) = 5.6 RawQ (float) = 3.69 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 308 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: AM002_ATH1_A2-MCCOR-WDA.DAT. OrganismPart: young seedlings in entirety with cotyledons, hypocotyl and primary roots - (no emerged true leaves).; Ecotype: Col-0; NASC:StockCode: N1092	P-G6169-10	P-G6169-11	GSE6169GSM142777 sample	P-G6169-4	GSE6169GSM142777 extract	total_RNA	P-G6169-3	GSE6169GSM142777 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AM002_ATH1_A2-MCCOR-WDA	A-AFFY-2	P-AFFY-6	AM002_ATH1_A2-MCCOR-WDA	GSM142777.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6169/E-GEOD-6169.raw.1.zip	E-GEOD-6169-processed-data-1628835527.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6169/E-GEOD-6169.processed.1.zip	wild_type	darkness
GSE6169GSM142772	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	seedling	gun1, gun5 double mutant	McCormac_2-7_gun-mutant-Frprecon_Rep2_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 100.74 Background Stdev (float) = 3.98 Background Max (float) = 113.2 Background Min (float) = 92.5 Noise Avg (float) = 6.51 Noise Stdev (float) = 0.41 Noise Max (float) = 7.7 Noise Min (float) = 5.6 RawQ (float) = 3.94 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 328 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: AM002_ATH1_A7-MCCOR-GFB.DAT. OrganismPart: young seedlings in entirety with cotyledons, hypocotyl and primary roots - (no emerged true leaves).; Ecotype: gun1,gun5 double mutant; NASC:StockCode:	P-G6169-1	P-G6169-2	GSE6169GSM142772 sample	P-G6169-4	GSE6169GSM142772 extract	total_RNA	P-G6169-3	GSE6169GSM142772 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AM002_ATH1_A7-MCCOR-GFB	A-AFFY-2	P-AFFY-6	AM002_ATH1_A7-MCCOR-GFB	GSM142772.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6169/E-GEOD-6169.raw.1.zip	E-GEOD-6169-processed-data-1628835527.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6169/E-GEOD-6169.processed.1.zip	gun1, gun5 double mutant	far-red light
GSE6169GSM142776	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	seedling	wild_type	McCormac_2-1_wildtype-Frprecon_Rep1_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 84.85 Background Stdev (float) = 1.77 Background Max (float) = 90.4 Background Min (float) = 81.3 Noise Avg (float) = 5.75 Noise Stdev (float) = 0.27 Noise Max (float) = 6.5 Noise Min (float) = 4.9 RawQ (float) = 3.35 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 207 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: AM002_ATH1_A1-MCCOR-WFA.DAT. OrganismPart: young seedlings in entirety with cotyledons, hypocotyl and primary roots - (no emerged true leaves).; Ecotype: Col-0; NASC:StockCode: N1092	P-G6169-1	P-G6169-9	GSE6169GSM142776 sample	P-G6169-4	GSE6169GSM142776 extract	total_RNA	P-G6169-3	GSE6169GSM142776 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AM002_ATH1_A1-MCCOR-WFA	A-AFFY-2	P-AFFY-6	AM002_ATH1_A1-MCCOR-WFA	GSM142776.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6169/E-GEOD-6169.raw.1.zip	E-GEOD-6169-processed-data-1628835527.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6169/E-GEOD-6169.processed.1.zip	wild_type	far-red light
GSE6169GSM142778	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	seedling	gun1, gun5 double mutant	McCormac_2-3_gun-mutant-Frprecon_Rep1_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 97.91 Background Stdev (float) = 2.04 Background Max (float) = 104.0 Background Min (float) = 94.3 Noise Avg (float) = 5.91 Noise Stdev (float) = 0.22 Noise Max (float) = 6.6 Noise Min (float) = 5.3 RawQ (float) = 3.68 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 368 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: AM002_ATH1_A3-MCCOR-GFA.DAT. OrganismPart: young seedlings in entirety with cotyledons, hypocotyl and primary roots - (no emerged true leaves).; Ecotype: gun1,gun5 double mutant; NASC:StockCode:	P-G6169-1	P-G6169-2	GSE6169GSM142778 sample	P-G6169-4	GSE6169GSM142778 extract	total_RNA	P-G6169-3	GSE6169GSM142778 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AM002_ATH1_A3-MCCOR-GFA	A-AFFY-2	P-AFFY-6	AM002_ATH1_A3-MCCOR-GFA	GSM142778.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6169/E-GEOD-6169.raw.1.zip	E-GEOD-6169-processed-data-1628835527.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6169/E-GEOD-6169.processed.1.zip	gun1, gun5 double mutant	far-red light
GSE6169GSM142780	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	seedling	wild_type	McCormac_2-5_wildtype-Frprecon_Rep2_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 126.15 Background Stdev (float) = 4.36 Background Max (float) = 140.5 Background Min (float) = 119.3 Noise Avg (float) = 9.53 Noise Stdev (float) = 0.53 Noise Max (float) = 10.8 Noise Min (float) = 8.1 RawQ (float) = 4.57 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 241 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: AM002_ATH1_A5-MCCOR-WFB.DAT. OrganismPart: young seedlings in entirety with cotyledons, hypocotyl and primary roots - (no emerged true leaves).; Ecotype: Col-0; NASC:StockCode: N1092	P-G6169-1	P-G6169-9	GSE6169GSM142780 sample	P-G6169-4	GSE6169GSM142780 extract	total_RNA	P-G6169-3	GSE6169GSM142780 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AM002_ATH1_A5-MCCOR-WFB	A-AFFY-2	P-AFFY-6	AM002_ATH1_A5-MCCOR-WFB	GSM142780.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6169/E-GEOD-6169.raw.1.zip	E-GEOD-6169-processed-data-1628835527.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6169/E-GEOD-6169.processed.1.zip	wild_type	far-red light
GSE6169GSM142779	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	seedling	gun1, gun5 double mutant	McCormac_2-4_gun-mutant-Dpretreated_Rep1_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 99.54 Background Stdev (float) = 5.59 Background Max (float) = 113.8 Background Min (float) = 89.6 Noise Avg (float) = 6.45 Noise Stdev (float) = 0.41 Noise Max (float) = 7.6 Noise Min (float) = 5.4 RawQ (float) = 3.95 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 249 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: AM002_ATH1_A4-MCCOR-GDA.DAT. OrganismPart: young seedlings in entirety with cotyledons, hypocotyl and primary roots - (no emerged true leaves).; Ecotype: gun1,gun5 double mutant; NASC:StockCode:	P-G6169-1	P-G6169-5	GSE6169GSM142779 sample	P-G6169-4	GSE6169GSM142779 extract	total_RNA	P-G6169-3	GSE6169GSM142779 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AM002_ATH1_A4-MCCOR-GDA	A-AFFY-2	P-AFFY-6	AM002_ATH1_A4-MCCOR-GDA	GSM142779.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6169/E-GEOD-6169.raw.1.zip	E-GEOD-6169-processed-data-1628835527.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6169/E-GEOD-6169.processed.1.zip	gun1, gun5 double mutant	darkness
