Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[ecotype]	Characteristics[genotype]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[compound]	FactorValue[genotype]
GSE11852GSM299340	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seed	whole organism	Columbia	pkl mutant	"pkl Mutant Germinating Seeds With Uniconazole Treatment Set 2 of 6:  Relative expression data from germinating seeds of Columbia (wt), the pkl mutant (pkl), Columbia plus uniconazole-P (Uwt) and the pkl-mutant plus uniconazole-P (Upkl). Each experimental condition (wt, pkl, Uwt and Upkl) has six biological replicates for a total of 24 chips. . Relative expression data from germinating seeds of pkl mutant treated with uniconazole (Upkl) after testa rupture and during endosperm rupture (radicle emergence)."	P-G11852-5	P-G11852-1	GSE11852GSM299340 sample	P-G11852-4	GSE11852GSM299340 extract	total_RNA	P-G11852-3	GSE11852GSM299340 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	pkl Mutant Germinating Seeds With Uniconazole Treatment Set 2 of 6	A-AFFY-2	P-AFFY-6	pkl Mutant Germinating Seeds With Uniconazole Treatment Set 2 of 6	GSM299340.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.raw.1.zip	E-GEOD-11852-processed-data-1679308421.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.processed.1.zip	uniconazole	pkl mutant
GSE11852GSM299328	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seed	whole organism	Columbia	pkl mutant	"pkl Mutant Germinating Seeds With Solvent Treatment Only Set 2 of 6:  Relative expression data from germinating seeds of Columbia (wt), the pkl mutant (pkl), Columbia plus uniconazole-P (Uwt) and the pkl-mutant plus uniconazole-P (Upkl). Each experimental condition (wt, pkl, Uwt and Upkl) has six biological replicates for a total of 24 chips. . Relative expression data from germinating seeds of pkl mutant (pkl) after testa rupture and during endosperm rupture (radicle emergence)."	P-G11852-2	P-G11852-1	GSE11852GSM299328 sample	P-G11852-4	GSE11852GSM299328 extract	total_RNA	P-G11852-3	GSE11852GSM299328 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	pkl Mutant Germinating Seeds With Solvent Treatment Only Set 2 of 6	A-AFFY-2	P-AFFY-6	pkl Mutant Germinating Seeds With Solvent Treatment Only Set 2 of 6	GSM299328.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.raw.1.zip	E-GEOD-11852-processed-data-1679308421.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.processed.1.zip	none	pkl mutant
GSE11852GSM299325	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seed	whole organism	Columbia	wild type	"Wild Type Germinating Seeds With Solvent Treatment Only Set 5 of 6:  Relative expression data from germinating seeds of Columbia (wt), the pkl mutant (pkl), Columbia plus uniconazole-P (Uwt) and the pkl-mutant plus uniconazole-P (Upkl). Each experimental condition (wt, pkl, Uwt and Upkl) has six biological replicates for a total of 24 chips. . Relative expression data from germinating seeds of Columbia (wt) after testa rupture and during endosperm rupture (radicle emergence)."	P-G11852-2	P-G11852-1	GSE11852GSM299325 sample	P-G11852-4	GSE11852GSM299325 extract	total_RNA	P-G11852-3	GSE11852GSM299325 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Wild Type Germinating Seeds With Solvent Treatment Only Set 5 of 6	A-AFFY-2	P-AFFY-6	Wild Type Germinating Seeds With Solvent Treatment Only Set 5 of 6	GSM299325.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.raw.1.zip	E-GEOD-11852-processed-data-1679308421.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.processed.1.zip	none	wild_type
GSE11852GSM299326	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seed	whole organism	Columbia	wild type	"Wild Type Germinating Seeds With Solvent Treatment Only Set 6 of 6:  Relative expression data from germinating seeds of Columbia (wt), the pkl mutant (pkl), Columbia plus uniconazole-P (Uwt) and the pkl-mutant plus uniconazole-P (Upkl). Each experimental condition (wt, pkl, Uwt and Upkl) has six biological replicates for a total of 24 chips. . Relative expression data from germinating seeds of Columbia (wt) after testa rupture and during endosperm rupture (radicle emergence)."	P-G11852-2	P-G11852-1	GSE11852GSM299326 sample	P-G11852-4	GSE11852GSM299326 extract	total_RNA	P-G11852-3	GSE11852GSM299326 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Wild Type Germinating Seeds With Solvent Treatment Only Set 6 of 6	A-AFFY-2	P-AFFY-6	Wild Type Germinating Seeds With Solvent Treatment Only Set 6 of 6	GSM299326.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.raw.1.zip	E-GEOD-11852-processed-data-1679308421.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.processed.1.zip	none	wild_type
GSE11852GSM299410	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seed	whole organism	Columbia	pkl mutant	"pkl Mutant Germinating Seeds With Uniconazole Treatment Set 6 of 6:  Relative expression data from germinating seeds of Columbia (wt), the pkl mutant (pkl), Columbia plus uniconazole-P (Uwt) and the pkl-mutant plus uniconazole-P (Upkl). Each experimental condition (wt, pkl, Uwt and Upkl) has six biological replicates for a total of 24 chips. . Relative expression data from germinating seeds of pkl mutant treated with uniconazole (Upkl) after testa rupture and during endosperm rupture (radicle emergence)."	P-G11852-5	P-G11852-1	GSE11852GSM299410 sample	P-G11852-4	GSE11852GSM299410 extract	total_RNA	P-G11852-3	GSE11852GSM299410 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	pkl Mutant Germinating Seeds With Uniconazole Treatment Set 6 of 6	A-AFFY-2	P-AFFY-6	pkl Mutant Germinating Seeds With Uniconazole Treatment Set 6 of 6	GSM299410.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.raw.1.zip	E-GEOD-11852-processed-data-1679308421.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.processed.1.zip	uniconazole	pkl mutant
GSE11852GSM299330	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seed	whole organism	Columbia	pkl mutant	"pkl Mutant Germinating Seeds With Solvent Treatment Only Set 4 of 6:  Relative expression data from germinating seeds of Columbia (wt), the pkl mutant (pkl), Columbia plus uniconazole-P (Uwt) and the pkl-mutant plus uniconazole-P (Upkl). Each experimental condition (wt, pkl, Uwt and Upkl) has six biological replicates for a total of 24 chips. . Relative expression data from germinating seeds of pkl mutant (pkl) after testa rupture and during endosperm rupture (radicle emergence)."	P-G11852-2	P-G11852-1	GSE11852GSM299330 sample	P-G11852-4	GSE11852GSM299330 extract	total_RNA	P-G11852-3	GSE11852GSM299330 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	pkl Mutant Germinating Seeds With Solvent Treatment Only Set 4 of 6	A-AFFY-2	P-AFFY-6	pkl Mutant Germinating Seeds With Solvent Treatment Only Set 4 of 6	GSM299330.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.raw.1.zip	E-GEOD-11852-processed-data-1679308421.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.processed.1.zip	none	pkl mutant
GSE11852GSM299336	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seed	whole organism	Columbia	wild type	"Wild Type Germinating Seeds With Uniconazole Treatment Set 4 of 6:  Relative expression data from germinating seeds of Columbia (wt), the pkl mutant (pkl), Columbia plus uniconazole-P (Uwt) and the pkl-mutant plus uniconazole-P (Upkl). Each experimental condition (wt, pkl, Uwt and Upkl) has six biological replicates for a total of 24 chips. . Relative expression data from germinating seeds of Columbia treated with uniconazole (Uwt) after testa rupture and during endosperm rupture (radicle emergence)."	P-G11852-5	P-G11852-1	GSE11852GSM299336 sample	P-G11852-4	GSE11852GSM299336 extract	total_RNA	P-G11852-3	GSE11852GSM299336 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Wild Type Germinating Seeds With Uniconazole Treatment Set 4 of 6	A-AFFY-2	P-AFFY-6	Wild Type Germinating Seeds With Uniconazole Treatment Set 4 of 6	GSM299336.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.raw.1.zip	E-GEOD-11852-processed-data-1679308421.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.processed.1.zip	uniconazole	wild_type
GSE11852GSM299332	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seed	whole organism	Columbia	pkl mutant	"pkl Mutant Germinating Seeds With Solvent Treatment Only Set 6 of 6:  Relative expression data from germinating seeds of Columbia (wt), the pkl mutant (pkl), Columbia plus uniconazole-P (Uwt) and the pkl-mutant plus uniconazole-P (Upkl). Each experimental condition (wt, pkl, Uwt and Upkl) has six biological replicates for a total of 24 chips. . Relative expression data from germinating seeds of pkl mutant (pkl) after testa rupture and during endosperm rupture (radicle emergence)."	P-G11852-2	P-G11852-1	GSE11852GSM299332 sample	P-G11852-4	GSE11852GSM299332 extract	total_RNA	P-G11852-3	GSE11852GSM299332 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	pkl Mutant Germinating Seeds With Solvent Treatment Only Set 6 of 6	A-AFFY-2	P-AFFY-6	pkl Mutant Germinating Seeds With Solvent Treatment Only Set 6 of 6	GSM299332.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.raw.1.zip	E-GEOD-11852-processed-data-1679308421.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.processed.1.zip	none	pkl mutant
GSE11852GSM299327	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seed	whole organism	Columbia	pkl mutant	"pkl Mutant Germinating Seeds With Solvent Treatment Only Set 1 of 6:  Relative expression data from germinating seeds of Columbia (wt), the pkl mutant (pkl), Columbia plus uniconazole-P (Uwt) and the pkl-mutant plus uniconazole-P (Upkl). Each experimental condition (wt, pkl, Uwt and Upkl) has six biological replicates for a total of 24 chips. . Relative expression data from germinating seeds of pkl mutant (pkl) after testa rupture and during endosperm rupture (radicle emergence)."	P-G11852-2	P-G11852-1	GSE11852GSM299327 sample	P-G11852-4	GSE11852GSM299327 extract	total_RNA	P-G11852-3	GSE11852GSM299327 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	pkl Mutant Germinating Seeds With Solvent Treatment Only Set 1 of 6	A-AFFY-2	P-AFFY-6	pkl Mutant Germinating Seeds With Solvent Treatment Only Set 1 of 6	GSM299327.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.raw.1.zip	E-GEOD-11852-processed-data-1679308421.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.processed.1.zip	none	pkl mutant
GSE11852GSM299409	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seed	whole organism	Columbia	pkl mutant	"pkl Mutant Germinating Seeds With Uniconazole Treatment Set 5 of 6:  Relative expression data from germinating seeds of Columbia (wt), the pkl mutant (pkl), Columbia plus uniconazole-P (Uwt) and the pkl-mutant plus uniconazole-P (Upkl). Each experimental condition (wt, pkl, Uwt and Upkl) has six biological replicates for a total of 24 chips. . Relative expression data from germinating seeds of pkl mutant treated with uniconazole (Upkl) after testa rupture and during endosperm rupture (radicle emergence)."	P-G11852-5	P-G11852-1	GSE11852GSM299409 sample	P-G11852-4	GSE11852GSM299409 extract	total_RNA	P-G11852-3	GSE11852GSM299409 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	pkl Mutant Germinating Seeds With Uniconazole Treatment Set 5 of 6	A-AFFY-2	P-AFFY-6	pkl Mutant Germinating Seeds With Uniconazole Treatment Set 5 of 6	GSM299409.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.raw.1.zip	E-GEOD-11852-processed-data-1679308421.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11852/E-GEOD-11852.processed.1.zip	uniconazole	pkl mutant
