Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [Genotype]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [Time]	Unit [TimeUnit]	Factor Value [GrowthCondition]	Term Source REF	Term Accession Number	Factor Value [Genotype]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE3326GSM74901	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	P-G3326-3	P-G3326-10	GSE3326GSM74901 sample	P-G3326-4	GSE3326GSM74901 extract	total_RNA	P-G3326-5	GSE3326GSM74901 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Wildtype_24H Cold_Rep2	A-AFFY-2	P-AFFY-6	24	h	cold-treated	  	  	wild_type	Wildtype_24H Cold_Rep2	GSM74901.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3326/E-GEOD-3326.raw.1.zip	E-GEOD-3326-processed-data-1447995587.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3326/E-GEOD-3326.processed.1.zip
GSE3326GSM74900	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	P-G3326-3	P-G3326-10	GSE3326GSM74900 sample	P-G3326-4	GSE3326GSM74900 extract	total_RNA	P-G3326-5	GSE3326GSM74900 LE.biotin	biotin	synthetic_RNA	P-G3326-6	Wildtype_24H Cold_Rep1	A-AFFY-2	P-AFFY-6	24	h	cold-treated	  	  	wild_type	Wildtype_24H Cold_Rep1	GSM74900.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3326/E-GEOD-3326.raw.1.zip	E-GEOD-3326-processed-data-1447995587.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3326/E-GEOD-3326.processed.1.zip
GSE3326GSM74896	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	P-G3326-1	P-G3326-10	GSE3326GSM74896 sample	P-G3326-4	GSE3326GSM74896 extract	total_RNA	P-G3326-5	GSE3326GSM74896 LE.biotin	biotin	synthetic_RNA	P-G3326-6	Wildtype_3H Cold_Rep1	A-AFFY-2	P-AFFY-6	3	h	cold-treated	  	  	wild_type	Wildtype_3H Cold_Rep1	GSM74896.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3326/E-GEOD-3326.raw.1.zip	E-GEOD-3326-processed-data-1447995587.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3326/E-GEOD-3326.processed.1.zip
GSE3326GSM74895	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	  	P-G3326-9	GSE3326GSM74895 sample	P-G3326-4	GSE3326GSM74895 extract	total_RNA	P-G3326-5	GSE3326GSM74895 LE.biotin	biotin	synthetic_RNA	P-G3326-6	Wildtype_no treatment_Rep2	A-AFFY-2	P-AFFY-6	0	h	normal	EFO	EFO_0000761	wild_type	Wildtype_no treatment_Rep2	GSM74895.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3326/E-GEOD-3326.raw.1.zip	E-GEOD-3326-processed-data-1447995587.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3326/E-GEOD-3326.processed.1.zip
GSE3326GSM74897	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	P-G3326-1	P-G3326-10	GSE3326GSM74897 sample	P-G3326-4	GSE3326GSM74897 extract	total_RNA	P-G3326-5	GSE3326GSM74897 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Wildtype_3H Cold_Rep2	A-AFFY-2	P-AFFY-6	3	h	cold-treated	  	  	wild_type	Wildtype_3H Cold_Rep2	GSM74897.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3326/E-GEOD-3326.raw.1.zip	E-GEOD-3326-processed-data-1447995587.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3326/E-GEOD-3326.processed.1.zip
GSE3326GSM74905	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ice1 mutant	P-G3326-1	P-G3326-10	GSE3326GSM74905 sample	P-G3326-4	GSE3326GSM74905 extract	total_RNA	P-G3326-5	GSE3326GSM74905 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ice1_3H Cold_Rep2	A-AFFY-2	P-AFFY-6	3	h	cold-treated	  	  	ice1 mutant	ice1_3H Cold_Rep2	GSM74905.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3326/E-GEOD-3326.raw.1.zip	E-GEOD-3326-processed-data-1447995587.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3326/E-GEOD-3326.processed.1.zip
GSE3326GSM74906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ice1 mutant	P-G3326-2	P-G3326-10	GSE3326GSM74906 sample	P-G3326-4	GSE3326GSM74906 extract	total_RNA	P-G3326-5	GSE3326GSM74906 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ice1_6H Cold_Rep1	A-AFFY-2	P-AFFY-6	6	h	cold-treated	  	  	ice1 mutant	ice1_6H Cold_Rep1	GSM74906.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3326/E-GEOD-3326.raw.1.zip	E-GEOD-3326-processed-data-1447995587.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3326/E-GEOD-3326.processed.1.zip
GSE3326GSM74898	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	P-G3326-2	P-G3326-10	GSE3326GSM74898 sample	P-G3326-4	GSE3326GSM74898 extract	total_RNA	P-G3326-5	GSE3326GSM74898 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	Wildtype_6H Cold_Rep1	A-AFFY-2	P-AFFY-6	6	h	cold-treated	  	  	wild_type	Wildtype_6H Cold_Rep1	GSM74898.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3326/E-GEOD-3326.raw.1.zip	E-GEOD-3326-processed-data-1447995587.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3326/E-GEOD-3326.processed.1.zip
GSE3326GSM74907	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ice1 mutant	P-G3326-2	P-G3326-10	GSE3326GSM74907 sample	P-G3326-4	GSE3326GSM74907 extract	total_RNA	P-G3326-5	GSE3326GSM74907 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ice1_6H Cold_Rep2	A-AFFY-2	P-AFFY-6	6	h	cold-treated	  	  	ice1 mutant	ice1_6H Cold_Rep2	GSM74907.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3326/E-GEOD-3326.raw.1.zip	E-GEOD-3326-processed-data-1447995587.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3326/E-GEOD-3326.processed.1.zip
GSE3326GSM74909	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ice1 mutant	P-G3326-3	P-G3326-10	GSE3326GSM74909 sample	P-G3326-4	GSE3326GSM74909 extract	total_RNA	P-G3326-5	GSE3326GSM74909 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ice1_24H Cold_Rep2	A-AFFY-2	P-AFFY-6	24	h	cold-treated	  	  	ice1 mutant	ice1_24H Cold_Rep2	GSM74909.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3326/E-GEOD-3326.raw.1.zip	E-GEOD-3326-processed-data-1447995587.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3326/E-GEOD-3326.processed.1.zip
