Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[accession]	Characteristics[ecotype]	Characteristics[organism part]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [ACCESSION]	FactorValue [ECOTYPE]	FactorValue [ORGANISM PART]	Term Source REF	Term Accession Number	FactorValue [TREATMENT]
GSM680418 1	cRNA hybridizations to explore gene expression	rosette leaf	leaf_Ag-0_dry_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS6601	  	rosette leaf	EFO	EFO_0001984	P-GSE27552-3	P-GSE27552-2	P-GSE27552-4	GSM680418 extract 1	total RNA	P-GSE27552-5	GSM680418 LE 1	biotin	P-GSE27552-6	GSM680418	A-GEOD-13230	  	P-GSE27552-7	P-GSE27552-8	GSM680418.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.raw.1.zip	P-GSE27552-1	GSM680418_sample_table.txt norm	GSM680418_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.processed.1.zip	CS6601	not specified	rosette leaf	EFO	EFO_0001984	Dry
GSM680417 1	cRNA hybridizations to explore gene expression	rosette leaf	leaf_Ag-0_wet_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS6601	  	rosette leaf	EFO	EFO_0001984	P-GSE27552-3	P-GSE27552-2	P-GSE27552-4	GSM680417 extract 1	total RNA	P-GSE27552-5	GSM680417 LE 1	biotin	P-GSE27552-6	GSM680417	A-GEOD-13230	  	P-GSE27552-7	P-GSE27552-8	GSM680417.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.raw.1.zip	P-GSE27552-1	GSM680417_sample_table.txt norm	GSM680417_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.processed.1.zip	CS6601	not specified	rosette leaf	EFO	EFO_0001984	Wet
GSM680416 1	cRNA hybridizations to explore gene expression	rosette leaf	leaf_Ag-0_dry_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS6601	  	rosette leaf	EFO	EFO_0001984	P-GSE27552-3	P-GSE27552-2	P-GSE27552-4	GSM680416 extract 1	total RNA	P-GSE27552-5	GSM680416 LE 1	biotin	P-GSE27552-6	GSM680416	A-GEOD-13230	  	P-GSE27552-7	P-GSE27552-8	GSM680416.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.raw.1.zip	P-GSE27552-1	GSM680416_sample_table.txt norm	GSM680416_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.processed.1.zip	CS6601	not specified	rosette leaf	EFO	EFO_0001984	Dry
GSM680415 1	cRNA hybridizations to explore gene expression	rosette leaf	leaf_Ag-0_wet_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS6601	  	rosette leaf	EFO	EFO_0001984	P-GSE27552-3	P-GSE27552-2	P-GSE27552-4	GSM680415 extract 1	total RNA	P-GSE27552-5	GSM680415 LE 1	biotin	P-GSE27552-6	GSM680415	A-GEOD-13230	  	P-GSE27552-7	P-GSE27552-8	GSM680415.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.raw.1.zip	P-GSE27552-1	GSM680415_sample_table.txt norm	GSM680415_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.processed.1.zip	CS6601	not specified	rosette leaf	EFO	EFO_0001984	Wet
GSM680414 1	cRNA hybridizations to explore gene expression	rosette leaf	leaf_Ag-0_wet_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS6601	  	rosette leaf	EFO	EFO_0001984	P-GSE27552-3	P-GSE27552-2	P-GSE27552-4	GSM680414 extract 1	total RNA	P-GSE27552-5	GSM680414 LE 1	biotin	P-GSE27552-6	GSM680414	A-GEOD-13230	  	P-GSE27552-7	P-GSE27552-8	GSM680414.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.raw.1.zip	P-GSE27552-1	GSM680414_sample_table.txt norm	GSM680414_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.processed.1.zip	CS6601	not specified	rosette leaf	EFO	EFO_0001984	Wet
GSM680407 1	cRNA hybridizations to explore gene expression	rosette leaf	leaf_Ull2-5_wet_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22586	  	rosette leaf	EFO	EFO_0001984	P-GSE27552-3	P-GSE27552-2	P-GSE27552-4	GSM680407 extract 1	total RNA	P-GSE27552-5	GSM680407 LE 1	biotin	P-GSE27552-6	GSM680407	A-GEOD-13230	  	P-GSE27552-7	P-GSE27552-8	GSM680407.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.raw.1.zip	P-GSE27552-1	GSM680407_sample_table.txt norm	GSM680407_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.processed.1.zip	CS22586	not specified	rosette leaf	EFO	EFO_0001984	Wet
GSM680406 1	cRNA hybridizations to explore gene expression	rosette leaf	leaf_Ull2-5_dry_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22586	  	rosette leaf	EFO	EFO_0001984	P-GSE27552-3	P-GSE27552-2	P-GSE27552-4	GSM680406 extract 1	total RNA	P-GSE27552-5	GSM680406 LE 1	biotin	P-GSE27552-6	GSM680406	A-GEOD-13230	  	P-GSE27552-7	P-GSE27552-8	GSM680406.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.raw.1.zip	P-GSE27552-1	GSM680406_sample_table.txt norm	GSM680406_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.processed.1.zip	CS22586	not specified	rosette leaf	EFO	EFO_0001984	Dry
GSM680405 1	cRNA hybridizations to explore gene expression	rosette leaf	leaf_Ull2-5_wet_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22586	  	rosette leaf	EFO	EFO_0001984	P-GSE27552-3	P-GSE27552-2	P-GSE27552-4	GSM680405 extract 1	total RNA	P-GSE27552-5	GSM680405 LE 1	biotin	P-GSE27552-6	GSM680405	A-GEOD-13230	  	P-GSE27552-7	P-GSE27552-8	GSM680405.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.raw.1.zip	P-GSE27552-1	GSM680405_sample_table.txt norm	GSM680405_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.processed.1.zip	CS22586	not specified	rosette leaf	EFO	EFO_0001984	Wet
GSM680404 1	cRNA hybridizations to explore gene expression	rosette leaf	leaf_Ull2-5_dry_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22586	  	rosette leaf	EFO	EFO_0001984	P-GSE27552-3	P-GSE27552-2	P-GSE27552-4	GSM680404 extract 1	total RNA	P-GSE27552-5	GSM680404 LE 1	biotin	P-GSE27552-6	GSM680404	A-GEOD-13230	  	P-GSE27552-7	P-GSE27552-8	GSM680404.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.raw.1.zip	P-GSE27552-1	GSM680404_sample_table.txt norm	GSM680404_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.processed.1.zip	CS22586	not specified	rosette leaf	EFO	EFO_0001984	Dry
GSM680403 1	cRNA hybridizations to explore gene expression	rosette leaf	leaf_Ull2-5_wet_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	CS22586	  	rosette leaf	EFO	EFO_0001984	P-GSE27552-3	P-GSE27552-2	P-GSE27552-4	GSM680403 extract 1	total RNA	P-GSE27552-5	GSM680403 LE 1	biotin	P-GSE27552-6	GSM680403	A-GEOD-13230	  	P-GSE27552-7	P-GSE27552-8	GSM680403.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.raw.1.zip	P-GSE27552-1	GSM680403_sample_table.txt norm	GSM680403_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27552/E-GEOD-27552.processed.1.zip	CS22586	not specified	rosette leaf	EFO	EFO_0001984	Wet
