Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Characteristics [Ecotype]	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Characteristics [DevelopmentalStage]	Characteristics [GeneticModification]	Term Source REF	Term Accession Number	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [BioSourceType]	Characteristics [StrainOrLine]	Characteristics [Genotype]	Protocol REF	Parameter Value [min temperature]	Parameter Value [max temperature]	Sample Name	Protocol REF	Parameter Value [Extracted product]	Parameter Value [Amplification]	Protocol REF	Extract Name	Material Type	Protocol REF	Parameter Value [Label used]	Parameter Value [Amount of nucleic acid labeled]	Parameter Value [Amplification]	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [GENOTYPE]	Factor Value [STRAIN]
Arabidopsis thaliana	2	weeks	Columbia-0	whole_organism	EFO	EFO_0002906	3.20 Boyes key	gene_knock_out	EFO	EFO_0000506	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	fresh_sample	atino80-1	INO80-	P-MEXP-5496	16	21	ba05112002ath1_03_1-a16	P-MEXP-5499	genomic DNA	none	P-MEXP-5498	EXTRACT-03-1-a16	genomic_DNA	P-MEXP-963	biotin	10	RNA polymerases	LABEL-03-1-a16	biotin	genomic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYBRID-03-1-a16	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	DBA:MEXP:895:6027	ba05112002ath1_03_1-a16.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-185/E-MEXP-185.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-185-processed-data-1342084090.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-185/E-MEXP-185.processed.1.zip	INO80-	atino80-1
Arabidopsis thaliana__S:BioSource:MEXP:172191	2	weeks	Columbia-0	whole_organism	EFO	EFO_0002906	3.20 Boyes key	gene_knock_out	EFO	EFO_0000506	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	fresh_sample	atino80-2	INO80-	P-MEXP-5496	16	21	ba05112002ath1_04_1-227	P-MEXP-5499	genomic DNA	none	P-MEXP-5498	EXTRACT-04-1-227	genomic_DNA	P-MEXP-963	biotin	10	RNA polymerases	LABEL-04-1-227	biotin	genomic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYBRID-04-1-227	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	DBA:MEXP:895:6029	ba05112002ath1_04_1-227.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-185/E-MEXP-185.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-185-processed-data-1342084090.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-185/E-MEXP-185.processed.1.zip	INO80-	atino80-2
Arabidopsis thaliana__S:BioSource:MEXP:172188	2	weeks	Columbia-0	whole_organism	EFO	EFO_0002906	3.20 Boyes key	gene_knock_out	EFO	EFO_0000506	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	fresh_sample	50B	INO80-	P-MEXP-5496	16	21	ba05112002ath1_09_2-50B	P-MEXP-5499	genomic DNA	none	P-MEXP-5498	EXTRACT-09-2-50b	genomic_DNA	P-MEXP-963	biotin	10	RNA polymerases	LABEL-09-2-50b	biotin	genomic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYBRID-09-2-50b	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	DBA:MEXP:895:6026	ba05112002ath1_09_2-50B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-185/E-MEXP-185.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-185-processed-data-1342084090.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-185/E-MEXP-185.processed.1.zip	INO80-	50B
Arabidopsis thaliana__S:BioSource:MEXP:172193	2	weeks	Columbia-0	whole_organism	EFO	EFO_0002906	3.20 Boyes key	gene_knock_out	EFO	EFO_0000506	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	fresh_sample	atino80-3	INO80-	P-MEXP-5496	16	21	ba05112002ath1_05_1-261	P-MEXP-5499	genomic DNA	none	P-MEXP-5498	EXTRACT-05-1-261	genomic_DNA	P-MEXP-963	biotin	10	RNA polymerases	LABEL-05-1-261	biotin	genomic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYBRID-05-1-261	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	DBA:MEXP:895:6031	ba05112002ath1_05_1-261.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-185/E-MEXP-185.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-185-processed-data-1342084090.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-185/E-MEXP-185.processed.1.zip	INO80-	atino80-3
Arabidopsis thaliana__S:BioSource:MEXP:172186	2	weeks	Columbia-0	whole_organism	EFO	EFO_0002906	3.20 Boyes key	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	fresh_sample	  	wild_type	P-MEXP-5496	16	21	ba05112002ath1_08_2-wt	P-MEXP-5499	genomic DNA	none	P-MEXP-5498	EXTRACT-08-2-wt	genomic_DNA	P-MEXP-963	biotin	10	RNA polymerases	LABEL-08-2-wt	biotin	genomic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYBRID-08-2-wt	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	DBA:MEXP:895:6024	ba05112002ath1_08_2-wt.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-185/E-MEXP-185.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-185-processed-data-1342084090.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-185/E-MEXP-185.processed.1.zip	wild_type	wild_type
Arabidopsis thaliana__S:BioSource:MEXP:172192	2	weeks	Columbia-0	whole_organism	EFO	EFO_0002906	3.20 Boyes key	gene_knock_out	EFO	EFO_0000506	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	fresh_sample	atino80-2	INO80-	P-MEXP-5496	16	21	ba05112002ath1_11_2-227	P-MEXP-5499	genomic DNA	none	P-MEXP-5498	EXTRACT-11-2-227	genomic_DNA	P-MEXP-963	biotin	10	RNA polymerases	LABEL-11-2-227	biotin	genomic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYBRID-11-2-227	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	DBA:MEXP:895:6030	ba05112002ath1_11_2-227.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-185/E-MEXP-185.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-185-processed-data-1342084090.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-185/E-MEXP-185.processed.1.zip	INO80-	atino80-2
Arabidopsis thaliana__S:BioSource:MEXP:172187	2	weeks	Columbia-0	whole_organism	EFO	EFO_0002906	3.20 Boyes key	gene_knock_out	EFO	EFO_0000506	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	fresh_sample	50B	INO80-	P-MEXP-5496	16	21	ba05112002ath1_02_1-50B	P-MEXP-5499	genomic DNA	none	P-MEXP-5498	EXTRACT-02-1-50b	genomic_DNA	P-MEXP-963	biotin	10	RNA polymerases	LABEL-02-1-50b	biotin	genomic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYBRID-02-1-50b	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	DBA:MEXP:895:6025	ba05112002ath1_02_1-50B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-185/E-MEXP-185.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-185-processed-data-1342084090.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-185/E-MEXP-185.processed.1.zip	INO80-	50B
Arabidopsis thaliana__S:BioSource:MEXP:172194	2	weeks	Columbia-0	whole_organism	EFO	EFO_0002906	3.20 Boyes key	gene_knock_out	EFO	EFO_0000506	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	fresh_sample	atino80-3	INO80-	P-MEXP-5496	16	21	ba05112002ath1_12_2-261	P-MEXP-5499	genomic DNA	none	P-MEXP-5498	EXTRACT-12-2-261	genomic_DNA	P-MEXP-963	biotin	10	RNA polymerases	LABEL-12-2-261	biotin	genomic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYBRID-12-2-261	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	DBA:MEXP:895:6032	ba05112002ath1_12_2-261.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-185/E-MEXP-185.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-185-processed-data-1342084090.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-185/E-MEXP-185.processed.1.zip	INO80-	atino80-3
Arabidopsis thaliana__S:BioSource:MEXP:172185	2	weeks	Columbia-0	whole_organism	EFO	EFO_0002906	3.20 Boyes key	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	fresh_sample	  	wild_type	P-MEXP-5496	16	21	ba05112002ath1_01_1-wt	P-MEXP-5499	genomic DNA	none	P-MEXP-5498	EXTRACT-01-1-wt	genomic_DNA	P-MEXP-963	biotin	10	RNA polymerases	ba05112002ath1_01_1-wt	biotin	genomic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYBRID-01-1-wt	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	DBA:MEXP:895:6023	ba05112002ath1_01_1-wt.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-185/E-MEXP-185.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-185-processed-data-1342084090.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-185/E-MEXP-185.processed.1.zip	wild_type	wild_type
Arabidopsis thaliana__S:BioSource:MEXP:172190	2	weeks	Columbia-0	whole_organism	EFO	EFO_0002906	3.20 Boyes key	gene_knock_out	EFO	EFO_0000506	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	fresh_sample	atino80-1	INO80-	P-MEXP-5496	16	21	ba05112002ath1_10_2-a16	P-MEXP-5499	genomic DNA	none	P-MEXP-5498	EXTRACT-10-2-a16	genomic_DNA	P-MEXP-963	biotin	10	RNA polymerases	LABEL-10-2-a16	biotin	genomic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYBRID-10-2-a16	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	DBA:MEXP:895:6028	ba05112002ath1_10_2-a16.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-185/E-MEXP-185.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-185-processed-data-1342084090.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-185/E-MEXP-185.processed.1.zip	INO80-	atino80-1
