Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
GSM1348265 1	Arabidopsis WT WS-2 grown at 22⁰C on agar plates under continuous light for 11 d followed by 24 h at 4⁰C	Arabidopsis WS-2 grown at 22⁰C followed by 24h at 4⁰C	Wildtype 24h cold, biological rep4	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	entire aerial part	P-GSE55906-2	ArrayExpress	P-GSE55906-3	ArrayExpress	P-GSE55906-4	ArrayExpress	GSM1348265 extract 1	total RNA	P-GSE55906-5	ArrayExpress	GSM1348265 LE 1	biotin	P-GSE55906-6	ArrayExpress	GSM1348265	A-AFFY-2	ArrayExpress	array assay	P-GSE55906-7	ArrayExpress	GSM1348265_ws2_24hcold_4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55906/E-GEOD-55906.raw.1.zip	P-GSE55906-1	ArrayExpress	GSM1348265_sample_table.txt norm	GSM1348265_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55906/E-GEOD-55906.processed.1.zip
GSM1348264 1	Arabidopsis WT WS-2 grown at 22⁰C on agar plates under continuous light for 11 d followed by 24 h at 4⁰C	Arabidopsis WS-2 grown at 22⁰C followed by 24h at 4⁰C	Wildtype 24h cold, biological rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	entire aerial part	P-GSE55906-2	ArrayExpress	P-GSE55906-3	ArrayExpress	P-GSE55906-4	ArrayExpress	GSM1348264 extract 1	total RNA	P-GSE55906-5	ArrayExpress	GSM1348264 LE 1	biotin	P-GSE55906-6	ArrayExpress	GSM1348264	A-AFFY-2	ArrayExpress	array assay	P-GSE55906-7	ArrayExpress	GSM1348264_ws2_24hcold_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55906/E-GEOD-55906.raw.1.zip	P-GSE55906-1	ArrayExpress	GSM1348264_sample_table.txt norm	GSM1348264_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55906/E-GEOD-55906.processed.1.zip
GSM1348263 1	Arabidopsis WT WS-2 grown at 22⁰C on agar plates under continuous light for 11 d followed by 24 h at 4⁰C	Arabidopsis WS-2 grown at 22⁰C followed by 24h at 4⁰C	Wildtype 24h cold, biological rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	entire aerial part	P-GSE55906-2	ArrayExpress	P-GSE55906-3	ArrayExpress	P-GSE55906-4	ArrayExpress	GSM1348263 extract 1	total RNA	P-GSE55906-5	ArrayExpress	GSM1348263 LE 1	biotin	P-GSE55906-6	ArrayExpress	GSM1348263	A-AFFY-2	ArrayExpress	array assay	P-GSE55906-7	ArrayExpress	GSM1348263_ws2_24hcold_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55906/E-GEOD-55906.raw.1.zip	P-GSE55906-1	ArrayExpress	GSM1348263_sample_table.txt norm	GSM1348263_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55906/E-GEOD-55906.processed.1.zip
GSM1348262 1	Arabidopsis WT WS-2 grown at 22⁰C on agar plates under continuous light for 11 d followed by 24 h at 4⁰C	Arabidopsis WS-2 grown at 22⁰C followed by 24h at 4⁰C	Wildtype 24h cold, biological rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	entire aerial part	P-GSE55906-2	ArrayExpress	P-GSE55906-3	ArrayExpress	P-GSE55906-4	ArrayExpress	GSM1348262 extract 1	total RNA	P-GSE55906-5	ArrayExpress	GSM1348262 LE 1	biotin	P-GSE55906-6	ArrayExpress	GSM1348262	A-AFFY-2	ArrayExpress	array assay	P-GSE55906-7	ArrayExpress	GSM1348262_ws2_24hcold_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55906/E-GEOD-55906.raw.1.zip	P-GSE55906-1	ArrayExpress	GSM1348262_sample_table.txt norm	GSM1348262_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55906/E-GEOD-55906.processed.1.zip
GSM1348261 1	Arabidopsis WT WS-2 grown at 22⁰C on agar plates under continuous light for 11 d	Arabidopsis WS-2 grown at 22⁰C	Wildtype warm, biological rep4	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	entire aerial part	P-GSE55906-2	ArrayExpress	P-GSE55906-3	ArrayExpress	P-GSE55906-4	ArrayExpress	GSM1348261 extract 1	total RNA	P-GSE55906-5	ArrayExpress	GSM1348261 LE 1	biotin	P-GSE55906-6	ArrayExpress	GSM1348261	A-AFFY-2	ArrayExpress	array assay	P-GSE55906-7	ArrayExpress	GSM1348261_ws2_warm_4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55906/E-GEOD-55906.raw.1.zip	P-GSE55906-1	ArrayExpress	GSM1348261_sample_table.txt norm	GSM1348261_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55906/E-GEOD-55906.processed.1.zip
GSM1348260 1	Arabidopsis WT WS-2 grown at 22⁰C on agar plates under continuous light for 11 d	Arabidopsis WS-2 grown at 22⁰C	Wildtype warm, biological rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	entire aerial part	P-GSE55906-2	ArrayExpress	P-GSE55906-3	ArrayExpress	P-GSE55906-4	ArrayExpress	GSM1348260 extract 1	total RNA	P-GSE55906-5	ArrayExpress	GSM1348260 LE 1	biotin	P-GSE55906-6	ArrayExpress	GSM1348260	A-AFFY-2	ArrayExpress	array assay	P-GSE55906-7	ArrayExpress	GSM1348260_ws2_warm_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55906/E-GEOD-55906.raw.1.zip	P-GSE55906-1	ArrayExpress	GSM1348260_sample_table.txt norm	GSM1348260_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55906/E-GEOD-55906.processed.1.zip
GSM1348259 1	Arabidopsis WT WS-2 grown at 22⁰C on agar plates under continuous light for 11 d	Arabidopsis WS-2 grown at 22⁰C	Wildtype warm, biological rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	entire aerial part	P-GSE55906-2	ArrayExpress	P-GSE55906-3	ArrayExpress	P-GSE55906-4	ArrayExpress	GSM1348259 extract 1	total RNA	P-GSE55906-5	ArrayExpress	GSM1348259 LE 1	biotin	P-GSE55906-6	ArrayExpress	GSM1348259	A-AFFY-2	ArrayExpress	array assay	P-GSE55906-7	ArrayExpress	GSM1348259_ws2_warm_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55906/E-GEOD-55906.raw.1.zip	P-GSE55906-1	ArrayExpress	GSM1348259_sample_table.txt norm	GSM1348259_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55906/E-GEOD-55906.processed.1.zip
GSM1348258 1	Arabidopsis WT WS-2 grown at 22⁰C on agar plates under continuous light for 11 d	Arabidopsis WS-2 grown at 22⁰C	Wildtype warm, biological rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	entire aerial part	P-GSE55906-2	ArrayExpress	P-GSE55906-3	ArrayExpress	P-GSE55906-4	ArrayExpress	GSM1348258 extract 1	total RNA	P-GSE55906-5	ArrayExpress	GSM1348258 LE 1	biotin	P-GSE55906-6	ArrayExpress	GSM1348258	A-AFFY-2	ArrayExpress	array assay	P-GSE55906-7	ArrayExpress	GSM1348258_ws2_warm_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55906/E-GEOD-55906.raw.1.zip	P-GSE55906-1	ArrayExpress	GSM1348258_sample_table.txt norm	GSM1348258_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55906/E-GEOD-55906.processed.1.zip
GSM1348257 1	CBF2Δc overexpressing line DN96 grown at 22⁰C on agar plates under continuous light for 11 d followed by 24h at 4⁰C	CBF2DN grown at 22⁰C followed by 24h at 4⁰C	CBF2DN, 24h cold, biological rep4	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	entire aerial part	P-GSE55906-2	ArrayExpress	P-GSE55906-3	ArrayExpress	P-GSE55906-4	ArrayExpress	GSM1348257 extract 1	total RNA	P-GSE55906-5	ArrayExpress	GSM1348257 LE 1	biotin	P-GSE55906-6	ArrayExpress	GSM1348257	A-AFFY-2	ArrayExpress	array assay	P-GSE55906-7	ArrayExpress	GSM1348257_CBF2_DN96_cold_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55906/E-GEOD-55906.raw.1.zip	P-GSE55906-1	ArrayExpress	GSM1348257_sample_table.txt norm	GSM1348257_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55906/E-GEOD-55906.processed.1.zip
GSM1348256 1	CBF2Δc overexpressing line DN96 grown at 22⁰C on agar plates under continuous light for 11 d followed by 24h at 4⁰C	CBF2DN grown at 22⁰C followed by 24h at 4⁰C	CBF2DN, 24h cold, biological rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	entire aerial part	P-GSE55906-2	ArrayExpress	P-GSE55906-3	ArrayExpress	P-GSE55906-4	ArrayExpress	GSM1348256 extract 1	total RNA	P-GSE55906-5	ArrayExpress	GSM1348256 LE 1	biotin	P-GSE55906-6	ArrayExpress	GSM1348256	A-AFFY-2	ArrayExpress	array assay	P-GSE55906-7	ArrayExpress	GSM1348256_CBF2_DN96_cold_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55906/E-GEOD-55906.raw.1.zip	P-GSE55906-1	ArrayExpress	GSM1348256_sample_table.txt norm	GSM1348256_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55906/E-GEOD-55906.processed.1.zip
