Source Name	Characteristics [StrainOrLine]	Characteristics [Organism]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [TIME]	Unit [TimeUnit]	Factor Value [GROWTH CONDITION]	Factor Value [TEMPERATURE]	Unit [TemperatureUnit]
T42Wa	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-12076	P-MTAB-12072	P-MTAB-12074	P-MTAB-12070	T42W	total_RNA	P-MTAB-12071	T42W_labeled	biotin	unknown	P-MTAB-12069	H_T42W_labeled	A-AFFY-2	P-AFFY-6	Hannah_T42W.CEL	Hannah_T42W.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2526/E-MEXP-2526.raw.1.zip	P-MTAB-12232	Espinoza_GCRMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2526/E-MEXP-2526.processed.1.zip	42	hours	light/dark	20	degree_C
T42Wd	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-12076	P-MTAB-12072	P-MTAB-12074	P-MTAB-12070	T42W	total_RNA	P-MTAB-12071	T42W_labeled	biotin	unknown	P-MTAB-12069	H_T42W_labeled	A-AFFY-2	P-AFFY-6	Hannah_T42W.CEL	Hannah_T42W.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2526/E-MEXP-2526.raw.1.zip	P-MTAB-12232	Espinoza_GCRMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2526/E-MEXP-2526.processed.1.zip	42	hours	light/dark	20	degree_C
T42We	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-12076	P-MTAB-12072	P-MTAB-12074	P-MTAB-12070	T42W	total_RNA	P-MTAB-12071	T42W_labeled	biotin	unknown	P-MTAB-12069	H_T42W_labeled	A-AFFY-2	P-AFFY-6	Hannah_T42W.CEL	Hannah_T42W.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2526/E-MEXP-2526.raw.1.zip	P-MTAB-12232	Espinoza_GCRMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2526/E-MEXP-2526.processed.1.zip	42	hours	light/dark	20	degree_C
T42Wb	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-12076	P-MTAB-12072	P-MTAB-12074	P-MTAB-12070	T42W	total_RNA	P-MTAB-12071	T42W_labeled	biotin	unknown	P-MTAB-12069	H_T42W_labeled	A-AFFY-2	P-AFFY-6	Hannah_T42W.CEL	Hannah_T42W.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2526/E-MEXP-2526.raw.1.zip	P-MTAB-12232	Espinoza_GCRMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2526/E-MEXP-2526.processed.1.zip	42	hours	light/dark	20	degree_C
T42Wc	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-12076	P-MTAB-12072	P-MTAB-12074	P-MTAB-12070	T42W	total_RNA	P-MTAB-12071	T42W_labeled	biotin	unknown	P-MTAB-12069	H_T42W_labeled	A-AFFY-2	P-AFFY-6	Hannah_T42W.CEL	Hannah_T42W.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2526/E-MEXP-2526.raw.1.zip	P-MTAB-12232	Espinoza_GCRMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2526/E-MEXP-2526.processed.1.zip	42	hours	light/dark	20	degree_C
cT18Wa	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-12075	P-MTAB-12072	P-MTAB-12074	P-MTAB-12070	cT18W	total_RNA	P-MTAB-12071	cT18W_labeled	biotin	unknown	P-MTAB-12069	H_cT18W_labeled	A-AFFY-2	P-AFFY-6	Hannah_cT18W.CEL	Hannah_cT18W.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2526/E-MEXP-2526.raw.1.zip	P-MTAB-12232	Espinoza_GCRMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2526/E-MEXP-2526.processed.1.zip	18	hours	continuous light	20	degree_C
cT18Wb	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-12075	P-MTAB-12072	P-MTAB-12074	P-MTAB-12070	cT18W	total_RNA	P-MTAB-12071	cT18W_labeled	biotin	unknown	P-MTAB-12069	H_cT18W_labeled	A-AFFY-2	P-AFFY-6	Hannah_cT18W.CEL	Hannah_cT18W.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2526/E-MEXP-2526.raw.1.zip	P-MTAB-12232	Espinoza_GCRMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2526/E-MEXP-2526.processed.1.zip	18	hours	continuous light	20	degree_C
cT18Wc	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-12075	P-MTAB-12072	P-MTAB-12074	P-MTAB-12070	cT18W	total_RNA	P-MTAB-12071	cT18W_labeled	biotin	unknown	P-MTAB-12069	H_cT18W_labeled	A-AFFY-2	P-AFFY-6	Hannah_cT18W.CEL	Hannah_cT18W.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2526/E-MEXP-2526.raw.1.zip	P-MTAB-12232	Espinoza_GCRMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2526/E-MEXP-2526.processed.1.zip	18	hours	continuous light	20	degree_C
cT18Wd	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-12075	P-MTAB-12072	P-MTAB-12074	P-MTAB-12070	cT18W	total_RNA	P-MTAB-12071	cT18W_labeled	biotin	unknown	P-MTAB-12069	H_cT18W_labeled	A-AFFY-2	P-AFFY-6	Hannah_cT18W.CEL	Hannah_cT18W.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2526/E-MEXP-2526.raw.1.zip	P-MTAB-12232	Espinoza_GCRMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2526/E-MEXP-2526.processed.1.zip	18	hours	continuous light	20	degree_C
cT18We	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-12075	P-MTAB-12072	P-MTAB-12074	P-MTAB-12070	cT18W	total_RNA	P-MTAB-12071	cT18W_labeled	biotin	unknown	P-MTAB-12069	H_cT18W_labeled	A-AFFY-2	P-AFFY-6	Hannah_cT18W.CEL	Hannah_cT18W.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2526/E-MEXP-2526.raw.1.zip	P-MTAB-12232	Espinoza_GCRMA.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2526/E-MEXP-2526.processed.1.zip	18	hours	continuous light	20	degree_C
