Source Name	Characteristics [Age]	Unit[TimeUnit]	Characteristics [StrainOrLine]	Term Source REF	Term Accession Number	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Characteristics [Ecotype]	Comment[Compound]	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Term Source REF	Term Accession Number	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Factor Value [TREATMENT TIME]	Unit [TimeUnit]	Factor Value [ECOTYPE]
CS57924 2	6	weeks	CS57924	EFO	EFO_0000166	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	Sha	0.3 mM salicylic acid	P-TABM-2854	CS57924 2	P-TABM-103	CS57924 2	total_RNA	P-TABM-hans16	CS57924 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	491	A-AFFY-2	P-AFFY-6	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16914	491	491.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-520/E-TABM-520.raw.1.zip	28	hours	Sha
CS57924 2	6	weeks	CS57924	EFO	EFO_0000166	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	Sha	0.3 mM salicylic acid	P-TABM-2854	CS57924 2	P-TABM-103	CS57924 2	total_RNA	P-TABM-hans16	CS57924 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	503	A-AFFY-2	P-AFFY-6	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16914	503	503.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-520/E-TABM-520.raw.1.zip	52	hours	Sha
CS57923 1	6	weeks	CS57923	EFO	EFO_0000165	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	Bay-0	0.3 mM salicylic acid	P-TABM-2854	CS57923 1	P-TABM-103	CS57923 1	total_RNA	P-TABM-hans16	CS57923 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	477b	A-AFFY-2	P-AFFY-6	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16914	477b	477b.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-520/E-TABM-520.raw.1.zip	4	hours	Bay-0
CS57923 2	6	weeks	CS57923	EFO	EFO_0000165	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	Bay-0	0.3 mM salicylic acid	P-TABM-2854	CS57923 2	P-TABM-103	CS57923 2	total_RNA	P-TABM-hans16	CS57923 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	492	A-AFFY-2	P-AFFY-6	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16914	492	492.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-520/E-TABM-520.raw.1.zip	28	hours	Bay-0
CS57923 1	6	weeks	CS57923	EFO	EFO_0000165	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	Bay-0	0.3 mM salicylic acid	P-TABM-2854	CS57923 1	P-TABM-103	CS57923 1	total_RNA	P-TABM-hans16	CS57923 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	501	A-AFFY-2	P-AFFY-6	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16914	501	501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-520/E-TABM-520.raw.1.zip	52	hours	Bay-0
CS57923 2	6	weeks	CS57923	EFO	EFO_0000165	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	Bay-0	0.3 mM salicylic acid	P-TABM-2854	CS57923 2	P-TABM-103	CS57923 2	total_RNA	P-TABM-hans16	CS57923 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	504	A-AFFY-2	P-AFFY-6	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16914	504	504.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-520/E-TABM-520.raw.1.zip	52	hours	Bay-0
CS57924 1	6	weeks	CS57924	EFO	EFO_0000166	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	Sha	0.3 mM salicylic acid	P-TABM-2854	CS57924 1	P-TABM-103	CS57924 1	total_RNA	P-TABM-hans16	CS57924 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	500	A-AFFY-2	P-AFFY-6	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16914	500	500.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-520/E-TABM-520.raw.1.zip	52	hours	Sha
CS57923 1	6	weeks	CS57923	EFO	EFO_0000165	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	Bay-0	0.3 mM salicylic acid	P-TABM-2854	CS57923 1	P-TABM-103	CS57923 1	total_RNA	P-TABM-hans16	CS57923 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	489	A-AFFY-2	P-AFFY-6	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16914	489	489.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-520/E-TABM-520.raw.1.zip	28	hours	Bay-0
CS57923 2	6	weeks	CS57923	EFO	EFO_0000165	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	Bay-0	0.3 mM salicylic acid	P-TABM-2854	CS57923 2	P-TABM-103	CS57923 2	total_RNA	P-TABM-hans16	CS57923 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	480	A-AFFY-2	P-AFFY-6	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16914	480	480.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-520/E-TABM-520.raw.1.zip	4	hours	Bay-0
CS57924 1	6	weeks	CS57924	EFO	EFO_0000166	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	Sha	0.3 mM salicylic acid	P-TABM-2854	CS57924 1	P-TABM-103	CS57924 1	total_RNA	P-TABM-hans16	CS57924 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	488	A-AFFY-2	P-AFFY-6	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16914	488	488.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-520/E-TABM-520.raw.1.zip	28	hours	Sha
CS57924 1	6	weeks	CS57924	EFO	EFO_0000166	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	Sha	0.3 mM salicylic acid	P-TABM-2854	CS57924 1	P-TABM-103	CS57924 1	total_RNA	P-TABM-hans16	CS57924 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	476	A-AFFY-2	P-AFFY-6	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16914	476	476.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-520/E-TABM-520.raw.1.zip	4	hours	Sha
