Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Characteristics[age]	Unit[time unit]	Characteristics[genotype]	Characteristics[ecotype]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[RNA]	FactorValue[growth condition]
GSE9719GSM245491	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	35S:His6FLAG-RPL18B 	Col-0	7 day old Arabidopsis Seedling  2hr Non-Stress IP RNA:  Comparison of 2 and 9 hour hypoxia stress and 9 hour hypoxia stess with 1 hour recovery to non-stress seedlings. Age: 7 day old seedlings; Genotype: 35S:His6FLAG-RPL18B (Col-0)	P-G9719-2	P-G9719-1	GSE9719GSM245491 sample	P-G9719-4	GSE9719GSM245491 extract	polyA_RNA	P-G9719-3	GSE9719GSM245491 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2 hr Non-Stress IP RNA Rep 3	A-AFFY-2	P-AFFY-6	2 hr Non-Stress IP RNA Rep 3	GSM245491.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.raw.1.zip	E-GEOD-9719-processed-data-1679141988.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.processed.1.zip	polysomal mRNA	2 hr control
GSE9719GSM245471	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	35S:His6FLAG-RPL18B 	Col-0	7 day old Arabidopsis Seedling  2hr Non-Stress IP RNA:  Comparison of 2 and 9 hour hypoxia stress and 9 hour hypoxia stess with 1 hour recovery to non-stress seedlings. Age: 7 day old seedlings; Genotype: 35S:His6FLAG-RPL18B (Col-0)	P-G9719-2	P-G9719-1	GSE9719GSM245471 sample	P-G9719-4	GSE9719GSM245471 extract	polyA_RNA	P-G9719-3	GSE9719GSM245471 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2 hr Non-Stress IP RNA Rep 1	A-AFFY-2	P-AFFY-6	2 hr Non-Stress IP RNA Rep 1	GSM245471.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.raw.1.zip	E-GEOD-9719-processed-data-1679141988.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.processed.1.zip	polysomal mRNA	2 hr control
GSE9719GSM245481	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	35S:His6FLAG-RPL18B 	Col-0	7 day old Arabidopsis Seedling  2hr Non-Stress IP RNA:  Comparison of 2 and 9 hour hypoxia stress and 9 hour hypoxia stess with 1 hour recovery to non-stress seedlings. Age: 7 day old seedlings; Genotype: 35S:His6FLAG-RPL18B (Col-0)	P-G9719-2	P-G9719-1	GSE9719GSM245481 sample	P-G9719-4	GSE9719GSM245481 extract	polyA_RNA	P-G9719-3	GSE9719GSM245481 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2 hr Non-Stress IP RNA Rep 2	A-AFFY-2	P-AFFY-6	2 hr Non-Stress IP RNA Rep 2	GSM245481.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.raw.1.zip	E-GEOD-9719-processed-data-1679141988.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.processed.1.zip	polysomal mRNA	2 hr control
GSE9719GSM245482	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	35S:His6FLAG-RPL18B 	Col-0	7 day old Arabidopsis Seedling  2hr Hypoxia Stress IP RNA:  Comparison of 2 and 9 hour hypoxia stress and 9 hour hypoxia stess with 1 hour recovery to non-stress seedlings. Age: 7 day old seedlings; Genotype: 35S:His6FLAG-RPL18B (Col-0)	P-G9719-2	P-G9719-1	GSE9719GSM245482 sample	P-G9719-4	GSE9719GSM245482 extract	polyA_RNA	P-G9719-3	GSE9719GSM245482 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2 hr Hypoxia Stress IP RNA Rep 2	A-AFFY-2	P-AFFY-6	2 hr Hypoxia Stress IP RNA Rep 2	GSM245482.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.raw.1.zip	E-GEOD-9719-processed-data-1679141988.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.processed.1.zip	polysomal mRNA	2 hr hypoxia
GSE9719GSM245492	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	35S:His6FLAG-RPL18B 	Col-0	7 day old Arabidopsis Seedling  2hr Hypoxia Stress IP RNA:  Comparison of 2 and 9 hour hypoxia stress and 9 hour hypoxia stess with 1 hour recovery to non-stress seedlings. Age: 7 day old seedlings; Genotype: 35S:His6FLAG-RPL18B (Col-0)	P-G9719-2	P-G9719-1	GSE9719GSM245492 sample	P-G9719-4	GSE9719GSM245492 extract	polyA_RNA	P-G9719-3	GSE9719GSM245492 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2 hr Hypoxia Stress IP RNA Rep 3	A-AFFY-2	P-AFFY-6	2 hr Hypoxia Stress IP RNA Rep 3	GSM245492.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.raw.1.zip	E-GEOD-9719-processed-data-1679141988.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.processed.1.zip	polysomal mRNA	2 hr hypoxia
GSE9719GSM245472	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	35S:His6FLAG-RPL18B 	Col-0	7 day old Arabidopsis Seedling  2hr Hypoxia Stress IP RNA:  Comparison of 2 and 9 hour hypoxia stress and 9 hour hypoxia stess with 1 hour recovery to non-stress seedlings. Age: 7 day old seedlings; Genotype: 35S:His6FLAG-RPL18B (Col-0)	P-G9719-2	P-G9719-1	GSE9719GSM245472 sample	P-G9719-4	GSE9719GSM245472 extract	polyA_RNA	P-G9719-3	GSE9719GSM245472 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2 hr Hypoxia Stress IP RNA Rep 1	A-AFFY-2	P-AFFY-6	2 hr Hypoxia Stress IP RNA Rep 1	GSM245472.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.raw.1.zip	E-GEOD-9719-processed-data-1679141988.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.processed.1.zip	polysomal mRNA	2 hr hypoxia
GSE9719GSM245473	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	35S:His6FLAG-RPL18B 	Col-0	7 day old Arabidopsis Seedling  9hr Non-Stress IP RNA:  Comparison of 2 and 9 hour hypoxia stress and 9 hour hypoxia stess with 1 hour recovery to non-stress seedlings. Age: 7 day old seedlings; Genotype: 35S:His6FLAG-RPL18B (Col-0)	P-G9719-2	P-G9719-1	GSE9719GSM245473 sample	P-G9719-4	GSE9719GSM245473 extract	polyA_RNA	P-G9719-3	GSE9719GSM245473 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	9 hr Non-Stress IP RNA Rep 1	A-AFFY-2	P-AFFY-6	9 hr Non-Stress IP RNA Rep 1	GSM245473.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.raw.1.zip	E-GEOD-9719-processed-data-1679141988.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.processed.1.zip	polysomal mRNA	9 hr control
GSE9719GSM245483	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	35S:His6FLAG-RPL18B 	Col-0	7 day old Arabidopsis Seedling  9hr Non-Stress IP RNA:  Comparison of 2 and 9 hour hypoxia stress and 9 hour hypoxia stess with 1 hour recovery to non-stress seedlings. Age: 7 day old seedlings; Genotype: 35S:His6FLAG-RPL18B (Col-0)	P-G9719-2	P-G9719-1	GSE9719GSM245483 sample	P-G9719-4	GSE9719GSM245483 extract	polyA_RNA	P-G9719-3	GSE9719GSM245483 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	9 hr Non-Stress IP RNA Rep 2	A-AFFY-2	P-AFFY-6	9 hr Non-Stress IP RNA Rep 2	GSM245483.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.raw.1.zip	E-GEOD-9719-processed-data-1679141988.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.processed.1.zip	polysomal mRNA	9 hr control
GSE9719GSM245493	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	35S:His6FLAG-RPL18B 	Col-0	7 day old Arabidopsis Seedling  9hr Non-Stress IP RNA:  Comparison of 2 and 9 hour hypoxia stress and 9 hour hypoxia stess with 1 hour recovery to non-stress seedlings. Age: 7 day old seedlings; Genotype: 35S:His6FLAG-RPL18B (Col-0)	P-G9719-2	P-G9719-1	GSE9719GSM245493 sample	P-G9719-4	GSE9719GSM245493 extract	polyA_RNA	P-G9719-3	GSE9719GSM245493 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	9 hr Non-Stress IP RNA Rep 3	A-AFFY-2	P-AFFY-6	9 hr Non-Stress IP RNA Rep 3	GSM245493.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.raw.1.zip	E-GEOD-9719-processed-data-1679141988.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.processed.1.zip	polysomal mRNA	9 hr control
GSE9719GSM245494	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	7	day	35S:His6FLAG-RPL18B 	Col-0	7 day old Arabidopsis Seedling  9hr Hypoxia Stress IP RNA:  Comparison of 2 and 9 hour hypoxia stress and 9 hour hypoxia stess with 1 hour recovery to non-stress seedlings. Age: 7 day old seedlings; Genotype: 35S:His6FLAG-RPL18B (Col-0)	P-G9719-2	P-G9719-1	GSE9719GSM245494 sample	P-G9719-4	GSE9719GSM245494 extract	polyA_RNA	P-G9719-3	GSE9719GSM245494 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	9 hr Hypoxia Stress IP RNA Rep 3	A-AFFY-2	P-AFFY-6	9 hr Hypoxia Stress IP RNA Rep 3	GSM245494.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.raw.1.zip	E-GEOD-9719-processed-data-1679141988.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9719/E-GEOD-9719.processed.1.zip	polysomal mRNA	9 hr hypoxia
