Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [ecotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [organism part]
GSM2127776 1	Gene expression data from 29 days old roots exposed to CeO2	Arabidopsis plant, 29 day old	CeO2 treated roots, biological rep3	29 days old	Columbia (Col-0)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	roots	P-GSE80461-2	ArrayExpress	P-GSE80461-3	ArrayExpress	P-GSE80461-4	ArrayExpress	GSM2127776 extract 1	total RNA	P-GSE80461-5	ArrayExpress	GSM2127776 LE 1	biotin	P-GSE80461-6	ArrayExpress	GSM2127776	A-AFFY-2	ArrayExpress	array assay	P-GSE80461-7	ArrayExpress	GSM2127776_Arabidopsis_Roots_CeO2_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.raw.1.zip	P-GSE80461-1	ArrayExpress	GSM2127776_sample_table.txt norm	GSM2127776_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.processed.1.zip	roots
GSM2127775 1	Gene expression data from 29 days old roots exposed to CeO2	Arabidopsis plant, 29 day old	CeO2 treated roots, biological rep2	29 days old	Columbia (Col-0)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	roots	P-GSE80461-2	ArrayExpress	P-GSE80461-3	ArrayExpress	P-GSE80461-4	ArrayExpress	GSM2127775 extract 1	total RNA	P-GSE80461-5	ArrayExpress	GSM2127775 LE 1	biotin	P-GSE80461-6	ArrayExpress	GSM2127775	A-AFFY-2	ArrayExpress	array assay	P-GSE80461-7	ArrayExpress	GSM2127775_Arabidopsis_Roots_CeO2_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.raw.1.zip	P-GSE80461-1	ArrayExpress	GSM2127775_sample_table.txt norm	GSM2127775_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.processed.1.zip	roots
GSM2127774 1	Gene expression data from 29 days old roots exposed to CeO2	Arabidopsis plant, 29 day old	CeO2 treated roots, biological rep1	29 days old	Columbia (Col-0)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	roots	P-GSE80461-2	ArrayExpress	P-GSE80461-3	ArrayExpress	P-GSE80461-4	ArrayExpress	GSM2127774 extract 1	total RNA	P-GSE80461-5	ArrayExpress	GSM2127774 LE 1	biotin	P-GSE80461-6	ArrayExpress	GSM2127774	A-AFFY-2	ArrayExpress	array assay	P-GSE80461-7	ArrayExpress	GSM2127774_Arabidopsis_Roots_CeO2_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.raw.1.zip	P-GSE80461-1	ArrayExpress	GSM2127774_sample_table.txt norm	GSM2127774_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.processed.1.zip	roots
GSM2127773 1	Gene expression data from 29 days old roots exposed to millipore water	Arabidopsis plant, 29 day old	Millipore Water treated roots, biological rep3	29 days old	Columbia (Col-0)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	roots	P-GSE80461-2	ArrayExpress	P-GSE80461-3	ArrayExpress	P-GSE80461-4	ArrayExpress	GSM2127773 extract 1	total RNA	P-GSE80461-5	ArrayExpress	GSM2127773 LE 1	biotin	P-GSE80461-6	ArrayExpress	GSM2127773	A-AFFY-2	ArrayExpress	array assay	P-GSE80461-7	ArrayExpress	GSM2127773_Arabidopsis_Roots_MPW_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.raw.1.zip	P-GSE80461-1	ArrayExpress	GSM2127773_sample_table.txt norm	GSM2127773_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.processed.1.zip	roots
GSM2127772 1	Gene expression data from 29 days old roots exposed to millipore water	Arabidopsis plant, 29 day old	Millipore Water treated roots, biological rep2	29 days old	Columbia (Col-0)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	roots	P-GSE80461-2	ArrayExpress	P-GSE80461-3	ArrayExpress	P-GSE80461-4	ArrayExpress	GSM2127772 extract 1	total RNA	P-GSE80461-5	ArrayExpress	GSM2127772 LE 1	biotin	P-GSE80461-6	ArrayExpress	GSM2127772	A-AFFY-2	ArrayExpress	array assay	P-GSE80461-7	ArrayExpress	GSM2127772_Arabidopsis_Roots_MPW_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.raw.1.zip	P-GSE80461-1	ArrayExpress	GSM2127772_sample_table.txt norm	GSM2127772_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.processed.1.zip	roots
GSM2127771 1	Gene expression data from 29 days old roots exposed to millipore water	Arabidopsis plant, 29 day old	Millipore Water treated roots, biological rep1	29 days old	Columbia (Col-0)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	roots	P-GSE80461-2	ArrayExpress	P-GSE80461-3	ArrayExpress	P-GSE80461-4	ArrayExpress	GSM2127771 extract 1	total RNA	P-GSE80461-5	ArrayExpress	GSM2127771 LE 1	biotin	P-GSE80461-6	ArrayExpress	GSM2127771	A-AFFY-2	ArrayExpress	array assay	P-GSE80461-7	ArrayExpress	GSM2127771_Arabidopsis_Roots_MPW_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.raw.1.zip	P-GSE80461-1	ArrayExpress	GSM2127771_sample_table.txt norm	GSM2127771_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.processed.1.zip	roots
GSM2127770 1	Gene expression data from 29 days old rosette leaves exposed to CeO2	Arabidopsis plant, 29 day old	CeO2 treated rosette Leaves, biological rep3	29 days old	Columbia (Col-0)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaves	P-GSE80461-2	ArrayExpress	P-GSE80461-3	ArrayExpress	P-GSE80461-4	ArrayExpress	GSM2127770 extract 1	total RNA	P-GSE80461-5	ArrayExpress	GSM2127770 LE 1	biotin	P-GSE80461-6	ArrayExpress	GSM2127770	A-AFFY-2	ArrayExpress	array assay	P-GSE80461-7	ArrayExpress	GSM2127770_Arabidopsis_Rossete_Leaves_CeO2_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.raw.1.zip	P-GSE80461-1	ArrayExpress	GSM2127770_sample_table.txt norm	GSM2127770_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.processed.1.zip	rosette leaves
GSM2127769 1	Gene expression data from 29 days old rosette leaves exposed to CeO2	Arabidopsis plant, 29 day old	CeO2 treated rosette Leaves, biological rep2	29 days old	Columbia (Col-0)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaves	P-GSE80461-2	ArrayExpress	P-GSE80461-3	ArrayExpress	P-GSE80461-4	ArrayExpress	GSM2127769 extract 1	total RNA	P-GSE80461-5	ArrayExpress	GSM2127769 LE 1	biotin	P-GSE80461-6	ArrayExpress	GSM2127769	A-AFFY-2	ArrayExpress	array assay	P-GSE80461-7	ArrayExpress	GSM2127769_Arabidopsis_Rossete_Leaves_CeO2_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.raw.1.zip	P-GSE80461-1	ArrayExpress	GSM2127769_sample_table.txt norm	GSM2127769_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.processed.1.zip	rosette leaves
GSM2127768 1	Gene expression data from 29 days old rosette leaves exposed to CeO2	Arabidopsis plant, 29 day old	CeO2 treated rosette Leaves, biological rep1	29 days old	Columbia (Col-0)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaves	P-GSE80461-2	ArrayExpress	P-GSE80461-3	ArrayExpress	P-GSE80461-4	ArrayExpress	GSM2127768 extract 1	total RNA	P-GSE80461-5	ArrayExpress	GSM2127768 LE 1	biotin	P-GSE80461-6	ArrayExpress	GSM2127768	A-AFFY-2	ArrayExpress	array assay	P-GSE80461-7	ArrayExpress	GSM2127768_Arabidopsis_Rossete_Leaves_CeO2_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.raw.1.zip	P-GSE80461-1	ArrayExpress	GSM2127768_sample_table.txt norm	GSM2127768_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.processed.1.zip	rosette leaves
GSM2127767 1	Gene expression data from 29 days old rosette leaves exposed to millipore water	Arabidopsis plant, 29 day old	Millipore Water treated rosette leaves, biological rep3	29 days old	Columbia (Col-0)	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaves	P-GSE80461-2	ArrayExpress	P-GSE80461-3	ArrayExpress	P-GSE80461-4	ArrayExpress	GSM2127767 extract 1	total RNA	P-GSE80461-5	ArrayExpress	GSM2127767 LE 1	biotin	P-GSE80461-6	ArrayExpress	GSM2127767	A-AFFY-2	ArrayExpress	array assay	P-GSE80461-7	ArrayExpress	GSM2127767_Arabidopsis_Rossete_Leaves_MPW_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.raw.1.zip	P-GSE80461-1	ArrayExpress	GSM2127767_sample_table.txt norm	GSM2127767_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-80461/E-GEOD-80461.processed.1.zip	rosette leaves
