Source Name	Characteristics [organism]	Characteristics [ecotype]	Characteristics[genotype]	Characteristics[age]	Unit[time unit]	Characteristics[individual] 	Characteristics[growth condition] 	Characteristics [organism part]	Comment [experiment start date]	Material Type	Protocol REF	Performer	Sample Name	Protocol REF	Parameter Value [RNA quality (RIN)]	Extract Name 	Material Type	Protocol REF	Performer	Comment [system used]	Parameter Value [amount of RNA used]	Protocol REF	Performer	Comment [system used]	Parameter Value [amount of cDNA used]	Labeled Extract Name	Label	Protocol REF 	Parameter Value [hyb temperature] 	Unit [temperature unit] 	Parameter Value [hyb duration]	Unit [time unit] 	Hybridization Name	Array Design REF 	Array Data File 	Comment [ArrayExpress FTP file]	Protocol REF 	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [organism part]	FactorValue [growth condition] 
FLB2	Arabidopsis thaliana	Col-0	wild type	7	day	BRICB_PDFU-2_083	NASA BRIC spaceflight hardware	undifferentiated tissue culture	 04/10/2010	cell	P-MTAB-25688	Zupanska A.	FLB2	P-MTAB-25689	RIN	FLB2	total RNA	P-MTAB-25690	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-25691	Zhang Y.	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug	FLB2	biotin	P-MTAB-25692	45	degree celsius	16	hour	8293_FLB2_7_Ferl.Paul_(ATH1-121501)	A-AFFY-2	8293_FLB2_7_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.raw.1.zip	P-MTAB-25693	MAS5 Norm 	TissueMAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.processed.1.zip	undifferentiated tissue culture	spaceflight environment
FLB3	Arabidopsis thaliana	Col-0	wild type	7	day	BRICB_PDFU-3_104	NASA BRIC spaceflight hardware	undifferentiated tissue culture	 04/10/2010	cell	P-MTAB-25688	Zupanska A.	FLB3	P-MTAB-25689	RIN	FLB3	total RNA	P-MTAB-25690	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-25691	Zhang Y.	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug	FLB3	biotin	P-MTAB-25692	45	degree celsius	16	hour	8305_FLB3_19_Ferl.Paul_(ATH1-121501)	A-AFFY-2	8305_FLB3_19_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.raw.1.zip	P-MTAB-25693	MAS5 Norm 	TissueMAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.processed.1.zip	undifferentiated tissue culture	spaceflight environment
FLB4	Arabidopsis thaliana	Col-0	wild type	7	day	BRICB_PDFU-4_033	NASA BRIC spaceflight hardware	undifferentiated tissue culture	 04/10/2010	cell	P-MTAB-25688	Zupanska A.	FLB4	P-MTAB-25689	RIN	FLB4	total RNA	P-MTAB-25690	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-25691	Zhang Y.	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug	FLB4	biotin	P-MTAB-25692	45	degree celsius	16	hour	8294_FLB4_8_Ferl.Paul_(ATH1-121501)	A-AFFY-2	8294_FLB4_8_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.raw.1.zip	P-MTAB-25693	MAS5 Norm 	TissueMAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.processed.1.zip	undifferentiated tissue culture	spaceflight environment
FLB5	Arabidopsis thaliana	Col-0	wild type	7	day	BRICB_PDFU-5_153	NASA BRIC spaceflight hardware	undifferentiated tissue culture	 04/10/2010	cell	P-MTAB-25688	Zupanska A.	FLB5	P-MTAB-25689	RIN	FLB5	total RNA	P-MTAB-25690	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-25691	Zhang Y.	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug	FLB5	biotin	P-MTAB-25692	45	degree celsius	16	hour	8306_FLB5_20_Ferl.Paul_(ATH1-121501)	A-AFFY-2	8306_FLB5_20_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.raw.1.zip	P-MTAB-25693	MAS5 Norm 	TissueMAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.processed.1.zip	undifferentiated tissue culture	spaceflight environment
FLG2	Arabidopsis thaliana	Col-0	wild type	7	day	BRICG_PDFU-2_018	NASA BRIC spaceflight hardware	undifferentiated tissue culture	 04/10/2010	cell	P-MTAB-25688	Zupanska A.	FLG2	P-MTAB-25689	RIN	FLG2	total RNA	P-MTAB-25690	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-25691	Zhang Y.	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug	FLG2	biotin	P-MTAB-25692	45	degree celsius	16	hour	8295_FLG2_9_Ferl.Paul_(ATH1-121501)	A-AFFY-2	8295_FLG2_9_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.raw.1.zip	P-MTAB-25693	MAS5 Norm 	TissueMAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.processed.1.zip	undifferentiated tissue culture	spaceflight environment
FLG3	Arabidopsis thaliana	Col-0	wild type	7	day	BRICG_PDFU-3_159	NASA BRIC spaceflight hardware	undifferentiated tissue culture	 04/10/2010	cell	P-MTAB-25688	Zupanska A.	FLG3	P-MTAB-25689	RIN	FLG3	total RNA	P-MTAB-25690	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-25691	Zhang Y.	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug	FLG3	biotin	P-MTAB-25692	45	degree celsius	16	hour	8307_FLG3_21_Ferl.Paul_(ATH1-121501)	A-AFFY-2	8307_FLG3_21_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.raw.1.zip	P-MTAB-25693	MAS5 Norm 	TissueMAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.processed.1.zip	undifferentiated tissue culture	spaceflight environment
GCB2	Arabidopsis thaliana	Col-0	wild type	7	day	GROUND_BRICB_PDFU-2_312	Ground Control Orbiter Environmental Simulator at Kennedy Space Center	undifferentiated tissue culture	 04/10/2010	cell	P-MTAB-25688	Zupanska A.	GCB2	P-MTAB-25689	RIN	GCB2	total RNA	P-MTAB-25690	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-25691	Zhang Y.	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug	GCB2	biotin	P-MTAB-25692	45	degree celsius	16	hour	8296_GCB2_10_Ferl.Paul_(ATH1-121501)	A-AFFY-2	8296_GCB2_10_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.raw.1.zip	P-MTAB-25693	MAS5 Norm 	TissueMAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.processed.1.zip	undifferentiated tissue culture	ground control
GCB3	Arabidopsis thaliana	Col-0	wild type	7	day	GROUND_BRICB_PDFU-3_338	Ground Control Orbiter Environmental Simulator at Kennedy Space Center	undifferentiated tissue culture	 04/10/2010	cell	P-MTAB-25688	Zupanska A.	GCB3	P-MTAB-25689	RIN	GCB3	total RNA	P-MTAB-25690	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-25691	Zhang Y.	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug	GCB3	biotin	P-MTAB-25692	45	degree celsius	16	hour	8308_GCB3_22_Ferl.Paul_(ATH1-121501)	A-AFFY-2	8308_GCB3_22_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.raw.1.zip	P-MTAB-25693	MAS5 Norm 	TissueMAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.processed.1.zip	undifferentiated tissue culture	ground control
GCB4	Arabidopsis thaliana	Col-0	wild type	7	day	GROUND_BRICB_PDFU-4_331	Ground Control Orbiter Environmental Simulator at Kennedy Space Center	undifferentiated tissue culture	 04/10/2010	cell	P-MTAB-25688	Zupanska A.	GCB4	P-MTAB-25689	RIN	GCB4	total RNA	P-MTAB-25690	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-25691	Zhang Y.	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug	GCB4	biotin	P-MTAB-25692	45	degree celsius	16	hour	8297_GCB4_11_Ferl.Paul_(ATH1-121501)	A-AFFY-2	8297_GCB4_11_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.raw.1.zip	P-MTAB-25693	MAS5 Norm 	TissueMAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.processed.1.zip	undifferentiated tissue culture	ground control
GCB5	Arabidopsis thaliana	Col-0	wild type	7	day	GROUND_BRICB_PDFU-5_318	Ground Control Orbiter Environmental Simulator at Kennedy Space Center	undifferentiated tissue culture	 04/10/2010	cell	P-MTAB-25688	Zupanska A.	GCB5	P-MTAB-25689	RIN	GCB5	total RNA	P-MTAB-25690	Zhang Y.	cDNA synthesis- Ovation Pico WTA System (NuGEN Technologies Inc.)	60 ng	P-MTAB-25691	Zhang Y.	labeling - Encore Biotin Module (NuGEN Technologies Inc.)	5 ug	GCB5	biotin	P-MTAB-25692	45	degree celsius	16	hour	8309_GCB5_23_Ferl.Paul_(ATH1-121501)	A-AFFY-2	8309_GCB5_23_Ferl.Paul_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.raw.1.zip	P-MTAB-25693	MAS5 Norm 	TissueMAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1009/E-MTAB-1009.processed.1.zip	undifferentiated tissue culture	ground control
