Source Name	Characteristics [Organism]	Characteristics[OrganismPart]	Characteristics[OrganismStatus]	Characteristics[Line]	Characteristics[Genotype]	Characteristics[DevelopmentalStage]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[DEVELOPMENTAL STAGE]	FactorValue[ORGANISM STATUS]	FactorValue[LINE]	FactorValue[GENOTYPE]
GSE9721GSM245718	Brassica napus	flower bud	fertile	J03B	msmsrfrf	bigger than 3mm, referred to anthers at trinucleate stage	large flower buds, fertile plants, J03:  Gene expression data from floura after anther abortion. Heterozygous two-type line J03B, Genotype: msmsrfrf; flower buds bigger than 3mm, referred to anthers at trinucleate stage	P-G9721-2	P-G9721-1	GSE9721GSM245718 sample	P-G9721-4	GSE9721GSM245718 extract	total_RNA	P-G9721-3	GSE9721GSM245718 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	large flower buds of J03B, biol_rep2	A-AFFY-2	P-AFFY-6	large flower buds of J03B, biol_rep2	GSM245718.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9721-processed-data-1632641192.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.processed.1.zip	bigger than 3mm, referred to anthers at trinucleate stage	fertile	J03B	msmsrfrf
GSE9721GSM245701	Brassica napus	flower bud	sterile	J03A	Msmsrfrf	from 1mm to 3mm that contain tetrad stage and uninucleate stage	middle flower buds, sterile plants, J03:  Gene expression data from floura during anther abortion. Heterozygous two-type line J03A, Genotype: Msmsrfrf; flower buds from 1mm to 3mm that contain tetrad stage and uninucleate stage	P-G9721-2	P-G9721-1	GSE9721GSM245701 sample	P-G9721-4	GSE9721GSM245701 extract	total_RNA	P-G9721-3	GSE9721GSM245701 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	middle flower buds of J03A, tech_rep1	A-AFFY-2	P-AFFY-6	middle flower buds of J03A, tech_rep1	GSM245701.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9721-processed-data-1632641192.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.processed.1.zip	from 1mm to 3mm that contain tetrad stage and uninucleate stage	sterile	J03A	Msmsrfrf
GSE9721GSM245716	Brassica napus	flower bud	fertile	J03B	msmsrfrf	bigger than 3mm, referred to anthers at trinucleate stage	large flower buds, fertile plants, J03:  Gene expression data from floura after anther abortion. Heterozygous two-type line J03B, Genotype: msmsrfrf; flower buds bigger than 3mm, referred to anthers at trinucleate stage	P-G9721-2	P-G9721-1	GSE9721GSM245716 sample	P-G9721-4	GSE9721GSM245716 extract	total_RNA	P-G9721-3	GSE9721GSM245716 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	large flower buds of J03B, biol_rep1	A-AFFY-2	P-AFFY-6	large flower buds of J03B, biol_rep1	GSM245716.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9721-processed-data-1632641192.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.processed.1.zip	bigger than 3mm, referred to anthers at trinucleate stage	fertile	J03B	msmsrfrf
GSE9721GSM245709	Brassica napus	flower bud	fertile	J03B	msmsrfrf	ess than 1mm, referred to anther development before meiosis	small flower buds, fertile plants, J03:  Gene expression data from floura before anther abortion. Heterozygous two-type line J03B, Genotype: msmsrfrf; flower buds less than 1mm, referred to anther development before meiosis	P-G9721-2	P-G9721-1	GSE9721GSM245709 sample	P-G9721-4	GSE9721GSM245709 extract	total_RNA	P-G9721-3	GSE9721GSM245709 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	small flower buds of J03B, tech_rep1	A-AFFY-2	P-AFFY-6	small flower buds of J03B, tech_rep1	GSM245709.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9721-processed-data-1632641192.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.processed.1.zip	ess than 1mm, referred to anther development before meiosis	fertile	J03B	msmsrfrf
GSE9721GSM245700	Brassica napus	flower bud	sterile	J03A	Msmsrfrf	from 1mm to 3mm that contain tetrad stage and uninucleate stage	middle flower buds, sterile plants, J03:  Gene expression data from floura during anther abortion. Heterozygous two-type line J03A, Genotype: Msmsrfrf; flower buds from 1mm to 3mm that contain tetrad stage and uninucleate stage	P-G9721-2	P-G9721-1	GSE9721GSM245700 sample	P-G9721-4	GSE9721GSM245700 extract	total_RNA	P-G9721-3	GSE9721GSM245700 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	middle flower buds of J03A, biol_rep1	A-AFFY-2	P-AFFY-6	middle flower buds of J03A, biol_rep1	GSM245700.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9721-processed-data-1632641192.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.processed.1.zip	from 1mm to 3mm that contain tetrad stage and uninucleate stage	sterile	J03A	Msmsrfrf
GSE9721GSM245695	Brassica napus	flower bud	fertile	J10B	MsMsRfrf	bigger than 3mm, referred to anthers at trinucleate stage	large flower buds, fertile plants, J10:  Gene expression data from floura after anther abortion. Homozygous DGMS two-type line J10B, Genotype: MsMsRfrf; flower buds bigger than 3mm, referred to anthers at trinucleate stage	P-G9721-2	P-G9721-1	GSE9721GSM245695 sample	P-G9721-4	GSE9721GSM245695 extract	total_RNA	P-G9721-3	GSE9721GSM245695 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	large flower buds of J10B, tech_rep2	A-AFFY-2	P-AFFY-6	large flower buds of J10B, tech_rep2	GSM245695.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9721-processed-data-1632641192.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.processed.1.zip	bigger than 3mm, referred to anthers at trinucleate stage	fertile	J10B	MsMsRfrf
GSE9721GSM245712	Brassica napus	flower bud	fertile	J03B	msmsrfrf	from 1mm to 3mm that contain tetrad stage and uninucleate stage	middle flower buds, fertile plants, J03:  Gene expression data from floura during anther abortion. Heterozygous two-type line J03B, Genotype: msmsrfrf; flower buds from 1mm to 3mm that contain tetrad stage and uninucleate stage	P-G9721-2	P-G9721-1	GSE9721GSM245712 sample	P-G9721-4	GSE9721GSM245712 extract	total_RNA	P-G9721-3	GSE9721GSM245712 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	middle flower buds of J03B, biol_rep1	A-AFFY-2	P-AFFY-6	middle flower buds of J03B, biol_rep1	GSM245712.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9721-processed-data-1632641192.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.processed.1.zip	from 1mm to 3mm that contain tetrad stage and uninucleate stage	fertile	J03B	msmsrfrf
GSE9721GSM245678	Brassica napus	flower bud	sterile	J10A	MsMsrfrf	from 1mm to 3mm that contain tetrad stage and uninucleate stage	middle flower buds, sterile plants, J10:  Gene expression data from floura during anther abortion. Homozygous DGMS two-type line J10A, Genotype: MsMsrfrf; flower buds from 1mm to 3mm that contain tetrad stage and uninucleate stage	P-G9721-2	P-G9721-1	GSE9721GSM245678 sample	P-G9721-4	GSE9721GSM245678 extract	total_RNA	P-G9721-3	GSE9721GSM245678 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	middle flower buds of J10A, biol_rep2	A-AFFY-2	P-AFFY-6	middle flower buds of J10A, biol_rep2	GSM245678.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9721-processed-data-1632641192.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.processed.1.zip	from 1mm to 3mm that contain tetrad stage and uninucleate stage	sterile	J10A	MsMsrfrf
GSE9721GSM245696	Brassica napus	flower bud	sterile	J03A	Msmsrfrf	ess than 1mm, referred to anther development before meiosis	small flower buds, sterile plants, J03:  Gene expression data from floura before anther abortion. Heterozygous two-type line J03A, Genotype: Msmsrfrf; flower buds less than 1mm, referred to anther development before meiosis	P-G9721-2	P-G9721-1	GSE9721GSM245696 sample	P-G9721-4	GSE9721GSM245696 extract	total_RNA	P-G9721-3	GSE9721GSM245696 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	small flower buds of J03A, biol_rep1	A-AFFY-2	P-AFFY-6	small flower buds of J03A, biol_rep1	GSM245696.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9721-processed-data-1632641192.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.processed.1.zip	ess than 1mm, referred to anther development before meiosis	sterile	J03A	Msmsrfrf
GSE9721GSM245693	Brassica napus	flower bud	fertile	J10B	MsMsRfrf	bigger than 3mm, referred to anthers at trinucleate stage	large flower buds, fertile plants, J10:  Gene expression data from floura after anther abortion. Homozygous DGMS two-type line J10B, Genotype: MsMsRfrf; flower buds bigger than 3mm, referred to anthers at trinucleate stage	P-G9721-2	P-G9721-1	GSE9721GSM245693 sample	P-G9721-4	GSE9721GSM245693 extract	total_RNA	P-G9721-3	GSE9721GSM245693 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	large flower buds of J10B, tech_rep1	A-AFFY-2	P-AFFY-6	large flower buds of J10B, tech_rep1	GSM245693.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9721-processed-data-1632641192.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9721/E-GEOD-9721.processed.1.zip	bigger than 3mm, referred to anthers at trinucleate stage	fertile	J10B	MsMsRfrf
