Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_source_name]	Comment [Sample_characteristics]	Characteristics[Genotype]	Characteristics[OrganismPart]	Characteristics[Age]	Unit[TimeUnit]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GENOTYPE]	FactorValue[ORGANISM PART]	FactorValue[INFECTION]
GSE15680GSM392488	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col laser-microdissected leaf amplified infected with Golovinomyces orontii 5d, Gene expression data from 5d infected wild type laser-microdessected leaves around the infection site without vascular bundle cells and lower epidermis. genotype: wild type; age: 4 weeks old at time 0 (innoculation); tissue: LMD leaf epidermal and mesophyll cells	Col laser-microdissected leaf amplified infected with Golovinomyces orontii 5d	genotype: wild type; age: 4 weeks old at time 0 (innoculation); tissue: LMD leaf epidermal and mesophyll cells	Columbia	leaf epidermis and mesophyll	4	weeks	P-G15680-2	P-G15680-1	GSE15680GSM392488 sample	P-G15680-5	GSE15680GSM392488 extract	total_RNA	P-G15680-3	GSE15680GSM392488 LE biotin	biotin	synthetic_RNA	Col laser microdissected, 5 dpi, biological rep 1	A-AFFY-2	P-AFFY-6	GSM392488.CEL	GSM392488.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15680/E-GEOD-15680.raw.1.zip	P-G15680-4	E-GEOD-15680-processed-data-1834669993.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15680/E-GEOD-15680.processed.1.zip	Columbia	leaf epidermis and mesophyll	Golovinomyces orontii
GSE15680GSM392489	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col laser-microdissected leaf amplified infected with Golovinomyces orontii 5d, Gene expression data from 5d infected wild type laser-microdessected leaves around the infection site without vascular bundle cells and lower epidermis. genotype: wild type; age: 4 weeks old at time 0 (innoculation); tissue: LMD leaf epidermal and mesophyll cells	Col laser-microdissected leaf amplified infected with Golovinomyces orontii 5d	genotype: wild type; age: 4 weeks old at time 0 (innoculation); tissue: LMD leaf epidermal and mesophyll cells	Columbia	leaf epidermis and mesophyll	4	weeks	P-G15680-2	P-G15680-1	GSE15680GSM392489 sample	P-G15680-5	GSE15680GSM392489 extract	total_RNA	P-G15680-3	GSE15680GSM392489 LE biotin	biotin	synthetic_RNA	Col laser microdissected, 5 dpi, biological rep 2	A-AFFY-2	P-AFFY-6	GSM392489.CEL	GSM392489.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15680/E-GEOD-15680.raw.1.zip	P-G15680-4	E-GEOD-15680-processed-data-1834669993.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15680/E-GEOD-15680.processed.1.zip	Columbia	leaf epidermis and mesophyll	Golovinomyces orontii
GSE15680GSM392491	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col laser-microdissected leaf uninfected 5d, Gene expression data from 5d uninfected wild type laser-microdessected leaves around the infection site without vascular bundle cells and lower epidermis. genotype: wild type; age: 4 weeks old at time 0 (innoculation); tissue: LMD leaf epidermal and mesophyll cells	Col laser-microdissected leaf uninfected 5d	genotype: wild type; age: 4 weeks old at time 0 (innoculation); tissue: LMD leaf epidermal and mesophyll cells	Columbia	leaf epidermis and mesophyll	4	weeks	P-G15680-2	P-G15680-1	GSE15680GSM392491 sample	P-G15680-5	GSE15680GSM392491 extract	total_RNA	P-G15680-3	GSE15680GSM392491 LE biotin	biotin	synthetic_RNA	Col laser microdissected, 5 d UI, biological rep 2	A-AFFY-2	P-AFFY-6	GSM392491.CEL	GSM392491.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15680/E-GEOD-15680.raw.1.zip	P-G15680-4	E-GEOD-15680-processed-data-1834669993.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15680/E-GEOD-15680.processed.1.zip	Columbia	leaf epidermis and mesophyll	none
GSE15680GSM392496	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col whole leaf uninfected 5d, Gene expression data from 5d uninfected wild type whole mature leaves. genotype: wild type; age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Col whole leaf uninfected 5d	genotype: wild type; age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Columbia	leaf	4	weeks	P-G15680-2	P-G15680-1	GSE15680GSM392496 sample	P-G15680-5	GSE15680GSM392496 extract	total_RNA	P-G15680-3	GSE15680GSM392496 LE biotin	biotin	synthetic_RNA	Col whole leaf, 5 d UI, biological rep 1	A-AFFY-2	P-AFFY-6	GSM392496.CEL	GSM392496.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15680/E-GEOD-15680.raw.1.zip	P-G15680-4	E-GEOD-15680-processed-data-1834669993.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15680/E-GEOD-15680.processed.1.zip	Columbia	leaf	none
GSE15680GSM392495	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col whole leaf infected with Golovinomyces orontii 5d, Gene expression data from 5d infected wild type whole mature leaves. genotype: wild type; age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Col whole leaf infected with Golovinomyces orontii 5d	genotype: wild type; age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Columbia	leaf	4	weeks	P-G15680-2	P-G15680-1	GSE15680GSM392495 sample	P-G15680-5	GSE15680GSM392495 extract	total_RNA	P-G15680-3	GSE15680GSM392495 LE biotin	biotin	synthetic_RNA	Col whole leaf, 5 dpi, biological rep 2	A-AFFY-2	P-AFFY-6	GSM392495.CEL	GSM392495.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15680/E-GEOD-15680.raw.1.zip	P-G15680-4	E-GEOD-15680-processed-data-1834669993.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15680/E-GEOD-15680.processed.1.zip	Columbia	leaf	Golovinomyces orontii
GSE15680GSM392494	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col whole leaf infected with Golovinomyces orontii 5d, Gene expression data from 5d infected wild type whole mature leaves. genotype: wild type; age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Col whole leaf infected with Golovinomyces orontii 5d	genotype: wild type; age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Columbia	leaf	4	weeks	P-G15680-2	P-G15680-1	GSE15680GSM392494 sample	P-G15680-5	GSE15680GSM392494 extract	total_RNA	P-G15680-3	GSE15680GSM392494 LE biotin	biotin	synthetic_RNA	Col whole leaf, 5 dpi, biological rep 1	A-AFFY-2	P-AFFY-6	GSM392494.CEL	GSM392494.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15680/E-GEOD-15680.raw.1.zip	P-G15680-4	E-GEOD-15680-processed-data-1834669993.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15680/E-GEOD-15680.processed.1.zip	Columbia	leaf	Golovinomyces orontii
GSE15680GSM392493	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	eds16 laser-microdissected leaf amplified infected with Golovinomyces orontii 5d, Gene expression data from 5d infected eds16 laser-microdessected leaves around the infection site without vascular bundle cells and lower epidermis. genotype: mutant; age: 4 weeks old at time 0 (innoculation); tissue: LMD leaf epidermal and mesophyll cells	eds16 laser-microdissected leaf amplified infected with Golovinomyces orontii 5d	genotype: mutant; age: 4 weeks old at time 0 (innoculation); tissue: LMD leaf epidermal and mesophyll cells	eds16 mutant	leaf epidermis and mesophyll	4	weeks	P-G15680-2	P-G15680-1	GSE15680GSM392493 sample	P-G15680-5	GSE15680GSM392493 extract	total_RNA	P-G15680-3	GSE15680GSM392493 LE biotin	biotin	synthetic_RNA	eds16 laser microdissected, 5 dpi, biological rep 2	A-AFFY-2	P-AFFY-6	GSM392493.CEL	GSM392493.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15680/E-GEOD-15680.raw.1.zip	P-G15680-4	E-GEOD-15680-processed-data-1834669993.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15680/E-GEOD-15680.processed.1.zip	eds16 mutant	leaf epidermis and mesophyll	Golovinomyces orontii
GSE15680GSM392500	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col whole leaf amplified uninfected 5d, Gene expression data from 5d uninfected wild type whole amplified leaves. genotype: wild type; age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Col whole leaf amplified uninfected 5d	genotype: wild type; age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Columbia	leaf	4	weeks	P-G15680-2	P-G15680-1	GSE15680GSM392500 sample	P-G15680-5	GSE15680GSM392500 extract	total_RNA	P-G15680-3	GSE15680GSM392500 LE biotin	biotin	synthetic_RNA	Col whole leaf amplified, 5 d UI, biological rep 1	A-AFFY-2	P-AFFY-6	GSM392500.CEL	GSM392500.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15680/E-GEOD-15680.raw.1.zip	P-G15680-4	E-GEOD-15680-processed-data-1834669993.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15680/E-GEOD-15680.processed.1.zip	Columbia	leaf	none
GSE15680GSM392490	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col laser-microdissected leaf uninfected 5d, Gene expression data from 5d uninfected wild type laser-microdessected leaves around the infection site without vascular bundle cells and lower epidermis. genotype: wild type; age: 4 weeks old at time 0 (innoculation); tissue: LMD leaf epidermal and mesophyll cells	Col laser-microdissected leaf uninfected 5d	genotype: wild type; age: 4 weeks old at time 0 (innoculation); tissue: LMD leaf epidermal and mesophyll cells	Columbia	leaf epidermis and mesophyll	4	weeks	P-G15680-2	P-G15680-1	GSE15680GSM392490 sample	P-G15680-5	GSE15680GSM392490 extract	total_RNA	P-G15680-3	GSE15680GSM392490 LE biotin	biotin	synthetic_RNA	Col laser microdissected, 5 d UI, biological rep 1	A-AFFY-2	P-AFFY-6	GSM392490.CEL	GSM392490.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15680/E-GEOD-15680.raw.1.zip	P-G15680-4	E-GEOD-15680-processed-data-1834669993.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15680/E-GEOD-15680.processed.1.zip	Columbia	leaf epidermis and mesophyll	none
GSE15680GSM392503	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col leaf scrape amplified infected with Golovinomyces orontii 5d, Gene expression data from 5d infected wild type scraped and amplified leaves. genotype: wild type; age: 4 weeks old at time 0 (innoculation); tissue: leaf section scrapes	Col leaf scrape amplified infected with Golovinomyces orontii 5d	genotype: wild type; age: 4 weeks old at time 0 (innoculation); tissue: leaf section scrapes	Columbia	leaf section scrape	4	weeks	P-G15680-2	P-G15680-1	GSE15680GSM392503 sample	P-G15680-5	GSE15680GSM392503 extract	total_RNA	P-G15680-3	GSE15680GSM392503 LE biotin	biotin	synthetic_RNA	Col leaf scrape, 5 dpi, biological rep 2	A-AFFY-2	P-AFFY-6	GSM392503.CEL	GSM392503.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15680/E-GEOD-15680.raw.1.zip	P-G15680-4	E-GEOD-15680-processed-data-1834669993.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15680/E-GEOD-15680.processed.1.zip	Columbia	leaf section scrape	Golovinomyces orontii
