Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Age]	Unit[TimeUnit]	Characteristics[Ecotype]	Characteristics[OrganismPart]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[ORGANISM PART]	FactorValue[GROWTH CONDITION]
GSE10497GSM265426	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	root longitudinal zone 1	root tissue:  Gene expression data from longitudinal zone 1 isolated from roots grown under standard conditions for 5 days then transferred to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days, transferred to -Fe media for 24 hours before dissection	P-G10497-1	P-G10497-2	GSE10497GSM265426 sample	P-G10497-4	GSE10497GSM265426 extract	total_RNA	P-G10497-3	GSE10497GSM265426 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 1, -Fe conditions, rep 1	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 1, -Fe conditions, rep 1	GSM265426.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10497/E-GEOD-10497.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10497-processed-data-1626142466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10497/E-GEOD-10497.processed.1.zip	root longitudinal zone 1	iron deprivation
GSE10497GSM265427	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	root longitudinal zone 1	root tissue:  Gene expression data from longitudinal zone 1 isolated from roots grown under standard conditions for 5 days then transferred to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days, transferred to -Fe media for 24 hours before dissection	P-G10497-1	P-G10497-2	GSE10497GSM265427 sample	P-G10497-4	GSE10497GSM265427 extract	total_RNA	P-G10497-3	GSE10497GSM265427 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 1, -Fe conditions, rep 2	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 1, -Fe conditions, rep 2	GSM265427.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10497/E-GEOD-10497.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10497-processed-data-1626142466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10497/E-GEOD-10497.processed.1.zip	root longitudinal zone 1	iron deprivation
GSE10497GSM265418	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	root longitudinal zone 1	root tissue:  Gene expression data from longitudinal zone 1 isolated from roots grown under standard conditions for 5 days then transferred to standard media for 1hr. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media	P-G10497-1	P-G10497-2	GSE10497GSM265418 sample	P-G10497-4	GSE10497GSM265418 extract	total_RNA	P-G10497-3	GSE10497GSM265418 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 1, standard conditions, rep 1	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 1, standard conditions, rep 1	GSM265418.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10497/E-GEOD-10497.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10497-processed-data-1626142466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10497/E-GEOD-10497.processed.1.zip	root longitudinal zone 1	control
GSE10497GSM265419	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	root longitudinal zone 1	root tissue:  Gene expression data from longitudinal zone 1 isolated from roots grown under standard conditions for 5 days then transferred to standard media for 1hr. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media	P-G10497-1	P-G10497-2	GSE10497GSM265419 sample	P-G10497-4	GSE10497GSM265419 extract	total_RNA	P-G10497-3	GSE10497GSM265419 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 1, standard conditions, rep 2	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 1, standard conditions, rep 2	GSM265419.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10497/E-GEOD-10497.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10497-processed-data-1626142466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10497/E-GEOD-10497.processed.1.zip	root longitudinal zone 1	control
GSE10497GSM265428	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	root longitudinal zone 2	root tissue:  Gene expression data from longitudinal zone 2 isolated from roots grown under standard conditions for 5 days then transferred to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days, transferred to -Fe media for 24 hours before dissection	P-G10497-1	P-G10497-2	GSE10497GSM265428 sample	P-G10497-4	GSE10497GSM265428 extract	total_RNA	P-G10497-3	GSE10497GSM265428 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 2, -Fe conditions, rep 1	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 2, -Fe conditions, rep 1	GSM265428.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10497/E-GEOD-10497.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10497-processed-data-1626142466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10497/E-GEOD-10497.processed.1.zip	root longitudinal zone 2	iron deprivation
GSE10497GSM265429	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	root longitudinal zone 2	root tissue:  Gene expression data from longitudinal zone 2 isolated from roots grown under standard conditions for 5 days then transferred to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days, transferred to -Fe media for 24 hours before dissection	P-G10497-1	P-G10497-2	GSE10497GSM265429 sample	P-G10497-4	GSE10497GSM265429 extract	total_RNA	P-G10497-3	GSE10497GSM265429 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 2, -Fe conditions, rep 2	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 2, -Fe conditions, rep 2	GSM265429.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10497/E-GEOD-10497.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10497-processed-data-1626142466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10497/E-GEOD-10497.processed.1.zip	root longitudinal zone 2	iron deprivation
GSE10497GSM265420	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	root longitudinal zone 2	root tissue:  Gene expression data from longitudinal zone 2 isolated from roots grown under standard conditions for 5 days then transferred to standard media for 1hr. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media	P-G10497-1	P-G10497-2	GSE10497GSM265420 sample	P-G10497-4	GSE10497GSM265420 extract	total_RNA	P-G10497-3	GSE10497GSM265420 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 2, standard conditions, rep 1	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 2, standard conditions, rep 1	GSM265420.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10497/E-GEOD-10497.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10497-processed-data-1626142466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10497/E-GEOD-10497.processed.1.zip	root longitudinal zone 2	control
GSE10497GSM265421	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	root longitudinal zone 2	root tissue:  Gene expression data from longitudinal zone 2 isolated from roots grown under standard conditions for 5 days then transferred to standard media for 1hr. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media	P-G10497-1	P-G10497-2	GSE10497GSM265421 sample	P-G10497-4	GSE10497GSM265421 extract	total_RNA	P-G10497-3	GSE10497GSM265421 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 2, standard conditions, rep 2	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 2, standard conditions, rep 2	GSM265421.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10497/E-GEOD-10497.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10497-processed-data-1626142466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10497/E-GEOD-10497.processed.1.zip	root longitudinal zone 2	control
GSE10497GSM265430	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	root longitudinal zone 3	root tissue:  Gene expression data from longitudinal zone 3 isolated from roots grown under standard conditions for 5 days then transferred to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days, transferred to -Fe media for 24 hours before dissection	P-G10497-1	P-G10497-2	GSE10497GSM265430 sample	P-G10497-4	GSE10497GSM265430 extract	total_RNA	P-G10497-3	GSE10497GSM265430 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 3, -Fe conditions, rep 1	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 3, -Fe conditions, rep 1	GSM265430.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10497/E-GEOD-10497.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10497-processed-data-1626142466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10497/E-GEOD-10497.processed.1.zip	root longitudinal zone 3	iron deprivation
GSE10497GSM265431	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	days	Columbia	root longitudinal zone 3	root tissue:  Gene expression data from longitudinal zone 3 isolated from roots grown under standard conditions for 5 days then transferred to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days, transferred to -Fe media for 24 hours before dissection	P-G10497-1	P-G10497-2	GSE10497GSM265431 sample	P-G10497-4	GSE10497GSM265431 extract	total_RNA	P-G10497-3	GSE10497GSM265431 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 3, -Fe conditions, rep 2	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 3, -Fe conditions, rep 2	GSM265431.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10497/E-GEOD-10497.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10497-processed-data-1626142466.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10497/E-GEOD-10497.processed.1.zip	root longitudinal zone 3	iron deprivation
