Source Name	Comment [Sample_description]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Ecotype]	Characteristics[OrganismPart]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [SAMPLING TIME POINT]	Unit[TimeUnit]	FactorValue [ORGANISM PART]	FactorValue[TREATMENT]
GSM674596 1	At_ovules_L2	Gene expression analysis of pollen-pistil interactions in Arabidopsis	Arabidopsis ovules	ovules, rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	ovule	P-GSE27281-2	P-GSE27281-3	P-GSE27281-4	GSM674596 extract 1	total RNA	P-GSE27281-5	GSM674596 LE 1	biotin	P-GSE27281-6	GSM674596	A-AFFY-2	P-GSE27281-7	P-GSE27281-8	GSM674596.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27281/E-GEOD-27281.raw.1.zip	P-GSE27281-1	GSM674596_sample_table.txt norm	GSM674596_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27281/E-GEOD-27281.processed.1.zip	not specified	hours	ovule	n/a
GSM674595 1	At_ovules_L1	Gene expression analysis of pollen-pistil interactions in Arabidopsis	Arabidopsis ovules	ovules, rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	ovule	P-GSE27281-2	P-GSE27281-3	P-GSE27281-4	GSM674595 extract 1	total RNA	P-GSE27281-5	GSM674595 LE 1	biotin	P-GSE27281-6	GSM674595	A-AFFY-2	P-GSE27281-7	P-GSE27281-8	GSM674595.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27281/E-GEOD-27281.raw.1.zip	P-GSE27281-1	GSM674595_sample_table.txt norm	GSM674595_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27281/E-GEOD-27281.processed.1.zip	not specified	hours	ovule	n/a
GSM674594 1	At_PPI_K8	Gene expression analysis of pollen-pistil interactions in Arabidopsis	Arabidopsis pistils unpollinated	unpollinated pistil, rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	pistil	P-GSE27281-2	P-GSE27281-3	P-GSE27281-4	GSM674594 extract 1	total RNA	P-GSE27281-5	GSM674594 LE 1	biotin	P-GSE27281-6	GSM674594	A-AFFY-2	P-GSE27281-7	P-GSE27281-8	GSM674594.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27281/E-GEOD-27281.raw.1.zip	P-GSE27281-1	GSM674594_sample_table.txt norm	GSM674594_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27281/E-GEOD-27281.processed.1.zip	not specified	hours	pistil	unpollinated
GSM674593 1	At_PPI_K7	Gene expression analysis of pollen-pistil interactions in Arabidopsis	Arabidopsis pistils unpollinated	unpollinated pistil, rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	pistil	P-GSE27281-2	P-GSE27281-3	P-GSE27281-4	GSM674593 extract 1	total RNA	P-GSE27281-5	GSM674593 LE 1	biotin	P-GSE27281-6	GSM674593	A-AFFY-2	P-GSE27281-7	P-GSE27281-8	GSM674593.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27281/E-GEOD-27281.raw.1.zip	P-GSE27281-1	GSM674593_sample_table.txt norm	GSM674593_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27281/E-GEOD-27281.processed.1.zip	not specified	hours	pistil	unpollinated
GSM674592 1	At_PPI_K6	Gene expression analysis of pollen-pistil interactions in Arabidopsis	Arabidopsis pistils 8 hours after pollination	pistil 8.0HAP, rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	pistil	P-GSE27281-2	P-GSE27281-3	P-GSE27281-4	GSM674592 extract 1	total RNA	P-GSE27281-5	GSM674592 LE 1	biotin	P-GSE27281-6	GSM674592	A-AFFY-2	P-GSE27281-7	P-GSE27281-8	GSM674592.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27281/E-GEOD-27281.raw.1.zip	P-GSE27281-1	GSM674592_sample_table.txt norm	GSM674592_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27281/E-GEOD-27281.processed.1.zip	8	hours	pistil	pollinated
GSM674591 1	At_PPI_K5	Gene expression analysis of pollen-pistil interactions in Arabidopsis	Arabidopsis pistils 8 hours after pollination	pistil 8.0HAP, rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	pistil	P-GSE27281-2	P-GSE27281-3	P-GSE27281-4	GSM674591 extract 1	total RNA	P-GSE27281-5	GSM674591 LE 1	biotin	P-GSE27281-6	GSM674591	A-AFFY-2	P-GSE27281-7	P-GSE27281-8	GSM674591.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27281/E-GEOD-27281.raw.1.zip	P-GSE27281-1	GSM674591_sample_table.txt norm	GSM674591_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27281/E-GEOD-27281.processed.1.zip	8	hours	pistil	pollinated
GSM674590 1	At_PPI_J7	Gene expression analysis of pollen-pistil interactions in Arabidopsis	Arabidopsis pistils 3.5 hours after pollination	pistil 3.5HAP, rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	pistil	P-GSE27281-2	P-GSE27281-3	P-GSE27281-4	GSM674590 extract 1	total RNA	P-GSE27281-5	GSM674590 LE 1	biotin	P-GSE27281-6	GSM674590	A-AFFY-2	P-GSE27281-7	P-GSE27281-8	GSM674590.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27281/E-GEOD-27281.raw.1.zip	P-GSE27281-1	GSM674590_sample_table.txt norm	GSM674590_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27281/E-GEOD-27281.processed.1.zip	3.5	hours	pistil	pollinated
GSM674589 1	At_PPI_J6	Gene expression analysis of pollen-pistil interactions in Arabidopsis	Arabidopsis pistils 3.5 hours after pollination	pistil 3.5HAP, rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	pistil	P-GSE27281-2	P-GSE27281-3	P-GSE27281-4	GSM674589 extract 1	total RNA	P-GSE27281-5	GSM674589 LE 1	biotin	P-GSE27281-6	GSM674589	A-AFFY-2	P-GSE27281-7	P-GSE27281-8	GSM674589.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27281/E-GEOD-27281.raw.1.zip	P-GSE27281-1	GSM674589_sample_table.txt norm	GSM674589_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27281/E-GEOD-27281.processed.1.zip	3.5	hours	pistil	pollinated
GSM674588 1	At_PPI_J5	Gene expression analysis of pollen-pistil interactions in Arabidopsis	Arabidopsis pistils 0.5 hours after pollination	pistil 0.5HAP, rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	pistil	P-GSE27281-2	P-GSE27281-3	P-GSE27281-4	GSM674588 extract 1	total RNA	P-GSE27281-5	GSM674588 LE 1	biotin	P-GSE27281-6	GSM674588	A-AFFY-2	P-GSE27281-7	P-GSE27281-8	GSM674588.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27281/E-GEOD-27281.raw.1.zip	P-GSE27281-1	GSM674588_sample_table.txt norm	GSM674588_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27281/E-GEOD-27281.processed.1.zip	0.5	hours	pistil	pollinated
GSM674587 1	At_PPI_J4	Gene expression analysis of pollen-pistil interactions in Arabidopsis	Arabidopsis pistils 0.5 hours after pollination	pistil 0.5HAP, rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	pistil	P-GSE27281-2	P-GSE27281-3	P-GSE27281-4	GSM674587 extract 1	total RNA	P-GSE27281-5	GSM674587 LE 1	biotin	P-GSE27281-6	GSM674587	A-AFFY-2	P-GSE27281-7	P-GSE27281-8	GSM674587.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27281/E-GEOD-27281.raw.1.zip	P-GSE27281-1	GSM674587_sample_table.txt norm	GSM674587_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-27281/E-GEOD-27281.processed.1.zip	0.5	hours	pistil	pollinated
