Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_characteristics]	Characteristics[genotype]	Characteristics[ecotype]	Characteristics[developmental stage]	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Comment [Sample_source_name]	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[growth condition]	FactorValue[genotype]
GSE8951GSM226268	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole seedling:  Seeds were surface sterilized and sowed on filter papers that were laid on MS medium (solidified with 0.8% agar) without sucrose. Seeds were stratified at 4 degree in darkness for 4 days. Germination was induced by exposure under ~80 umol m-2 s-1 white light for 3 hours. For dark growth, plates were wrapped with several layers of aluminum foil and subject to a temperature cycle (12h 22 degree /12h 18 degree) during the first two days of growth to entrain and synchronize circadian clock; temperature was set at 20 degree during the second two days. Seedlings were harvested and immediately frozen in liquid nitrogen in complete darkness with the aid of Bushnell night vision goggle with a built-in infrared illuminator (model: 26-1020 (1.0 x 20)).. wild type (Landsberg erecta ecotype); dark-grown; 4 days (96h) old	wild type (Landsberg erecta ecotype); dark-grown; 4 days (96h) old	wild type	Landsberg erecta	seedling	4	day	whole organism	whole seedling	GSE8951GSM226268 sample	P-G8951-2	GSE8951GSM226268 extract	total_RNA	P-G8951-3	GSE8951GSM226268 LE biotin	biotin	synthetic_RNA	WT(Ler)_Dark_replicate2	A-AFFY-2	P-AFFY-6	GSM226268.CEL	GSM226268.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8951/E-GEOD-8951.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8951-processed-data-1689069471.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8951/E-GEOD-8951.processed.1.zip	dark	wild type
GSE8951GSM226274	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole seedlings:  Seeds were surface sterilized and sowed on filter papers that were laid on MS medium (solidified with 0.8% agar) without sucrose. Seeds were stratified at 4 degree in darkness for 4 days. Germination was induced by exposure under ~80 umol m-2 s-1 white light for 3 hours. For dark growth, plates were wrapped with several layers of aluminum foil and subject to a temperature cycle (12h 22 degree /12h 18 degree) during the first two days of growth to entrain and synchronize circadian clock; temperature was set at 20 degree during the second two days. Seedlings were harvested and immediately frozen in liquid nitrogen in complete darkness with the aid of Bushnell night vision goggle with a built-in infrared illuminator (model: 26-1020 (1.0 x 20)).. transgenic plant, AtPHYB(genomic)-Y276H/phyA-201phyB-5, line #5; dark-grown; 4 days (96h) old	transgenic plant, AtPHYB(genomic)-Y276H/phyA-201phyB-5, line #5; dark-grown; 4 days (96h) old	AtPHYB(genomic)-Y276H/phyA-201phyB-5	Landsberg erecta	seedling	4	day	whole organism	whole seedling	GSE8951GSM226274 sample	P-G8951-2	GSE8951GSM226274 extract	total_RNA	P-G8951-3	GSE8951GSM226274 LE biotin	biotin	synthetic_RNA	YHB_Dark_replicate2	A-AFFY-2	P-AFFY-6	GSM226274.CEL	GSM226274.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8951/E-GEOD-8951.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8951-processed-data-1689069471.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8951/E-GEOD-8951.processed.1.zip	dark	AtPHYB(genomic)-Y276H/phyA-201phyB-5
GSE8951GSM226269	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole seedlings:  Seeds were surface sterilized and sowed on filter papers that were laid on MS medium (solidified with 0.8% agar) without sucrose. Seeds were stratified at 4 degree in darkness for 4 days. Germination was induced by exposure under ~80 umol m-2 s-1 white light for 3 hours. For dark growth, plates were wrapped with several layers of aluminum foil and subject to a temperature cycle (12h 22 degree /12h 18 degree) during the first two days of growth to entrain and synchronize circadian clock; temperature was set at 20 degree during the second two days. Seedlings were harvested and immediately frozen in liquid nitrogen in complete darkness with the aid of Bushnell night vision goggle with a built-in infrared illuminator (model: 26-1020 (1.0 x 20)).. wild type (Landsberg erecta ecotype); dark-grown; 4 days (96h) old	wild type (Landsberg erecta ecotype); dark-grown; 4 days (96h) old	wild type	Landsberg erecta	seedling	4	day	whole organism	whole seedling	GSE8951GSM226269 sample	P-G8951-2	GSE8951GSM226269 extract	total_RNA	P-G8951-3	GSE8951GSM226269 LE biotin	biotin	synthetic_RNA	WT(Ler)_Dark_replicate3	A-AFFY-2	P-AFFY-6	GSM226269.CEL	GSM226269.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8951/E-GEOD-8951.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8951-processed-data-1689069471.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8951/E-GEOD-8951.processed.1.zip	dark	wild type
GSE8951GSM226267	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole seedling:  Seeds were surface sterilized and sowed on filter papers that were laid on MS medium (solidified with 0.8% agar) without sucrose. Seeds were stratified at 4 degree in darkness for 4 days. Germination was induced by exposure under ~80 micromol m-2 s-1 white light for 3 hours. For dark growth, plates were wrapped with several layers of aluminum foil and subject to a temperature cycle (12h 22 degree /12h 18 degree) during the first two days of growth to entrain and synchronize circadian clock; temperature was set at 20 degree during the second two days.. wild type (Landsberg erecta ecotype); Dark-grown; 4 days (96h) old	wild type (Landsberg erecta ecotype); Dark-grown; 4 days (96h) old	wild type	Landsberg erecta	seedling	4	day	whole organism	whole seedling	GSE8951GSM226267 sample	P-G8951-2	GSE8951GSM226267 extract	total_RNA	P-G8951-1	GSE8951GSM226267 LE biotin	biotin	synthetic_RNA	WT(Ler)_Dark_replicate1	A-AFFY-2	P-AFFY-6	GSM226267.CEL	GSM226267.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8951/E-GEOD-8951.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8951-processed-data-1689069471.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8951/E-GEOD-8951.processed.1.zip	dark	wild type
GSE8951GSM226281	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole seedling:  Seeds were surface sterilized and sowed on filter papers that were laid on MS medium (solidified with 0.8% agar) without sucrose. Seeds were stratified at 4 degree in darkness for 4 days. Germination was induced by exposure under ~80 umol m-2 s-1 white light for 3 hours. The SNAP-LITE lighting system (Quantum Devices Inc., Barneveld, WI) was used for red light source. Seedlings were grown for 4 days at 20 degree under 50 umol m-2 s-1  continuous red light (measured by a LI-COR quantum photometer, model LI-189). Seedlings were harvested and immediately frozen in liquid nitrogen under red light.. Transgenic plant, AtPHYB(genomic)-Y276H/phyAphyB, line #4; grown under continuous red light (Rc; light intensity = 50 umole m-2 s-1); 4 days (96h) old	Transgenic plant, AtPHYB(genomic)-Y276H/phyAphyB, line #4; grown under continuous red light (Rc; light intensity = 50 umole m-2 s-1); 4 days (96h) old	AtPHYB(genomic)-Y276H/phyA-201phyB-5	Landsberg erecta	seedling	4	day	whole organism	whole seedling	GSE8951GSM226281 sample	P-G8951-2	GSE8951GSM226281 extract	total_RNA	P-G8951-4	GSE8951GSM226281 LE biotin	biotin	synthetic_RNA	YHB_Rc50_replicate2	A-AFFY-2	P-AFFY-6	GSM226281.CEL	GSM226281.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8951/E-GEOD-8951.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8951-processed-data-1689069471.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8951/E-GEOD-8951.processed.1.zip	continuous red light, 50 umole m-2 s-1	AtPHYB(genomic)-Y276H/phyA-201phyB-5
GSE8951GSM226278	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole seedling:  Seeds were surface sterilized and sowed on filter papers that were laid on MS medium (solidified with 0.8% agar) without sucrose. Seeds were stratified at 4 degree in darkness for 4 days. Germination was induced by exposure under ~80 umol m-2 s-1 white light for 3 hours. The SNAP-LITE lighting system (Quantum Devices Inc., Barneveld, WI) was used for red light source. Seedlings were grown for 4 days at 20 degree under 50 umol m-2 s-1  continuous red light (measured by a LI-COR quantum photometer, model LI-189). Seedlings were harvested and immediately frozen in liquid nitrogen under red light.. wild type (Landsberg erecta ecotype); grown under continuous red light (Rc; light intensity = 50 umole m-2 s-1); 4 days (96h) old	wild type (Landsberg erecta ecotype); grown under continuous red light (Rc; light intensity = 50 umole m-2 s-1); 4 days (96h) old	wild type	Landsberg erecta	seedling	4	day	whole organism	whole seedling	GSE8951GSM226278 sample	P-G8951-2	GSE8951GSM226278 extract	total_RNA	P-G8951-4	GSE8951GSM226278 LE biotin	biotin	synthetic_RNA	WT(Ler)_Rc50_replicate1	A-AFFY-2	P-AFFY-6	GSM226278.CEL	GSM226278.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8951/E-GEOD-8951.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8951-processed-data-1689069471.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8951/E-GEOD-8951.processed.1.zip	continuous red light, 50 umole m-2 s-1	wild type
GSE8951GSM226277	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole seedling:  Seeds were surface sterilized and sowed on filter papers that were laid on MS medium (solidified with 0.8% agar) without sucrose. Seeds were stratified at 4 degree in darkness for 4 days. Germination was induced by exposure under ~80 umol m-2 s-1 white light for 3 hours. The SNAP-LITE lighting system (Quantum Devices Inc., Barneveld, WI) was used for red light source. Seedlings were grown for 4 days at 20 degree under 15 umol m-2 s-1  continuous red light (measured by a LI-COR quantum photometer, model LI-189). Seedlings were harvested and immediately frozen in liquid nitrogen under red light.. wild type (Landsberg erecta ecotype); grown under continuous red light (Rc; light intensity = 15 umole m-2 s-1); 4 days (96h) old	wild type (Landsberg erecta ecotype); grown under continuous red light (Rc; light intensity = 15 umole m-2 s-1); 4 days (96h) old	wild type	Landsberg erecta	seedling	4	day	whole organism	whole seedling	GSE8951GSM226277 sample	P-G8951-2	GSE8951GSM226277 extract	total_RNA	P-G8951-4	GSE8951GSM226277 LE biotin	biotin	synthetic_RNA	WT(Ler)_Rc15_replicate2	A-AFFY-2	P-AFFY-6	GSM226277.CEL	GSM226277.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8951/E-GEOD-8951.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8951-processed-data-1689069471.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8951/E-GEOD-8951.processed.1.zip	continuous red light, 15 umole m-2 s-1	wild type
GSE8951GSM226276	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole seedling:  Seeds were surface sterilized and sowed on filter papers that were laid on MS medium (solidified with 0.8% agar) without sucrose. Seeds were stratified at 4 degree in darkness for 4 days. Germination was induced by exposure under ~80 umol m-2 s-1 white light for 3 hours. The SNAP-LITE lighting system (Quantum Devices Inc., Barneveld, WI) was used for red light source. Seedlings were grown for 4 days at 20 degree under 15 umol m-2 s-1 continuous red light (measured by a LI-COR quantum photometer, model LI-189). Seedlings were harvested and immediately frozen in liquid nitrogen under red light.. wild type (Landsberg erecta ecotype); grwon under continuous red light (Rc; light intensity = 15 umole m-2 s-1); 4 days (96h) old	wild type (Landsberg erecta ecotype); grwon under continuous red light (Rc; light intensity = 15 umole m-2 s-1); 4 days (96h) old	wild type	Landsberg erecta	seedling	4	day	whole organism	whole seedling	GSE8951GSM226276 sample	P-G8951-2	GSE8951GSM226276 extract	total_RNA	P-G8951-4	GSE8951GSM226276 LE biotin	biotin	synthetic_RNA	WT(Ler)_Rc15_replicate1	A-AFFY-2	P-AFFY-6	GSM226276.CEL	GSM226276.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8951/E-GEOD-8951.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8951-processed-data-1689069471.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8951/E-GEOD-8951.processed.1.zip	continuous red light, 15 umole m-2 s-1	wild type
GSE8951GSM226271	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole seedling:  Seeds were surface sterilized and sowed on filter papers that were laid on MS medium (solidified with 0.8% agar) without sucrose. Seeds were stratified at 4 degree in darkness for 4 days. Germination was induced by exposure under ~80 umol m-2 s-1 white light for 3 hours. For dark growth, plates were wrapped with several layers of aluminum foil and subject to a temperature cycle (12h 22 degree /12h 18 degree) during the first two days of growth to entrain and synchronize circadian clock; temperature was set at 20 degree during the second two days. Seedlings were harvested and immediately frozen in liquid nitrogen in complete darkness with the aid of Bushnell night vision goggle with a built-in infrared illuminator (model: 26-1020 (1.0 x 20)).. phyA-201phyB-5 mutant in Ler backgournd; dark-grown; 4 days (96h) old	phyA-201phyB-5 mutant in Ler backgournd; dark-grown; 4 days (96h) old	phyA-201phyB-5 mutant	Landsberg erecta	seedling	4	day	whole organism	whole seedling	GSE8951GSM226271 sample	P-G8951-2	GSE8951GSM226271 extract	total_RNA	P-G8951-3	GSE8951GSM226271 LE biotin	biotin	synthetic_RNA	phyAphyB_Dark_replicate2	A-AFFY-2	P-AFFY-6	GSM226271.CEL	GSM226271.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8951/E-GEOD-8951.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8951-processed-data-1689069471.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8951/E-GEOD-8951.processed.1.zip	dark	phyA-201phyB-5 mutant
GSE8951GSM226273	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole seedling:  Seeds were surface sterilized and sowed on filter papers that were laid on MS medium (solidified with 0.8% agar) without sucrose. Seeds were stratified at 4 degree in darkness for 4 days. Germination was induced by exposure under ~80 umol m-2 s-1 white light for 3 hours. For dark growth, plates were wrapped with several layers of aluminum foil and subject to a temperature cycle (12h 22 degree /12h 18 degree) during the first two days of growth to entrain and synchronize circadian clock; temperature was set at 20 degree during the second two days. Seedlings were harvested and immediately frozen in liquid nitrogen in complete darkness with the aid of Bushnell night vision goggle with a built-in infrared illuminator (model: 26-1020 (1.0 x 20)).. Transgenic plant, AtPHYB(genomic)-Y276H/phyA-201phyB-5, line #5;; Dark-grown;; 4 days (96h) old	Transgenic plant, AtPHYB(genomic)-Y276H/phyA-201phyB-5, line #5;; Dark-grown;; 4 days (96h) old	AtPHYB(genomic)-Y276H/phyA-201phyB-5	Landsberg erecta	seedling	4	day	whole organism	whole seedling	GSE8951GSM226273 sample	P-G8951-2	GSE8951GSM226273 extract	total_RNA	P-G8951-3	GSE8951GSM226273 LE biotin	biotin	synthetic_RNA	YHB_Dark_replicate1	A-AFFY-2	P-AFFY-6	GSM226273.CEL	GSM226273.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8951/E-GEOD-8951.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8951-processed-data-1689069471.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8951/E-GEOD-8951.processed.1.zip	dark	AtPHYB(genomic)-Y276H/phyA-201phyB-5
