Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [Ecotype]	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Term Source REF	Term Accession Number	Scan Name	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [Time]	Unit [TimeUnit]	Factor Value [Dose]	Unit [ConcentrationUnit]	Factor Value [Compound]
GSE1110GSM18302	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	Exposure to 1.0micromolar IAA for 3h prior to harvest; biological replicate 1, hybridization 1; scaling factor 4.4.	GSE1110GSM18302 sample	GSE1110GSM18302 extract	total_RNA	GSE1110GSM18302 LE.biotin	biotin	synthetic_RNA	1.0uM_IAA_3h_1.1	A-AFFY-2	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	1.0uM_IAA_3h_1.1	E-GEOD-1110-processed-data-1442080006.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1110/E-GEOD-1110.processed.1.zip	3	hour	1	micromolar	indole-3-acetic acid
GSE1110GSM18233	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	Untreated control: biological replicate 3, hybridization 2; scaling factor 3.0.	GSE1110GSM18233 sample	GSE1110GSM18233 extract	total_RNA	GSE1110GSM18233 LE.biotin	biotin	synthetic_RNA	Control_3.2	A-AFFY-2	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	Control_3.2	E-GEOD-1110-processed-data-1442080006.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1110/E-GEOD-1110.processed.1.zip	0	hour	0	micromolar	indole-3-acetic acid
GSE1111GSM18229	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	Untreated control: biological replicate 1, hybridization 2 (first labeling); scaling factor 3.0.	GSE1111GSM18229 sample	GSE1111GSM18229 extract	total_RNA	GSE1111GSM18229 LE.biotin	biotin	synthetic_RNA	Control_1.2 (a)	A-AFFY-2	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	Control_1.2 (a)	E-GEOD-1110-processed-data-1442080006.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1110/E-GEOD-1110.processed.1.zip	0	hour	0	micromolar	indole-3-acetic acid
GSE1111GSM18291	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	Exposure to 0.1micromolar IAA for 1h prior to harvest; biological replicate 1, hybridization 2; scaling factor 4.6.	GSE1111GSM18291 sample	GSE1111GSM18291 extract	total_RNA	GSE1111GSM18291 LE.biotin	biotin	synthetic_RNA	0.1uM_IAA_1h_1.2	A-AFFY-2	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	0.1uM_IAA_1h_1.2	E-GEOD-1110-processed-data-1442080006.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1110/E-GEOD-1110.processed.1.zip	1	hour	0.1	micromolar	indole-3-acetic acid
GSE1110GSM18292	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	Exposure to 0.1micromolar IAA for 1h prior to harvest; biological replicate 2, hybridization 1; scaling factor 5.8.	GSE1110GSM18292 sample	GSE1110GSM18292 extract	total_RNA	GSE1110GSM18292 LE.biotin	biotin	synthetic_RNA	0.1uM_IAA_1h_2.1	A-AFFY-2	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	0.1uM_IAA_1h_2.1	E-GEOD-1110-processed-data-1442080006.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1110/E-GEOD-1110.processed.1.zip	1	hour	0.1	micromolar	indole-3-acetic acid
GSE1111GSM18294	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	Exposure to 0.1micromolar IAA for 3h prior to harvest; biological replicate 1, hybridization 1; scaling factor 3.6.	GSE1111GSM18294 sample	GSE1111GSM18294 extract	total_RNA	GSE1111GSM18294 LE.biotin	biotin	synthetic_RNA	0.1uM_IAA_3h_1.1	A-AFFY-2	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	0.1uM_IAA_3h_1.1	E-GEOD-1110-processed-data-1442080006.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1110/E-GEOD-1110.processed.1.zip	3	hour	0.1	micromolar	indole-3-acetic acid
GSE1110GSM18296	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	Exposure to 0.1micromolar IAA for 3h prior to harvest; biological replicate 2, hybridization 1; scaling factor 5.3.	GSE1110GSM18296 sample	GSE1110GSM18296 extract	total_RNA	GSE1110GSM18296 LE.biotin	biotin	synthetic_RNA	0.1uM_IAA_3h_2.1	A-AFFY-2	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	0.1uM_IAA_3h_2.1	E-GEOD-1110-processed-data-1442080006.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1110/E-GEOD-1110.processed.1.zip	3	hour	0.1	micromolar	indole-3-acetic acid
GSE1110GSM18300	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	Exposure to 1.0micromolar IAA for 1h prior to harvest; biological replicate 2, hybridization 1; scaling factor 2.4.	GSE1110GSM18300 sample	GSE1110GSM18300 extract	total_RNA	GSE1110GSM18300 LE.biotin	biotin	synthetic_RNA	1.0uM_IAA_1h_2.1	A-AFFY-2	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	1.0uM_IAA_1h_2.1	E-GEOD-1110-processed-data-1442080006.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1110/E-GEOD-1110.processed.1.zip	1	hour	1	micromolar	indole-3-acetic acid
GSE1110GSM18305	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	Exposure to 1.0micromolar IAA for 3h prior to harvest; biological replicate 2, hybridization 2; scaling factor 3.9.	GSE1110GSM18305 sample	GSE1110GSM18305 extract	total_RNA	GSE1110GSM18305 LE.biotin	biotin	synthetic_RNA	1.0uM_IAA_3h_2.2	A-AFFY-2	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	1.0uM_IAA_3h_2.2	E-GEOD-1110-processed-data-1442080006.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1110/E-GEOD-1110.processed.1.zip	3	hour	1	micromolar	indole-3-acetic acid
GSE1110GSM18297	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	Exposure to 0.1micromolar IAA for 3h prior to harvest; biological replicate 2, hybridization 2; scaling factor 4.5.	GSE1110GSM18297 sample	GSE1110GSM18297 extract	total_RNA	GSE1110GSM18297 LE.biotin	biotin	synthetic_RNA	0.1uM_IAA_3h_2.2	A-AFFY-2	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	0.1uM_IAA_3h_2.2	E-GEOD-1110-processed-data-1442080006.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-1110/E-GEOD-1110.processed.1.zip	3	hour	0.1	micromolar	indole-3-acetic acid
