Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Age]	Unit[TimeUnit]	Characteristics[Ecotype]	Characteristics[Genotype]	Characteristics[OrganismPart]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [ECOTYPE]	FactorValue [GENOTYPE]	FactorValue [COMPOUND]
GSM664666 1	Gene expression data in Col(gl) in the presence of salt	SOS1 OX plant, 100mM NaCl, 6 d	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	Col(gl)	35S::SOS1	leaf	EFO	EFO_0000993	P-GSE26983-2	P-GSE26983-3	P-GSE26983-4	GSM664666 extract 1	total RNA	P-GSE26983-5	GSM664666 LE 1	biotin	P-GSE26983-6	GSM664666	A-AFFY-2	P-GSE26983-7	P-GSE26983-8	GSM664666_SOS1-100mM-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.raw.1.zip	P-GSE26983-1	GSM664666_sample_table.txt norm	GSM664666_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.processed.1.zip	Col(gl)	35S::SOS1	NaCl
GSM664665 1	Gene expression data in Col(gl) in the presence of salt	SOS1 OX plant, 100mM NaCl, 6 d	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	Col(gl)	35S::SOS1	leaf	EFO	EFO_0000993	P-GSE26983-2	P-GSE26983-3	P-GSE26983-4	GSM664665 extract 1	total RNA	P-GSE26983-5	GSM664665 LE 1	biotin	P-GSE26983-6	GSM664665	A-AFFY-2	P-GSE26983-7	P-GSE26983-8	GSM664665_SOS1-100mM-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.raw.1.zip	P-GSE26983-1	GSM664665_sample_table.txt norm	GSM664665_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.processed.1.zip	Col(gl)	35S::SOS1	NaCl
GSM664664 1	Gene expression data in Col(gl) in the presence of salt	Col(gl) plant, 100mM NaCl, 6 d	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	Col(gl)	wild_type	leaf	EFO	EFO_0000993	P-GSE26983-2	P-GSE26983-3	P-GSE26983-4	GSM664664 extract 1	total RNA	P-GSE26983-5	GSM664664 LE 1	biotin	P-GSE26983-6	GSM664664	A-AFFY-2	P-GSE26983-7	P-GSE26983-8	GSM664664_Col_gl_-100mM-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.raw.1.zip	P-GSE26983-1	GSM664664_sample_table.txt norm	GSM664664_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.processed.1.zip	Col(gl)	wild_type	NaCl
GSM664663 1	Gene expression data in Col(gl) in the presence of salt	Col(gl) plant, 100mM NaCl, 6 d	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	Col(gl)	wild_type	leaf	EFO	EFO_0000993	P-GSE26983-2	P-GSE26983-3	P-GSE26983-4	GSM664663 extract 1	total RNA	P-GSE26983-5	GSM664663 LE 1	biotin	P-GSE26983-6	GSM664663	A-AFFY-2	P-GSE26983-7	P-GSE26983-8	GSM664663_Col_gl_-100mM-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.raw.1.zip	P-GSE26983-1	GSM664663_sample_table.txt norm	GSM664663_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.processed.1.zip	Col(gl)	wild_type	NaCl
GSM664662 1	Gene expression data in Col(gl) in the absence of salt	SOS1 OX plant, 0mM NaCl, 6 d	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	Col(gl)	35S::SOS1	leaf	EFO	EFO_0000993	P-GSE26983-2	P-GSE26983-3	P-GSE26983-4	GSM664662 extract 1	total RNA	P-GSE26983-5	GSM664662 LE 1	biotin	P-GSE26983-6	GSM664662	A-AFFY-2	P-GSE26983-7	P-GSE26983-8	GSM664662_SOS1-0mM-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.raw.1.zip	P-GSE26983-1	GSM664662_sample_table.txt norm	GSM664662_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.processed.1.zip	Col(gl)	35S::SOS1	none
GSM664661 1	Gene expression data in Col(gl) in the absence of salt	SOS1 OX plant, 0mM NaCl, 6 d	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	Col(gl)	35S::SOS1	leaf	EFO	EFO_0000993	P-GSE26983-2	P-GSE26983-3	P-GSE26983-4	GSM664661 extract 1	total RNA	P-GSE26983-5	GSM664661 LE 1	biotin	P-GSE26983-6	GSM664661	A-AFFY-2	P-GSE26983-7	P-GSE26983-8	GSM664661_SOS1-0mM-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.raw.1.zip	P-GSE26983-1	GSM664661_sample_table.txt norm	GSM664661_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.processed.1.zip	Col(gl)	35S::SOS1	none
GSM664660 1	Gene expression data in Col(gl) in the absence of salt	Col(gl) plant, 0mM NaCl, 6 d	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	Col(gl)	wild_type	leaf	EFO	EFO_0000993	P-GSE26983-2	P-GSE26983-3	P-GSE26983-4	GSM664660 extract 1	total RNA	P-GSE26983-5	GSM664660 LE 1	biotin	P-GSE26983-6	GSM664660	A-AFFY-2	P-GSE26983-7	P-GSE26983-8	GSM664660_Col_gl_-0mM-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.raw.1.zip	P-GSE26983-1	GSM664660_sample_table.txt norm	GSM664660_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.processed.1.zip	Col(gl)	wild_type	none
GSM664659 1	Gene expression data in Col(gl) in the absence of salt	Col(gl) plant, 0mM NaCl, 6 d	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	Col(gl)	wild_type	leaf	EFO	EFO_0000993	P-GSE26983-2	P-GSE26983-3	P-GSE26983-4	GSM664659 extract 1	total RNA	P-GSE26983-5	GSM664659 LE 1	biotin	P-GSE26983-6	GSM664659	A-AFFY-2	P-GSE26983-7	P-GSE26983-8	GSM664659_Col_gl_-0mM-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.raw.1.zip	P-GSE26983-1	GSM664659_sample_table.txt norm	GSM664659_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.processed.1.zip	Col(gl)	wild_type	none
GSM664658 1	Gene expression data in Ws in the presence of salt	M6PR OX plant, 100mM NaCl, 6 d	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	Col-0	35S::M6PR	leaf	EFO	EFO_0000993	P-GSE26983-2	P-GSE26983-3	P-GSE26983-4	GSM664658 extract 1	total RNA	P-GSE26983-5	GSM664658 LE 1	biotin	P-GSE26983-6	GSM664658	A-AFFY-2	P-GSE26983-7	P-GSE26983-8	GSM664658_M6PR-100mM-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.raw.1.zip	P-GSE26983-1	GSM664658_sample_table.txt norm	GSM664658_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.processed.1.zip	Col-0	35S::M6PR	NaCl
GSM664657 1	Gene expression data in Ws in the presence of salt	M6PR OX plant, 100mM NaCl, 6 d	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	days	Col-0	35S::M6PR	leaf	EFO	EFO_0000993	P-GSE26983-2	P-GSE26983-3	P-GSE26983-4	GSM664657 extract 1	total RNA	P-GSE26983-5	GSM664657 LE 1	biotin	P-GSE26983-6	GSM664657	A-AFFY-2	P-GSE26983-7	P-GSE26983-8	GSM664657_M6PR-100mM-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.raw.1.zip	P-GSE26983-1	GSM664657_sample_table.txt norm	GSM664657_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26983/E-GEOD-26983.processed.1.zip	Col-0	35S::M6PR	NaCl
