Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Characteristics [BioSourceType]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [Genotype]	Characteristics [Ecotype]	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Characteristics [GeneticModification]	Protocol REF	Parameter Value [min temperature]	Parameter Value [media]	Sample Name	Protocol REF	Parameter Value [Extracted product]	Parameter Value [Amplification]	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Factor Value [genotype]	Factor Value [growth condition]	Factor Value [temperature]	Unit [TemperatureUnit]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
wt_22_NO3_A	4	days	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	Columbia-0	seedling	EFO	EFO_0001992	  	P-MEXP-138306	22	agar with 0.5 KNO3	wt_22_NO3_A	P-MEXP-11413	total RNA	none	wt_22_NO3_A	total_RNA	P-AFFY-2	wt_22_NO3_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	wt_22_NO3_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	wild_type	darkness with NO3	22	degree_C	wt_22_NO3_A	wt_22_NO3_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1468/E-MEXP-1468.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1468-processed-data-1591139632.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1468/E-MEXP-1468.processed.1.zip
wt_22_A	4	days	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	Columbia-0	seedling	EFO	EFO_0001992	  	P-MEXP-138305	22	agar	wt_22_A	P-MEXP-11413	total RNA	none	wt_22_A	total_RNA	P-AFFY-2	wt_22_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	wt_22_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	wild_type	darkness	22	degree_C	wt_22_A	wt_22_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1468/E-MEXP-1468.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1468-processed-data-1591139632.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1468/E-MEXP-1468.processed.1.zip
wt_22_NO3_B	4	days	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	Columbia-0	seedling	EFO	EFO_0001992	  	P-MEXP-138306	22	agar with 0.5 KNO3	wt_22_NO3_B	P-MEXP-11413	total RNA	none	wt_22_NO3_B	total_RNA	P-AFFY-2	wt_22_NO3_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	wt_22_NO3_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	wild_type	darkness with NO3	22	degree_C	wt_22_NO3_B	wt_22_NO3_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1468/E-MEXP-1468.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1468-processed-data-1591139632.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1468/E-MEXP-1468.processed.1.zip
wt_22_B	4	days	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	Columbia-0	seedling	EFO	EFO_0001992	  	P-MEXP-138305	22	agar	wt_22_B	P-MEXP-11413	total RNA	none	wt_22_B	total_RNA	P-AFFY-2	wt_22_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	wt_22_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	wild_type	darkness	22	degree_C	wt_22_B	wt_22_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1468/E-MEXP-1468.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1468-processed-data-1591139632.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1468/E-MEXP-1468.processed.1.zip
det3_16_A	4	days	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	det3 mutant	Columbia-0	seedling	EFO	EFO_0001992	induced_mutation	P-MEXP-138304	16	agar	det3_16_A	P-MEXP-11413	total RNA	none	det3_16_A	total_RNA	P-AFFY-2	det3_16_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	det3_16_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	det3 mutant	darkness	16	degree_C	det3_16_A	det3_16_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1468/E-MEXP-1468.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1468-processed-data-1591139632.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1468/E-MEXP-1468.processed.1.zip
wt_16_B	4	days	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	Columbia-0	seedling	EFO	EFO_0001992	  	P-MEXP-138304	16	agar	wt_16_B	P-MEXP-11413	total RNA	none	wt_16_B	total_RNA	P-AFFY-2	wt_16_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	wt_16_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	wild_type	darkness	16	degree_C	wt_16_B	wt_16_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1468/E-MEXP-1468.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1468-processed-data-1591139632.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1468/E-MEXP-1468.processed.1.zip
det3_22_A	4	days	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	det3 mutant	Columbia-0	seedling	EFO	EFO_0001992	induced_mutation	P-MEXP-138305	22	agar	det3_22_A	P-MEXP-11413	total RNA	none	det3_22_A	total_RNA	P-AFFY-2	det3_22_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	det3_22_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	det3 mutant	darkness	22	degree_C	det3_22_A	det3_22_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1468/E-MEXP-1468.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1468-processed-data-1591139632.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1468/E-MEXP-1468.processed.1.zip
det3_22_NO3_A	4	days	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	det3 mutant	Columbia-0	seedling	EFO	EFO_0001992	induced_mutation	P-MEXP-138306	22	agar with 0.5 KNO3	det3_22_NO3_A	P-MEXP-11413	total RNA	none	det3_22_NO3_A	total_RNA	P-AFFY-2	det3_22_NO3_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	det3_22_NO3_A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	det3 mutant	darkness with NO3	22	degree_C	det3_22_NO3_A	det3_22_NO3_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1468/E-MEXP-1468.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1468-processed-data-1591139632.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1468/E-MEXP-1468.processed.1.zip
det3_16_B	4	days	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	det3 mutant	Columbia-0	seedling	EFO	EFO_0001992	induced_mutation	P-MEXP-138304	16	agar	det3_16_B	P-MEXP-11413	total RNA	none	det3_16_B	total_RNA	P-AFFY-2	det3_16_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	det3_16_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	det3 mutant	darkness	16	degree_C	det3_16_B	det3_16_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1468/E-MEXP-1468.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1468-processed-data-1591139632.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1468/E-MEXP-1468.processed.1.zip
det3_22_B	4	days	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	det3 mutant	Columbia-0	seedling	EFO	EFO_0001992	induced_mutation	P-MEXP-138305	22	agar	det3_22_B	P-MEXP-11413	total RNA	none	det3_22_B	total_RNA	P-AFFY-2	det3_22_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	det3_22_B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	det3 mutant	darkness	22	degree_C	det3_22_B	det3_22_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1468/E-MEXP-1468.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1468-processed-data-1591139632.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1468/E-MEXP-1468.processed.1.zip
