Source Name	Characteristics [Phenotype]	Characteristics [Genotype]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [Ecotype]	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Factor Value [Ecotype]	Factor Value [Phenotype]	Scan Name	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE991GSM15661	inactive YODA	yda	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	C24	seedling	EFO	EFO_0001992	4/4 biological replicates of 7dpg yda seedlings.	GSE991GSM15661 sample	GSE991GSM15661 extract	total_RNA	GSE991GSM15661 LE.biotin	biotin	synthetic_RNA	yda4	A-AFFY-2	C24	inactive YODA	yda4	E-GEOD-991-processed-data-1442078041.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-991/E-GEOD-991.processed.1.zip
GSE991GSM15671	wild_type	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	C24	seedling	EFO	EFO_0001992	control 7dpg seedlings of line CS9159 C24 ecotype	GSE991GSM15671 sample	GSE991GSM15671 extract	total_RNA	GSE991GSM15671 LE.biotin	biotin	synthetic_RNA	C243	A-AFFY-2	C24	wild_type	C243	E-GEOD-991-processed-data-1442078041.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-991/E-GEOD-991.processed.1.zip
GSE991GSM15667	constitutive YODA	YDA N-term deletion (NB89)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	seedling	EFO	EFO_0001992	3/4 biological replicates of 7dpg N-term deletion (NB89) YDA seedlings.	GSE991GSM15667 sample	GSE991GSM15667 extract	total_RNA	GSE991GSM15667 LE.biotin	biotin	synthetic_RNA	NdelYDA3	A-AFFY-2	Landsberg erecta	constitutive YODA	NdelYDA3	E-GEOD-991-processed-data-1442078041.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-991/E-GEOD-991.processed.1.zip
GSE991GSM15672	wild_type	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	seedling	EFO	EFO_0001992	control 7dpg seedlings Ler ecotype	GSE991GSM15672 sample	GSE991GSM15672 extract	total_RNA	GSE991GSM15672 LE.biotin	biotin	synthetic_RNA	Ler1	A-AFFY-2	Landsberg erecta	wild_type	Ler1	E-GEOD-991-processed-data-1442078041.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-991/E-GEOD-991.processed.1.zip
GSE991GSM15666	constitutive YODA	YDA N-term deletion (NB89)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	seedling	EFO	EFO_0001992	2/4 biological replicates of 7dpg N-term deletion (NB89) YDA seedlings.	GSE991GSM15666 sample	GSE991GSM15666 extract	total_RNA	GSE991GSM15666 LE.biotin	biotin	synthetic_RNA	Ndel-YDA2	A-AFFY-2	Landsberg erecta	constitutive YODA	Ndel-YDA2	E-GEOD-991-processed-data-1442078041.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-991/E-GEOD-991.processed.1.zip
GSE991GSM15662	inactive YODA	yda	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	C24	seedling	EFO	EFO_0001992	3/4 biological replicates of 7dpg yda seedlings.	GSE991GSM15662 sample	GSE991GSM15662 extract	total_RNA	GSE991GSM15662 LE.biotin	biotin	synthetic_RNA	yda3	A-AFFY-2	C24	inactive YODA	yda3	E-GEOD-991-processed-data-1442078041.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-991/E-GEOD-991.processed.1.zip
GSE991GSM15665	constitutive YODA	YDA N-term deletion (NB89)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	seedling	EFO	EFO_0001992	1/4 biological replicates of 7dpg N-term deletion (NB89) YDA seedlings. no stomata Ler ecotype	GSE991GSM15665 sample	GSE991GSM15665 extract	total_RNA	GSE991GSM15665 LE.biotin	biotin	synthetic_RNA	ndelYDA1	A-AFFY-2	Landsberg erecta	constitutive YODA	ndelYDA1	E-GEOD-991-processed-data-1442078041.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-991/E-GEOD-991.processed.1.zip
GSE991GSM15663	inactive YODA	yda	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	C24	seedling	EFO	EFO_0001992	2/4 biological replicates of 7dpg yda seedlings.	GSE991GSM15663 sample	GSE991GSM15663 extract	total_RNA	GSE991GSM15663 LE.biotin	biotin	synthetic_RNA	yda2	A-AFFY-2	C24	inactive YODA	yda2	E-GEOD-991-processed-data-1442078041.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-991/E-GEOD-991.processed.1.zip
GSE991GSM15664	inactive YODA	yda	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	C24	seedling	EFO	EFO_0001992	1/4 biological replicates of 7dpg yda seedlings.	GSE991GSM15664 sample	GSE991GSM15664 extract	total_RNA	GSE991GSM15664 LE.biotin	biotin	synthetic_RNA	yda1	A-AFFY-2	C24	inactive YODA	yda1	E-GEOD-991-processed-data-1442078041.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-991/E-GEOD-991.processed.1.zip
GSE991GSM15669	wild_type	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	C24	seedling	EFO	EFO_0001992	control 7dpg seedlings of line CS9159 C24 ecotype	GSE991GSM15669 sample	GSE991GSM15669 extract	total_RNA	GSE991GSM15669 LE.biotin	biotin	synthetic_RNA	C241	A-AFFY-2	C24	wild_type	C241	E-GEOD-991-processed-data-1442078041.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-991/E-GEOD-991.processed.1.zip
GSE991GSM15674	wild_type	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	seedling	EFO	EFO_0001992	control 7dpg seedlings Ler ecotype	GSE991GSM15674 sample	GSE991GSM15674 extract	total_RNA	GSE991GSM15674 LE.biotin	biotin	synthetic_RNA	Ler3	A-AFFY-2	Landsberg erecta	wild_type	Ler3	E-GEOD-991-processed-data-1442078041.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-991/E-GEOD-991.processed.1.zip
GSE991GSM15673	wild_type	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	seedling	EFO	EFO_0001992	control 7dpg seedlings Ler ecotype	GSE991GSM15673 sample	GSE991GSM15673 extract	total_RNA	GSE991GSM15673 LE.biotin	biotin	synthetic_RNA	Ler2	A-AFFY-2	Landsberg erecta	wild_type	Ler2	E-GEOD-991-processed-data-1442078041.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-991/E-GEOD-991.processed.1.zip
GSE991GSM15670	wild_type	wild_type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	C24	seedling	EFO	EFO_0001992	control 7dpg seedlings of line CS9159 C24 ecotype	GSE991GSM15670 sample	GSE991GSM15670 extract	total_RNA	GSE991GSM15670 LE.biotin	biotin	synthetic_RNA	C242	A-AFFY-2	C24	wild_type	C242	E-GEOD-991-processed-data-1442078041.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-991/E-GEOD-991.processed.1.zip
GSE991GSM15668	constitutive YODA	YDA N-term deletion (NB89)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	seedling	EFO	EFO_0001992	replicate 4/4 of 7dpg seedlings expressing nterm deletion of YDA. No Stomata.  Ler ecotype	GSE991GSM15668 sample	GSE991GSM15668 extract	total_RNA	GSE991GSM15668 LE.biotin	biotin	synthetic_RNA	NdelYDA4	A-AFFY-2	Landsberg erecta	constitutive YODA	NdelYDA4	E-GEOD-991-processed-data-1442078041.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-991/E-GEOD-991.processed.1.zip
