Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_source_name]	Comment [Sample_characteristics]	Characteristics[ecotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[infect]
GSE13929GSM350859	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"wounded inflorescence stalk inoculated with C58, Gene expression data of reference tissue were compared with those of inoculated tissue.. ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain C58"	wounded inflorescence stalk inoculated with C58	ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain C58	Ws-2	inflorescence stalk	P-G13929-6	P-G13929-7	GSE13929GSM350859 sample	P-G13929-5	GSE13929GSM350859 extract	total_RNA	P-G13929-3	GSE13929GSM350859 LE biotin	biotin	synthetic_RNA	C58 3hpi 2	A-AFFY-2	P-AFFY-6	GSM350859.CEL	GSM350859.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13929/E-GEOD-13929.raw.1.zip	P-G13929-4	E-GEOD-13929-processed-data-1833580978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13929/E-GEOD-13929.processed.1.zip	Agrobacterium tumefaciens C58
GSE13929GSM350860	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"wounded inflorescence stalk inoculated with C58, Gene expression data of reference tissue were compared with those of inoculated tissue.. ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain C58"	wounded inflorescence stalk inoculated with C58	ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain C58	Ws-2	inflorescence stalk	P-G13929-6	P-G13929-7	GSE13929GSM350860 sample	P-G13929-5	GSE13929GSM350860 extract	total_RNA	P-G13929-3	GSE13929GSM350860 LE biotin	biotin	synthetic_RNA	C58 3hpi 3	A-AFFY-2	P-AFFY-6	GSM350860.CEL	GSM350860.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13929/E-GEOD-13929.raw.1.zip	P-G13929-4	E-GEOD-13929-processed-data-1833580978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13929/E-GEOD-13929.processed.1.zip	Agrobacterium tumefaciens C58
GSE13929GSM350858	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"wounded inflorescence stalk inoculated with C58, Gene expression data of reference tissue were compared with those of inoculated tissue.. ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain C58"	wounded inflorescence stalk inoculated with C58	ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain C58	Ws-2	inflorescence stalk	P-G13929-6	P-G13929-7	GSE13929GSM350858 sample	P-G13929-5	GSE13929GSM350858 extract	total_RNA	P-G13929-3	GSE13929GSM350858 LE biotin	biotin	synthetic_RNA	C58 3hpi 1	A-AFFY-2	P-AFFY-6	GSM350858.CEL	GSM350858.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13929/E-GEOD-13929.raw.1.zip	P-G13929-4	E-GEOD-13929-processed-data-1833580978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13929/E-GEOD-13929.processed.1.zip	Agrobacterium tumefaciens C58
GSE13929GSM426500	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"wounded inflorescence stalk inoculated with C58, Gene expression data of reference tissue were compared with those of inoculated tissue.. ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain C58"	wounded inflorescence stalk inoculated with C58	ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain C58	Ws-2	inflorescence stalk	P-G13929-8	P-G13929-7	GSE13929GSM426500 sample	P-G13929-5	GSE13929GSM426500 extract	total_RNA	P-G13929-3	GSE13929GSM426500 LE biotin	biotin	synthetic_RNA	C58 3hpi 4	A-AFFY-2	P-AFFY-6	GSM426500.CEL	GSM426500.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13929/E-GEOD-13929.raw.1.zip	P-G13929-4	E-GEOD-13929-processed-data-1833580978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13929/E-GEOD-13929.processed.1.zip	Agrobacterium tumefaciens C58
GSE13929GSM426502	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"wounded inflorescence stalk inoculated with C58, Gene expression data of reference tissue were compared with those of inoculated tissue.. ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain C58"	wounded inflorescence stalk inoculated with C58	ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain C58	Ws-2	inflorescence stalk	P-G13929-8	P-G13929-7	GSE13929GSM426502 sample	P-G13929-5	GSE13929GSM426502 extract	total_RNA	P-G13929-3	GSE13929GSM426502 LE biotin	biotin	synthetic_RNA	C58 3hpi 6	A-AFFY-2	P-AFFY-6	GSM426502.CEL	GSM426502.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13929/E-GEOD-13929.raw.1.zip	P-G13929-4	E-GEOD-13929-processed-data-1833580978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13929/E-GEOD-13929.processed.1.zip	Agrobacterium tumefaciens C58
GSE13929GSM426501	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"wounded inflorescence stalk inoculated with C58, Gene expression data of reference tissue were compared with those of inoculated tissue.. ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain C58"	wounded inflorescence stalk inoculated with C58	ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain C58	Ws-2	inflorescence stalk	P-G13929-8	P-G13929-7	GSE13929GSM426501 sample	P-G13929-5	GSE13929GSM426501 extract	total_RNA	P-G13929-3	GSE13929GSM426501 LE biotin	biotin	synthetic_RNA	C58 3hpi 5	A-AFFY-2	P-AFFY-6	GSM426501.CEL	GSM426501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13929/E-GEOD-13929.raw.1.zip	P-G13929-4	E-GEOD-13929-processed-data-1833580978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13929/E-GEOD-13929.processed.1.zip	Agrobacterium tumefaciens C58
GSE13929GSM426505	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"wounded inflorescence stalk inoculated with GV3101, Gene expression data of reference tissue were compared with those of inoculated tissue.. ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain GV3101, lacking the T-DNA but not virulence factors"	wounded inflorescence stalk inoculated with GV3101	"ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain GV3101, lacking the T-DNA but not virulence factors"	Ws-2	inflorescence stalk	P-G13929-6	P-G13929-9	GSE13929GSM426505 sample	P-G13929-5	GSE13929GSM426505 extract	total_RNA	P-G13929-3	GSE13929GSM426505 LE biotin	biotin	synthetic_RNA	GV3101 3hpi 3	A-AFFY-2	P-AFFY-6	GSM426505.CEL	GSM426505.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13929/E-GEOD-13929.raw.1.zip	P-G13929-4	E-GEOD-13929-processed-data-1833580978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13929/E-GEOD-13929.processed.1.zip	Agrobacterium tumefaciens GV3101
GSE13929GSM426503	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"wounded inflorescence stalk inoculated with GV3101, Gene expression data of reference tissue were compared with those of inoculated tissue.. ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain GV3101, lacking the T-DNA but not virulence factors"	wounded inflorescence stalk inoculated with GV3101	"ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain GV3101, lacking the T-DNA but not virulence factors"	Ws-2	inflorescence stalk	P-G13929-6	P-G13929-9	GSE13929GSM426503 sample	P-G13929-5	GSE13929GSM426503 extract	total_RNA	P-G13929-3	GSE13929GSM426503 LE biotin	biotin	synthetic_RNA	GV3101 3hpi 1	A-AFFY-2	P-AFFY-6	GSM426503.CEL	GSM426503.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13929/E-GEOD-13929.raw.1.zip	P-G13929-4	E-GEOD-13929-processed-data-1833580978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13929/E-GEOD-13929.processed.1.zip	Agrobacterium tumefaciens GV3101
GSE13929GSM426504	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"wounded inflorescence stalk inoculated with GV3101, Gene expression data of reference tissue were compared with those of inoculated tissue.. ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain GV3101, lacking the T-DNA but not virulence factors"	wounded inflorescence stalk inoculated with GV3101	"ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: inoculated with Agrobacterium tumefaciens strain GV3101, lacking the T-DNA but not virulence factors"	Ws-2	inflorescence stalk	P-G13929-6	P-G13929-9	GSE13929GSM426504 sample	P-G13929-5	GSE13929GSM426504 extract	total_RNA	P-G13929-3	GSE13929GSM426504 LE biotin	biotin	synthetic_RNA	GV3101 3hpi 2	A-AFFY-2	P-AFFY-6	GSM426504.CEL	GSM426504.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13929/E-GEOD-13929.raw.1.zip	P-G13929-4	E-GEOD-13929-processed-data-1833580978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13929/E-GEOD-13929.processed.1.zip	Agrobacterium tumefaciens GV3101
GSE13929GSM350856	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"wounded inflorescence stalk, Gene expression data of reference tissue were compared with those of inoculated tissue.. ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: mock"	wounded inflorescence stalk	ecotype: Ws-2; tissue: wounded inflorescence stalk segments; inoculant: mock	Ws-2	inflorescence stalk	P-G13929-1	P-G13929-2	GSE13929GSM350856 sample	P-G13929-5	GSE13929GSM350856 extract	total_RNA	P-G13929-3	GSE13929GSM350856 LE biotin	biotin	synthetic_RNA	Reference 3hpi 2	A-AFFY-2	P-AFFY-6	GSM350856.CEL	GSM350856.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13929/E-GEOD-13929.raw.1.zip	P-G13929-4	E-GEOD-13929-processed-data-1833580978.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13929/E-GEOD-13929.processed.1.zip	none
