Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics[age]	Unit [time unit]	Characteristics[organism part]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [compound]	FactorValue[time]	Unit[time unit]
GSM1304070 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	19 to 21	day	rosette leaf	gene expression 24h after mock treatment	rosette leaves 24h after mock treatment	Leaves mock treated 24 h, biological rep3	P-GSE53957-2	ArrayExpress	P-GSE53957-3	ArrayExpress	P-GSE53957-4	ArrayExpress	GSM1304070 extract 1	total RNA	P-GSE53957-5	ArrayExpress	GSM1304070 LE 1	biotin	P-GSE53957-6	ArrayExpress	GSM1304070	A-AFFY-2	ArrayExpress	array assay	P-GSE53957-7	ArrayExpress	GSM1304070_S3_CM-24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53957/E-GEOD-53957.raw.1.zip	P-GSE53957-1	ArrayExpress	GSM1304070_sample_table.txt norm	GSM1304070_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53957/E-GEOD-53957.processed.1.zip	mock	24	hour
GSM1304069 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	19 to 21	day	rosette leaf	gene expression 24h after mock treatment	rosette leaves 24h after mock treatment	Leaves mock treated 24 h, biological rep2	P-GSE53957-2	ArrayExpress	P-GSE53957-3	ArrayExpress	P-GSE53957-4	ArrayExpress	GSM1304069 extract 1	total RNA	P-GSE53957-5	ArrayExpress	GSM1304069 LE 1	biotin	P-GSE53957-6	ArrayExpress	GSM1304069	A-AFFY-2	ArrayExpress	array assay	P-GSE53957-7	ArrayExpress	GSM1304069_S2_CM-24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53957/E-GEOD-53957.raw.1.zip	P-GSE53957-1	ArrayExpress	GSM1304069_sample_table.txt norm	GSM1304069_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53957/E-GEOD-53957.processed.1.zip	mock	24	hour
GSM1304068 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	19 to 21	day	rosette leaf	gene expression 24h after mock treatment	rosette leaves 24h after mock treatment	Leaves mock treated 24 h, biological rep1	P-GSE53957-2	ArrayExpress	P-GSE53957-3	ArrayExpress	P-GSE53957-4	ArrayExpress	GSM1304068 extract 1	total RNA	P-GSE53957-5	ArrayExpress	GSM1304068 LE 1	biotin	P-GSE53957-6	ArrayExpress	GSM1304068	A-AFFY-2	ArrayExpress	array assay	P-GSE53957-7	ArrayExpress	GSM1304068_S1_CM-24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53957/E-GEOD-53957.raw.1.zip	P-GSE53957-1	ArrayExpress	GSM1304068_sample_table.txt norm	GSM1304068_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53957/E-GEOD-53957.processed.1.zip	mock	24	hour
GSM1304067 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	19 to 21	day	rosette leaf	gene expression 24h after E2-hexenal treatment	rosette leaves 24h after E-2 hexenal treatment	Leaves E2-hexenal treated 24 h, biological rep3	P-GSE53957-2	ArrayExpress	P-GSE53957-3	ArrayExpress	P-GSE53957-4	ArrayExpress	GSM1304067 extract 1	total RNA	P-GSE53957-5	ArrayExpress	GSM1304067 LE 1	biotin	P-GSE53957-6	ArrayExpress	GSM1304067	A-AFFY-2	ArrayExpress	array assay	P-GSE53957-7	ArrayExpress	GSM1304067_S3_CA-24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53957/E-GEOD-53957.raw.1.zip	P-GSE53957-1	ArrayExpress	GSM1304067_sample_table.txt norm	GSM1304067_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53957/E-GEOD-53957.processed.1.zip	2-hexenal	24	hour
GSM1304066 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	19 to 21	day	rosette leaf	gene expression 24h after E2-hexenal treatment	rosette leaves 24h after E-2 hexenal treatment	Leaves E2-hexenal treated 24 h, biological rep2	P-GSE53957-2	ArrayExpress	P-GSE53957-3	ArrayExpress	P-GSE53957-4	ArrayExpress	GSM1304066 extract 1	total RNA	P-GSE53957-5	ArrayExpress	GSM1304066 LE 1	biotin	P-GSE53957-6	ArrayExpress	GSM1304066	A-AFFY-2	ArrayExpress	array assay	P-GSE53957-7	ArrayExpress	GSM1304066_S2_CA-24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53957/E-GEOD-53957.raw.1.zip	P-GSE53957-1	ArrayExpress	GSM1304066_sample_table.txt norm	GSM1304066_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53957/E-GEOD-53957.processed.1.zip	2-hexenal	24	hour
GSM1304065 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	19 to 21	day	rosette leaf	gene expression 24h after E2-hexenal treatment	rosette leaves 24h after E-2 hexenal treatment	Leaves E2-hexenal treated 24 h, biological rep1	P-GSE53957-2	ArrayExpress	P-GSE53957-3	ArrayExpress	P-GSE53957-4	ArrayExpress	GSM1304065 extract 1	total RNA	P-GSE53957-5	ArrayExpress	GSM1304065 LE 1	biotin	P-GSE53957-6	ArrayExpress	GSM1304065	A-AFFY-2	ArrayExpress	array assay	P-GSE53957-7	ArrayExpress	GSM1304065_S1_CA-24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53957/E-GEOD-53957.raw.1.zip	P-GSE53957-1	ArrayExpress	GSM1304065_sample_table.txt norm	GSM1304065_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53957/E-GEOD-53957.processed.1.zip	2-hexenal	24	hour
GSM1304064 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	19 to 21	day	rosette leaf	gene expression 3h after mock treatment	rosette leaves 3h after mock treatment	Leaves mock treated 3 h, biological rep3	P-GSE53957-2	ArrayExpress	P-GSE53957-3	ArrayExpress	P-GSE53957-4	ArrayExpress	GSM1304064 extract 1	total RNA	P-GSE53957-5	ArrayExpress	GSM1304064 LE 1	biotin	P-GSE53957-6	ArrayExpress	GSM1304064	A-AFFY-2	ArrayExpress	array assay	P-GSE53957-7	ArrayExpress	GSM1304064_S3_CM-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53957/E-GEOD-53957.raw.1.zip	P-GSE53957-1	ArrayExpress	GSM1304064_sample_table.txt norm	GSM1304064_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53957/E-GEOD-53957.processed.1.zip	mock	3	hour
GSM1304063 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	19 to 21	day	rosette leaf	gene expression 3h after mock treatment	rosette leaves 3h after mock treatment	Leaves mock treated 3 h, biological rep2	P-GSE53957-2	ArrayExpress	P-GSE53957-3	ArrayExpress	P-GSE53957-4	ArrayExpress	GSM1304063 extract 1	total RNA	P-GSE53957-5	ArrayExpress	GSM1304063 LE 1	biotin	P-GSE53957-6	ArrayExpress	GSM1304063	A-AFFY-2	ArrayExpress	array assay	P-GSE53957-7	ArrayExpress	GSM1304063_S2_CM-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53957/E-GEOD-53957.raw.1.zip	P-GSE53957-1	ArrayExpress	GSM1304063_sample_table.txt norm	GSM1304063_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53957/E-GEOD-53957.processed.1.zip	mock	3	hour
GSM1304062 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	19 to 21	day	rosette leaf	gene expression 3h after mock treatment	rosette leaves 3h after mock treatment	Leaves mock treated 3 h, biological rep1	P-GSE53957-2	ArrayExpress	P-GSE53957-3	ArrayExpress	P-GSE53957-4	ArrayExpress	GSM1304062 extract 1	total RNA	P-GSE53957-5	ArrayExpress	GSM1304062 LE 1	biotin	P-GSE53957-6	ArrayExpress	GSM1304062	A-AFFY-2	ArrayExpress	array assay	P-GSE53957-7	ArrayExpress	GSM1304062_S1_CM-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53957/E-GEOD-53957.raw.1.zip	P-GSE53957-1	ArrayExpress	GSM1304062_sample_table.txt norm	GSM1304062_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53957/E-GEOD-53957.processed.1.zip	mock	3	hour
GSM1304061 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	19 to 21	day	rosette leaf	gene expression 3h after E2-hexenal treatment	rosette leaves 3h after E-2 hexenal treatment	Leaves E2-hexenal treated 3 h, biological rep3	P-GSE53957-2	ArrayExpress	P-GSE53957-3	ArrayExpress	P-GSE53957-4	ArrayExpress	GSM1304061 extract 1	total RNA	P-GSE53957-5	ArrayExpress	GSM1304061 LE 1	biotin	P-GSE53957-6	ArrayExpress	GSM1304061	A-AFFY-2	ArrayExpress	array assay	P-GSE53957-7	ArrayExpress	GSM1304061_S3_CA-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53957/E-GEOD-53957.raw.1.zip	P-GSE53957-1	ArrayExpress	GSM1304061_sample_table.txt norm	GSM1304061_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53957/E-GEOD-53957.processed.1.zip	2-hexenal	3	hour
