Source Name	Characteristics [GeneticModification]	Term Source REF	Term Accession Number	Characteristics [BioSourceProvider]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [DevelopmentalStage]	Characteristics [Ecotype]	Characteristics [Genotype]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [Genotype]	Factor Value [Temperature]	Unit [TemperatureUnit]	Scan Name	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
Lipocalin KO normal temperature (G2T1A)	gene_knock_out	EFO	EFO_0000506	SALK Institute CA USA	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1.10 Boyes key	Columbia-0	SALK_136775 (Lipocalin gene knock-out)	P-TABM-2391	P-TABM-2394	Lipocalin KO normal temperature (G2T1A)	P-TABM-2390	Lipocalin KO normal temperature (G2T1A)	total_RNA	P-TABM-2392	Lipocalin KO normal temperature (G2T1A) biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	G2T1A	A-AFFY-2	P-AFFY-6	SALK_136775 (Lipocalin gene knock-out)	20	degree_C	G2T1A	P-TABM-2393	Sarhan001_rma_Array_express.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-430/E-TABM-430.processed.1.zip
Lipocalin KO normal temperature (G2T1C)	gene_knock_out	EFO	EFO_0000506	SALK Institute CA USA	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1.10 Boyes key	Columbia-0	SALK_136775 (Lipocalin gene knock-out)	P-TABM-2391	P-TABM-2394	Lipocalin KO normal temperature (G2T1C)	P-TABM-2390	Lipocalin KO normal temperature (G2T1C)	total_RNA	P-TABM-2392	Lipocalin KO normal temperature (G2T1C) biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	G2T1C	A-AFFY-2	P-AFFY-6	SALK_136775 (Lipocalin gene knock-out)	20	degree_C	G2T1C	P-TABM-2393	Sarhan001_rma_Array_express.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-430/E-TABM-430.processed.1.zip
Wild-type low temperature (G1T2B)	  	  	  	Lehle Seeds, TX USA	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1.10 Boyes key	Columbia-0	wild_type	P-TABM-2391	P-TABM-2394	Wild-type low temperature (G1T2B)	P-TABM-2390	Wild-type low temperature (G1T2B)	total_RNA	P-TABM-2392	Wild-type low temperature (G1T2B) biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	G1T2B	A-AFFY-2	P-AFFY-6	wild_type	4	degree_C	G1T2B	P-TABM-2393	Sarhan001_rma_Array_express.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-430/E-TABM-430.processed.1.zip
Wild-type normal temperature (G1T1C)	  	  	  	Lehle Seeds, TX USA	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1.10 Boyes key	Columbia-0	wild_type	P-TABM-2391	P-TABM-2394	Wild-type normal temperature (G1T1C)	P-TABM-2390	Wild-type normal temperature (G1T1C)	total_RNA	P-TABM-2392	Wild-type normal temperature (G1T1C) biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	G1T1C	A-AFFY-2	P-AFFY-6	wild_type	20	degree_C	G1T1C	P-TABM-2393	Sarhan001_rma_Array_express.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-430/E-TABM-430.processed.1.zip
Lipocalin KO low temperature (G2T2A)	gene_knock_out	EFO	EFO_0000506	SALK Institute CA USA	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1.10 Boyes key	Columbia-0	SALK_136775 (Lipocalin gene knock-out)	P-TABM-2391	P-TABM-2394	Lipocalin KO low temperature (G2T2A)	P-TABM-2390	Lipocalin KO low temperature (G2T2A)	total_RNA	P-TABM-2392	Lipocalin KO low temperature (G2T2A) biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	G2T2A	A-AFFY-2	P-AFFY-6	SALK_136775 (Lipocalin gene knock-out)	4	degree_C	G2T2A	P-TABM-2393	Sarhan001_rma_Array_express.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-430/E-TABM-430.processed.1.zip
Lipocalin KO low temperature (G2T2C)	gene_knock_out	EFO	EFO_0000506	SALK Institute CA USA	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1.10 Boyes key	Columbia-0	SALK_136775 (Lipocalin gene knock-out)	P-TABM-2391	P-TABM-2394	Lipocalin KO low temperature (G2T2C)	P-TABM-2390	Lipocalin KO low temperature (G2T2C)	total_RNA	P-TABM-2392	Lipocalin KO low temperature (G2T2C) biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	G2T2C	A-AFFY-2	P-AFFY-6	SALK_136775 (Lipocalin gene knock-out)	4	degree_C	G2T2C	P-TABM-2393	Sarhan001_rma_Array_express.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-430/E-TABM-430.processed.1.zip
Wild-type normal temperature (G1T1B)	  	  	  	Lehle Seeds, TX USA	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1.10 Boyes key	Columbia-0	wild_type	P-TABM-2391	P-TABM-2394	Wild-type normal temperature (G1T1B)	P-TABM-2390	Wild-type normal temperature (G1T1B)	total_RNA	P-TABM-2392	Wild-type normal temperature (G1T1B) biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	G1T1B	A-AFFY-2	P-AFFY-6	wild_type	20	degree_C	G1T1B	P-TABM-2393	Sarhan001_rma_Array_express.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-430/E-TABM-430.processed.1.zip
Lipocalin KO low temperature (G2T2B)	gene_knock_out	EFO	EFO_0000506	SALK Institute CA USA	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1.10 Boyes key	Columbia-0	SALK_136775 (Lipocalin gene knock-out)	P-TABM-2391	P-TABM-2394	Lipocalin KO low temperature (G2T2B)	P-TABM-2390	Lipocalin KO low temperature (G2T2B)	total_RNA	P-TABM-2392	Lipocalin KO low temperature (G2T2B) biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	G2T2B	A-AFFY-2	P-AFFY-6	SALK_136775 (Lipocalin gene knock-out)	4	degree_C	G2T2B	P-TABM-2393	Sarhan001_rma_Array_express.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-430/E-TABM-430.processed.1.zip
Lipocalin KO normal temperature (G2T1B)	gene_knock_out	EFO	EFO_0000506	SALK Institute CA USA	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1.10 Boyes key	Columbia-0	SALK_136775 (Lipocalin gene knock-out)	P-TABM-2391	P-TABM-2394	Lipocalin KO normal temperature (G2T1B)	P-TABM-2390	Lipocalin KO normal temperature (G2T1B)	total_RNA	P-TABM-2392	Lipocalin KO normal temperature (G2T1B) biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	G2T1B	A-AFFY-2	P-AFFY-6	SALK_136775 (Lipocalin gene knock-out)	20	degree_C	G2T1B	P-TABM-2393	Sarhan001_rma_Array_express.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-430/E-TABM-430.processed.1.zip
Wild-type low temperature (G1T2A)	  	  	  	Lehle Seeds, TX USA	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1.10 Boyes key	Columbia-0	wild_type	P-TABM-2391	P-TABM-2394	Wild-type low temperature (G1T2A)	P-TABM-2390	Wild-type low temperature (G1T2A)	total_RNA	P-TABM-2392	Wild-type low temperature (G1T2A) biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	G1T2A	A-AFFY-2	P-AFFY-6	wild_type	4	degree_C	G1T2A	P-TABM-2393	Sarhan001_rma_Array_express.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-430/E-TABM-430.processed.1.zip
