Source Name	Material Type	Characteristics[organism]	Characteristics[biosource type]	Characteristics[developmental stage]	Characteristics[age]	Unit[time unit]	Characteristics[initial time point]	Characteristics[genotype]	Characteristics[phenotype]	Characteristics[ecotype]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Term Source REF	LabeledExtract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[growth condition]	Factor Value[phenotype]
2ABA_1	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	6	day	germination	DEX inducible SNRK3.15 transgene	no SNRK3.15 expression	Col-0	P-MTAB-23175	P-MTAB-23174	P-MTAB-23176	2ABA_1	genomic_DNA	P-AFFY-2	ArrayExpress	2ABA_1	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	2ABA_1	A-AFFY-2	P-AFFY-6	ArrayExpress	bot2043.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3397/E-MEXP-3397.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	bot2043.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3397/E-MEXP-3397.processed.1.zip	abscisic acid 2 micromolar	no SNRK3.15 expression
2ABA_2	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	6	day	germination	DEX inducible SNRK3.15 transgene	no SNRK3.15 expression	Col-0	P-MTAB-23175	P-MTAB-23174	P-MTAB-23176	2ABA_2	genomic_DNA	P-AFFY-2	ArrayExpress	2ABA_2	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	2ABA_2	A-AFFY-2	P-AFFY-6	ArrayExpress	bot2050.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3397/E-MEXP-3397.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	bot2050.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3397/E-MEXP-3397.processed.1.zip	abscisic acid 2 micromolar	no SNRK3.15 expression
2ABA_3	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	6	day	germination	DEX inducible SNRK3.15 transgene	no SNRK3.15 expression	Col-0	P-MTAB-23175	P-MTAB-23174	P-MTAB-23176	2ABA_3	genomic_DNA	P-AFFY-2	ArrayExpress	2ABA_3	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	2ABA_3	A-AFFY-2	P-AFFY-6	ArrayExpress	bot2051.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3397/E-MEXP-3397.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	bot2051.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3397/E-MEXP-3397.processed.1.zip	abscisic acid 2 micromolar	no SNRK3.15 expression
2ABA_DEX_1	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	6	day	germination	DEX inducible SNRK3.15 transgene	 SNRK3.15 expression	Col-0	P-MTAB-23175	P-MTAB-23174	P-MTAB-23176	2ABA_DEX_1	genomic_DNA	P-AFFY-2	ArrayExpress	2ABA_DEX_1	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	2ABA_DEX_1	A-AFFY-2	P-AFFY-6	ArrayExpress	bot2044.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3397/E-MEXP-3397.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	bot2044.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3397/E-MEXP-3397.processed.1.zip	abscisic acid 2 micromolar	 SNRK3.15 expression
2ABA_DEX_2	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	6	day	germination	DEX inducible SNRK3.15 transgene	 SNRK3.15 expression	Col-0	P-MTAB-23175	P-MTAB-23174	P-MTAB-23176	2ABA_DEX_2	genomic_DNA	P-AFFY-2	ArrayExpress	2ABA_DEX_2	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	2ABA_DEX_2	A-AFFY-2	P-AFFY-6	ArrayExpress	bot2052.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3397/E-MEXP-3397.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	bot2052.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3397/E-MEXP-3397.processed.1.zip	abscisic acid 2 micromolar	 SNRK3.15 expression
2ABA_DEX_3	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	6	day	germination	DEX inducible SNRK3.15 transgene	 SNRK3.15 expression	Col-0	P-MTAB-23175	P-MTAB-23174	P-MTAB-23176	2ABA_DEX_3	genomic_DNA	P-AFFY-2	ArrayExpress	2ABA_DEX_3	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	2ABA_DEX_3	A-AFFY-2	P-AFFY-6	ArrayExpress	bot2053.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3397/E-MEXP-3397.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	bot2053.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3397/E-MEXP-3397.processed.1.zip	abscisic acid 2 micromolar	 SNRK3.15 expression
DEX_1	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	6	day	germination	DEX inducible SNRK3.15 transgene	 SNRK3.15 expression	Col-0	P-MTAB-23175	P-MTAB-23174	P-MTAB-23176	DEX_1	genomic_DNA	P-AFFY-2	ArrayExpress	DEX_1	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	DEX_1	A-AFFY-2	P-AFFY-6	ArrayExpress	bot2045.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3397/E-MEXP-3397.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	bot2045.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3397/E-MEXP-3397.processed.1.zip	control	 SNRK3.15 expression
DEX_2	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	6	day	germination	DEX inducible SNRK3.15 transgene	 SNRK3.15 expression	Col-0	P-MTAB-23175	P-MTAB-23174	P-MTAB-23176	DEX_2	genomic_DNA	P-AFFY-2	ArrayExpress	DEX_2	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	DEX_2	A-AFFY-2	P-AFFY-6	ArrayExpress	bot2054.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3397/E-MEXP-3397.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	bot2054.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3397/E-MEXP-3397.processed.1.zip	control	 SNRK3.15 expression
DEX_3	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	6	day	germination	DEX inducible SNRK3.15 transgene	 SNRK3.15 expression	Col-0	P-MTAB-23175	P-MTAB-23174	P-MTAB-23176	DEX_3	genomic_DNA	P-AFFY-2	ArrayExpress	DEX_3	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	DEX_3	A-AFFY-2	P-AFFY-6	ArrayExpress	bot2055.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3397/E-MEXP-3397.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	bot2055.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3397/E-MEXP-3397.processed.1.zip	control	 SNRK3.15 expression
DMSO_1	whole_organism	Arabidopsis thaliana	fresh_sample	seedling	6	day	germination	DEX inducible SNRK3.15 transgene	no SNRK3.15 expression	Col-0	P-MTAB-23175	P-MTAB-23174	P-MTAB-23176	DMSO_1	genomic_DNA	P-AFFY-2	ArrayExpress	DMSO_1	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	DMSO_1	A-AFFY-2	P-AFFY-6	ArrayExpress	bot2042.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3397/E-MEXP-3397.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	bot2042.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3397/E-MEXP-3397.processed.1.zip	control	no SNRK3.15 expression
