Source Name	Characteristics [Age]	Characteristics [Individual]	Characteristics [DiseaseState]	Term Source REF	Term Accession Number	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [OrganismPart]	Characteristics [Ecotype]	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Characteristics [BioSourceType]	Provider	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [DISEASE]	Term Source REF	Term Accession Number	Factor Value [ECOTYPE]	Factor Value [TEMPERATURE]	Unit [TemperatureUnit]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
EMS_Supp6_27short days	4 weeks	515_A	normal	EFO	EFO_0000761	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	meristem and young leaves	Bur-0	adult	EFO	EFO_0001272	frozen_sample	Sridevi Sureshkumar, Marco Todesco, Sureshkumar Balasubramanian and Detlef Weigel	P-MTAB-1702	P-MTAB-1701	P-MTAB-1703	E_EMS_Supp6_27short days	total_RNA	P-AFFY-2	L_EMS_Supp6_27short days	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	H_EMS_Supp6_27short days	A-AFFY-2	P-AFFY-6	normal	EFO	EFO_0000761	Bur-0	27	degree_C	CHIP_515_A.CEL	CHIP_515_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1799/E-MEXP-1799.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1799-processed-data-1665603382.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1799/E-MEXP-1799.processed.1.zip
Bur-0_27shortdays_replicate	4 weeks	513_B	gwm	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	meristem and young leaves	Bur-0	adult	EFO	EFO_0001272	frozen_sample	Sridevi Sureshkumar, Marco Todesco, Sureshkumar Balasubramanian and Detlef Weigel	P-MTAB-1702	P-MTAB-1701	P-MTAB-1703	E_Bur-0_27shortdays_replicate	total_RNA	P-AFFY-2	L_Bur-0_27shortdays_replicate	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	H_Bur-0_27shortdays_replicate	A-AFFY-2	P-AFFY-6	gwm	  	  	Bur-0	27	degree_C	CHIP_513_B.CEL	CHIP_513_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1799/E-MEXP-1799.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1799-processed-data-1665603382.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1799/E-MEXP-1799.processed.1.zip
Pf-0_23shortdays_replicate	4 weeks	517_B	normal	EFO	EFO_0000761	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	meristem and young leaves	Pf-0	adult	EFO	EFO_0001272	frozen_sample	Sridevi Sureshkumar, Marco Todesco, Sureshkumar Balasubramanian and Detlef Weigel	P-MTAB-1702	P-MTAB-1701	P-MTAB-1703	E_Pf-0_23shortdays_replicate	total_RNA	P-AFFY-2	L_Pf-0_23shortdays_replicate	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	H_Pf-0_23shortdays_replicate	A-AFFY-2	P-AFFY-6	normal	EFO	EFO_0000761	Pf-0	23	degree_C	CHIP_517_B.CEL	CHIP_517_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1799/E-MEXP-1799.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1799-processed-data-1665603382.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1799/E-MEXP-1799.processed.1.zip
EMS_Supp6_23short days	4 weeks	518_A	normal	EFO	EFO_0000761	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	meristem and young leaves	Bur-0	adult	EFO	EFO_0001272	frozen_sample	Sridevi Sureshkumar, Marco Todesco, Sureshkumar Balasubramanian and Detlef Weigel	P-MTAB-1702	P-MTAB-1701	P-MTAB-1703	E_EMS_Supp6_23short days	total_RNA	P-AFFY-2	L_EMS_Supp6_23short days	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	H_EMS_Supp6_23short days	A-AFFY-2	P-AFFY-6	normal	EFO	EFO_0000761	Bur-0	23	degree_C	CHIP_518_A.CEL	CHIP_518_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1799/E-MEXP-1799.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1799-processed-data-1665603382.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1799/E-MEXP-1799.processed.1.zip
Bur-0_27short days	4 weeks	513_A	gwm	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	meristem and young leaves	Bur-0	adult	EFO	EFO_0001272	frozen_sample	Sridevi Sureshkumar, Marco Todesco, Sureshkumar Balasubramanian and Detlef Weigel	P-MTAB-1702	P-MTAB-1701	P-MTAB-1703	E_Bur-0_27short days	total_RNA	P-AFFY-2	L_Bur-0_27short days	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	H_Bur-0_27short days	A-AFFY-2	P-AFFY-6	gwm	  	  	Bur-0	27	degree_C	CHIP_513_A.CEL	CHIP_513_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1799/E-MEXP-1799.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1799-processed-data-1665603382.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1799/E-MEXP-1799.processed.1.zip
Bur-0_23C_short days_replicate	4 weeks	516_B	normal	EFO	EFO_0000761	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	meristem and young leaves	Bur-0	adult	EFO	EFO_0001272	frozen_sample	Sridevi Sureshkumar, Marco Todesco, Sureshkumar Balasubramanian and Detlef Weigel	P-MTAB-1702	P-MTAB-1701	P-MTAB-1703	E_Bur-0_23C_short days_replicate	total_RNA	P-AFFY-2	L_Bur-0_23C_short days_replicate	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	H_Bur-0_23C_short days_replicate	A-AFFY-2	P-AFFY-6	normal	EFO	EFO_0000761	Bur-0	23	degree_C	CHIP_516_B.CEL	CHIP_516_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1799/E-MEXP-1799.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1799-processed-data-1665603382.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1799/E-MEXP-1799.processed.1.zip
Pf-0_27shortdays	4 weeks	514_A	normal	EFO	EFO_0000761	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	meristem and young leaves	Pf-0	adult	EFO	EFO_0001272	frozen_sample	Sridevi Sureshkumar, Marco Todesco, Sureshkumar Balasubramanian and Detlef Weigel	P-MTAB-1702	P-MTAB-1701	P-MTAB-1703	E_Pf-0_27shortdays	total_RNA	P-AFFY-2	L_Pf-0_27shortdays	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	H_Pf-0_27shortdays	A-AFFY-2	P-AFFY-6	normal	EFO	EFO_0000761	Pf-0	27	degree_C	CHIP_514_A.CEL	CHIP_514_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1799/E-MEXP-1799.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1799-processed-data-1665603382.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1799/E-MEXP-1799.processed.1.zip
EMS_Supp6_27short days_replicate	4 weeks	515_B	normal	EFO	EFO_0000761	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	meristem and young leaves	Bur-0	adult	EFO	EFO_0001272	frozen_sample	Sridevi Sureshkumar, Marco Todesco, Sureshkumar Balasubramanian and Detlef Weigel	P-MTAB-1702	P-MTAB-1701	P-MTAB-1703	E_EMS_Supp6_27short days_replicate	total_RNA	P-AFFY-2	L_EMS_Supp6_27short days_replicate	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	H_EMS_Supp6_27short days_replicate	A-AFFY-2	P-AFFY-6	normal	EFO	EFO_0000761	Bur-0	27	degree_C	CHIP_515_B.CEL	CHIP_515_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1799/E-MEXP-1799.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1799-processed-data-1665603382.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1799/E-MEXP-1799.processed.1.zip
Pf-0_23shortdays	4 weeks	517_A	normal	EFO	EFO_0000761	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	meristem and young leaves	Pf-0	adult	EFO	EFO_0001272	frozen_sample	Sridevi Sureshkumar, Marco Todesco, Sureshkumar Balasubramanian and Detlef Weigel	P-MTAB-1702	P-MTAB-1701	P-MTAB-1703	E_Pf-0_23shortdays	total_RNA	P-AFFY-2	L_Pf-0_23shortdays	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	H_Pf-0_23shortdays	A-AFFY-2	P-AFFY-6	normal	EFO	EFO_0000761	Pf-0	23	degree_C	CHIP_517_A.CEL	CHIP_517_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1799/E-MEXP-1799.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1799-processed-data-1665603382.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1799/E-MEXP-1799.processed.1.zip
Pf-0_27shortdays_replicate	4 weeks	514_B	normal	EFO	EFO_0000761	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	meristem and young leaves	Pf-0	adult	EFO	EFO_0001272	frozen_sample	Sridevi Sureshkumar, Marco Todesco, Sureshkumar Balasubramanian and Detlef Weigel	P-MTAB-1702	P-MTAB-1701	P-MTAB-1703	E_Pf-0_27shortdays_replicate	total_RNA	P-AFFY-2	L_Pf-0_27shortdays_replicate	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	H_Pf-0_27shortdays_replicate	A-AFFY-2	P-AFFY-6	normal	EFO	EFO_0000761	Pf-0	27	degree_C	CHIP_514_B.CEL	CHIP_514_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1799/E-MEXP-1799.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1799-processed-data-1665603382.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1799/E-MEXP-1799.processed.1.zip
