Source Name	Characteristics [age]	Unit[time unit]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism part]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [genotype]
Replicate2_nudt7-1	28	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	nudt7-1	leaf	EFO	EFO_0000993	P-MTAB-5563	P-MTAB-5562	E_Replicate2_nudt7-1	total_RNA	P-AFFY-2	L_Replicate2_nudt7-1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Replicate2_nudt7-1	A-AFFY-2	P-AFFY-6	CO31_nudt7_1_Replicate2.CEL	CO31_nudt7_1_Replicate2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2405/E-MEXP-2405.raw.1.zip	  	  	  	Affymetrix:Protocol:ExpressionStat	E-MEXP-2405-processed-data-1824918143.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2405/E-MEXP-2405.processed.1.zip	nudt7-1
Replicate3_nudt7-1_sid2-1_eds1-2	28	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	nudt7-1 sid2-1 eds1-2	leaf	EFO	EFO_0000993	P-MTAB-5563	P-MTAB-5562	E_Replicate3_nudt7-1_sid2-1_eds1-2	total_RNA	P-AFFY-2	L_Replicate3_nudt7-1_sid2-1_eds1-2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Replicate3_nudt7-1_sid2-1_eds1-2	A-AFFY-2	P-AFFY-6	CO31_nudt7_1_eds1_2_sid_2_1_Replicate3.CEL	CO31_nudt7_1_eds1_2_sid_2_1_Replicate3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2405/E-MEXP-2405.raw.1.zip	  	  	  	Affymetrix:Protocol:ExpressionStat	E-MEXP-2405-processed-data-1824918143.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2405/E-MEXP-2405.processed.1.zip	nudt7-1 sid2-1 eds1-2
Replicate2_nudt7-1_sid2-1_eds1-2	28	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	nudt7-1 sid2-1 eds1-2	leaf	EFO	EFO_0000993	P-MTAB-5563	P-MTAB-5562	E_Replicate2_nudt7-1_sid2-1_eds1-2	total_RNA	P-AFFY-2	L_Replicate2_nudt7-1_sid2-1_eds1-2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Replicate2_nudt7-1_sid2-1_eds1-2	A-AFFY-2	P-AFFY-6	CO31_nudt7_1_eds1_2_sid_2_1_Replicate2.CEL	CO31_nudt7_1_eds1_2_sid_2_1_Replicate2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2405/E-MEXP-2405.raw.1.zip	  	  	  	Affymetrix:Protocol:ExpressionStat	E-MEXP-2405-processed-data-1824918143.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2405/E-MEXP-2405.processed.1.zip	nudt7-1 sid2-1 eds1-2
Replicate1_Col-0	28	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild type	leaf	EFO	EFO_0000993	P-MTAB-5563	P-MTAB-5562	E_Replicate1_Col-0	total_RNA	P-AFFY-2	L_Replicate1_Col-0	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Replicate1_Col-0	A-AFFY-2	P-AFFY-6	CO31_Col_0_Replicate1.CEL	CO31_Col_0_Replicate1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2405/E-MEXP-2405.raw.1.zip	  	  	  	Affymetrix:Protocol:ExpressionStat	E-MEXP-2405-processed-data-1824918143.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2405/E-MEXP-2405.processed.1.zip	wild type
Replicate3_nudt7-1_sid2-1	28	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	nudt7-1 sid2-1	leaf	EFO	EFO_0000993	P-MTAB-5563	P-MTAB-5562	E_Replicate3_nudt7-1_sid2-1	total_RNA	P-AFFY-2	L_Replicate3_nudt7-1_sid2-1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Replicate3_nudt7-1_sid2-1	A-AFFY-2	P-AFFY-6	CO31_nudt7_1_sid_2_1_Replicate3.CEL	CO31_nudt7_1_sid_2_1_Replicate3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2405/E-MEXP-2405.raw.1.zip	  	  	  	Affymetrix:Protocol:ExpressionStat	E-MEXP-2405-processed-data-1824918143.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2405/E-MEXP-2405.processed.1.zip	nudt7-1 sid2-1
Replicate3_nudt7-1	28	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	nudt7-1	leaf	EFO	EFO_0000993	P-MTAB-5563	P-MTAB-5562	E_Replicate3_nudt7-1	total_RNA	P-AFFY-2	L_Replicate3_nudt7-1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Replicate3_nudt7-1	A-AFFY-2	P-AFFY-6	CO31_nudt7_1_Replicate3.CEL	CO31_nudt7_1_Replicate3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2405/E-MEXP-2405.raw.1.zip	  	  	  	Affymetrix:Protocol:ExpressionStat	E-MEXP-2405-processed-data-1824918143.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2405/E-MEXP-2405.processed.1.zip	nudt7-1
Replicate3_nudt7-1_eds1-2	28	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	nudt7-1 eds1-2	leaf	EFO	EFO_0000993	P-MTAB-5563	P-MTAB-5562	E_Replicate3_nudt7-1_eds1-2	total_RNA	P-AFFY-2	L_Replicate3_nudt7-1_eds1-2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Replicate3_nudt7-1_eds1-2	A-AFFY-2	P-AFFY-6	CO31_nudt7_1_eds1_2_Replicate3.CEL	CO31_nudt7_1_eds1_2_Replicate3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2405/E-MEXP-2405.raw.1.zip	  	  	  	Affymetrix:Protocol:ExpressionStat	E-MEXP-2405-processed-data-1824918143.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2405/E-MEXP-2405.processed.1.zip	nudt7-1 eds1-2
Replicate1_nudt7-1_eds1-2	28	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	nudt7-1 eds1-2	leaf	EFO	EFO_0000993	P-MTAB-5563	P-MTAB-5562	E_Replicate1_nudt7-1_eds1-2	total_RNA	P-AFFY-2	L_Replicate1_nudt7-1_eds1-2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Replicate1_nudt7-1_eds1-2	A-AFFY-2	P-AFFY-6	CO31_nudt7_1_eds_1_2_Replicate1.CEL	CO31_nudt7_1_eds_1_2_Replicate1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2405/E-MEXP-2405.raw.1.zip	  	  	  	Affymetrix:Protocol:ExpressionStat	E-MEXP-2405-processed-data-1824918143.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2405/E-MEXP-2405.processed.1.zip	nudt7-1 eds1-2
Replicate2_nudt7-1_eds1-2	28	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	nudt7-1 eds1-2	leaf	EFO	EFO_0000993	P-MTAB-5563	P-MTAB-5562	E_Replicate2_nudt7-1_eds1-2	total_RNA	P-AFFY-2	L_Replicate2_nudt7-1_eds1-2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Replicate2_nudt7-1_eds1-2	A-AFFY-2	P-AFFY-6	CO31_nudt7_1_eds1_2_Replicate2.CEL	CO31_nudt7_1_eds1_2_Replicate2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2405/E-MEXP-2405.raw.1.zip	  	  	  	Affymetrix:Protocol:ExpressionStat	E-MEXP-2405-processed-data-1824918143.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2405/E-MEXP-2405.processed.1.zip	nudt7-1 eds1-2
Replicate1_nudt7-1_sid2-1_eds1-2	28	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	nudt7-1 sid2-1 eds1-2	leaf	EFO	EFO_0000993	P-MTAB-5563	P-MTAB-5562	E_Replicate1_nudt7-1_sid2-1_eds1-2	total_RNA	P-AFFY-2	L_Replicate1_nudt7-1_sid2-1_eds1-2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_Replicate1_nudt7-1_sid2-1_eds1-2	A-AFFY-2	P-AFFY-6	CO31_nudt7_1_eds1_2_sid_2_1_Replicate1.CEL	CO31_nudt7_1_eds1_2_sid_2_1_Replicate1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2405/E-MEXP-2405.raw.1.zip	  	  	  	Affymetrix:Protocol:ExpressionStat	E-MEXP-2405-processed-data-1824918143.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2405/E-MEXP-2405.processed.1.zip	nudt7-1 sid2-1 eds1-2
