Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[organism part]	Characteristics[ecotype]	Characteristics[age]	Unit[time unit]	Characteristics[genotype]	Description	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]
GSE7211GSM173446	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	Columbia	30	day	oxt6 mutant	"leaves from oxt6 mutant Arabidopsis plants, soil-grown for 30 days:  Gene expression data from oxt6 mutant plants. Genotype: wild-type Columbia background; 30 day-old soil grown plants"	P-G7211-1	GSE7211GSM173446 sample	P-G7211-3	GSE7211GSM173446 extract	total_RNA	P-G7211-2	GSE7211GSM173446 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"oxt6 mutant, biological rep2"	A-AFFY-2	P-AFFY-6	"oxt6 mutant, biological rep2"	GSM173446.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7211/E-GEOD-7211.raw.1.zip	E-GEOD-7211-processed-data-1629872258.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7211/E-GEOD-7211.processed.1.zip	oxt6 mutant
GSE7211GSM173447	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	Columbia	30	day	oxt6 mutant	"leaves from oxt6 mutant Arabidopsis plants, soil-grown for 30 days:  Gene expression data from oxt6 mutant plants. Genotype: wild-type Columbia background; 30 day-old soil grown plants"	P-G7211-1	GSE7211GSM173447 sample	P-G7211-3	GSE7211GSM173447 extract	total_RNA	P-G7211-2	GSE7211GSM173447 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"oxt6 mutant, biological rep3"	A-AFFY-2	P-AFFY-6	"oxt6 mutant, biological rep3"	GSM173447.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7211/E-GEOD-7211.raw.1.zip	E-GEOD-7211-processed-data-1629872258.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7211/E-GEOD-7211.processed.1.zip	oxt6 mutant
GSE7211GSM173445	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	Columbia	30	day	oxt6 mutant	"leaves from oxt6 mutant Arabidopsis plants, soil-grown for 30 days:  Gene expression data from oxt6 mutant plants. Genotype: wild-type Columbia background; 30 day-old soil grown plants"	P-G7211-1	GSE7211GSM173445 sample	P-G7211-3	GSE7211GSM173445 extract	total_RNA	P-G7211-2	GSE7211GSM173445 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"oxt6 mutant, biological rep1"	A-AFFY-2	P-AFFY-6	"oxt6 mutant, biological rep1"	GSM173445.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7211/E-GEOD-7211.raw.1.zip	E-GEOD-7211-processed-data-1629872258.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7211/E-GEOD-7211.processed.1.zip	oxt6 mutant
GSE7211GSM173450	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	Columbia	30	day	oxt6:AtCPSF30	"leaves from xt6:AtCPSF30 line 6 Arabidopsis plants, soil-grown for 30 days:  Gene expression data from oxt6 mutant plants expressing an AtCPSF30 transgene. Genotype: wild-type Columbia background; 30 day-old soil grown plants"	P-G7211-1	GSE7211GSM173450 sample	P-G7211-3	GSE7211GSM173450 extract	total_RNA	P-G7211-2	GSE7211GSM173450 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"oxt6:AtCPSF30 line 6, biological rep1"	A-AFFY-2	P-AFFY-6	"oxt6:AtCPSF30 line 6, biological rep1"	GSM173450.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7211/E-GEOD-7211.raw.1.zip	E-GEOD-7211-processed-data-1629872258.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7211/E-GEOD-7211.processed.1.zip	oxt6:AtCPSF30
GSE7211GSM173449	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	Columbia	30	day	oxt6:AtCPSF30	"leaves from oxt6:AtCPSF30 line 5 Arabidopsis plants, soil-grown for 30 days:  Gene expression data from oxt6 mutant plants expressing an AtCPSF30 transgene. Genotype: wild-type Columbia background; 30 day-old soil grown plants"	P-G7211-1	GSE7211GSM173449 sample	P-G7211-3	GSE7211GSM173449 extract	total_RNA	P-G7211-2	GSE7211GSM173449 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"oxt6:AtCPSF30 line 5, biological rep2"	A-AFFY-2	P-AFFY-6	"oxt6:AtCPSF30 line 5, biological rep2"	GSM173449.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7211/E-GEOD-7211.raw.1.zip	E-GEOD-7211-processed-data-1629872258.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7211/E-GEOD-7211.processed.1.zip	oxt6:AtCPSF30
GSE7211GSM173448	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	Columbia	30	day	oxt6:AtCPSF30	"leaves from oxt6:AtCPSF30 line 5 Arabidopsis plants, soil-grown for 30 days:  Gene expression data from oxt6 mutant plants expressing an AtCPSF30 transgene. Genotype: wild-type Columbia background; 30 day-old soil grown plants"	P-G7211-1	GSE7211GSM173448 sample	P-G7211-3	GSE7211GSM173448 extract	total_RNA	P-G7211-2	GSE7211GSM173448 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"oxt6:AtCPSF30 line 5, biological rep1"	A-AFFY-2	P-AFFY-6	"oxt6:AtCPSF30 line 5, biological rep1"	GSM173448.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7211/E-GEOD-7211.raw.1.zip	E-GEOD-7211-processed-data-1629872258.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7211/E-GEOD-7211.processed.1.zip	oxt6:AtCPSF30
GSE7211GSM173451	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	Columbia	30	day	oxt6:AtCPSF30	"leaves from xt6:AtCPSF30 line 6 Arabidopsis plants, soil-grown for 30 days:  Gene expression data from oxt6 mutant plants expressing an AtCPSF30 transgene. Genotype: wild-type Columbia background; 30 day-old soil grown plants"	P-G7211-1	GSE7211GSM173451 sample	P-G7211-3	GSE7211GSM173451 extract	total_RNA	P-G7211-2	GSE7211GSM173451 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"oxt6:AtCPSF30 line 6, biological rep2"	A-AFFY-2	P-AFFY-6	"oxt6:AtCPSF30 line 6, biological rep2"	GSM173451.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7211/E-GEOD-7211.raw.1.zip	E-GEOD-7211-processed-data-1629872258.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7211/E-GEOD-7211.processed.1.zip	oxt6:AtCPSF30
GSE7211GSM173443	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	Columbia	30	day	wild type	"leaves from wild-type Arabidopsis plants, soil-grown for 30 days:  Gene expression data from wild-type plants. Genotype: wild-type Columbia background; 30 day-old soil grown plants"	P-G7211-1	GSE7211GSM173443 sample	P-G7211-3	GSE7211GSM173443 extract	total_RNA	P-G7211-2	GSE7211GSM173443 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"wild-type Arabidopsis, biological rep2"	A-AFFY-2	P-AFFY-6	"wild-type Arabidopsis, biological rep2"	GSM173443.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7211/E-GEOD-7211.raw.1.zip	E-GEOD-7211-processed-data-1629872258.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7211/E-GEOD-7211.processed.1.zip	wild type
GSE7211GSM173442	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	Columbia	30	day	wild type	"leaves from wild-type Arabidopsis plants, soil-grown for 30 days:  Gene expression data from wild-type plants. Genotype: wild-type Columbia background; 30 day-old soil grown plants"	P-G7211-1	GSE7211GSM173442 sample	P-G7211-3	GSE7211GSM173442 extract	total_RNA	P-G7211-2	GSE7211GSM173442 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"wild-type Arabidopsis, biological rep1"	A-AFFY-2	P-AFFY-6	"wild-type Arabidopsis, biological rep1"	GSM173442.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7211/E-GEOD-7211.raw.1.zip	E-GEOD-7211-processed-data-1629872258.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7211/E-GEOD-7211.processed.1.zip	wild type
GSE7211GSM173444	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	Columbia	30	day	wild type	"leaves from wild-type Arabidopsis plants, soil-grown for 30 days:  Gene expression data from wild-type plants. Genotype: wild-type Columbia background; 30 day-old soil grown plants"	P-G7211-1	GSE7211GSM173444 sample	P-G7211-3	GSE7211GSM173444 extract	total_RNA	P-G7211-2	GSE7211GSM173444 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"wild-type Arabidopsis, biological rep3"	A-AFFY-2	P-AFFY-6	"wild-type Arabidopsis, biological rep3"	GSM173444.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7211/E-GEOD-7211.raw.1.zip	E-GEOD-7211-processed-data-1629872258.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7211/E-GEOD-7211.processed.1.zip	wild type
