Source Name	Material Type	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Comment[Sample_source_name]	Comment[Sample_characteristics]	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Characteristics[genotype]	Characteristics[ecotype]	Protocol REF	Protocol REF	Sample Name	Material Type	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Material Type	Label	Hybridization Name	Array Design REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Comment[CDF]	FactorValue[growth condition]	FactorValue[genotype]	FactorValue[time]	Unit[time unit]
GSE18071GSM451829	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week old pnp1-1 rosette grown for 3 additional hours on +P medium, pnp1-1_3h_+P_rep1. tissue: seedlings without roots; age: 2 weeks + 3h; genotype: pnp1-1 (SALK_013306); treatment: Full nutrient medium (+P)	2-week old pnp1-1 rosette grown for 3 additional hours on +P medium	tissue: seedlings without roots; age: 2 weeks + 3h; genotype: pnp1-1 (SALK_013306); treatment: Full nutrient medium (+P)	339	hour	aerial part	pnp1-1	Columbia	P-G18071-1	P-G18071-2	GSE18071GSM451829 sample	organism_part	P-G18071-5	GSE18071GSM451829 extract	total_RNA	P-G18071-3	GSE18071GSM451829 LE biotin	synthetic_RNA	biotin	pnp1-1_3h_plus_P_rep1	A-AFFY-2	GSM451829	GSM451829.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.raw.1.zip	P-G18071-4	GSE18071GSM451829 Norm	GSM451829_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.processed.1.zip	ATH1-121501.CDF	full nutrient medium	pnp1-1	3	hour
GSE18071GSM451830	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week old pnp1-1 rosette grown for 3 additional hours on +P medium, pnp1-1_3h_+P_rep2. tissue: seedlings without roots; age: 2 weeks + 3h; genotype: pnp1-1 (SALK_013306); treatment: Full nutrient medium (+P)	2-week old pnp1-1 rosette grown for 3 additional hours on +P medium	tissue: seedlings without roots; age: 2 weeks + 3h; genotype: pnp1-1 (SALK_013306); treatment: Full nutrient medium (+P)	339	hour	aerial part	pnp1-1	Columbia	P-G18071-1	P-G18071-2	GSE18071GSM451830 sample	organism_part	P-G18071-5	GSE18071GSM451830 extract	total_RNA	P-G18071-3	GSE18071GSM451830 LE biotin	synthetic_RNA	biotin	pnp1-1_3h_plus_P_rep2	A-AFFY-2	GSM451830	GSM451830.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.raw.1.zip	P-G18071-4	GSE18071GSM451830 Norm	GSM451830_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.processed.1.zip	ATH1-121501.CDF	full nutrient medium	pnp1-1	3	hour
GSE18071GSM451831	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week old pnp1-1 rosette grown for 3 additional hours on +P medium, pnp1-1_3h_+P_rep3. tissue: seedlings without roots; age: 2 weeks + 3h; genotype: pnp1-1 (SALK_013306); treatment: Full nutrient medium (+P)	2-week old pnp1-1 rosette grown for 3 additional hours on +P medium	tissue: seedlings without roots; age: 2 weeks + 3h; genotype: pnp1-1 (SALK_013306); treatment: Full nutrient medium (+P)	339	hour	aerial part	pnp1-1	Columbia	P-G18071-1	P-G18071-2	GSE18071GSM451831 sample	organism_part	P-G18071-5	GSE18071GSM451831 extract	total_RNA	P-G18071-3	GSE18071GSM451831 LE biotin	synthetic_RNA	biotin	pnp1-1_3h_plus_P_rep3	A-AFFY-2	GSM451831	GSM451831.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.raw.1.zip	P-G18071-4	GSE18071GSM451831 Norm	GSM451831_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.processed.1.zip	ATH1-121501.CDF	full nutrient medium	pnp1-1	3	hour
GSE18071GSM451835	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week old pnp1-1 rosette grown for 3 additional hours on -P medium, pnp1-1_3h_-P_rep1. tissue: seedlings without roots; age: 2 weeks + 3h; genotype: pnp1-1 (SALK_013306); treatment: No phosphate medium	2-week old pnp1-1 rosette grown for 3 additional hours on -P medium	tissue: seedlings without roots; age: 2 weeks + 3h; genotype: pnp1-1 (SALK_013306); treatment: No phosphate medium	339	hour	aerial part	pnp1-1	Columbia	P-G18071-1	P-G18071-2	GSE18071GSM451835 sample	organism_part	P-G18071-5	GSE18071GSM451835 extract	total_RNA	P-G18071-3	GSE18071GSM451835 LE biotin	synthetic_RNA	biotin	pnp1-1_3h_minus_P_rep1	A-AFFY-2	GSM451835	GSM451835.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.raw.1.zip	P-G18071-4	GSE18071GSM451835 Norm	GSM451835_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.processed.1.zip	ATH1-121501.CDF	nutrient medium minus phosphate	pnp1-1	3	hour
GSE18071GSM451836	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week old pnp1-1 rosette grown for 3 additional hours on -P medium, pnp1-1_3h_-P_rep2. tissue: seedlings without roots; age: 2 weeks + 3h; genotype: pnp1-1 (SALK_013306); treatment: No phosphate medium	2-week old pnp1-1 rosette grown for 3 additional hours on -P medium	tissue: seedlings without roots; age: 2 weeks + 3h; genotype: pnp1-1 (SALK_013306); treatment: No phosphate medium	339	hour	aerial part	pnp1-1	Columbia	P-G18071-1	P-G18071-2	GSE18071GSM451836 sample	organism_part	P-G18071-5	GSE18071GSM451836 extract	total_RNA	P-G18071-3	GSE18071GSM451836 LE biotin	synthetic_RNA	biotin	pnp1-1_3h_minus_P_rep2	A-AFFY-2	GSM451836	GSM451836.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.raw.1.zip	P-G18071-4	GSE18071GSM451836 Norm	GSM451836_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.processed.1.zip	ATH1-121501.CDF	nutrient medium minus phosphate	pnp1-1	3	hour
GSE18071GSM451837	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week old pnp1-1 rosette grown for 3 additional hours on -P medium, pnp1-1_3h_-P_rep3. tissue: seedlings without roots; age: 2 weeks + 3h; genotype: pnp1-1 (SALK_013306); treatment: No phosphate medium	2-week old pnp1-1 rosette grown for 3 additional hours on -P medium	tissue: seedlings without roots; age: 2 weeks + 3h; genotype: pnp1-1 (SALK_013306); treatment: No phosphate medium	339	hour	aerial part	pnp1-1	Columbia	P-G18071-1	P-G18071-2	GSE18071GSM451837 sample	organism_part	P-G18071-5	GSE18071GSM451837 extract	total_RNA	P-G18071-3	GSE18071GSM451837 LE biotin	synthetic_RNA	biotin	pnp1-1_3h_minus_P_rep3	A-AFFY-2	GSM451837	GSM451837.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.raw.1.zip	P-G18071-4	GSE18071GSM451837 Norm	GSM451837_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.processed.1.zip	ATH1-121501.CDF	nutrient medium minus phosphate	pnp1-1	3	hour
GSE18071GSM451826	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week old WT rosette grown for 3 additional hours on +P medium, WT_3h_+P_rep1. tissue: seedlings without roots; age: 2 weeks + 3h; genotype: WT Col0; treatment: Full nutrient medium (+P)	2-week old WT rosette grown for 3 additional hours on +P medium	tissue: seedlings without roots; age: 2 weeks + 3h; genotype: WT Col0; treatment: Full nutrient medium (+P)	339	hour	aerial part	wild type	Columbia	P-G18071-1	P-G18071-2	GSE18071GSM451826 sample	organism_part	P-G18071-5	GSE18071GSM451826 extract	total_RNA	P-G18071-3	GSE18071GSM451826 LE biotin	synthetic_RNA	biotin	WT_3h_plus_P_rep1	A-AFFY-2	GSM451826	GSM451826.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.raw.1.zip	P-G18071-4	GSE18071GSM451826 Norm	GSM451826_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.processed.1.zip	ATH1-121501.CDF	full nutrient medium	wild type	3	hour
GSE18071GSM451827	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week old WT rosette grown for 3 additional hours on +P medium, WT_3h_+P_rep2. tissue: seedlings without roots; age: 2 weeks + 3h; genotype: WT Col0; treatment: Full nutrient medium (+P)	2-week old WT rosette grown for 3 additional hours on +P medium	tissue: seedlings without roots; age: 2 weeks + 3h; genotype: WT Col0; treatment: Full nutrient medium (+P)	339	hour	aerial part	wild type	Columbia	P-G18071-1	P-G18071-2	GSE18071GSM451827 sample	organism_part	P-G18071-5	GSE18071GSM451827 extract	total_RNA	P-G18071-3	GSE18071GSM451827 LE biotin	synthetic_RNA	biotin	WT_3h_plus_P_rep2	A-AFFY-2	GSM451827	GSM451827.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.raw.1.zip	P-G18071-4	GSE18071GSM451827 Norm	GSM451827_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.processed.1.zip	ATH1-121501.CDF	full nutrient medium	wild type	3	hour
GSE18071GSM451828	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week old WT rosette grown for 3 additional hours on +P medium, WT_3h_+P_rep3. tissue: seedlings without roots; age: 2 weeks + 3h; genotype: WT Col0; treatment: Full nutrient medium (+P)	2-week old WT rosette grown for 3 additional hours on +P medium	tissue: seedlings without roots; age: 2 weeks + 3h; genotype: WT Col0; treatment: Full nutrient medium (+P)	339	hour	aerial part	wild type	Columbia	P-G18071-1	P-G18071-2	GSE18071GSM451828 sample	organism_part	P-G18071-5	GSE18071GSM451828 extract	total_RNA	P-G18071-3	GSE18071GSM451828 LE biotin	synthetic_RNA	biotin	WT_3h_plus_P_rep3	A-AFFY-2	GSM451828	GSM451828.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.raw.1.zip	P-G18071-4	GSE18071GSM451828 Norm	GSM451828_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.processed.1.zip	ATH1-121501.CDF	full nutrient medium	wild type	3	hour
GSE18071GSM451832	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week old WT rosette grown for 3 additional hours on -P medium, WT_3h_-P_rep1. tissue: seedlings without roots; age: 2 weeks + 3h; genotype: WT Col0; treatment: No phosphate medium	2-week old WT rosette grown for 3 additional hours on -P medium	tissue: seedlings without roots; age: 2 weeks + 3h; genotype: WT Col0; treatment: No phosphate medium	339	hour	aerial part	wild type	Columbia	P-G18071-1	P-G18071-2	GSE18071GSM451832 sample	organism_part	P-G18071-5	GSE18071GSM451832 extract	total_RNA	P-G18071-3	GSE18071GSM451832 LE biotin	synthetic_RNA	biotin	WT_3h_minus_P_rep1	A-AFFY-2	GSM451832	GSM451832.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.raw.1.zip	P-G18071-4	GSE18071GSM451832 Norm	GSM451832_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18071/E-GEOD-18071.processed.1.zip	ATH1-121501.CDF	nutrient medium minus phosphate	wild type	3	hour
