Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[OrganismPart]	Characteristics[Ecotype]	Characteristics[Genotype]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[ORGANISM PART]	FactorValue[GENOTYPE]
GSM744826 1	Expression analysis of stele cells exposed to sulfur deficient media for 3H	Protoplasted and FACS sorted Arabidopsis root cells from the stele	Arabidopsis root cells, stele, sulfur deficient media, replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stele	Columbia	pWOL::GFP	P-GSE30099-2	P-GSE30099-3	P-GSE30099-4	GSM744826 extract 1	total RNA	P-GSE30099-5	GSM744826 LE 1	biotin	P-GSE30099-6	GSM744826	A-AFFY-2	P-GSE30099-7	P-GSE30099-8	GSM744826.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30099/E-GEOD-30099.raw.1.zip	P-GSE30099-1	GSM744826_sample_table.txt norm	GSM744826_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30099/E-GEOD-30099.processed.1.zip	stele	pWOL::GFP
GSM744825 1	Expression analysis of stele cells exposed to sulfur deficient media for 3H	Protoplasted and FACS sorted Arabidopsis root cells from the stele	Arabidopsis root cells, stele, sulfur deficient media, replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stele	Columbia	pWOL::GFP	P-GSE30099-2	P-GSE30099-3	P-GSE30099-4	GSM744825 extract 1	total RNA	P-GSE30099-5	GSM744825 LE 1	biotin	P-GSE30099-6	GSM744825	A-AFFY-2	P-GSE30099-7	P-GSE30099-8	GSM744825.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30099/E-GEOD-30099.raw.1.zip	P-GSE30099-1	GSM744825_sample_table.txt norm	GSM744825_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30099/E-GEOD-30099.processed.1.zip	stele	pWOL::GFP
GSM744824 1	Expression analysis of stele cells exposed to sulfur deficient media for 3H	Protoplasted and FACS sorted Arabidopsis root cells from the stele	Arabidopsis root cells, stele, sulfur deficient media, replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	stele	Columbia	pWOL::GFP	P-GSE30099-2	P-GSE30099-3	P-GSE30099-4	GSM744824 extract 1	total RNA	P-GSE30099-5	GSM744824 LE 1	biotin	P-GSE30099-6	GSM744824	A-AFFY-2	P-GSE30099-7	P-GSE30099-8	GSM744824.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30099/E-GEOD-30099.raw.1.zip	P-GSE30099-1	GSM744824_sample_table.txt norm	GSM744824_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30099/E-GEOD-30099.processed.1.zip	stele	pWOL::GFP
GSM744823 1	Expression analysis of endodermal cells exposed to sulfur deficient media for 3H	Protoplasted and FACS sorted Arabidopsis root cells from the endodermis and quiescent center	Arabidopsis root cells, endodermis, sulfur deficient media, replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	endodermis and quiescent center	Columbia	pSCR::GFP	P-GSE30099-2	P-GSE30099-3	P-GSE30099-4	GSM744823 extract 1	total RNA	P-GSE30099-5	GSM744823 LE 1	biotin	P-GSE30099-6	GSM744823	A-AFFY-2	P-GSE30099-7	P-GSE30099-8	GSM744823.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30099/E-GEOD-30099.raw.1.zip	P-GSE30099-1	GSM744823_sample_table.txt norm	GSM744823_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30099/E-GEOD-30099.processed.1.zip	endodermis and quiescent center	pSCR::GFP
GSM744822 1	Expression analysis of endodermal cells exposed to sulfur deficient media for 3H	Protoplasted and FACS sorted Arabidopsis root cells from the endodermis and quiescent center	Arabidopsis root cells, endodermis, sulfur deficient media, replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	endodermis and quiescent center	Columbia	pSCR::GFP	P-GSE30099-2	P-GSE30099-3	P-GSE30099-4	GSM744822 extract 1	total RNA	P-GSE30099-5	GSM744822 LE 1	biotin	P-GSE30099-6	GSM744822	A-AFFY-2	P-GSE30099-7	P-GSE30099-8	GSM744822.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30099/E-GEOD-30099.raw.1.zip	P-GSE30099-1	GSM744822_sample_table.txt norm	GSM744822_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30099/E-GEOD-30099.processed.1.zip	endodermis and quiescent center	pSCR::GFP
GSM744821 1	Expression analysis of endodermal cells exposed to sulfur deficient media for 3H	Protoplasted and FACS sorted Arabidopsis root cells from the endodermis and quiescent center	Arabidopsis root cells, endodermis, sulfur deficient media, replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	endodermis and quiescent center	Columbia	pSCR::GFP	P-GSE30099-2	P-GSE30099-3	P-GSE30099-4	GSM744821 extract 1	total RNA	P-GSE30099-5	GSM744821 LE 1	biotin	P-GSE30099-6	GSM744821	A-AFFY-2	P-GSE30099-7	P-GSE30099-8	GSM744821.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30099/E-GEOD-30099.raw.1.zip	P-GSE30099-1	GSM744821_sample_table.txt norm	GSM744821_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30099/E-GEOD-30099.processed.1.zip	endodermis and quiescent center	pSCR::GFP
GSM744820 1	Expression analysis of cortex cells exposed to sulfur deficient media for 3H	Protoplasted and FACS sorted Arabidopsis root cells from the cortex	Arabidopsis root cells, cortex, sulfur deficient media, replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	cortex	Columbia	pCOR::GFP	P-GSE30099-2	P-GSE30099-3	P-GSE30099-4	GSM744820 extract 1	total RNA	P-GSE30099-5	GSM744820 LE 1	biotin	P-GSE30099-6	GSM744820	A-AFFY-2	P-GSE30099-7	P-GSE30099-8	GSM744820.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30099/E-GEOD-30099.raw.1.zip	P-GSE30099-1	GSM744820_sample_table.txt norm	GSM744820_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30099/E-GEOD-30099.processed.1.zip	cortex	pCOR::GFP
GSM744819 1	Expression analysis of cortex cells exposed to sulfur deficient media for 3H	Protoplasted and FACS sorted Arabidopsis root cells from the cortex	Arabidopsis root cells, cortex, sulfur deficient media, replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	cortex	Columbia	pCOR::GFP	P-GSE30099-2	P-GSE30099-3	P-GSE30099-4	GSM744819 extract 1	total RNA	P-GSE30099-5	GSM744819 LE 1	biotin	P-GSE30099-6	GSM744819	A-AFFY-2	P-GSE30099-7	P-GSE30099-8	GSM744819.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30099/E-GEOD-30099.raw.1.zip	P-GSE30099-1	GSM744819_sample_table.txt norm	GSM744819_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30099/E-GEOD-30099.processed.1.zip	cortex	pCOR::GFP
GSM744818 1	Expression analysis of cortex cells exposed to sulfur deficient media for 3H	Protoplasted and FACS sorted Arabidopsis root cells from the cortex	Arabidopsis root cells, cortex, sulfur deficient media, replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	cortex	Columbia	pCOR::GFP	P-GSE30099-2	P-GSE30099-3	P-GSE30099-4	GSM744818 extract 1	total RNA	P-GSE30099-5	GSM744818 LE 1	biotin	P-GSE30099-6	GSM744818	A-AFFY-2	P-GSE30099-7	P-GSE30099-8	GSM744818.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30099/E-GEOD-30099.raw.1.zip	P-GSE30099-1	GSM744818_sample_table.txt norm	GSM744818_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30099/E-GEOD-30099.processed.1.zip	cortex	pCOR::GFP
GSM744817 1	Expression analysis of epidermal and lateral root cap cells exposed to sulfur deficient media for 3H	Protoplasted and FACS sorted Arabidopsis root cells from the epidermis and lateral root cap	Arabidopsis root cells, epidermis and lateral root cap, sulfur deficient media, replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	epidermis and lateral root cap	Columbia	pWER::GRP	P-GSE30099-2	P-GSE30099-3	P-GSE30099-4	GSM744817 extract 1	total RNA	P-GSE30099-5	GSM744817 LE 1	biotin	P-GSE30099-6	GSM744817	A-AFFY-2	P-GSE30099-7	P-GSE30099-8	GSM744817.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30099/E-GEOD-30099.raw.1.zip	P-GSE30099-1	GSM744817_sample_table.txt norm	GSM744817_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30099/E-GEOD-30099.processed.1.zip	epidermis and lateral root cap	pWER::GRP
