Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[organism part]	Characteristics[ecotype]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[cell type]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[growth condition]	FactorValue[cell type]
GSE7641GSM184910	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	columella root cap cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated columella root cap cells after roots were treated with 140 mM NaCl for 1 hour. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: PET111; Growth Media: Standard media for 6 days, transferred to media supplemented with 140mM NaCl for 1 hour before protoplasting"	P-G7641-2	P-G7641-1	GSE7641GSM184910 sample	P-G7641-4	GSE7641GSM184910 extract	total_RNA	P-G7641-3	GSE7641GSM184910 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, columella root cap, 140 mM NaCl, replicate 1"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, columella root cap, 140 mM NaCl, replicate 1"	GSM184910.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	NaCl	columella root cap cells
GSE7641GSM184912	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	columella root cap cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated columella root cap cells after roots were treated with 140 mM NaCl for 1 hour. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: PET111; Growth Media: Standard media for 6 days, transferred to media supplemented with 140mM NaCl for 1 hour before protoplasting"	P-G7641-2	P-G7641-1	GSE7641GSM184912 sample	P-G7641-4	GSE7641GSM184912 extract	total_RNA	P-G7641-3	GSE7641GSM184912 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, columella root cap, 140 mM NaCl, replicate 3"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, columella root cap, 140 mM NaCl, replicate 3"	GSM184912.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	NaCl	columella root cap cells
GSE7641GSM184911	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	columella root cap cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated columella root cap cells after roots were treated with 140 mM NaCl for 1 hour. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: PET111; Growth Media: Standard media for 6 days, transferred to media supplemented with 140mM NaCl for 1 hour before protoplasting"	P-G7641-2	P-G7641-1	GSE7641GSM184911 sample	P-G7641-4	GSE7641GSM184911 extract	total_RNA	P-G7641-3	GSE7641GSM184911 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, columella root cap, 140 mM NaCl, replicate 2"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, columella root cap, 140 mM NaCl, replicate 2"	GSM184911.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	NaCl	columella root cap cells
GSE7641GSM184894	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	columella root cap cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated columella root cap cells. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: PET111; Growth Media: Standard media"	P-G7641-2	P-G7641-1	GSE7641GSM184894 sample	P-G7641-4	GSE7641GSM184894 extract	total_RNA	P-G7641-3	GSE7641GSM184894 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, columella root cap, standard conditions, replicate 3"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, columella root cap, standard conditions, replicate 3"	GSM184894.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	none	columella root cap cells
GSE7641GSM184892	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	columella root cap cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated columella root cap cells. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: PET111; Growth Media: Standard media"	P-G7641-2	P-G7641-1	GSE7641GSM184892 sample	P-G7641-4	GSE7641GSM184892 extract	total_RNA	P-G7641-3	GSE7641GSM184892 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, columella root cap, standard conditions, replicate 1"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, columella root cap, standard conditions, replicate 1"	GSM184892.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	none	columella root cap cells
GSE7641GSM184893	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	columella root cap cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated columella root cap cells. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: PET111; Growth Media: Standard media"	P-G7641-2	P-G7641-1	GSE7641GSM184893 sample	P-G7641-4	GSE7641GSM184893 extract	total_RNA	P-G7641-3	GSE7641GSM184893 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, columella root cap, standard conditions, replicate 2"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, columella root cap, standard conditions, replicate 2"	GSM184893.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	none	columella root cap cells
GSE7641GSM184913	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	cortex cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated cortex cells after roots were treated with 140 mM NaCl for 1 hour. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: CORTEX; Growth Media: Standard media for 6 days, transferred to media supplemented with 140mM NaCl for 1 hour before protoplasting"	P-G7641-2	P-G7641-1	GSE7641GSM184913 sample	P-G7641-4	GSE7641GSM184913 extract	total_RNA	P-G7641-3	GSE7641GSM184913 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, cortex, 140 mM NaCl, replicate 1"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, cortex, 140 mM NaCl, replicate 1"	GSM184913.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	NaCl	cortex cells
GSE7641GSM184914	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	cortex cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated cortex cells after roots were treated with 140 mM NaCl for 1 hour. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: CORTEX; Growth Media: Standard media for 6 days, transferred to media supplemented with 140mM NaCl for 1 hour before protoplasting"	P-G7641-2	P-G7641-1	GSE7641GSM184914 sample	P-G7641-4	GSE7641GSM184914 extract	total_RNA	P-G7641-3	GSE7641GSM184914 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, cortex, 140 mM NaCl, replicate 2"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, cortex, 140 mM NaCl, replicate 2"	GSM184914.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	NaCl	cortex cells
GSE7641GSM184915	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	cortex cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated cortex cells after roots were treated with 140 mM NaCl for 1 hour. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: CORTEX; Growth Media: Standard media for 6 days, transferred to media supplemented with 140mM NaCl for 1 hour before protoplasting"	P-G7641-2	P-G7641-1	GSE7641GSM184915 sample	P-G7641-4	GSE7641GSM184915 extract	total_RNA	P-G7641-3	GSE7641GSM184915 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, cortex, 140 mM NaCl, replicate 3"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, cortex, 140 mM NaCl, replicate 3"	GSM184915.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	NaCl	cortex cells
GSE7641GSM184896	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Columbia	6	day	seedling	cortex cells	"Protoplasted and FACS sorted root cells:  Gene expression data from isolated cortex cells. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: CORTEX; Growth Media: Standard media"	P-G7641-2	P-G7641-1	GSE7641GSM184896 sample	P-G7641-4	GSE7641GSM184896 extract	total_RNA	P-G7641-3	GSE7641GSM184896 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Arabidopsis, root cells, cortex, standard conditions, replicate 2"	A-AFFY-2	P-AFFY-6	"Arabidopsis, root cells, cortex, standard conditions, replicate 2"	GSM184896.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7641-processed-data-1630425564.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7641/E-GEOD-7641.processed.1.zip	none	cortex cells
