Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_characteristics]	Characteristics[Genotype]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[DevelopmentalStage]	Comment [Sample_source_name]	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GENOTYPE]	FactorValue[AGE]	Unit[TimeUnit]
GSE12715GSM318834	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0, 1% sucrose, 14-day-old:  NA. Genotype: Col-0; 14-day-old seedlings; grown on 1% sucrose 1/2MS plate	Genotype: Col-0; 14-day-old seedlings; grown on 1% sucrose 1/2MS plate	Col-0	14	days	seedling	Col-0, 1% sucrose, 14-day-old	GSE12715GSM318834 sample	P-G12715-2	GSE12715GSM318834 extract	total_RNA	P-G12715-3	GSE12715GSM318834 LE biotin	biotin	synthetic_RNA	Col-0_1% sucrose_14-day-old_rep2	A-AFFY-2	P-AFFY-6	GSM318834.CEL	GSM318834.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12715/E-GEOD-12715.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12715-processed-data-1751072665.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12715/E-GEOD-12715.processed.1.zip	Col-0	14	days
GSE12715GSM318832	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ein2, 1% sucrose, 14-day-old:  NA. Genotype: ein2; 14-day-old seedlings; grown on 1% sucrose 1/2MS plate	Genotype: ein2; 14-day-old seedlings; grown on 1% sucrose 1/2MS plate	ein2 mutant	14	days	seedling	ein2, 1% sucrose, 14-day-old	GSE12715GSM318832 sample	P-G12715-2	GSE12715GSM318832 extract	total_RNA	P-G12715-3	GSE12715GSM318832 LE biotin	biotin	synthetic_RNA	ein2_1% sucrose_14-day-old_rep1	A-AFFY-2	P-AFFY-6	GSM318832.CEL	GSM318832.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12715/E-GEOD-12715.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12715-processed-data-1751072665.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12715/E-GEOD-12715.processed.1.zip	ein2 mutant	14	days
GSE12715GSM318846	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	etr1, 1% sucrose, 12-day-old:  NA. Genotype: etr1;; 12-day-old seedlings; grown on 1% sucrose 1/2MS plate	Genotype: etr1;; 12-day-old seedlings; grown on 1% sucrose 1/2MS plate	etr1 mutant	12	days	seedling	etr1, 1% sucrose, 12-day-old	GSE12715GSM318846 sample	P-G12715-2	GSE12715GSM318846 extract	total_RNA	P-G12715-3	GSE12715GSM318846 LE biotin	biotin	synthetic_RNA	etr1_1% sucrose_12-day-old_rep2	A-AFFY-2	P-AFFY-6	GSM318846.CEL	GSM318846.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12715/E-GEOD-12715.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12715-processed-data-1751072665.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12715/E-GEOD-12715.processed.1.zip	etr1 mutant	12	days
GSE12715GSM318845	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	aba2, 1% sucrose, 12-day-old:  NA. Genotyp: aba2/gin1-3;; 12-day-old seedlings; grown on 1% sucrose 1/2 MS plate	Genotyp: aba2/gin1-3;; 12-day-old seedlings; grown on 1% sucrose 1/2 MS plate	aba2, gin1-3 mutant	12	days	seedling	aba2, 1% sucrose, 12-day-old	GSE12715GSM318845 sample	P-G12715-2	GSE12715GSM318845 extract	total_RNA	P-G12715-3	GSE12715GSM318845 LE biotin	biotin	synthetic_RNA	aba2_1% sucrose_12-day-old_rep2	A-AFFY-2	P-AFFY-6	GSM318845.CEL	GSM318845.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12715/E-GEOD-12715.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12715-processed-data-1751072665.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12715/E-GEOD-12715.processed.1.zip	aba2, gin1-3 mutant	12	days
GSE12715GSM318841	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	aba2, 1% sucrose, 12-day-old:  NA. Genotype: aba2/gin1-3; 12-day-old seedlings; grown on 1% sucrose 1/2MS plate	Genotype: aba2/gin1-3; 12-day-old seedlings; grown on 1% sucrose 1/2MS plate	aba2, gin1-3 mutant	12	days	seedling	aba2, 1% sucrose, 12-day-old	GSE12715GSM318841 sample	P-G12715-2	GSE12715GSM318841 extract	total_RNA	P-G12715-3	GSE12715GSM318841 LE biotin	biotin	synthetic_RNA	aba2_1% sucrose_12-day-old_rep1	A-AFFY-2	P-AFFY-6	GSM318841.CEL	GSM318841.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12715/E-GEOD-12715.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12715-processed-data-1751072665.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12715/E-GEOD-12715.processed.1.zip	aba2, gin1-3 mutant	12	days
GSE12715GSM318838	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-7, 1% sucrose, 12-day-old:  NA. Genotype: Col-7; 12-day-old seedlings; grown on 1% sucrose 1/2MS plate	Genotype: Col-7; 12-day-old seedlings; grown on 1% sucrose 1/2MS plate	Col-7	12	days	seedling	Col-7, 1% sucrose, 12-day-old	GSE12715GSM318838 sample	P-G12715-2	GSE12715GSM318838 extract	total_RNA	P-G12715-3	GSE12715GSM318838 LE biotin	biotin	synthetic_RNA	Col-7_1% sucrose_12-day-old_rep1	A-AFFY-2	P-AFFY-6	GSM318838.CEL	GSM318838.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12715/E-GEOD-12715.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12715-processed-data-1751072665.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12715/E-GEOD-12715.processed.1.zip	Col-7	12	days
GSE12715GSM318830	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0, 1% sucrose, 14-day-old:  NA. Genotype: Col-0; 14-day-old seedlings; grown on 1% sucrose 1/2 MS plate	Genotype: Col-0; 14-day-old seedlings; grown on 1% sucrose 1/2 MS plate	Col-0	14	days	seedling	Col-0, 1% sucrose, 14-day-old	GSE12715GSM318830 sample	P-G12715-2	GSE12715GSM318830 extract	total_RNA	P-G12715-1	GSE12715GSM318830 LE biotin	biotin	synthetic_RNA	Col-0_1% sucrose_14-day-old_rep1	A-AFFY-2	P-AFFY-6	GSM318830.CEL	GSM318830.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12715/E-GEOD-12715.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12715-processed-data-1751072665.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12715/E-GEOD-12715.processed.1.zip	Col-0	14	days
GSE12715GSM318836	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ein2, 1% sucrose, 14-day-old:  NA. Genotype: ein2; 14-day-old seedlings; grown on 1% sucrose 1/2 MS plate	Genotype: ein2; 14-day-old seedlings; grown on 1% sucrose 1/2 MS plate	ein2 mutant	14	days	seedling	ein2, 1% sucrose, 14-day-old	GSE12715GSM318836 sample	P-G12715-2	GSE12715GSM318836 extract	total_RNA	P-G12715-3	GSE12715GSM318836 LE biotin	biotin	synthetic_RNA	ein2_1% sucrose_14-day-old_rep2	A-AFFY-2	P-AFFY-6	GSM318836.CEL	GSM318836.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12715/E-GEOD-12715.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12715-processed-data-1751072665.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12715/E-GEOD-12715.processed.1.zip	ein2 mutant	14	days
GSE12715GSM318831	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0, 1% sucrose, 12-day-old:  NA. Col-0; 12-day-old seedlings; 1% sucrose 1/2 MS plate	Col-0; 12-day-old seedlings; 1% sucrose 1/2 MS plate	Col-0	12	days	seedling	Col-0, 1% sucrose, 12-day-old	GSE12715GSM318831 sample	P-G12715-2	GSE12715GSM318831 extract	total_RNA	P-G12715-3	GSE12715GSM318831 LE biotin	biotin	synthetic_RNA	Col-0_1% sucrose_12-day-old_rep1	A-AFFY-2	P-AFFY-6	GSM318831.CEL	GSM318831.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12715/E-GEOD-12715.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12715-processed-data-1751072665.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12715/E-GEOD-12715.processed.1.zip	Col-0	12	days
GSE12715GSM318843	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0, 1% sucrose, 12-day-old:  NA. Genotype: Col-0;; 12-day-old seedlings; grown on 1% sucrose 1/2 MS plate	Genotype: Col-0;; 12-day-old seedlings; grown on 1% sucrose 1/2 MS plate	Col-0	12	days	seedling	Col-0, 1% sucrose, 12-day-old	GSE12715GSM318843 sample	P-G12715-2	GSE12715GSM318843 extract	total_RNA	P-G12715-3	GSE12715GSM318843 LE biotin	biotin	synthetic_RNA	Col-0_1% sucrose_12-day-old_rep2	A-AFFY-2	P-AFFY-6	GSM318843.CEL	GSM318843.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12715/E-GEOD-12715.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12715-processed-data-1751072665.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12715/E-GEOD-12715.processed.1.zip	Col-0	12	days
