Source Name	Material Type	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Comment[Sample_source_name]	Comment[Sample_characteristics]	Protocol REF	Protocol REF	Sample Name	Material Type	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Material Type	Label	Hybridization Name	Array Design REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Comment[CDF]
GSE11217GSM283928	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis protoplasts transfected with PPV infectious clone at 3hpt.:  Labelling, hybridization, and detection of hybridization signals were performed as per Affymetrix standard protocol. Protoplasts transfected with PPV infection. Samples collected after 3hpt.	Arabidopsis protoplasts transfected with PPV infectious clone at 3hpt.	Protoplasts transfected with PPV infection. Samples collected after 3hpt.	P-G11217-1	P-G11217-2	GSE11217GSM283928 sample	organism_part	P-G11217-4	GSE11217GSM283928 extract	total_RNA	P-G11217-3	GSE11217GSM283928 LE biotin	synthetic_RNA	biotin	PPV infection-Aabdiopsis protoplasts-3hpt rep 1	A-AFFY-2	GSE11217GSM283928 Norm	GSM283928_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11217/E-GEOD-11217.processed.1.zip	ATH1-121501.CDF
GSE11217GSM283929	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis protoplasts transfected with PPV infectious clone at 3hpt.:  Labelling, hybridization, and detection of hybridization signals were performed as per Affymetrix standard protocol. Protoplasts transfected with PPV infection. Samples collected after 3hpt.	Arabidopsis protoplasts transfected with PPV infectious clone at 3hpt.	Protoplasts transfected with PPV infection. Samples collected after 3hpt.	P-G11217-1	P-G11217-2	GSE11217GSM283929 sample	organism_part	P-G11217-4	GSE11217GSM283929 extract	total_RNA	P-G11217-3	GSE11217GSM283929 LE biotin	synthetic_RNA	biotin	PPV infection-Aabdiopsis protoplasts-3hpt rep 2	A-AFFY-2	GSE11217GSM283929 Norm	GSM283929_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11217/E-GEOD-11217.processed.1.zip	ATH1-121501.CDF
GSE11217GSM283930	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis protoplasts transfected with PPV infectious clone at 3hpt.:  Labelling, hybridization, and detection of hybridization signals were performed as per Affymetrix standard protocol. Protoplasts transfected with PPV infection. Samples collected after 3hpt.	Arabidopsis protoplasts transfected with PPV infectious clone at 3hpt.	Protoplasts transfected with PPV infection. Samples collected after 3hpt.	P-G11217-1	P-G11217-2	GSE11217GSM283930 sample	organism_part	P-G11217-4	GSE11217GSM283930 extract	total_RNA	P-G11217-3	GSE11217GSM283930 LE biotin	synthetic_RNA	biotin	PPV infection-Aabdiopsis protoplasts-3hpt rep 3	A-AFFY-2	GSE11217GSM283930 Norm	GSM283930_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11217/E-GEOD-11217.processed.1.zip	ATH1-121501.CDF
GSE11217GSM283931	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	protoplast transfected with PPV deletion mutant at 3hpt:  Labelling, hybridization, and detection of hybridization signals were performed as per Affymetrix standard protocol. protoplast transfected with PPV deletion mutant at 3hpt	protoplast transfected with PPV deletion mutant at 3hpt	protoplast transfected with PPV deletion mutant at 3hpt	P-G11217-1	P-G11217-2	GSE11217GSM283931 sample	organism_part	P-G11217-4	GSE11217GSM283931 extract	total_RNA	P-G11217-3	GSE11217GSM283931 LE biotin	synthetic_RNA	biotin	PPV deletion mutant-Arabidopsis protoplasts-3h control rep 1	A-AFFY-2	GSE11217GSM283931 Norm	GSM283931_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11217/E-GEOD-11217.processed.1.zip	ATH1-121501.CDF
GSE11217GSM283932	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	protoplast transfected with PPV deletion mutant at 3hpt:  Labelling, hybridization, and detection of hybridization signals were performed as per Affymetrix standard protocol. protoplast transfected with PPV deletion mutant at 3hpt	protoplast transfected with PPV deletion mutant at 3hpt	protoplast transfected with PPV deletion mutant at 3hpt	P-G11217-1	P-G11217-2	GSE11217GSM283932 sample	organism_part	P-G11217-4	GSE11217GSM283932 extract	total_RNA	P-G11217-3	GSE11217GSM283932 LE biotin	synthetic_RNA	biotin	PPV deletion mutant-Arabidopsis protoplasts-3h control rep 2	A-AFFY-2	GSE11217GSM283932 Norm	GSM283932_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11217/E-GEOD-11217.processed.1.zip	ATH1-121501.CDF
GSE11217GSM283933	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	protoplast transfected with PPV deletion mutant at 3hpt:  Labelling, hybridization, and detection of hybridization signals were performed as per Affymetrix standard protocol. protoplast transfected with PPV deletion mutant at 3hpt	protoplast transfected with PPV deletion mutant at 3hpt	protoplast transfected with PPV deletion mutant at 3hpt	P-G11217-1	P-G11217-2	GSE11217GSM283933 sample	organism_part	P-G11217-4	GSE11217GSM283933 extract	total_RNA	P-G11217-3	GSE11217GSM283933 LE biotin	synthetic_RNA	biotin	PPV deletion mutant-Arabidopsis protoplasts-3h control rep 3	A-AFFY-2	GSE11217GSM283933 Norm	GSM283933_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11217/E-GEOD-11217.processed.1.zip	ATH1-121501.CDF
GSE11217GSM283934	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	PPV infection in Arabidopsis protoplasts at 6hpt:  Labelling, hybridization, and detection of hybridization signals were performed as per Affymetrix standard protocol. PPV infection in Arabidopsis protoplasts at 6hpt	PPV infection in Arabidopsis protoplasts at 6hpt	PPV infection in Arabidopsis protoplasts at 6hpt	P-G11217-1	P-G11217-2	GSE11217GSM283934 sample	organism_part	P-G11217-4	GSE11217GSM283934 extract	total_RNA	P-G11217-3	GSE11217GSM283934 LE biotin	synthetic_RNA	biotin	PPV infection-Arabidopsis protoplasts-6h post transfection rep 1	A-AFFY-2	GSE11217GSM283934 Norm	GSM283934_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11217/E-GEOD-11217.processed.1.zip	ATH1-121501.CDF
GSE11217GSM283935	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	PPV infection in Arabidopsis protoplasts at 6hpt:  Labelling, hybridization, and detection of hybridization signals were performed as per Affymetrix standard protocol. PPV infection in Arabidopsis protoplasts at 6hpt	PPV infection in Arabidopsis protoplasts at 6hpt	PPV infection in Arabidopsis protoplasts at 6hpt	P-G11217-1	P-G11217-2	GSE11217GSM283935 sample	organism_part	P-G11217-4	GSE11217GSM283935 extract	total_RNA	P-G11217-3	GSE11217GSM283935 LE biotin	synthetic_RNA	biotin	PPV infection-Arabidopsis protoplasts-6h post transfection rep 2	A-AFFY-2	GSE11217GSM283935 Norm	GSM283935_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11217/E-GEOD-11217.processed.1.zip	ATH1-121501.CDF
GSE11217GSM283936	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	PPV infection in Arabidopsis protoplasts at 6hpt:  Labelling, hybridization, and detection of hybridization signals were performed as per Affymetrix standard protocol. PPV infection in Arabidopsis protoplasts at 6hpt	PPV infection in Arabidopsis protoplasts at 6hpt	PPV infection in Arabidopsis protoplasts at 6hpt	P-G11217-1	P-G11217-2	GSE11217GSM283936 sample	organism_part	P-G11217-4	GSE11217GSM283936 extract	total_RNA	P-G11217-3	GSE11217GSM283936 LE biotin	synthetic_RNA	biotin	PPV infection-Arabidopsis protoplasts-6h post transfection rep 3	A-AFFY-2	GSE11217GSM283936 Norm	GSM283936_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11217/E-GEOD-11217.processed.1.zip	ATH1-121501.CDF
GSE11217GSM283937	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	PPV deletion mutant transfected with Arabidopsis protoplasts at 6hpt; used as control:  Labelling, hybridization, and detection of hybridization signals were performed as per Affymetrix standard protocol. PPV deletion mutant transfected with Arabidopsis protoplasts at 6hpt; used as control	PPV deletion mutant transfected with Arabidopsis protoplasts at 6hpt; used as control	PPV deletion mutant transfected with Arabidopsis protoplasts at 6hpt; used as control	P-G11217-1	P-G11217-2	GSE11217GSM283937 sample	organism_part	P-G11217-4	GSE11217GSM283937 extract	total_RNA	P-G11217-3	GSE11217GSM283937 LE biotin	synthetic_RNA	biotin	PPV deletion mutant_Arabidopsis protoplasts_6hpt_Control rep 1	A-AFFY-2	GSE11217GSM283937 Norm	GSM283937_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11217/E-GEOD-11217.processed.1.zip	ATH1-121501.CDF
