Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[age]	Characteristics[ecotype]	Characteristics[organ]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [AGE]	FactorValue [ORGAN]	Term Source REF	Term Accession Number	FactorValue [TREATMENT]
GSM835825 1	Root Phosphate recovery, biological rep3	Root Phosphate recovery, biological rep3	Root Phosphate recovery, biological rep3 [ATH1-121501]	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	33 days	Col-0	root	EFO	EFO_0000989	P-GSE34004-3	P-GSE34004-2	P-GSE34004-4	GSM835825 extract 1	total RNA	P-GSE34004-5	GSM835825 LE 1	biotin	P-GSE34004-6	GSM835825	A-AFFY-2	  	P-GSE34004-7	P-GSE34004-8	GSM835825.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.raw.1.zip	P-GSE34004-1	GSM835825_sample_table.txt norm	GSM835825_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.processed.1.zip	33 days	root	EFO	EFO_0000989	Recovery, 10-day Phosphate starvation then transferred to full-strength MGRL medium for 3 days
GSM835824 1	Root Phosphate recovery, biological rep2	Root Phosphate recovery, biological rep2	Root Phosphate recovery, biological rep2 [ATH1-121501]	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	33 days	Col-0	root	EFO	EFO_0000989	P-GSE34004-3	P-GSE34004-2	P-GSE34004-4	GSM835824 extract 1	total RNA	P-GSE34004-5	GSM835824 LE 1	biotin	P-GSE34004-6	GSM835824	A-AFFY-2	  	P-GSE34004-7	P-GSE34004-8	GSM835824.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.raw.1.zip	P-GSE34004-1	GSM835824_sample_table.txt norm	GSM835824_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.processed.1.zip	33 days	root	EFO	EFO_0000989	Recovery, 10-day Phosphate starvation then transferred to full-strength MGRL medium for 3 days
GSM835823 1	Root Phosphate recovery, biological rep1	Root Phosphate recovery, biological rep1	Root Phosphate recovery, biological rep1 [ATH1-121501]	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	33 days	Col-0	root	EFO	EFO_0000989	P-GSE34004-3	P-GSE34004-2	P-GSE34004-4	GSM835823 extract 1	total RNA	P-GSE34004-5	GSM835823 LE 1	biotin	P-GSE34004-6	GSM835823	A-AFFY-2	  	P-GSE34004-7	P-GSE34004-8	GSM835823.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.raw.1.zip	P-GSE34004-1	GSM835823_sample_table.txt norm	GSM835823_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.processed.1.zip	33 days	root	EFO	EFO_0000989	Recovery, 10-day Phosphate starvation then transferred to full-strength MGRL medium for 3 days
GSM835822 1	Root Phosphate starvation, biological rep3	Root Phosphate starvation, biological rep3	Root Phosphate starvation, biological rep3 [ATH1-121501]	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	30 days	Col-0	root	EFO	EFO_0000989	P-GSE34004-3	P-GSE34004-2	P-GSE34004-4	GSM835822 extract 1	total RNA	P-GSE34004-5	GSM835822 LE 1	biotin	P-GSE34004-6	GSM835822	A-AFFY-2	  	P-GSE34004-7	P-GSE34004-8	GSM835822.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.raw.1.zip	P-GSE34004-1	GSM835822_sample_table.txt norm	GSM835822_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.processed.1.zip	30 days	root	EFO	EFO_0000989	P_starvation, 10-day Phosphate starvation
GSM835821 1	Root Phosphate starvation, biological rep2	Root Phosphate starvation, biological rep2	Root Phosphate starvation, biological rep2 [ATH1-121501]	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	30 days	Col-0	root	EFO	EFO_0000989	P-GSE34004-3	P-GSE34004-2	P-GSE34004-4	GSM835821 extract 1	total RNA	P-GSE34004-5	GSM835821 LE 1	biotin	P-GSE34004-6	GSM835821	A-AFFY-2	  	P-GSE34004-7	P-GSE34004-8	GSM835821.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.raw.1.zip	P-GSE34004-1	GSM835821_sample_table.txt norm	GSM835821_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.processed.1.zip	30 days	root	EFO	EFO_0000989	P_starvation, 10-day Phosphate starvation
GSM835820 1	Root Phosphate starvation, biological rep1	Root Phosphate starvation, biological rep1	Root Phosphate starvation, biological rep1 [ATH1-121501]	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	30 days	Col-0	root	EFO	EFO_0000989	P-GSE34004-3	P-GSE34004-2	P-GSE34004-4	GSM835820 extract 1	total RNA	P-GSE34004-5	GSM835820 LE 1	biotin	P-GSE34004-6	GSM835820	A-AFFY-2	  	P-GSE34004-7	P-GSE34004-8	GSM835820.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.raw.1.zip	P-GSE34004-1	GSM835820_sample_table.txt norm	GSM835820_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.processed.1.zip	30 days	root	EFO	EFO_0000989	P_starvation, 10-day Phosphate starvation
GSM835819 1	Root Mock, biological rep3	Root Mock, biological rep3	Root Mock, biological rep3 [ATH1-121501]	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	30 days	Col-0	root	EFO	EFO_0000989	P-GSE34004-3	P-GSE34004-2	P-GSE34004-4	GSM835819 extract 1	total RNA	P-GSE34004-5	GSM835819 LE 1	biotin	P-GSE34004-6	GSM835819	A-AFFY-2	  	P-GSE34004-7	P-GSE34004-8	GSM835819.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.raw.1.zip	P-GSE34004-1	GSM835819_sample_table.txt norm	GSM835819_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.processed.1.zip	30 days	root	EFO	EFO_0000989	Mock, 10-day full-strength MGRL medium
GSM835818 1	Root Mock, biological rep2	Root Mock, biological rep2	Root Mock, biological rep2 [ATH1-121501]	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	30 days	Col-0	root	EFO	EFO_0000989	P-GSE34004-3	P-GSE34004-2	P-GSE34004-4	GSM835818 extract 1	total RNA	P-GSE34004-5	GSM835818 LE 1	biotin	P-GSE34004-6	GSM835818	A-AFFY-2	  	P-GSE34004-7	P-GSE34004-8	GSM835818.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.raw.1.zip	P-GSE34004-1	GSM835818_sample_table.txt norm	GSM835818_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.processed.1.zip	30 days	root	EFO	EFO_0000989	Mock, 10-day full-strength MGRL medium
GSM835817 1	Root Mock, biological rep1	Root Mock, biological rep1	Root Mock, biological rep1 [ATH1-121501]	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	30 days	Col-0	root	EFO	EFO_0000989	P-GSE34004-3	P-GSE34004-2	P-GSE34004-4	GSM835817 extract 1	total RNA	P-GSE34004-5	GSM835817 LE 1	biotin	P-GSE34004-6	GSM835817	A-AFFY-2	  	P-GSE34004-7	P-GSE34004-8	GSM835817.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.raw.1.zip	P-GSE34004-1	GSM835817_sample_table.txt norm	GSM835817_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.processed.1.zip	30 days	root	EFO	EFO_0000989	Mock, 10-day full-strength MGRL medium
GSM835816 1	Shoot Phosphate recovery, biological rep3	Shoot Phosphate recovery, biological rep3	Shoot Phosphate recovery, biological rep3 [ATH1-121501]	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	33 days	Col-0	shoot	EFO	EFO_0000992	P-GSE34004-3	P-GSE34004-2	P-GSE34004-4	GSM835816 extract 1	total RNA	P-GSE34004-5	GSM835816 LE 1	biotin	P-GSE34004-6	GSM835816	A-AFFY-2	  	P-GSE34004-7	P-GSE34004-8	GSM835816.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.raw.1.zip	P-GSE34004-1	GSM835816_sample_table.txt norm	GSM835816_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34004/E-GEOD-34004.processed.1.zip	33 days	shoot	EFO	EFO_0000992	Recovery, 10-day Phosphate starvation then transferred to full-strength MGRL medium for 3 days
