Source Name	Characteristics [organism part]	Characteristics [ecotype]	Characteristics [developmental stage]	Characteristics [organism]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [ecotype]	Factor Value [temperature]	Unit [temperature unit]
C24A-2_sample	rosette	C24	bolting (0.5-2cm inflorescence)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-5	P-MTAB-6	C24A-2_sample	P-EXTR-1	C24A-2_extract	total_RNA	P-AFFY-2	C24A-2_LE	biotin	cRNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-NORM-1	C24A-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	C24A-2	C24A-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.raw.1.zip	hannah_cold_gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.processed.1.zip	C24	4	degree celsius
C24A-3_sample	rosette	C24	bolting (0.5-2cm inflorescence)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-5	P-MTAB-6	C24A-3_sample	P-EXTR-1	C24A-3_extract	total_RNA	P-AFFY-2	C24A-3_LE	biotin	cRNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-NORM-1	C24A-3	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	C24A-3	C24A-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.raw.1.zip	hannah_cold_gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.processed.1.zip	C24	4	degree celsius
C24A-1_sample	rosette	C24	bolting (0.5-2cm inflorescence)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-5	P-MTAB-6	C24A-1_sample	P-EXTR-1	C24A-1_extract	total_RNA	P-AFFY-2	C24A-1_LE	biotin	cRNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-NORM-1	C24A-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	C24A-1	C24A-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.raw.1.zip	hannah_cold_gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.processed.1.zip	C24	4	degree celsius
C24N-3_sample	rosette	C24	bolting (0.5-2cm inflorescence)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-5	  	C24N-3_sample	P-EXTR-1	C24N-3_extract	total_RNA	P-AFFY-2	C24N-3_LE	biotin	cRNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-NORM-1	C24N-3	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	C24N-3	C24N-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.raw.1.zip	hannah_cold_gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.processed.1.zip	C24	20	degree celsius
C24N-2_sample	rosette	C24	bolting (0.5-2cm inflorescence)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-5	  	C24N-2_sample	P-EXTR-1	C24N-2_extract	total_RNA	P-AFFY-2	C24N-2_LE	biotin	cRNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-NORM-1	C24N-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	C24N-2	C24N-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.raw.1.zip	hannah_cold_gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.processed.1.zip	C24	20	degree celsius
CanA-1_sample	rosette	Canary Islands	bolting (0.5-2cm inflorescence)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-5	P-MTAB-6	CanA-1_sample	P-EXTR-1	CanA-1_extract	total_RNA	P-AFFY-2	CanA-1_LE	biotin	cRNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-NORM-1	CanA-1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CanA-1	CanA-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.raw.1.zip	hannah_cold_gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.processed.1.zip	Canary Islands	4	degree celsius
CanA-2_sample	rosette	Canary Islands	bolting (0.5-2cm inflorescence)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-5	P-MTAB-6	CanA-2_sample	P-EXTR-1	CanA-2_extract	total_RNA	P-AFFY-2	CanA-2_LE	biotin	cRNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-NORM-1	CanA-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CanA-2	CanA-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.raw.1.zip	hannah_cold_gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.processed.1.zip	Canary Islands	4	degree celsius
CanA-3_sample	rosette	Canary Islands	bolting (0.5-2cm inflorescence)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-5	P-MTAB-6	CanA-3_sample	P-EXTR-1	CanA-3_extract	total_RNA	P-AFFY-2	CanA-3_LE	biotin	cRNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-NORM-1	CanA-3	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CanA-3	CanA-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.raw.1.zip	hannah_cold_gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.processed.1.zip	Canary Islands	4	degree celsius
CanN-3_sample	rosette	Canary Islands	bolting (0.5-2cm inflorescence)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-5	  	CanN-3_sample	P-EXTR-1	CanN-3_extract	total_RNA	P-AFFY-2	CanN-3_LE	biotin	cRNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-NORM-1	CanN-3	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CanN-3	CanN-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.raw.1.zip	hannah_cold_gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.processed.1.zip	Canary Islands	20	degree celsius
CanN-2_sample	rosette	Canary Islands	bolting (0.5-2cm inflorescence)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-5	  	CanN-2_sample	P-EXTR-1	CanN-2_extract	total_RNA	P-AFFY-2	CanN-2_LE	biotin	cRNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-NORM-1	CanN-2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	CanN-2	CanN-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.raw.1.zip	hannah_cold_gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-52/E-TABM-52.processed.1.zip	Canary Islands	20	degree celsius
