Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics [sample group]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [age]	FactorValue [sample group]
GSM1541870 1	Recovery24hr_rep3	leaf_Recovery24hr_20 days old	Recovery24hr, biological rep3	20 days	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Recovery24hr	P-GSE63128-2	ArrayExpress	P-GSE63128-3	ArrayExpress	P-GSE63128-4	ArrayExpress	GSM1541870 extract 1	total RNA	P-GSE63128-5	ArrayExpress	GSM1541870 LE 1	biotin	P-GSE63128-6	ArrayExpress	GSM1541870	A-AFFY-2	ArrayExpress	array assay	P-GSE63128-7	ArrayExpress	GSM1541870_SK232.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.raw.1.zip	P-GSE63128-1	ArrayExpress	GSM1541870_sample_table.txt norm	GSM1541870_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.processed.1.zip	20 days	Recovery24hr
GSM1541869 1	Recovery08hr_rep3	leaf_Recovery08hr_19 days old	Recovery08hr, biological rep3	19 days	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Recovery08hr	P-GSE63128-2	ArrayExpress	P-GSE63128-3	ArrayExpress	P-GSE63128-4	ArrayExpress	GSM1541869 extract 1	total RNA	P-GSE63128-5	ArrayExpress	GSM1541869 LE 1	biotin	P-GSE63128-6	ArrayExpress	GSM1541869	A-AFFY-2	ArrayExpress	array assay	P-GSE63128-7	ArrayExpress	GSM1541869_SK231.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.raw.1.zip	P-GSE63128-1	ArrayExpress	GSM1541869_sample_table.txt norm	GSM1541869_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.processed.1.zip	19 days	Recovery08hr
GSM1541868 1	Heat24hr_rep3	leaf_Heat24hr_19 days old	Heat24hr, biological rep3	19 days	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Heat24hr	P-GSE63128-2	ArrayExpress	P-GSE63128-3	ArrayExpress	P-GSE63128-4	ArrayExpress	GSM1541868 extract 1	total RNA	P-GSE63128-5	ArrayExpress	GSM1541868 LE 1	biotin	P-GSE63128-6	ArrayExpress	GSM1541868	A-AFFY-2	ArrayExpress	array assay	P-GSE63128-7	ArrayExpress	GSM1541868_SK230.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.raw.1.zip	P-GSE63128-1	ArrayExpress	GSM1541868_sample_table.txt norm	GSM1541868_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.processed.1.zip	19 days	Heat24hr
GSM1541867 1	Heat08hr_rep3	leaf_Heat08hr_18 days old	Heat08hr, biological rep3	18 days	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Heat08hr	P-GSE63128-2	ArrayExpress	P-GSE63128-3	ArrayExpress	P-GSE63128-4	ArrayExpress	GSM1541867 extract 1	total RNA	P-GSE63128-5	ArrayExpress	GSM1541867 LE 1	biotin	P-GSE63128-6	ArrayExpress	GSM1541867	A-AFFY-2	ArrayExpress	array assay	P-GSE63128-7	ArrayExpress	GSM1541867_SK229.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.raw.1.zip	P-GSE63128-1	ArrayExpress	GSM1541867_sample_table.txt norm	GSM1541867_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.processed.1.zip	18 days	Heat08hr
GSM1541866 1	Control24hr18daysold_rep3	leaf_Control24hr_18 days old	Control24hr, 18 days old, biological rep3	18 days	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Control24hr	P-GSE63128-2	ArrayExpress	P-GSE63128-3	ArrayExpress	P-GSE63128-4	ArrayExpress	GSM1541866 extract 1	total RNA	P-GSE63128-5	ArrayExpress	GSM1541866 LE 1	biotin	P-GSE63128-6	ArrayExpress	GSM1541866	A-AFFY-2	ArrayExpress	array assay	P-GSE63128-7	ArrayExpress	GSM1541866_SK228.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.raw.1.zip	P-GSE63128-1	ArrayExpress	GSM1541866_sample_table.txt norm	GSM1541866_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.processed.1.zip	18 days	Control24hr
GSM1541865 1	Control24hr20daysold_rep3	leaf_Control24hr_20 days old	Control24hr, 20 days old, biological rep3	20 days	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Control24hr	P-GSE63128-2	ArrayExpress	P-GSE63128-3	ArrayExpress	P-GSE63128-4	ArrayExpress	GSM1541865 extract 1	total RNA	P-GSE63128-5	ArrayExpress	GSM1541865 LE 1	biotin	P-GSE63128-6	ArrayExpress	GSM1541865	A-AFFY-2	ArrayExpress	array assay	P-GSE63128-7	ArrayExpress	GSM1541865_SK227.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.raw.1.zip	P-GSE63128-1	ArrayExpress	GSM1541865_sample_table.txt norm	GSM1541865_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.processed.1.zip	20 days	Control24hr
GSM1541864 1	Control24hr19daysold_rep3	leaf_Control24hr_19 days old	Control24hr, 19 days old, biological rep3	19 days	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Control24hr	P-GSE63128-2	ArrayExpress	P-GSE63128-3	ArrayExpress	P-GSE63128-4	ArrayExpress	GSM1541864 extract 1	total RNA	P-GSE63128-5	ArrayExpress	GSM1541864 LE 1	biotin	P-GSE63128-6	ArrayExpress	GSM1541864	A-AFFY-2	ArrayExpress	array assay	P-GSE63128-7	ArrayExpress	GSM1541864_SK226.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.raw.1.zip	P-GSE63128-1	ArrayExpress	GSM1541864_sample_table.txt norm	GSM1541864_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.processed.1.zip	19 days	Control24hr
GSM1541863 1	Control08hr19daysold_rep3	leaf_Control08hr_19 days old	Control08hr, 19 days old, biological rep3	19 days	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Control08hr	P-GSE63128-2	ArrayExpress	P-GSE63128-3	ArrayExpress	P-GSE63128-4	ArrayExpress	GSM1541863 extract 1	total RNA	P-GSE63128-5	ArrayExpress	GSM1541863 LE 1	biotin	P-GSE63128-6	ArrayExpress	GSM1541863	A-AFFY-2	ArrayExpress	array assay	P-GSE63128-7	ArrayExpress	GSM1541863_SK225.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.raw.1.zip	P-GSE63128-1	ArrayExpress	GSM1541863_sample_table.txt norm	GSM1541863_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.processed.1.zip	19 days	Control08hr
GSM1541862 1	Control08hr18daysold_rep3	leaf_Control08hr_18 days old	Control08hr, 18 days old, biological rep3	18 days	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Control08hr	P-GSE63128-2	ArrayExpress	P-GSE63128-3	ArrayExpress	P-GSE63128-4	ArrayExpress	GSM1541862 extract 1	total RNA	P-GSE63128-5	ArrayExpress	GSM1541862 LE 1	biotin	P-GSE63128-6	ArrayExpress	GSM1541862	A-AFFY-2	ArrayExpress	array assay	P-GSE63128-7	ArrayExpress	GSM1541862_SK224.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.raw.1.zip	P-GSE63128-1	ArrayExpress	GSM1541862_sample_table.txt norm	GSM1541862_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.processed.1.zip	18 days	Control08hr
GSM1541861 1	Recovery24hr_rep2	leaf_Recovery24hr_20 days old	Recovery24hr, biological rep2	20 days	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Recovery24hr	P-GSE63128-2	ArrayExpress	P-GSE63128-3	ArrayExpress	P-GSE63128-4	ArrayExpress	GSM1541861 extract 1	total RNA	P-GSE63128-5	ArrayExpress	GSM1541861 LE 1	biotin	P-GSE63128-6	ArrayExpress	GSM1541861	A-AFFY-2	ArrayExpress	array assay	P-GSE63128-7	ArrayExpress	GSM1541861_SK223.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.raw.1.zip	P-GSE63128-1	ArrayExpress	GSM1541861_sample_table.txt norm	GSM1541861_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63128/E-GEOD-63128.processed.1.zip	20 days	Recovery24hr
