Source Name	Comment [Sample_description]	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Age]	Unit[TimeUnit]	Characteristics[Genotype]	Characteristics[OrganismPart]	Characteristics[DevelopmentalStage]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [GENOTYPE]	FactorValue [DEVELOPMENTAL STAGE]	Term Source REF	Term Accession Number	FactorValue[GROWTH CONDITION]
GSM741169 1	ate1 ate2 seedlings treated with hypoxic conditions for 2h	Hypoxia_ate1 ate2_2	Hypoxic-seedlings, ate1 ate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7	days	ate1 ate2	whole organism	seedling	EFO	EFO_0001992	P-GSE29941-2	  	P-GSE29941-3	  	P-GSE29941-4	  	GSM741169 extract 1	total RNA	P-GSE29941-5	  	GSM741169 LE 1	biotin	P-GSE29941-6	  	GSM741169	A-AFFY-2	  	P-GSE29941-7	  	P-GSE29941-8	  	GSM741169_H2_ate1_ate2_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29941/E-GEOD-29941.raw.1.zip	P-GSE29941-1	  	GSM741169_sample_table.txt norm	GSM741169_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29941/E-GEOD-29941.processed.1.zip	ate1 ate2	seedling	EFO	EFO_0001992	hypoxic conditions
GSM741168 1	ate1 ate2 seedlings treated with hypoxic conditions for 2h	Hypoxia_ate1 ate2_1	Hypoxic-seedlings, ate1 ate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7	days	ate1 ate2	whole organism	seedling	EFO	EFO_0001992	P-GSE29941-2	  	P-GSE29941-3	  	P-GSE29941-4	  	GSM741168 extract 1	total RNA	P-GSE29941-5	  	GSM741168 LE 1	biotin	P-GSE29941-6	  	GSM741168	A-AFFY-2	  	P-GSE29941-7	  	P-GSE29941-8	  	GSM741168_H2_ate1_ate2_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29941/E-GEOD-29941.raw.1.zip	P-GSE29941-1	  	GSM741168_sample_table.txt norm	GSM741168_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29941/E-GEOD-29941.processed.1.zip	ate1 ate2	seedling	EFO	EFO_0001992	hypoxic conditions
GSM741167 1	prt6-1 seedlings treated with hypoxic conditions for 2h	Hypoxia_prt6_2	Hypoxic-seedlings, prt6-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7	days	prt6-1	whole organism	seedling	EFO	EFO_0001992	P-GSE29941-2	  	P-GSE29941-3	  	P-GSE29941-4	  	GSM741167 extract 1	total RNA	P-GSE29941-5	  	GSM741167 LE 1	biotin	P-GSE29941-6	  	GSM741167	A-AFFY-2	  	P-GSE29941-7	  	P-GSE29941-8	  	GSM741167_H2_prt6_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29941/E-GEOD-29941.raw.1.zip	P-GSE29941-1	  	GSM741167_sample_table.txt norm	GSM741167_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29941/E-GEOD-29941.processed.1.zip	prt6-1	seedling	EFO	EFO_0001992	hypoxic conditions
GSM741166 1	prt6-1 seedlings treated with hypoxic conditions for 2h	Hypoxia_prt6_1	Hypoxic-seedlings, prt6-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7	days	prt6-1	whole organism	seedling	EFO	EFO_0001992	P-GSE29941-2	  	P-GSE29941-3	  	P-GSE29941-4	  	GSM741166 extract 1	total RNA	P-GSE29941-5	  	GSM741166 LE 1	biotin	P-GSE29941-6	  	GSM741166	A-AFFY-2	  	P-GSE29941-7	  	P-GSE29941-8	  	GSM741166_H2_prt6_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29941/E-GEOD-29941.raw.1.zip	P-GSE29941-1	  	GSM741166_sample_table.txt norm	GSM741166_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29941/E-GEOD-29941.processed.1.zip	prt6-1	seedling	EFO	EFO_0001992	hypoxic conditions
GSM741165 1	Col-0 seedlings treated with hypoxic conditions for 2h	Hypoxia_Col-0_2	Hypoxic-seedlings, Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7	days	Col-0	whole organism	seedling	EFO	EFO_0001992	P-GSE29941-2	  	P-GSE29941-3	  	P-GSE29941-4	  	GSM741165 extract 1	total RNA	P-GSE29941-5	  	GSM741165 LE 1	biotin	P-GSE29941-6	  	GSM741165	A-AFFY-2	  	P-GSE29941-7	  	P-GSE29941-8	  	GSM741165_H2_Col-0_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29941/E-GEOD-29941.raw.1.zip	P-GSE29941-1	  	GSM741165_sample_table.txt norm	GSM741165_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29941/E-GEOD-29941.processed.1.zip	Col-0	seedling	EFO	EFO_0001992	hypoxic conditions
GSM741164 1	Col-0 seedlings treated with hypoxic conditions for 2h	Hypoxia_Col-0_1	Hypoxic-seedlings, Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7	days	Col-0	whole organism	seedling	EFO	EFO_0001992	P-GSE29941-2	  	P-GSE29941-3	  	P-GSE29941-4	  	GSM741164 extract 1	total RNA	P-GSE29941-5	  	GSM741164 LE 1	biotin	P-GSE29941-6	  	GSM741164	A-AFFY-2	  	P-GSE29941-7	  	P-GSE29941-8	  	GSM741164_H2_Col-0_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29941/E-GEOD-29941.raw.1.zip	P-GSE29941-1	  	GSM741164_sample_table.txt norm	GSM741164_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29941/E-GEOD-29941.processed.1.zip	Col-0	seedling	EFO	EFO_0001992	hypoxic conditions
GSM741163 1	ate1 ate2 seedlings treated with aerobic (normal) conditions for 2h	Air_ate1 ate2_2	Aerobic-seedlings, ate1 ate2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7	days	ate1 ate2	whole organism	seedling	EFO	EFO_0001992	P-GSE29941-2	  	P-GSE29941-3	  	P-GSE29941-4	  	GSM741163 extract 1	total RNA	P-GSE29941-5	  	GSM741163 LE 1	biotin	P-GSE29941-6	  	GSM741163	A-AFFY-2	  	P-GSE29941-7	  	P-GSE29941-8	  	GSM741163_A2_ate1_ate2_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29941/E-GEOD-29941.raw.1.zip	P-GSE29941-1	  	GSM741163_sample_table.txt norm	GSM741163_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29941/E-GEOD-29941.processed.1.zip	ate1 ate2	seedling	EFO	EFO_0001992	aerobic (normal) conditions
GSM741162 1	ate1 ate2 seedlings treated with aerobic (normal) conditions for 2h	Air_ate1 ate2_1	Aerobic-seedlings, ate1 ate2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7	days	ate1 ate2	whole organism	seedling	EFO	EFO_0001992	P-GSE29941-2	  	P-GSE29941-3	  	P-GSE29941-4	  	GSM741162 extract 1	total RNA	P-GSE29941-5	  	GSM741162 LE 1	biotin	P-GSE29941-6	  	GSM741162	A-AFFY-2	  	P-GSE29941-7	  	P-GSE29941-8	  	GSM741162_A2_ate1_ate2_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29941/E-GEOD-29941.raw.1.zip	P-GSE29941-1	  	GSM741162_sample_table.txt norm	GSM741162_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29941/E-GEOD-29941.processed.1.zip	ate1 ate2	seedling	EFO	EFO_0001992	aerobic (normal) conditions
GSM741161 1	prt6-1 seedlings treated with aerobic (normal) conditions for 2h	Air_prt6_2	Aerobic-seedlings, prt6-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7	days	prt6-1	whole organism	seedling	EFO	EFO_0001992	P-GSE29941-2	  	P-GSE29941-3	  	P-GSE29941-4	  	GSM741161 extract 1	total RNA	P-GSE29941-5	  	GSM741161 LE 1	biotin	P-GSE29941-6	  	GSM741161	A-AFFY-2	  	P-GSE29941-7	  	P-GSE29941-8	  	GSM741161_A2_prt6_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29941/E-GEOD-29941.raw.1.zip	P-GSE29941-1	  	GSM741161_sample_table.txt norm	GSM741161_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29941/E-GEOD-29941.processed.1.zip	prt6-1	seedling	EFO	EFO_0001992	aerobic (normal) conditions
GSM741160 1	prt6-1 seedlings treated with aerobic (normal) conditions for 2h	Air_prt6_1	Aerobic-seedlings, prt6-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7	days	prt6-1	whole organism	seedling	EFO	EFO_0001992	P-GSE29941-2	  	P-GSE29941-3	  	P-GSE29941-4	  	GSM741160 extract 1	total RNA	P-GSE29941-5	  	GSM741160 LE 1	biotin	P-GSE29941-6	  	GSM741160	A-AFFY-2	  	P-GSE29941-7	  	P-GSE29941-8	  	GSM741160_A2_prt6_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29941/E-GEOD-29941.raw.1.zip	P-GSE29941-1	  	GSM741160_sample_table.txt norm	GSM741160_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29941/E-GEOD-29941.processed.1.zip	prt6-1	seedling	EFO	EFO_0001992	aerobic (normal) conditions
