Source Name	Comment [Sample_source_name]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Term Source REF	Term Accession Number	Characteristics[genotype]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[growth condition]	FactorValue[compound]	FactorValue[dose]	Unit[concentration unit]
GSM761706 1	Arabidopsis thaliana seedlings growing in far-red light for 4 days and  treated with mock for 2 hours	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	day	seedling	EFO	EFO_0001992	FHY3p:FHY3-GR fhy3-4 transgenic line	P-GSE30712-2	P-GSE30712-3	P-GSE30712-4	GSM761706 extract 1	total RNA	P-GSE30712-5	GSM761706 LE 1	biotin	P-GSE30712-6	GSM761706	A-AFFY-2	P-GSE30712-7	P-GSE30712-8	GSM761706.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30712/E-GEOD-30712.raw.1.zip	P-GSE30712-1	GSM761706_sample_table.txt norm	GSM761706_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30712/E-GEOD-30712.processed.1.zip	far-red light	none	  	        
GSM761705 1	Arabidopsis thaliana seedlings growing in far-red light for 4 days and  treated with mock for 2 hours	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	day	seedling	EFO	EFO_0001992	FHY3p:FHY3-GR fhy3-4 transgenic line	P-GSE30712-2	P-GSE30712-3	P-GSE30712-4	GSM761705 extract 1	total RNA	P-GSE30712-5	GSM761705 LE 1	biotin	P-GSE30712-6	GSM761705	A-AFFY-2	P-GSE30712-7	P-GSE30712-8	GSM761705.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30712/E-GEOD-30712.raw.1.zip	P-GSE30712-1	GSM761705_sample_table.txt norm	GSM761705_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30712/E-GEOD-30712.processed.1.zip	far-red light	none	  	        
GSM761704 1	Arabidopsis thaliana seedlings growing in far-red light for 4 days and  treated with mock for 2 hours	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	day	seedling	EFO	EFO_0001992	FHY3p:FHY3-GR fhy3-4 transgenic line	P-GSE30712-2	P-GSE30712-3	P-GSE30712-4	GSM761704 extract 1	total RNA	P-GSE30712-5	GSM761704 LE 1	biotin	P-GSE30712-6	GSM761704	A-AFFY-2	P-GSE30712-7	P-GSE30712-8	GSM761704.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30712/E-GEOD-30712.raw.1.zip	P-GSE30712-1	GSM761704_sample_table.txt norm	GSM761704_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30712/E-GEOD-30712.processed.1.zip	far-red light	none	  	        
GSM761703 1	Arabidopsis thaliana seedlings growing in far-red light for 4 days and  treated with mock for 2 hours	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	day	seedling	EFO	EFO_0001992	FHY3p:FHY3-GR fhy3-4 transgenic line	P-GSE30712-2	P-GSE30712-3	P-GSE30712-4	GSM761703 extract 1	total RNA	P-GSE30712-5	GSM761703 LE 1	biotin	P-GSE30712-6	GSM761703	A-AFFY-2	P-GSE30712-7	P-GSE30712-8	GSM761703.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30712/E-GEOD-30712.raw.1.zip	P-GSE30712-1	GSM761703_sample_table.txt norm	GSM761703_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30712/E-GEOD-30712.processed.1.zip	far-red light	none	  	        
GSM761702 1	Arabidopsis thaliana seedlings growing in dark for 4 days and  treated with mock for 2 hours	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	day	seedling	EFO	EFO_0001992	FHY3p:FHY3-GR fhy3-4 transgenic line	P-GSE30712-2	P-GSE30712-3	P-GSE30712-4	GSM761702 extract 1	total RNA	P-GSE30712-5	GSM761702 LE 1	biotin	P-GSE30712-6	GSM761702	A-AFFY-2	P-GSE30712-7	P-GSE30712-8	GSM761702.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30712/E-GEOD-30712.raw.1.zip	P-GSE30712-1	GSM761702_sample_table.txt norm	GSM761702_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30712/E-GEOD-30712.processed.1.zip	dark	none	  	        
GSM761701 1	Arabidopsis thaliana seedlings growing in dark for 4 days and  treated with mock for 2 hours	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	day	seedling	EFO	EFO_0001992	FHY3p:FHY3-GR fhy3-4 transgenic line	P-GSE30712-2	P-GSE30712-3	P-GSE30712-4	GSM761701 extract 1	total RNA	P-GSE30712-5	GSM761701 LE 1	biotin	P-GSE30712-6	GSM761701	A-AFFY-2	P-GSE30712-7	P-GSE30712-8	GSM761701.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30712/E-GEOD-30712.raw.1.zip	P-GSE30712-1	GSM761701_sample_table.txt norm	GSM761701_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30712/E-GEOD-30712.processed.1.zip	dark	none	  	        
GSM761700 1	Arabidopsis thaliana seedlings growing in dark for 4 days and  treated with mock for 2 hours	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	day	seedling	EFO	EFO_0001992	FHY3p:FHY3-GR fhy3-4 transgenic line	P-GSE30712-2	P-GSE30712-3	P-GSE30712-4	GSM761700 extract 1	total RNA	P-GSE30712-5	GSM761700 LE 1	biotin	P-GSE30712-6	GSM761700	A-AFFY-2	P-GSE30712-7	P-GSE30712-8	GSM761700.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30712/E-GEOD-30712.raw.1.zip	P-GSE30712-1	GSM761700_sample_table.txt norm	GSM761700_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30712/E-GEOD-30712.processed.1.zip	dark	none	  	        
GSM761699 1	Arabidopsis thaliana seedlings growing in dark for 4 days and  treated with mock for 2 hours	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	day	seedling	EFO	EFO_0001992	FHY3p:FHY3-GR fhy3-4 transgenic line	P-GSE30712-2	P-GSE30712-3	P-GSE30712-4	GSM761699 extract 1	total RNA	P-GSE30712-5	GSM761699 LE 1	biotin	P-GSE30712-6	GSM761699	A-AFFY-2	P-GSE30712-7	P-GSE30712-8	GSM761699.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30712/E-GEOD-30712.raw.1.zip	P-GSE30712-1	GSM761699_sample_table.txt norm	GSM761699_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30712/E-GEOD-30712.processed.1.zip	dark	none	  	        
GSM761698 1	Arabidopsis thaliana seedlings growing in far-red light for 4 days and  treated with DEX for 2 hours	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	day	seedling	EFO	EFO_0001992	FHY3p:FHY3-GR fhy3-4 transgenic line	P-GSE30712-2	P-GSE30712-3	P-GSE30712-4	GSM761698 extract 1	total RNA	P-GSE30712-5	GSM761698 LE 1	biotin	P-GSE30712-6	GSM761698	A-AFFY-2	P-GSE30712-7	P-GSE30712-8	GSM761698.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30712/E-GEOD-30712.raw.1.zip	P-GSE30712-1	GSM761698_sample_table.txt norm	GSM761698_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30712/E-GEOD-30712.processed.1.zip	far-red light	dexamethasone	10	micromolar
GSM761697 1	Arabidopsis thaliana seedlings growing in far-red light for 4 days and  treated with DEX for 2 hours	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4	day	seedling	EFO	EFO_0001992	FHY3p:FHY3-GR fhy3-4 transgenic line	P-GSE30712-2	P-GSE30712-3	P-GSE30712-4	GSM761697 extract 1	total RNA	P-GSE30712-5	GSM761697 LE 1	biotin	P-GSE30712-6	GSM761697	A-AFFY-2	P-GSE30712-7	P-GSE30712-8	GSM761697.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30712/E-GEOD-30712.raw.1.zip	P-GSE30712-1	GSM761697_sample_table.txt norm	GSM761697_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30712/E-GEOD-30712.processed.1.zip	far-red light	dexamethasone	10	micromolar
